"U1","U2","U3","U4","Class","U6","U7","U8","U9"
"F",38.84,57.617,30,"Class2","Z",32.178,64,39.013
"E",38.098,88.025,25,"Class2","U",29.119,72,86.613
"F",58.452,52.851,21,"Class3","T",2.237,35,91.133
"B",55.121,16.038,81,"Class3","I",2.277,18,60.34
"C",83.359,55.919,46,"Class1","N",33.079,67,70.042
"J",50.34,57.384,48,"Class3","I",1.961,42,11.687
"C",89.467,56.962,51,"Class1","L",58.698,61,65.151
"W",84.154,51.428,38,"Class1","R",NA,89,30.604
"J",41.457,35.714,21,"Class3","T",2.156,18,50.859
"O",40.733,74.322,17,"Class2","B",17.299,74,78.081
"B",48.054,57.639,58,"Class3","W",2.757,21,66.596
"T",83.741,51.332,33,"Class1","H",35.371,68,97.152
"F",41.951,71.768,18,"Class2","U",43.78,81,79.879
"N",41.567,92.898,17,"Class2","Z",50.278,62,39.758
"W",63.712,23.353,21,"Class3","W",2.685,58,64.901
"T",91.925,52.076,57,"Class1","R",51.191,86,73.666
"O",40.632,64.554,14,"Class2","Z",29.714,61,81.182
"W",84.316,52.974,70,"Class1","R",69.192,61,58.804
"T",94.075,54.258,31,"Class1","B",51.765,89,29.529
"X",89.51,54.288,24,"Class1","H",81.238,66,20.669
"F",39.828,73.728,41,"Class2","B",4.139,63,47.033
"X",85.924,58.578,18,"Class1","L",84.446,80,47.418
"J",83.279,55.266,50,"Class3","Q",2.255,50,13.429
"E",38.672,63.647,24,"Class2","O",48.745,66,66.232
"J",37.397,82.709,19,"Class2","U",40.066,65,31.453
"J",37.916,73.812,14,"Class2","R",33.307,67,109.18
"B",30.604,28.794,17,"Class3","Q",2.347,56,29.929
"J",26.059,68.892,65,"Class3","T",2.634,18,68.496
"E",37.405,73.562,17,"Class2","B",31.441,NA,49.873
"J",38.374,73.817,23,"Class2","U",NA,76,82.123
"E",NA,73.427,34,"Class3","U",2.064,54,79.177
"O",39.048,62.635,20,"Class2","U",-2.019,53,39.039
"F",38.271,93.734,26,"Class2","U",23.205,69,84.306
"X",87.699,52.648,64,"Class1","L",NA,75,100.011
"W",93.446,55.488,58,"Class1","L",62.284,89,40.259
"E",37.292,62.61,34,"Class2","U",45.819,53,NA
"N",40.563,72.307,32,"Class2","Z",9.482,70,67.593
"J",39.784,95.679,14,"Class2","O",25.787,48,79.606
"O",39.43,NA,28,"Class2","Z",24.599,NA,59.971
"B",23.528,43.197,38,"Class3","T",2.614,51,34.592
"W",95.04,NA,61,"Class1","N",62.939,81,78.384
"C",96.677,52.528,58,"Class1","R",30.102,NA,51.898
"O",41.326,74.272,28,"Class2","U",42.507,79,80.827
"N",37.379,71.795,33,"Class2","B",37.88,42,75.052
"X",96.587,55.163,37,"Class1","B",53.018,74,60.958
"F",41.968,61.941,23,"Class2","O",33.82,83,64.896
"J",27.311,30.397,62,"Class3","Q",2.733,27,22.486
"D",93.885,55.172,51,"Class1","B",71.015,88,17.111
"F",67.847,16.993,59,"Class3","I",2.413,17,60.079
"E",24.934,24.325,62,"Class3","T",2.202,59,28.181
"W",82.323,32.29,41,"Class3","Q",2.057,49,58.536
"W",87.953,55.277,NA,"Class1","B",71.544,64,NA
"E",41.873,59.973,21,"Class2","B",38.8,36,41.703
"E",37.951,74.073,33,"Class2","B",15.907,74,58.164
"E",51.919,55.523,87,"Class3","W",2.811,19,40.006
"B",79.746,60.919,NA,"Class3","T",1.866,32,81.173
"C",97.747,NA,35,"Class1","B",71.402,77,118.864
"F",37.84,93.704,24,"Class2","R",27.994,78,69.096
"E",61.84,51.529,64,"Class3","I",3.074,NA,39.888
"W",65.864,NA,20,"Class3","U",2.114,63,23.834
"B",47.01,38.757,73,"Class3","I",2.272,57,31.589
"T",94.943,51.452,NA,"Class1","H",NA,82,51.275
"F",40.071,74.177,29,"Class2","R",25.19,37,27.018
"J",41.835,83.083,17,"Class2","U",48.796,49,66.303
"X",90.746,53.696,62,"Class1","H",68.942,61,47.503
"E",37.791,77.434,24,"Class2","B",46.159,67,21.076
"O",37.44,95.022,38,"Class2","O",40.429,68,80.242
"B",62.295,32.221,NA,"Class3","I",NA,36,30.305
"B",61.316,NA,34,"Class3","T",2.286,37,0.441
"D",96.043,56.954,19,"Class1","H",NA,63,56.694
"T",88.189,52.102,21,"Class1","B",73.109,78,74.946
"N",41.639,77.957,25,"Class2","O",30.184,44,48.211
"J",41.281,60.228,29,"Class2","U",20.692,74,15.528
"B",73.392,NA,57,"Class3","W",2.484,42,24.499
"D",85.688,58.31,47,"Class1","N",76.863,88,40.469
"X",95.69,58.691,36,"Class1","B",66.237,84,38.906
"F",57.53,29.817,37,"Class3","I",2.959,47,-25.643
"D",92.986,58.271,38,"Class1","L",43.96,85,17.899
"J",36.816,61.183,34,"Class3","I",2.638,58,-23.563
"B",45.957,38.361,88,"Class3","T",2.258,57,45.463
"T",94.152,56.358,24,"Class1","H",65.096,84,14.14
"J",41.172,59.034,24,"Class2","R",34.041,62,68.215
"F",48.759,28.62,21,"Class3","U",NA,36,69.884
"B",45.714,25.519,40,"Class3","Q",2.108,45,71.672
"J",24.87,57.54,79,"Class3","U",2.3,59,65.164
"F",38.284,79.151,31,"Class2","Z",44.044,36,62.465
"F",23.355,26.113,75,"Class3","W",2.622,14,73.817
"J",40.047,67.421,18,"Class2","U",29.058,69,88.798
"E",39.919,77.081,31,"Class2","U",47.698,52,76.962
"J",33.181,21.44,58,"Class3","U",2.282,61,38.487
"E",40.891,64.75,33,"Class2","B",36.284,53,38.37
"N",38.217,77.752,42,"Class2","R",NA,43,44.597
"W",30.462,32.217,62,"Class3","T",2.215,35,56.64
"B",79.655,62.669,58,"Class3","T",2.059,47,67.044
"X",89.219,53.978,19,"Class1","R",81.323,75,46.887
"T",96.578,58.605,70,"Class1","N",46.269,78,28.02
"F",47.888,61.959,65,"Class3","I",2.231,17,-7.726
"W",NA,58.381,38,"Class1","L",43.162,78,33.572
"E",68.39,51.877,66,"Class3","W",2.617,45,18.88
"J",51.13,45.695,75,"Class3","T",2.048,56,79.272
"T",92.16,58.182,57,"Class1","B",78.244,62,39.259
"D",91.062,NA,65,"Class1","B",85.555,64,31.384
"W",80.962,46.143,37,"Class3","W",NA,32,1.647
"F",41.634,49.616,82,"Class3","I",2.672,16,25.257
"O",40.642,65.622,36,"Class2","Z",NA,66,75.728
"E",37.322,81.103,23,"Class2","O",31.362,39,76.967
"J",40.075,77.7,39,"Class2","Z",34.041,57,74.298
"J",34.86,45.41,39,"Class3","Q",NA,NA,45.894
"B",79.664,32.078,54,"Class3","T",2.475,48,20.819
"N",39.47,83.602,28,"Class2","B",25.784,40,50.499
"F",80.544,16.963,60,"Class3","T",2.655,NA,-3.548
"X",NA,56.236,32,"Class1","R",77.162,59,NA
"X",NA,57.685,19,"Class1","B",53.383,62,54.919
"C",91.247,57.332,68,"Class1","H",71.903,88,76.1
"E",37.249,72.176,33,"Class2","U",34.539,73,19.75
"W",63.491,63.931,26,"Class3","T",2.178,29,68.638
"W",98.384,59.193,40,"Class1","R",72.27,69,54.025
"F",82.996,29.482,61,"Class3","U",2.577,45,62.311
"C",91.731,56.998,34,"Class1","H",45.177,74,19.783
"J",41.873,98.893,31,"Class2","B",NA,56,97.231
"J",39.568,83.688,39,"Class2","Z",25.69,45,80.082
"J",37.488,96.612,35,"Class2","U",34.453,41,68.637
"T",92.882,57.022,32,"Class1","L",57.056,70,37.915
"O",41.031,61.251,29,"Class2","R",30.12,41,81.675
"J",41.653,52.938,60,"Class3","U",1.253,45,41.135
"E",41.035,54.443,20,"Class2","B",42.861,45,50.983
"C",94.456,51.421,70,"Class1","N",59.045,72,NA
"O",37.248,65.177,36,"Class2","U",28.985,81,52.515
"E",41.363,59.205,20,"Class2","U",NA,49,77.732
"E",67.658,56.827,44,"Class3","Q",3.116,47,56.291
"J",41.915,64.328,31,"Class2","B",64.583,85,47.287
"W",91.949,58.09,54,"Class1","H",58.723,81,67.565
"C",95.926,54.547,43,"Class1","L",51.182,64,109.714
"D",93.677,55.726,64,"Class1","N",81.189,73,51.093
"O",41.764,59.518,NA,"Class2","U",22.789,40,63.605
"T",94.844,53.509,48,"Class1","N",82.886,75,50.331
"J",33.883,NA,77,"Class3","T",1.587,44,6.631
"J",NA,71.295,19,"Class2","O",26.886,77,62.426
"N",41.866,65.433,15,"Class2","R",37.415,43,NA
"X",91.476,55.927,33,"Class1","R",51.627,64,69.63
"W",89.956,58.073,70,"Class1","N",69.551,79,51.181
"D",97.786,52.446,42,"Class1","B",60.205,67,-17.057
"T",86.727,54.686,22,"Class1","L",39.091,88,110.272
"J",44.593,13.363,52,"Class3","W",2.47,20,60.158
"B",65.98,49.638,18,"Class3","I",2.74,18,50.488
"X",89.346,54.343,59,"Class1","N",46.506,72,69.948
"F",39.897,93.608,30,"Class2","R",44.475,44,27.155
"W",93.884,53.948,62,"Class1","L",44.113,87,14.511
"E",75.676,20.582,22,"Class3","Q",2.662,39,NA
"W",86.068,54.578,23,"Class1","H",54.151,85,47.729
"N",39.923,65.792,33,"Class2","R",NA,81,41.072
"N",38.521,60.67,37,"Class2","B",41.675,46,65.56
"X",93.449,53.059,66,"Class1","L",59.828,71,85.69
"O",41.417,55.048,37,"Class2","O",30.816,56,57.731
"T",95.5,51.958,64,"Class1","H",50.454,79,24.901
"E",80.675,70.873,44,"Class3","U",2.436,26,30.621
"O",38.358,65.683,27,"Class2","Z",31.693,46,68.986
"E",40.165,72.002,33,"Class2","U",30.008,65,85.492
"N",41.067,94.699,26,"Class2","B",40.059,61,83.272
"X",93.842,54.329,25,"Class1","L",41.58,75,19.996
"J",82.881,42.848,49,"Class3","T",2.509,26,70.848
"T",84.537,54.019,17,"Class1","B",62.188,70,NA
"X",85.519,51.748,17,"Class1","N",69.086,75,77.748
"J",37.194,89.73,21,"Class2","O",50.172,53,78.129
"F",38.316,98.518,20,"Class2","Z",41.701,59,63.169
"D",86.437,55.706,25,"Class1","H",65.431,77,6.968
"O",39.694,85.925,39,"Class2","O",36.629,81,74.281
"E",38.419,88.324,32,"Class2","Z",40.585,54,44.958
"F",45.938,54.702,77,"Class3","W",2.689,50,42.851
"T",86.683,51.86,28,"Class1","B",56.467,68,19.149
"J",39.679,95.924,14,"Class2","O",34.228,NA,74.571
"J",38.713,40.803,42,"Class3","Q",3.061,65,27.999
"F",34.537,36.045,18,"Class3","W",2.366,32,79.299
"C",87.029,53.075,45,"Class1","L",68.198,70,20.11
"X",96.574,56.791,69,"Class1","R",55.464,68,71.404
"D",98.312,51.579,18,"Class1","N",51.3,89,66.484
"E",38.051,NA,14,"Class2","O",35.785,67,47.698
"W",79.553,71.09,65,"Class3","U",2.579,20,67.686
"W",98.938,51.333,35,"Class1","H",79.669,69,55.343
"O",NA,93.404,17,"Class2","Z",47.664,70,63.142
"E",37.034,84.464,30,"Class2","R",34.829,61,49.331
"F",76.508,55.511,70,"Class3","U",2.344,52,55.567
"W",66.899,73.532,62,"Class3","U",2.801,33,68.986
"F",52.275,66.96,55,"Class3","I",NA,19,19.691
"E",37.604,74.113,26,"Class2","Z",35.049,58,54.026
"E",40.415,82.904,22,"Class2","R",37.245,40,54.413
"N",41.727,92.734,35,"Class2","B",36.037,74,45.24
"X",90.439,53.825,NA,"Class1","H",54.022,72,72.979
"D",96.79,59.342,44,"Class1","N",67.961,86,24.345
"J",41.557,66.911,14,"Class2","Z",46.681,36,88.851
"O",NA,89.617,20,"Class2","R",29.681,69,75.83
"F",74.466,56.068,40,"Class3","Q",2.518,51,26.291
"J",78.576,9.17,86,"Class3","U",2.731,23,23.079
"N",40.749,98.864,29,"Class2","B",31.188,53,77.333
"F",37.23,75.938,34,"Class2","B",44.337,NA,75.6
"E",40.362,56.183,23,"Class2","Z",36.636,85,59.615
"N",38.124,77.325,33,"Class2","Z",31.918,69,90.996
"J",23.034,28.241,80,"Class3","U",2.424,63,35.83
"J",35.108,50.624,NA,"Class3","T",2.319,26,30.242
"D",95.585,55.057,64,"Class1","R",79.003,60,45.655
"N",40.408,67.602,22,"Class2","U",43.734,50,89.198
"E",37.127,65.423,24,"Class2","U",37.856,75,66.129
"W",42.166,42.334,43,"Class3","Q",2.412,15,-2.484
"E",38.373,71.896,42,"Class2","Z",34.152,60,53.925
"T",93.535,55.194,53,"Class1","N",57.077,62,59.56
"J",NA,15.506,52,"Class3","T",1.976,64,30.665
"B",34.211,24.19,43,"Class3","T",1.863,55,NA
"E",56.25,12.552,66,"Class3","Q",2.247,28,83.895
"X",96.91,55.847,17,"Class1","B",69.001,63,36.76
"F",79.31,70.715,70,"Class3","W",2.405,27,48.513
"X",96.803,55.702,16,"Class1","L",NA,77,43.752
"W",29.765,NA,58,"Class3","W",2.187,51,60.219
"E",65.734,39.668,45,"Class3","T",3.055,58,0.69
"F",39.262,91.544,29,"Class2","O",21.547,53,53.452
"W",90.305,53.051,48,"Class1","N",63.592,86,39.225
"N",41.485,93.27,24,"Class2","R",37.837,48,78.092
"W",78.43,23.692,58,"Class3","W",2.716,55,16.07
"E",NA,90.597,14,"Class2","R",30.5,75,66.585
"E",39.411,79.88,NA,"Class2","O",39.381,66,30.707
"T",86.274,52.303,NA,"Class1","N",71.43,84,61.816
"C",85.033,54.991,45,"Class1","N",68.404,62,NA
"W",94.36,NA,51,"Class1","R",54.171,87,98.074
"C",94.241,53.327,37,"Class1","R",101.591,69,64.464
"J",40.608,90.31,40,"Class2","U",39.557,83,44.365
"W",80.533,41.349,44,"Class3","U",2.933,64,17.705
"X",84.449,55.591,60,"Class1","R",62.078,59,23.883
"F",41.083,94.131,32,"Class2","Z",23.171,72,64.086
"E",72.846,70.395,76,"Class3","I",3.081,25,60.01
"T",92.323,57.243,32,"Class1","H",42.45,78,13.559
"D",84.807,55.504,47,"Class1","N",76.031,78,46.604
"F",61.54,59.428,79,"Class3","U",3.127,40,61.729
"E",41.523,NA,34,"Class2","U",29.685,80,47.071
"B",47.242,43.407,19,"Class3","W",2.529,34,59.885
"T",96.411,56.253,64,"Class1","L",65.512,74,40.023
"F",49.466,37.433,21,"Class3","T",2.621,25,94.473
"N",38.29,70.925,33,"Class2","Z",32.504,78,37.105
"E",40.708,74.938,41,"Class2","O",27.859,42,87.047
"W",46.33,14.339,65,"Class3","I",2.807,31,40.029
"J",46.814,38.255,61,"Class3","W",NA,22,15.271
"T",90.148,52.007,23,"Class1","L",76.369,83,60.084
"W",90.937,57.549,29,"Class1","N",38.567,NA,31.841
"F",37.035,54.183,16,"Class2","O",24.302,52,NA
"F",84.518,13.506,86,"Class3","T",2.992,27,NA
"F",39.416,77.208,31,"Class2","Z",46.849,73,51.408
"N",37.895,96.411,41,"Class2","R",33.078,36,94.125
"E",70.145,13.552,81,"Class3","U",2.496,51,32.979
"D",95.575,57.82,59,"Class1","H",18.884,75,43.55
"W",87.416,55.406,61,"Class1","B",58.857,82,30.187
"X",97.163,52.354,20,"Class1","R",NA,66,57.319
"B",52.388,36.899,65,"Class3","I",NA,41,27.329
"C",95.893,51.282,65,"Class1","N",65.878,69,68.661
"N",39.214,57.046,19,"Class2","O",35.729,84,73.968
"T",92.426,57.797,60,"Class1","N",50.785,71,25.689
"F",68.922,34.012,88,"Class3","T",2.867,43,23.321
"F",37.623,60.9,20,"Class2","B",42.71,37,36.405
"E",37.847,63.557,17,"Class2","B",31.626,78,52.905
"X",97.768,54.608,19,"Class1","N",50.841,75,107.011
"D",96.907,54.05,36,"Class1","H",58.307,59,50.125
"F",41.819,98.746,14,"Class2","U",40.045,42,74.893
"T",87.205,55.781,22,"Class1","R",NA,74,26.987
"W",57.845,67.891,28,"Class3","U",2.68,56,59.369
"O",37.419,78.433,22,"Class2","U",36.354,71,89.25
"J",37.157,NA,42,"Class2","R",37.263,86,51.25
"W",95.265,54.935,25,"Class1","B",73.641,86,73.451
"E",41.484,70.883,18,"Class2","B",26.279,72,NA
"E",64.725,61.68,56,"Class3","W",2.127,18,40.255
"T",85.858,56.253,17,"Class1","R",NA,71,82.557
"X",85.925,51.172,17,"Class1","R",56.553,76,48.449
"X",96.616,51.443,NA,"Class1","H",70.232,78,64.573
"T",90.725,53.632,26,"Class1","N",49.891,87,45.899
"W",89.879,54.733,34,"Class1","L",51.261,81,79.569
"E",41.836,81.286,33,"Class2","B",32.652,63,82.685
"E",38.666,68.97,25,"Class2","O",33.556,74,76.329
"J",NA,33.273,85,"Class3","T",2.37,15,62.462
"J",51.214,23.769,31,"Class3","U",2.065,18,80.546
"T",98.681,52.366,19,"Class1","N",53.871,66,24.991
"C",86.438,53.329,32,"Class1","R",67.921,70,105.253
"E",37.05,61.548,28,"Class2","O",25.711,44,64.031
"F",38.661,54.356,25,"Class2","O",41.673,49,52.574
"W",62.84,65.74,27,"Class3","W",2.464,65,45.296
"F",50.829,36.076,69,"Class3","I",2.397,55,37.669
"W",86.868,53.417,28,"Class1","R",71.538,64,21.343
"E",32.765,31.138,55,"Class3","T",2.49,51,19.525
"N",41.39,54.538,26,"Class2","Z",17.212,60,18.365
"D",89.578,NA,58,"Class1","H",52.167,80,10.355
"X",89.482,52.367,54,"Class1","N",60.698,60,56.341
"J",54.604,NA,41,"Class3","W",2.3,38,34.261
"W",58.902,44.229,23,"Class3","U",2.41,34,57.464
"W",40.924,25.762,20,"Class3","W",2.697,24,65.516
"J",72.074,NA,53,"Class3","W",2.841,29,18.538
"F",23.525,54.34,18,"Class3","W",2.138,60,NA
"B",32.516,55.865,53,"Class3","I",2.48,15,32.206
"O",38.099,54.597,33,"Class2","B",32.039,47,58.221
"N",41.74,62.008,24,"Class2","R",20.118,55,57.837
"J",40.833,NA,32,"Class2","Z",46.548,NA,38.301
"X",90.675,57.726,25,"Class1","L",44.125,84,74.83
"W",88.322,52.009,65,"Class1","H",47.447,76,44.325
"N",37.303,97.802,38,"Class2","Z",36.704,41,49.845
"J",40.71,78.79,16,"Class2","B",36.406,66,65.124
"E",39.779,79.135,18,"Class2","U",NA,58,76.558
"F",NA,81.085,33,"Class2","B",33.27,NA,67.567
"X",84.258,NA,18,"Class1","N",57.608,60,19.604
"C",95.371,52.466,38,"Class1","B",56.149,80,22.297
"W",86.667,53.717,59,"Class1","N",55.8,71,34.931
"C",87.773,52.57,38,"Class1","R",46.831,NA,42.565
"F",80.413,11.182,82,"Class3","T",2.224,65,74.236
"B",69.39,72.073,56,"Class3","T",2.594,39,29.968
"F",39.079,65.784,38,"Class2","Z",33.322,85,58.285
"F",37.044,92.684,23,"Class2","R",45.206,86,68.159
"T",83.694,53.333,36,"Class1","H",68.029,87,49.097
"T",95.154,59.944,37,"Class1","H",69.95,79,87.46
"J",63.719,42.453,38,"Class3","I",2.235,26,37.273
"O",39.254,88.801,16,"Class2","R",29.741,49,32.356
"D",95.766,58.867,21,"Class1","L",44.224,74,-9.088
"X",90.12,56.433,21,"Class1","R",60.766,75,74.375
"J",28.919,8.261,84,"Class3","I",2.728,55,64.879
"W",NA,51.827,40,"Class1","H",67.619,67,37.549
"F",41.291,NA,38,"Class2","O",37.927,41,106.045
"C",84.058,51.276,53,"Class1","B",52.987,NA,53.605
"T",90.03,54.657,40,"Class1","N",61.673,73,101.895
"B",69.638,45.052,43,"Class3","I",3.109,19,55.606
"T",95.35,51.338,38,"Class1","H",66.971,78,36.941
"X",83.279,52.775,36,"Class1","B",45.241,73,14.868
"C",96.461,58.313,39,"Class1","L",51.057,86,67.827
"C",88.363,55.877,58,"Class1","B",56.786,59,24.667
"E",82.029,14.452,40,"Class3","I",2.596,15,19.448
"W",92.518,51.871,62,"Class1","R",54.94,65,NA
"N",38.99,61.126,35,"Class2","B",39.25,83,31.118
"N",40.571,77.18,34,"Class2","B",29.821,41,78.268
"W",33.405,13.394,40,"Class3","I",2.983,NA,97.447
"X",84.256,59.396,NA,"Class1","N",68.521,87,34.236
"D",95.291,52.596,46,"Class1","L",65.061,68,36.239
"E",19.858,11.836,17,"Class3","W",2.616,NA,19.934
"W",71.02,34.979,27,"Class3","I",1.998,24,19.946
"F",19.263,34.747,41,"Class3","I",2.246,44,24.672
"D",97.258,NA,55,"Class1","B",65.6,NA,65.912
"X",86.664,53.174,65,"Class1","L",59.934,60,48.683
"E",40.961,79.967,22,"Class2","O",28.169,72,57.461
"J",41.717,NA,40,"Class2","U",46.515,79,39.672
"W",64.798,64.144,71,"Class3","W",2.893,44,30.144
"E",41.317,85.634,31,"Class2","B",51.747,79,47.905
"O",40.765,65.056,NA,"Class2","R",20.596,60,55.749
"F",73.538,51.336,59,"Class3","Q",2.702,38,69.003
"J",41.337,61.427,42,"Class2","U",30.349,84,NA
