"M1","M2","M3","Class","M5","M6","M7","M8","M9"
47.384,"U",57,"Class3",59.522,28,15.799,"P",53.12
69.814,"S",58,"Class3",54.705,18,80.511,"P",-4.594
88.128,"X",41,"Class3",51.191,27,32.013,"P",49.51
14.066,"L",25,"Class2",62.552,58,21.36,"V",81.579
28.773,"L",24,"Class2",65.372,94,20.609,"V",54.714
14.622,"A",56,"Class1",6.484,36,8.251,"N",41.163
87.154,"L",83,"Class3",52.682,28,57.201,"L",71.906
23.162,"A",25,"Class2",59.361,70,16.117,"V",76.349
59.322,"L",11,"Class3",55.88,29,46.098,"L",-13.844
17.448,"O",55,"Class1",7.316,57,1.157,"H",54.651
71.456,"X",46,"Class3",56.315,18,52.087,"J",52.202
51.691,"S",28,"Class3",44.556,20,43.573,"N",32.825
66.056,"L",79,"Class3",44.355,18,69.108,"J",18.938
65.633,"A",25,"Class2",62.32,97,19.549,"N",51.963
17.664,"O",64,"Class1",4.325,27,11.442,"H",52.415
16.401,"V",59,"Class1",10.98,33,7.631,"Q",31.69
69.364,"X",71,"Class3",59.494,NA,57.054,"N",55.359
46.526,"X",41,"Class3",53.44,19,34.287,"L",114.232
NA,"V",67,"Class1",14.883,28,6.434,"L",33.397
63.262,"G",25,"Class2",59.805,95,7.796,"D",62.584
45.004,"J",24,"Class2",61.594,75,20.683,"C",NA
51.62,"A",24,"Class2",65.215,95,21.412,"Q",72.498
11.487,"A",25,"Class2",NA,89,20.425,"D",81.017
17.152,"A",62,"Class1",19.292,26,7.89,"H",73.895
16.73,"L",66,"Class1",17.427,NA,2.844,"N",65.458
84.996,"U",14,"Class3",42.525,30,39.787,"N",81.746
69.612,"L",39,"Class3",46.382,25,110.098,"E",107.4
NA,"L",25,"Class2",65.195,48,17.311,"Q",63.152
60.172,"U",31,"Class3",44.929,27,20.245,"E",37.899
NA,"K",24,"Class2",65.268,85,20.714,"D",58.559
14.143,"L",55,"Class1",36.947,65,5.811,"L",32.276
49.614,"R",44,"Class3",48.796,25,81.292,"N",-9.979
15.782,"O",67,"Class1",1.769,47,6.889,"H",52.35
61.501,"K",24,"Class2",63.338,78,20.667,"Q",79.166
46.688,"R",7,"Class3",49.159,28,NA,"E",82.796
88.731,"S",14,"Class3",44.452,28,62.589,"L",77.634
17.44,"A",65,"Class1",2.921,76,13.513,"C",66.47
82.834,"L",60,"Class3",46.028,28,28.184,"L",11.616
81.922,"S",75,"Class3",50.134,22,-8.849,"J",-15.219
61.148,"G",24,"Class2",62.198,47,15.817,"Q",73.048
46.236,"R",9,"Class3",54.558,27,16.301,"L",11.262
14.877,"A",62,"Class1",24.465,45,6.537,"Q",0.398
7.224,"G",25,"Class2",58.814,69,15.45,"D",87.871
60.832,"L",19,"Class3",51.555,24,33.544,"E",63.674
14.863,"O",NA,"Class1",28.874,82,NA,"L",NA
33.331,"A",25,"Class2",65.644,63,21.754,"N",90.987
79.484,"U",72,"Class3",57.801,25,56.336,"J",45.859
52.748,"S",58,"Class3",51.394,29,60.17,"L",6.593
45.271,"G",25,"Class2",63.594,83,16.476,"V",68.521
14.251,"A",59,"Class1",6.613,51,12.085,"L",63.021
NA,"S",34,"Class3",46.998,28,71.996,"E",-6.975
88.804,"S",13,"Class3",56.812,28,45.578,"N",35.282
47.627,"L",41,"Class3",48.391,NA,21.465,"N",71.863
17.836,"A",64,"Class1",1.033,50,13.181,"L",39.815
17.529,"O",66,"Class1",19.982,38,5.842,"C",36.332
47.769,"L",NA,"Class3",49.091,25,36.578,"L",83.796
15.742,"V",60,"Class1",28.981,65,6.549,"C",80.282
60.055,"R",NA,"Class3",46.017,30,32.724,"E",28.211
43.104,"G",NA,"Class2",61.708,94,22.383,"N",75.973
15.091,"V",66,"Class1",NA,35,18.409,"L",21.131
93.412,"L",84,"Class3",58.89,29,61.079,"J",2.592
38.604,"K",25,"Class2",63.84,90,21.128,"D",75.935
16.147,"M",66,"Class1",18.395,63,4.083,"H",45.224
61.578,"G",25,"Class2",64.012,44,11.092,"C",62.208
15.299,"O",56,"Class1",35.619,27,10.971,"L",40.989
15.022,"V",67,"Class1",25.845,51,10.059,"C",39.159
31.776,"K",25,"Class2",63.776,48,16.014,"C",60.142
15.794,"V",63,"Class1",6.183,26,2.337,"N",44.384
65.928,"R",16,"Class3",58.864,28,54.515,"N",49.269
14.331,"A",24,"Class2",59.386,88,22.486,"N",69.824
17.145,"M",64,"Class1",29.534,57,NA,"C",45.651
NA,"L",61,"Class1",10.951,57,3.726,"L",77.961
66.149,"J",24,"Class2",61.37,69,NA,"D",63.102
7.409,"L",25,"Class2",58.386,72,21.107,"C",85.401
15.305,"A",25,"Class2",57.498,70,17.454,"N",80.217
NA,"K",25,"Class2",60.349,69,16.093,"V",66.051
82,"U",41,"Class3",47.951,19,NA,"J",6.535
27.697,"K",25,"Class2",65.322,41,20.89,"V",77.556
69.621,"X",57,"Class3",53.038,29,37.839,"N",72.873
90.815,"S",51,"Class3",49.039,18,8.452,"E",37.151
89.631,"X",58,"Class3",47.545,19,81.729,"E",NA
56.111,"S",53,"Class3",44.979,27,8.122,"J",5.326
60.752,"G",24,"Class2",65.167,63,26.703,"N",84.967
40.006,"J",25,"Class2",62.739,71,15.153,"V",74.241
54.795,"R",73,"Class3",52.613,20,-28.526,"N",29.34
16.336,"M",66,"Class1",25.169,25,15.573,"Q",40.292
15.393,"O",57,"Class1",23.497,70,9.656,"C",8.052
18.238,"V",58,"Class1",7.626,73,NA,"N",51.927
16.244,"K",25,"Class2",61.063,78,14.163,"N",60.818
16.837,"L",63,"Class1",5.855,70,7.032,"L",56.163
55.603,"L",25,"Class2",57.064,83,25.652,"C",77.681
57.553,"X",69,"Class3",55.183,21,28.869,"J",82.444
16.891,"O",56,"Class1",13.872,36,-0.863,"C",29.438
15.823,"O",62,"Class1",27.443,77,-1.336,"L",4.724
33.339,"K",24,"Class2",NA,56,17.612,"D",81.916
90.132,"L",76,"Class3",59.647,19,6.157,"L",11.286
17.483,"O",64,"Class1",17.837,30,16.367,"Q",26.891
17.307,"A",64,"Class1",36.884,57,7.473,"L",37.041
79.746,"S",36,"Class3",51.071,24,37.659,"N",43.798
16.224,"O",62,"Class1",3.861,54,NA,"Q",27.206
59.666,"L",25,"Class2",63.548,53,21.402,"D",77.113
NA,"M",56,"Class1",3.402,55,6.319,"C",37.41
89.881,"U",76,"Class3",51.447,20,77.144,"P",41.706
22.162,"K",24,"Class2",64.2,47,21.31,"N",NA
14.655,"L",55,"Class1",13.535,86,NA,"Q",12.908
18.068,"V",55,"Class1",1.592,42,8.531,"N",47.993
65.36,"R",49,"Class3",44.468,29,67.896,"E",NA
18.299,"A",67,"Class1",19.114,49,4.817,"Q",20.416
6.373,"L",25,"Class2",60.745,57,19.716,"D",84.064
17.784,"L",58,"Class1",10.527,80,4.958,"Q",26.87
54.405,"J",25,"Class2",63.03,94,20.651,"D",63.104
9.061,"L",25,"Class2",60.516,48,21.257,"Q",61.59
60.687,"X",41,"Class3",48.517,24,53.893,"E",80.186
16.205,"A",67,"Class1",NA,51,8.409,"Q",36.467
48.537,"U",27,"Class3",46.268,27,92.45,"N",43.813
63.384,"J",24,"Class2",61.638,37,17.919,"D",34.439
14.903,"M",63,"Class1",24.949,40,NA,"N",15.308
69.517,"R",74,"Class3",58.936,20,21.45,"E",42.268
87.08,"S",80,"Class3",48.557,26,18.939,"P",21.077
7.918,"L",24,"Class2",63.648,66,22.21,"V",73.154
17.166,"L",60,"Class1",21.025,73,-0.204,"L",50.464
30.226,"L",25,"Class2",57.276,76,21.499,"D",60.411
13.466,"K",25,"Class2",62.217,NA,17.628,"D",89.229
43.598,"U",12,"Class3",55.884,20,3.344,"L",36.318
17.845,"M",67,"Class1",18.616,42,12.411,"C",33.617
22.722,"J",24,"Class2",58.415,94,NA,"C",80.01
14.942,"M",62,"Class1",6.686,55,1.134,"H",45.691
55.273,"R",82,"Class3",49.138,20,71.787,"N",54.927
18.814,"V",61,"Class1",8.049,84,0.165,"Q",45.947
61.635,"J",24,"Class2",59.141,62,15.193,"D",73.39
90.909,"R",42,"Class3",42.715,24,84.787,"J",-2.381
59.597,"S",83,"Class3",44.105,30,39.78,"L",-2.944
93.443,"L",71,"Class3",54.106,19,71.803,"P",NA
24.245,"A",24,"Class2",62.928,98,16.911,"N",93.435
64.813,"A",24,"Class2",58.586,98,10.152,"Q",70.179
52.69,"X",15,"Class3",43.257,25,35.125,"L",18.289
14.703,"M",NA,"Class1",15.813,63,4.179,"L",57.959
14.628,"V",58,"Class1",32.382,25,6.468,"H",55.292
71.329,"R",46,"Class3",53.384,25,11.18,"N",9.483
19.148,"A",25,"Class2",65.823,45,22.8,"Q",74.803
17.142,"M",64,"Class1",NA,83,5.628,"Q",49.782
53.871,"U",47,"Class3",53.456,25,NA,"P",15.57
16.257,"L",63,"Class1",19.537,47,10.875,"C",60.649
49.716,"K",24,"Class2",65.562,77,13.972,"V",72.993
48.379,"S",32,"Class3",52.052,27,56.386,"E",91.39
51.916,"G",24,"Class2",NA,NA,21.976,"V",80.252
57.968,"X",20,"Class3",49.991,23,48.945,"N",43.35
NA,"J",24,"Class2",62.128,44,19.689,"N",55.956
14.947,"M",60,"Class1",25.856,52,3.646,"Q",46.341
16.522,"A",58,"Class1",17.727,41,-2.695,"L",67.321
17.399,"O",55,"Class1",2.828,NA,9.377,"Q",64.177
14.221,"M",59,"Class1",26.199,39,5.615,"L",40.599
74.259,"U",43,"Class3",42.523,29,17.696,"E",20.522
NA,"J",25,"Class2",63.701,68,20.368,"C",NA
17.92,"L",60,"Class1",16.01,24,9.345,"N",59.065
24.511,"G",25,"Class2",59.305,86,10.99,"V",83.603
15.454,"M",61,"Class1",16.06,33,3.632,"N",70.404
16.463,"V",60,"Class1",34.73,83,8.98,"Q",53.83
45.628,"X",9,"Class3",50.591,30,90.201,"E",32.285
64.851,"L",25,"Class2",61.936,66,19.829,"Q",65.037
15.164,"M",64,"Class1",15.294,41,NA,"L",49.41
15.878,"M",67,"Class1",30.797,32,16.28,"H",25.917
63.535,"L",24,"Class2",60.438,54,16.569,"Q",87.615
NA,"X",58,"Class3",42.392,27,39.744,"N",32.845
64.415,"S",27,"Class3",55.425,29,68.901,"J",39.936
54.947,"K",25,"Class2",59.307,70,17.807,"V",82.206
15.886,"A",57,"Class1",35.391,46,8.599,"Q",29.79
16.951,"L",66,"Class1",25.658,25,3.439,"L",10.687
19.767,"J",24,"Class2",59.951,100,14.963,"Q",78.283
31.883,"L",25,"Class2",63.168,66,NA,"C",NA
29.798,"G",25,"Class2",65.154,85,14.769,"N",64.371
75.564,"R",74,"Class3",54.561,30,16.798,"L",42.206
15.969,"J",25,"Class2",64.983,65,11.865,"V",71.774
46.69,"L",25,"Class2",62.296,94,17.242,"N",74.186
29.21,"G",25,"Class2",62.777,50,23.451,"C",59.71
89.788,"X",47,"Class3",59.666,25,89.727,"J",46.076
18.532,"O",57,"Class1",23.264,84,7.303,"N",42.064
14.193,"L",57,"Class1",27.497,86,8.582,"N",35.769
17.938,"O",65,"Class1",13.643,NA,11.098,"L",27.246
20.92,"K",24,"Class2",NA,85,20.728,"D",77.614
18.857,"V",58,"Class1",12.614,62,5.431,"C",42.841
41.588,"G",25,"Class2",62.648,89,20.593,"Q",88.608
67.784,"R",3,"Class3",47.342,21,45.07,"P",52.749
18.448,"A",57,"Class1",15.655,78,2.326,"H",26.205
15.44,"A",57,"Class1",28.001,30,7.761,"N",NA
49.499,"X",41,"Class3",54.858,19,88.727,"N",4.871
18.931,"M",66,"Class1",37.364,27,5.575,"N",73.6
61.965,"R",41,"Class3",45.182,24,-5.768,"E",26.737
14.029,"V",59,"Class1",36.839,35,13.902,"Q",55.606
51.548,"J",25,"Class2",58.376,93,23.485,"N",73.796
15.48,"V",65,"Class1",26.92,83,11.085,"Q",38.111
15.311,"V",63,"Class1",10.454,65,11.578,"L",77.29
72.611,"S",85,"Class3",NA,18,16.582,"P",38.847
37.407,"L",24,"Class2",65.889,61,19.494,"N",68.267
33.596,"J",24,"Class2",63.487,62,26.058,"Q",60.632
58.544,"S",84,"Class3",58.737,26,67.276,"L",21.739
61.087,"L",24,"Class2",64.437,96,22.923,"V",76.952
90.51,"X",41,"Class3",50.528,25,58.742,"E",70.352
15.055,"L",56,"Class1",1.579,72,4.593,"L",29.62
24.03,"L",24,"Class2",64.668,40,12.337,"Q",67.431
18.678,"L",67,"Class1",13.707,49,2.871,"Q",36.741
15.961,"M",55,"Class1",29.406,73,17.071,"Q",43.976
15.685,"M",58,"Class1",34.534,32,2.97,"C",35.958
20.863,"L",25,"Class2",63.367,40,16.304,"D",86.049
86.511,"L",32,"Class3",56.54,24,94.371,"J",67.628
93.558,"L",23,"Class3",53.911,22,15.48,"P",-5.455
58.21,"S",68,"Class3",52.967,30,59.658,"J",29.195
69.574,"J",25,"Class2",62.878,93,25.377,"C",65.335
14.588,"M",62,"Class1",2.875,29,5.563,"Q",NA
NA,"L",59,"Class1",23.42,39,7.916,"Q",46.663
18.083,"L",56,"Class1",12.805,64,8.277,"L",39.793
93.161,"X",8,"Class3",NA,29,95.077,"E",24.595
17.612,"L",58,"Class1",8.891,66,NA,"N",47.171
59.155,"L",24,"Class2",63.784,NA,22.979,"C",82.619
15.895,"M",63,"Class1",9.108,74,13.874,"N",32.558
46.404,"R",71,"Class3",49.026,22,85.89,"L",29.011
57.56,"J",24,"Class2",65.274,49,20.052,"Q",89.595
93.767,"X",42,"Class3",49.001,23,30.132,"L",40.665
18.532,"V",61,"Class1",22.438,63,3.439,"Q",32.919
16.159,"M",65,"Class1",15.747,NA,8.804,"Q",43.226
17.964,"V",65,"Class1",34.187,44,11.111,"Q",25.171
7.743,"K",25,"Class2",60.129,72,17.344,"V",82.304
79.892,"R",NA,"Class3",56.446,23,47.575,"N",58.872
56.568,"K",24,"Class2",63.11,92,17.168,"C",73.878
93.502,"S",83,"Class3",59.046,NA,54.133,"E",58.253
45.721,"S",31,"Class3",46.629,24,NA,"L",83.768
57.042,"U",22,"Class3",52.013,29,85.686,"J",19.517
18.937,"L",56,"Class1",27.835,28,-0.952,"L",53.771
52.926,"A",24,"Class2",64.109,72,9.759,"N",NA
15.897,"V",65,"Class1",12.118,45,4.778,"L",23.777
93.109,"X",56,"Class3",NA,NA,27.307,"J",50.697
37.113,"L",NA,"Class2",63.93,79,11.817,"C",54.638
41.006,"L",25,"Class2",62.126,99,16.714,"N",74.272
36.622,"A",24,"Class2",60.374,66,17.275,"V",79.245
49.288,"L",25,"Class2",58.771,85,14.064,"D",87.24
73.826,"S",11,"Class3",45.867,29,60.834,"P",69.957
12.068,"K",25,"Class2",58.428,93,16.404,"N",82.976
22.768,"G",24,"Class2",63.576,85,16.31,"N",75.889
17.404,"A",60,"Class1",34.006,81,18.792,"Q",53.426
57.156,"R",30,"Class3",51.447,25,46.516,"L",50.516
51.375,"X",76,"Class3",44.237,20,118.17,"P",60.221
47.551,"R",NA,"Class3",46.773,26,64.367,"E",61.383
67.278,"U",54,"Class3",48.717,29,21.442,"P",52.805
65.069,"L",25,"Class2",65.002,98,15.039,"Q",58.522
76.36,"S",NA,"Class3",56.732,29,34.175,"L",48.412
91.261,"S",30,"Class3",59.789,19,42.321,"P",52.148
54.169,"L",25,"Class2",65.661,72,14.966,"D",70.925
15.738,"A",67,"Class1",21.283,79,-4.492,"Q",64.877
48.485,"K",24,"Class2",59.701,46,12.8,"C",68.955
59.418,"L",64,"Class3",57.058,30,81.356,"J",84.516
14.557,"G",25,"Class2",61.616,61,34.599,"V",88.329
NA,"M",56,"Class1",1.055,65,2,"N",19.631
55.565,"S",74,"Class3",55.968,30,33.148,"N",52.09
82.389,"U",35,"Class3",58.019,18,58.538,"P",31.087
NA,"G",24,"Class2",62.481,37,20.322,"C",NA
76.96,"R",21,"Class3",56.414,30,65.536,"N",9.512
14.278,"V",62,"Class1",20.165,53,10.067,"C",34.847
30.184,"J",25,"Class2",65.468,64,13.496,"V",97.788
35.157,"K",24,"Class2",58.243,50,21.123,"N",68.171
15.034,"A",NA,"Class1",7.806,71,9.831,"L",60.417
29.481,"A",24,"Class2",58.642,54,20.385,"N",96.07
36.179,"L",25,"Class2",64.036,90,NA,"Q",57.275
17.464,"L",62,"Class1",31.752,61,2.161,"L",45.956
28.81,"A",24,"Class2",59.96,48,19.42,"V",79.208
50.008,"X",27,"Class3",44.882,30,72.48,"P",72.285
26.401,"A",24,"Class2",65.236,53,15.118,"V",76.454
17.285,"M",67,"Class1",13.122,60,7.171,"Q",67.861
75.676,"S",26,"Class3",57.553,18,61.681,"E",30.282
27.28,"K",24,"Class2",61.744,38,13.811,"Q",75.765
51.958,"U",22,"Class3",43.25,20,50.284,"E",17.032
NA,"L",25,"Class2",NA,74,23.189,"N",84.42
55.858,"X",11,"Class3",59.317,28,51.426,"P",24.643
NA,"L",67,"Class1",17.835,87,9.021,"L",43.938
18.621,"V",61,"Class1",18.904,68,17.059,"N",29.67
15.19,"L",65,"Class1",16.69,41,12.224,"C",14.826
6.355,"J",24,"Class2",60.516,72,21.735,"C",90.252
44.754,"L",45,"Class3",51.462,20,51.885,"J",10.227
79.473,"S",51,"Class3",55.474,21,-10.206,"L",42.377
65.223,"U",21,"Class3",51.047,24,51.875,"P",16.005
47.17,"U",11,"Class3",42.157,22,-11.068,"N",6.397
15.312,"M",65,"Class1",2.809,40,18.475,"N",47.618
5.363,"K",25,"Class2",57.145,37,16.595,"Q",72.503
16.615,"G",24,"Class2",63.74,NA,NA,"V",101.072
60.925,"L",43,"Class3",50.726,23,67.547,"J",79.859
18.451,"L",55,"Class1",37.899,25,4.293,"H",48.33
56.034,"U",NA,"Class3",NA,18,102.787,"E",40.872
47.279,"K",24,"Class2",NA,57,24.77,"N",57.186
12.987,"L",NA,"Class2",57.73,48,21.987,"C",80.128
18.995,"V",57,"Class1",11.703,54,9.874,"Q",59.368
9.726,"J",25,"Class2",58.481,86,18.677,"N",86.531
14.984,"L",59,"Class1",19.399,52,6.076,"C",NA
16.673,"O",57,"Class1",12.505,39,4.214,"L",64.58
60.341,"U",76,"Class3",54.759,24,23.168,"J",35.93
17.54,"M",65,"Class1",2.54,30,8.038,"L",71.173
18.449,"A",59,"Class1",12.219,28,7.298,"H",30.868
26.411,"G",24,"Class2",57.358,70,18.496,"C",69.168
17.46,"M",57,"Class1",25.233,42,10.063,"H",80.791
60.712,"G",25,"Class2",61.459,NA,17.176,"D",60.464
76.612,"X",3,"Class3",42.335,19,50.227,"L",0.764
17.255,"L",64,"Class1",14.554,NA,0.206,"C",-3.32
63.488,"X",74,"Class3",43.172,30,45.614,"L",48.949
18.221,"A",65,"Class1",4.333,37,8.393,"N",58.675
40.575,"K",24,"Class2",65.615,84,19.042,"V",80.519
7.72,"L",24,"Class2",57.247,61,19.383,"C",NA
14.052,"V",57,"Class1",NA,27,4.972,"N",65.993
16.069,"L",56,"Class1",25.524,80,3.02,"L",35.057
NA,"G",24,"Class2",58.616,90,13.763,"C",91.966
17.52,"L",57,"Class1",19.534,29,-5.693,"N",30.401
35.724,"L",24,"Class2",57.012,79,19.107,"Q",71.418
17.379,"V",55,"Class1",20.636,NA,10.561,"L",44.164
84.679,"X",62,"Class3",44.608,22,90.386,"L",62.073
15.542,"M",58,"Class1",37.055,59,-3.109,"C",27.58
75.28,"R",38,"Class3",42.214,27,127.768,"E",69.273
89.846,"U",15,"Class3",53.473,30,92.31,"L",39.595
40.945,"J",25,"Class2",64.06,90,16.206,"N",59.362
60.509,"U",24,"Class3",52.257,23,100.82,"N",79.422
18.978,"A",58,"Class1",11.677,73,10.767,"Q",15.839
14.59,"M",65,"Class1",24.087,27,9.145,"C",54.933
14.852,"V",60,"Class1",4.761,69,2.221,"N",49.062
76.765,"L",24,"Class3",49.059,NA,15.032,"L",92.246
5.905,"A",25,"Class2",62.212,44,11.472,"D",74.232
15.51,"M",59,"Class1",20.942,31,8.872,"N",NA
77.048,"L",54,"Class3",46.942,21,-4.041,"E",74.824
38.56,"J",25,"Class2",60.954,NA,18.529,"Q",58.074
18.164,"L",NA,"Class1",16.289,87,5.992,"N",48.725
16.211,"A",60,"Class1",4.787,52,6.063,"C",37.659
16.17,"A",58,"Class1",11.58,72,12.486,"Q",75.02
19.168,"J",24,"Class2",60.515,NA,17.876,"D",75.382
91.169,"R",73,"Class3",NA,19,36.111,"J",33.053
18.029,"O",58,"Class1",20.052,44,5.957,"Q",48.025
NA,"G",24,"Class2",NA,87,12.389,"V",NA
45.381,"G",25,"Class2",64.304,97,19.439,"D",58.948
78.314,"X",48,"Class3",NA,19,87.016,"P",93.085
16.637,"L",64,"Class1",30.282,61,11.333,"N",34.66
76.871,"U",26,"Class3",48.999,24,4.708,"J",30.161
16.786,"O",59,"Class1",10.02,35,11.7,"H",41.095
18.013,"O",63,"Class1",11.369,43,-0.748,"L",46.008
14.057,"M",66,"Class1",7.683,35,5.959,"Q",49.619
65.568,"K",25,"Class2",64.194,80,14.161,"C",45.044
17.043,"V",NA,"Class1",20.865,48,3.335,"L",40.614
NA,"L",61,"Class1",8.035,39,13.426,"Q",57.952
23.873,"J",25,"Class2",65.763,93,14.198,"N",89.617
58.476,"G",25,"Class2",63.338,96,20.257,"V",77.204
15.12,"L",62,"Class1",16.214,85,3.114,"N",55.745
80.053,"X",20,"Class3",46.087,23,84.435,"L",36.703
47.794,"L",24,"Class2",65.424,52,18.859,"C",74.203
18.079,"A",NA,"Class2",62.446,68,15.529,"N",69.947
78.281,"S",5,"Class3",53.411,20,58.276,"E",45.485
13.817,"J",25,"Class2",57.414,79,18.199,"C",68.364
55.728,"J",24,"Class2",61.682,86,19.392,"D",79.817
49.101,"R",51,"Class3",NA,18,51.454,"N",49.72
55.368,"L",12,"Class3",50.923,22,33.205,"P",79.913
74.888,"S",46,"Class3",54.542,18,43.908,"J",21.244
46.104,"A",25,"Class2",65.764,44,17.713,"C",76.01
63.882,"X",76,"Class3",45.703,26,62.883,"E",46.043
13.785,"G",24,"Class2",NA,40,12.985,"D",71.969
14.348,"M",60,"Class1",10.414,44,3.309,"Q",44.369
29.568,"J",24,"Class2",65.528,57,19.508,"D",89.564
71.655,"L",39,"Class3",56.266,30,54.424,"P",28.867
14.219,"A",62,"Class1",NA,69,7.504,"N",50.831
48.717,"R",22,"Class3",42.545,29,NA,"N",59.883
15.341,"V",63,"Class1",18.7,65,0.272,"H",56.652
19.312,"A",NA,"Class2",63.399,83,22.551,"N",65.132
82.673,"R",14,"Class3",45.534,21,43.141,"P",24.537
72.421,"U",54,"Class3",50.765,22,57.542,"P",36.209
90.857,"X",46,"Class3",48.284,24,54.408,"J",41.59
45.074,"L",NA,"Class3",52.908,30,37.082,"N",39.507
15.266,"A",65,"Class1",31.103,30,2.891,"N",38.238
18.929,"A",59,"Class1",7.629,82,10.455,"N",34.631
5.2,"A",24,"Class2",61.496,70,12.216,"D",70.612
86.752,"X",43,"Class3",59.298,25,40.733,"P",31.912
51.544,"U",66,"Class3",49.188,NA,42.657,"N",41.809
18.864,"O",NA,"Class1",5.856,69,5.903,"H",36.324
28.191,"G",24,"Class2",62.457,98,25.074,"Q",63.631
61.215,"R",30,"Class3",58.587,27,76.114,"E",68.445
NA,"X",51,"Class3",49.745,23,25.641,"L",12.774
17.589,"M",57,"Class1",32.749,32,3.774,"L",40.421
17.62,"O",55,"Class1",1.639,72,12.098,"H",37.278
45.159,"L",24,"Class2",63.08,81,13.672,"D",76.521
53.024,"X",28,"Class3",58.081,27,32.405,"P",-0.831
18.004,"M",NA,"Class1",34.302,79,2.981,"N",44.219
17.655,"L",56,"Class1",4.456,33,8.812,"L",55.343
17.298,"V",66,"Class1",31.588,84,9.295,"L",36.995
16.979,"K",25,"Class2",65.007,72,14.861,"V",63.357
64.145,"G",25,"Class2",58.054,71,21.769,"V",93.08
16.153,"A",65,"Class1",25.758,57,12.103,"L",56.27
18.372,"O",57,"Class1",33.192,46,11.893,"Q",50.046
43.2,"L",31,"Class3",52.735,19,29.112,"N",51.094
8.867,"A",25,"Class2",60.519,NA,17.981,"C",79.875
31.886,"L",24,"Class2",64.367,50,22.622,"Q",83.423
77.597,"L",28,"Class3",54.937,27,-15.179,"E",18.363
18.873,"V",59,"Class1",NA,31,5.041,"Q",64.65
18.626,"J",25,"Class2",64.419,76,12.38,"N",62.669
5.138,"L",25,"Class2",58.403,73,14.3,"Q",54.389
77.007,"X",29,"Class3",59.591,22,41.013,"E",25.291
48.36,"R",55,"Class3",49.005,25,43.692,"J",41.447
15.6,"O",60,"Class1",23.231,86,12.417,"C",47.644
41.453,"G",24,"Class2",59.989,82,NA,"D",59.521
79.369,"R",80,"Class3",53.689,26,20.911,"L",22.871
17.869,"M",56,"Class1",15.473,NA,4.006,"Q",48.753
17.706,"L",NA,"Class1",17.078,87,4.842,"L",41.325
60.842,"G",25,"Class2",60.698,73,16.813,"D",67.712
13.148,"K",25,"Class2",NA,42,18.218,"N",83.251
17.913,"V",61,"Class1",24.469,50,6.458,"H",42.273
18.452,"V",65,"Class1",19.478,59,12.358,"H",55.205
28.389,"A",24,"Class2",59.605,94,19.056,"D",74.061
61.23,"L",25,"Class2",57.961,84,14.767,"Q",52.98
