"H1","H2","H3","H4","H5","H6","Class","H8","H9"
62.517,69.28,25.367,94,41,11.888,"Class3","Y","C"
69.66,75.019,13.283,46,12,71.656,"Class4","T","U"
80.324,73.673,29.964,94,47,16.598,"Class3","X","Q"
41.145,28.228,75.997,8,NA,14.353,"Class2","S","A"
78.652,33.782,4.257,42,88,22.197,"Class1","J","S"
76.058,81.826,37.312,59,25,14.373,"Class3","E","C"
75.356,65.526,25.984,72,42,24.181,"Class3","U","F"
42.68,65.005,39.087,65,36,14.241,"Class3","E","C"
42.45,15.227,73.109,12,40,54.543,"Class2","E","R"
50.688,73.85,13.624,77,41,9.844,"Class3","U","X"
86.414,32.646,4.953,62,88,26.43,"Class1","G","T"
45.613,80.488,27.298,NA,42,15.911,"Class3","E","C"
82.442,69.596,3.856,53,92,32.323,"Class1","G","S"
80.444,68.513,NA,36,83,18.63,"Class1","J","X"
42.03,9.74,-35.468,3,27,41.617,"Class2","L","Y"
42.556,NA,-14.749,15,72,41.875,"Class2","S","R"
68.476,65.531,29.808,57,8,75.512,"Class4","S","Q"
83.569,65.017,3.229,34,93,32.297,"Class1","G","L"
43.42,31.159,75.255,4,44,64.518,"Class2","R","T"
39.357,13.23,-54.169,6,21,13.701,"Class2","E","T"
39.42,16.602,75.304,11,64,NA,"Class2","E","T"
39.87,NA,33.17,17,17,60.276,"Class2","S","T"
72.984,71.592,NA,92,44,21.502,"Class3","U","G"
75.73,58.9,3.222,54,94,24.361,"Class1","N","L"
40.454,15.579,40.869,3,57,52.644,"Class2","E","R"
79.979,81.474,38.67,55,23,22.858,"Class3","R","X"
73.048,95.28,28.902,77,24,56.248,"Class4","E","A"
65.434,75.362,42.724,76,32,22.474,"Class3","X","X"
84.878,86.342,4.816,35,80,36.52,"Class1","M","X"
66.631,91.947,NA,42,21,70.406,"Class4","B","A"
77.1,35.296,3.941,42,81,16.427,"Class1","J","L"
74.151,84.773,52.643,71,20,NA,"Class4","E","Q"
57.3,70.294,24.984,31,22,69.957,"Class4","E","U"
77.295,59.269,55.963,89,10,90.767,"Class4","B","Q"
78.123,77.441,62.113,63,15,69.698,"Class4","B","U"
57.486,NA,40.544,70,14,71.85,"Class4","J","N"
44.378,76.978,20.079,78,29,16.444,"Class3","R","X"
NA,71.034,19.949,NA,42,29.655,"Class3","X","X"
59.386,68.25,6.347,12,16,81.901,"Class4","E","A"
57.327,78.879,NA,82,16,77.792,"Class4","E","U"
40.944,31.078,61.098,3,54,42.601,"Class2","E","R"
39.357,8.543,38.216,17,60,65.137,"Class2","E","R"
63.82,96.648,27.95,27,23,56.444,"Class4","S","A"
73.353,61.282,4.836,58,95,32.123,"Class1","J","X"
92.512,60.031,NA,32,91,37.736,"Class1","Y","K"
NA,21.351,12.89,10,40,NA,"Class2","C","R"
40.319,8.977,63.087,13,71,NA,"Class2","S","S"
41.168,NA,48.292,14,10,25.797,"Class2","C","Y"
61.427,NA,41.822,95,50,27.756,"Class3","E","X"
42.899,27.119,NA,14,53,NA,"Class2","C","A"
77.907,66.804,41.902,71,8,72.401,"Class4","S","U"
75.045,85.517,43.831,42,14,80.248,"Class4","T","N"
67.488,85.126,26.003,84,47,27.409,"Class3","Y","X"
62.744,68.804,41.909,50,16,63.021,"Class4","B","J"
64.338,88.869,16.543,NA,14,73.262,"Class4","J","U"
63.814,81.817,70.018,52,16,83.773,"Class4","S","J"
40.662,22.193,-6.569,3,NA,NA,"Class2","S","A"
50.805,83.518,17.436,94,40,14.02,"Class3","E","Q"
64.022,67.499,34.763,43,17,78.577,"Class4","E","A"
40.307,20.025,-31.809,17,22,59.975,"Class2","R","Y"
58.55,92.55,37.289,NA,22,58.062,"Class4","B","A"
39.262,12.52,56.218,13,49,46.916,"Class2","C","R"
59.128,58.621,43.146,48,14,58.579,"Class4","J","N"
57.689,78.929,27.404,89,41,13.04,"Class3","X","C"
42.061,76.749,NA,91,30,16.47,"Class3","E","G"
78.986,77.176,22.559,NA,48,15.474,"Class3","R","G"
44.767,12.179,62.045,NA,29,38.651,"Class2","L","Y"
62.884,71.679,31.635,85,22,25.991,"Class3","E","G"
NA,84.498,31.584,55,46,20.092,"Class3","U","Q"
43.824,25.842,59.325,12,35,50.713,"Class2","S","R"
41.767,25.696,-3.546,16,76,43.667,"Class2","S","R"
65.582,72.378,61.976,10,15,65.481,"Class4","B","N"
62.835,91.078,-4.347,76,14,63.036,"Class4","E","J"
60.067,76.025,34.241,55,29,18.749,"Class3","R","X"
90.543,93.98,4.584,51,80,34.835,"Class1","M","T"
64.417,64.775,13.214,66,47,8.4,"Class3","Y","X"
43.573,34.239,17.343,17,41,58.273,"Class2","L","Y"
64.324,61.886,12.846,66,27,20.171,"Class3","U","X"
42.117,31.112,48.504,12,47,18.108,"Class2","C","R"
54.365,67.911,18.35,90,35,24.495,"Class3","E","Q"
77.357,68.018,55.58,65,18,58.701,"Class4","E","A"
79.005,30.231,4.056,59,95,33.079,"Class1","J","X"
70.428,89.912,39.907,NA,9,69.184,"Class4","J","J"
75.192,95.932,26.571,NA,14,71.159,"Class4","J","U"
66.785,82.237,3.569,72,19,68.099,"Class4","S","J"
78.836,69.481,18.162,58,49,7.819,"Class3","Y","X"
68.481,66.249,NA,60,22,11.937,"Class3","X","F"
40.601,71.074,30.1,93,46,20.176,"Class3","U","X"
86.659,33.222,3.288,64,93,30.082,"Class1","N","X"
43.436,15.479,88.837,11,51,37.943,"Class2","C","T"
81.352,72.466,4.265,59,81,24.324,"Class1","N","T"
41.053,10.512,1.414,15,66,31.813,"Class2","R","Y"
89.443,63.867,5.495,45,91,21.381,"Class1","N","T"
44.415,15.82,21.821,8,55,50.974,"Class2","S","T"
80.537,81.937,3.998,59,86,44.288,"Class1","J","X"
55.666,79.153,38.924,58,39,NA,"Class3","X","C"
60.172,61.623,54.165,10,22,83.059,"Class4","T","A"
70.144,84.125,18.594,69,41,1.571,"Class3","E","X"
71.123,55.394,3.625,58,81,9.467,"Class1","G","S"
76.387,NA,3.464,38,93,24.79,"Class1","Y","X"
67.427,54.755,55.222,51,18,63.499,"Class4","T","Q"
41.838,10.982,58.978,17,22,11.707,"Class2","C","T"
NA,55.49,4.247,39,93,25.188,"Class1","J","T"
55.173,67.452,25.606,18,24,81.314,"Class4","E","J"
74.485,80.478,4.687,38,NA,15.906,"Class1","M","K"
78.797,69.517,24.255,84,28,17.229,"Class3","U","F"
38.395,75.803,16.539,73,31,29.801,"Class3","Y","C"
40.166,15.765,37.182,13,39,23.711,"Class2","S","R"
39.417,NA,85.997,13,69,11.984,"Class2","E","R"
80.608,76.052,22.124,55,49,17.546,"Class3","X","X"
87.957,31.016,4.374,48,90,36.415,"Class1","N","X"
43.384,26.155,26.838,3,73,60.695,"Class2","C","S"
44.002,31.373,38.335,15,72,19.474,"Class2","C","A"
79.513,73.338,NA,56,88,28.382,"Class1","N","T"
44.68,9.162,0.979,7,41,48.244,"Class2","L","R"
67.357,93.884,59.359,86,16,86.459,"Class4","T","Q"
39.176,33.203,55.11,5,NA,39.503,"Class2","C","R"
39.675,33.18,82.759,17,32,11.071,"Class2","R","Y"
42.582,73.308,7.132,74,32,12.577,"Class3","E","C"
91.722,68.556,4.148,43,94,22.363,"Class1","N","X"
56.807,75.833,60.488,70,22,51.948,"Class4","B","N"
81.125,37.417,4.893,32,81,21.453,"Class1","J","T"
42.178,35.752,-13.383,12,42,88.501,"Class2","C","Y"
62.018,87.001,20.849,59,47,10.562,"Class3","Y","Q"
89.454,70.45,3.413,39,94,29.158,"Class1","J","T"
68.822,61.445,17.588,27,10,66.251,"Class4","S","J"
70.946,93.094,NA,63,12,NA,"Class4","E","Q"
55.821,88.045,32.693,89,NA,79.773,"Class4","J","N"
67.474,88.972,-11.356,88,11,75.928,"Class4","B","A"
NA,35.58,42.935,12,70,14.398,"Class2","C","T"
79.534,64.291,3.646,49,93,NA,"Class1","J","T"
78.719,74.59,79.113,28,10,77.704,"Class4","B","A"
42.132,23.147,28.452,9,51,29.499,"Class2","C","R"
76.351,80.891,3.278,41,86,24.962,"Class1","G","S"
43.194,34.207,73.072,17,55,44.939,"Class2","R","R"
39.899,10.149,70.752,9,27,48.345,"Class2","S","R"
89.747,53.67,3.864,40,90,38.338,"Class1","G","X"
NA,20.819,88.603,3,51,26.275,"Class2","S","S"
44.743,17.672,71.949,12,31,74.953,"Class2","E","R"
83.33,89.992,3.751,61,85,24.327,"Class1","Y","T"
40.747,17.995,73.374,12,55,44.374,"Class2","R","A"
39.352,10.716,47.951,7,22,33.424,"Class2","R","Y"
54.158,82.832,34.067,78,30,29.365,"Class3","E","X"
77.987,87.274,22.806,73,35,11.837,"Class3","U","F"
75.69,73.483,3.353,62,80,25.75,"Class1","Y","S"
NA,NA,76.881,88,12,87.01,"Class4","T","A"
40.575,30.155,79.297,4,23,-15.194,"Class2","S","A"
43.094,20.466,49.64,5,47,13.104,"Class2","L","T"
41.378,35.353,94.717,11,40,NA,"Class2","E","T"
72.983,68.393,NA,59,84,31.798,"Class1","Y","X"
75.424,64.017,48.683,36,18,81.356,"Class4","B","Q"
42.746,18.315,79.351,7,59,60.261,"Class2","L","A"
43.534,16.81,52.364,NA,59,26.95,"Class2","L","A"
58.339,70.586,35.718,73,42,22.341,"Class3","E","C"
44.434,27.38,58.599,6,NA,42.745,"Class2","E","S"
43.702,8.692,36.198,14,46,11.277,"Class2","E","Y"
86.502,63.022,4.8,45,90,11.066,"Class1","G","X"
42.011,26.341,13.62,15,47,32.579,"Class2","E","T"
84.891,27.704,3.918,53,88,33.252,"Class1","Y","X"
63.657,76.361,-11.533,82,11,60.047,"Class4","S","J"
42.573,25.443,47.326,7,64,NA,"Class2","C","T"
72.849,81.302,31.969,93,28,20.025,"Class3","R","F"
75.485,63.238,39.817,77,30,31.966,"Class3","Y","Q"
82.506,61.581,2.387,55,90,33.786,"Class1","J","K"
44.299,35.908,-6.6,14,64,8.954,"Class2","E","Y"
74.335,66.925,4.976,36,88,26.012,"Class1","J","T"
80.161,94.892,5.227,41,87,30.693,"Class1","M","X"
41.556,13.49,NA,7,52,1.708,"Class2","R","A"
45.38,69.673,30.737,69,23,10.882,"Class3","R","Q"
73.218,70.991,29.135,60,46,2.035,"Class3","E","Q"
90.944,53.689,4.894,59,88,26.602,"Class1","M","L"
43.543,15.548,72.134,9,51,-14.255,"Class2","S","T"
73.212,91.516,20.946,NA,7,69.21,"Class4","E","J"
61.237,70.646,48.907,22,16,65.628,"Class4","E","U"
56.64,98.459,23.757,28,10,78.746,"Class4","B","U"
72.315,77.276,52.812,12,15,72.304,"Class4","J","Q"
39.12,35.331,59.747,14,28,67.454,"Class2","C","Y"
63.297,72.084,103.265,33,9,65.221,"Class4","E","A"
41.904,17.672,12.311,8,56,42.976,"Class2","C","R"
41.953,12.233,76.225,12,55,49.826,"Class2","C","R"
85.982,34.89,5.733,53,92,23.871,"Class1","J","S"
89.044,65.173,4.297,34,84,23.628,"Class1","Y","X"
70.004,69.564,44.111,83,31,28.746,"Class3","X","F"
39.741,29.823,28.223,14,NA,48.531,"Class2","R","A"
40.935,11.758,22.56,17,17,22.24,"Class2","S","A"
71.035,96.468,61.549,16,10,82.774,"Class4","J","N"
73.812,80.283,35.15,90,28,5.939,"Class3","R","Q"
58.927,88.904,-8.407,65,11,68.046,"Class4","E","U"
43.874,8.292,84.933,13,52,19.185,"Class2","L","S"
78.471,58.393,4.036,35,91,NA,"Class1","M","L"
66.476,77.511,50.272,93,13,86.676,"Class4","J","J"
41.911,11.783,49.647,10,53,38.938,"Class2","E","T"
90.463,88.366,4.689,53,NA,38.011,"Class1","G","K"
55.506,94.721,37.897,50,23,77.162,"Class4","T","N"
62.713,77.408,36.374,75,49,13.298,"Class3","U","Q"
81.131,31.911,3.311,44,83,31.837,"Class1","Y","T"
66.752,98.595,NA,22,19,91.162,"Class4","B","Q"
80.697,68.664,38.484,87,38,33.431,"Class3","Y","X"
68.874,72.455,34.152,10,21,67.972,"Class4","B","J"
86.173,72.905,3.759,37,NA,23.418,"Class1","G","X"
44.288,15.845,29.922,13,12,60.423,"Class2","R","S"
44.022,17.449,80.981,3,63,63.165,"Class2","R","A"
NA,85.548,30.415,16,9,71.313,"Class4","B","U"
70.614,65.162,35.417,89,32,16.54,"Class3","X","X"
92.971,28.207,4.815,46,88,9.847,"Class1","J","K"
42.169,35.352,43.188,4,NA,33.53,"Class2","C","R"
64.948,68.362,35.197,NA,7,76.987,"Class4","S","U"
42.51,27.001,92.425,14,72,68.33,"Class2","C","S"
57.961,64.931,50.109,52,12,71.487,"Class4","E","U"
43.94,21.263,81.81,12,71,49.173,"Class2","R","S"
46.528,72.284,13.196,63,29,8.132,"Class3","R","F"
78.242,78.327,4.196,42,88,16.245,"Class1","J","K"
47.559,85.916,34.062,92,30,0.572,"Class3","U","G"
64.692,76.746,42.028,25,24,78.013,"Class4","E","N"
76.428,82.001,3.015,32,85,25.728,"Class1","N","T"
39.804,19.744,94.148,9,11,-3.782,"Class2","L","Y"
40.581,26.426,NA,4,25,6.372,"Class2","C","A"
81.228,89.944,4.326,62,89,26.144,"Class1","G","T"
47.87,87.577,27.812,55,27,20.411,"Class3","R","C"
77.601,53.733,3.159,65,84,23.518,"Class1","M","K"
66.985,81.818,48.609,69,12,55.092,"Class4","J","U"
43.427,8.872,92.898,5,11,23.11,"Class2","R","A"
54.926,88.697,33.656,73,49,29.451,"Class3","Y","G"
43.718,25.204,89.903,10,65,60.485,"Class2","E","S"
39.597,26.651,65.028,4,66,34.185,"Class2","S","S"
42.423,21.261,89.352,6,30,19.435,"Class2","C","T"
62.813,83.658,56.934,56,NA,68.609,"Class4","T","A"
78.207,71.351,3.72,64,91,18.429,"Class1","J","S"
59.244,72.19,44.679,82,9,75.523,"Class4","T","A"
88.721,90.448,4.04,64,94,24.158,"Class1","G","K"
64.856,77.41,31.301,75,25,27.546,"Class3","U","Q"
89.745,71.501,3.818,58,81,35.054,"Class1","N","T"
73.369,74.921,39.498,55,46,11.526,"Class3","Y","F"
41.271,14.159,25.535,12,NA,61.278,"Class2","E","R"
80.356,61.15,4.271,55,82,19.363,"Class1","J","T"
58.545,72.012,19.572,84,47,22.812,"Class3","R","G"
80.161,51.445,3.861,55,81,23.854,"Class1","N","S"
71.457,83.91,NA,63,7,79.124,"Class4","J","U"
72.582,75.585,80.322,17,20,72.86,"Class4","T","N"
44.712,22.218,66.452,4,23,NA,"Class2","L","A"
78.712,98.829,39.56,68,11,88.11,"Class4","S","A"
57.755,61.209,27.551,93,42,31.951,"Class3","X","G"
39.715,15.264,111.156,4,65,46.964,"Class2","R","Y"
44.179,27.837,108.551,12,57,30.103,"Class2","S","Y"
85.958,71.407,4.037,45,80,32.4,"Class1","J","S"
48.361,75.329,28.809,88,29,20.868,"Class3","Y","C"
56.858,64.686,23.606,84,48,14.211,"Class3","R","Q"
76.068,48.61,4.084,48,91,31.639,"Class1","J","L"
39.737,64.701,31.175,71,25,18.369,"Class3","E","C"
43.891,NA,9.442,92,38,22.016,"Class3","X","G"
74.304,80.137,40.248,32,16,78.901,"Class4","J","Q"
78.753,31.16,4.662,63,81,24.837,"Class1","Y","L"
83.958,38.079,4.071,62,92,27.471,"Class1","Y","K"
91.375,31.693,3.678,42,93,31.242,"Class1","M","T"
41.983,25.792,77.443,16,14,35.047,"Class2","C","S"
55.623,90.258,NA,8,13,88.608,"Class4","J","N"
70.742,98.097,46.873,48,15,53.343,"Class4","B","U"
78.232,61.327,27.836,NA,26,16.542,"Class3","R","X"
78.79,95.982,NA,56,94,NA,"Class1","M","L"
64.095,77.192,30.091,8,21,92.401,"Class4","E","J"
40.554,28.269,114.476,17,38,15.496,"Class2","E","A"
61.727,68.153,28.4,64,44,17.753,"Class3","U","C"
59.335,63.885,26.847,49,8,65.203,"Class4","T","N"
44.327,10.311,57.82,14,41,8.729,"Class2","R","Y"
40.896,13.375,52.746,NA,31,11.094,"Class2","E","S"
