"X1","X2","X3","X4","X5","X6","X7","Class","X9"
81.852,40,"R","B",51.819,53.608,52.593,"Class2",13
93.198,25,"Y","Q",66.248,NA,46.195,"Class2",9
65.509,15,"E","C",54.423,33.605,67.83,"Class1",60
68.129,34,"E","J",17.238,66.837,81.992,"Class2",19
86.055,40,"M","J",NA,59.551,67.057,"Class2",31
48.807,9,"J","C",32.253,30.164,66.154,"Class1",68
73.586,37,"U","B",30.664,94.63,41.934,"Class2",8
65.346,19,"E","C",37.627,34.055,66.628,"Class1",88
95.825,30,"R","Q",34.025,NA,42.942,"Class2",53
85.82,33,"Y","B",79.424,60.544,52.399,"Class2",45
48.503,17,"C","R",20.561,34.562,67.45,"Class1",81
90.891,36,"Y","J",41.923,62.04,45.134,"Class2",8
65.668,3,"E","L",33.637,29.044,66.469,"Class1",60
52.026,5,"E","R",39.934,30.42,63.026,"Class1",62
97.507,25,"U","J",55.804,47.064,50.314,"Class2",60
61.866,17,"C","C",59.727,NA,65.145,"Class1",89
91.66,34,"R","J",40.572,47.323,65.169,"Class2",45
61.9,20,"J","Y",54.908,37.83,66.176,"Class1",70
74.484,32,"Y","J",58.475,62.427,54.753,"Class2",40
65.002,NA,"A","Y",53.202,38.944,65.521,"Class1",61
NA,35,"R","Q",82.454,79.192,68.996,"Class2",62
45.482,4,"J","Y",31.58,34.701,65.731,"Class1",59
97.65,NA,"R","B",36.869,59.737,67.983,"Class2",9
54.853,NA,"C","R",51.963,33.2,NA,"Class1",52
56.078,15,"C","L",28.916,37.767,65.533,"Class1",55
NA,36,"E","J",49.427,56.986,71.592,"Class2",12
48.783,15,"C","L",57.183,42.625,63.844,"Class1",49
52.155,2,"E","Y",43.537,37.536,66.878,"Class1",53
80.777,25,"U","S",65.273,61.758,57.126,"Class2",6
70.98,17,"S","Y",23.111,31.886,63.088,"Class1",51
83.161,26,"R","J",54.604,60.568,79.361,"Class2",NA
75.553,38,"U","J",50.548,54.61,53.72,"Class2",7
75.624,NA,"M","S",33.109,68.198,76.834,"Class2",NA
84.237,23,"U","Q",37.666,55.035,67.083,"Class2",21
76.719,25,"E","S",62.244,89.381,66.19,"Class2",33
67.045,8,"C","Y",65.221,29.579,65.138,"Class1",79
69.259,7,"A","Y",-17.088,29.555,66.673,"Class1",50
79.503,NA,"Y","J",119.628,80.67,53.313,"Class2",26
56.449,2,"J","U",NA,33.893,63,"Class1",85
48.398,11,"A","U",28.237,30.64,63.413,"Class1",66
NA,36,"M","J",39.404,56.643,56.774,"Class2",46
89.159,21,"U","J",30.861,79.605,78.685,"Class2",59
58.792,11,"C","U",-7.032,NA,66.61,"Class1",62
88.995,34,"U","Q",74.861,71.218,72.892,"Class2",61
66.901,20,"J","Y",33.694,39.594,65.018,"Class1",58
46.907,14,"A","R",32.492,NA,66.075,"Class1",56
72.41,40,"Y","Q",48.082,71.289,71.899,"Class2",39
96.327,32,"Y","M",19.381,47.352,73.789,"Class2",12
51.781,3,"J","Y",17.776,NA,63.245,"Class1",56
82.499,NA,"Y","J",58.234,46.081,80.701,"Class2",22
78.247,34,"U","J",55.597,53.706,44.492,"Class2",26
56.11,8,"E","C",16.707,37.23,66.94,"Class1",79
68.12,34,"Y","M",22.275,62.229,42.83,"Class2",9
67.923,30,"E","S",89.965,51.383,58.815,"Class2",15
50.962,15,"C","U",34.816,32.417,66.924,"Class1",76
89.426,36,"Y","J",30.482,67.199,81.026,"Class2",54
64.617,19,"E","R",40.317,32.457,64.677,"Class1",50
78.363,22,"Y","J",54.138,70.055,49.767,"Class2",52
64.666,36,"E","M",36.229,51.618,61.454,"Class2",61
68.58,27,"U","S",83.366,50.63,60.382,"Class2",61
93.435,NA,"R","M",76.745,61.105,80.922,"Class2",60
96.257,35,"U","J",63.36,38.726,50.463,"Class2",39
68.929,15,"C","Y",36.8,32.673,63.636,"Class1",88
60.497,14,"A","R",52.714,40.666,64.924,"Class1",77
63.525,39,"Y","J",NA,62.484,40.082,"Class2",45
84.337,24,"R","B",-21.308,NA,49.834,"Class2",29
82.828,33,"E","Q",45.161,85.404,69.45,"Class2",NA
93.099,38,"E","Q",42.71,85.1,60.539,"Class2",8
69.937,34,"U","S",27.84,50.679,57.452,"Class2",27
75.468,19,"R","S",21.988,NA,73.43,"Class2",19
69.525,15,"S","Y",47.13,33.461,67.798,"Class1",54
50.539,14,"J","R",18.054,35.791,65.85,"Class1",52
63.145,35,"M","Q",3.136,68.909,45.116,"Class2",32
NA,14,"S","C",-5.78,33.705,64.67,"Class1",53
56.622,9,"J","U",56.626,31.068,66.376,"Class1",53
66.095,NA,"E","R",21.6,30.668,67.001,"Class1",84
52.65,15,"S","U",32.532,41.27,67.258,"Class1",55
87.865,33,"E","M",99.531,68.519,73.157,"Class2",28
NA,32,"E","Q",76.657,90.957,73.22,"Class2",41
63.95,27,"E","S",25.297,60.197,68.644,"Class2",8
66.291,3,"S","L",NA,37.559,66.889,"Class1",94
92.556,31,"U","S",42.212,48.159,83.892,"Class2",51
91.389,33,"U","M",117.719,58.953,67.194,"Class2",40
51.036,2,"E","R",30.052,34.82,67.062,"Class1",55
77.513,22,"E","Q",55.273,68.315,69.797,"Class2",18
47.797,16,"S","C",38.005,33.715,NA,"Class1",90
55.245,7,"E","U",56.002,36.031,66.412,"Class1",55
71.236,24,"U","M",45.801,62.947,54.72,"Class2",NA
46.286,11,"A","C",20.061,33.608,67.977,"Class1",74
67.822,24,"E","B",47.932,63.407,74.502,"Class2",NA
55.062,17,"J","R",NA,32.121,63.54,"Class1",97
97.882,36,"U","M",80.529,49.566,69.395,"Class2",52
62.846,9,"E","C",53.796,NA,63.131,"Class1",92
82.996,24,"Y","J",-10.552,61.603,41.695,"Class2",41
51.017,5,"A","U",37.203,34.933,63.989,"Class1",48
NA,NA,"E","R",68.138,34.74,64.839,"Class1",50
62.051,24,"Y","Q",36.038,61.631,41.523,"Class2",21
60.864,19,"A","C",39.787,32.689,67.14,"Class1",73
48.509,13,"J","L",52.174,33.411,66.566,"Class1",NA
51.331,12,"E","R",14.915,28.661,63.989,"Class1",51
77.828,31,"U","Q",14.092,64.712,54.782,"Class2",17
89.198,36,"U","S",82.518,69.809,NA,"Class2",22
56.976,13,"S","U",21.127,36.031,65.565,"Class1",53
77.765,40,"Y","B",34.15,52.535,41.964,"Class2",45
85.886,28,"U","J",58.52,71.329,58.508,"Class2",26
67.391,13,"C","U",37.85,36.06,66.109,"Class1",71
63.63,9,"C","R",42.142,32.169,67.603,"Class1",60
68.095,18,"C","L",13.505,27.383,67.528,"Class1",58
73.475,31,"M","Q",47.938,50.504,56.061,"Class2",19
96.005,27,"U","Q",46.499,76.777,67.72,"Class2",28
56.861,6,"J","Y",58.742,39.362,63.996,"Class1",59
82.718,23,"U","J",40.3,63.855,63.11,"Class2",36
77.363,33,"M","Q",26.01,64.97,54.983,"Class2",28
58.769,10,"S","R",48.63,40.561,67.899,"Class1",47
51.679,4,"S","U",14.151,33.934,67.312,"Class1",NA
87.253,24,"M","M",53.096,46.628,71.121,"Class2",16
91.67,33,"E","B",42.534,62.517,44.019,"Class2",24
76.047,31,"U","Q",7.449,64.063,42.54,"Class2",9
NA,23,"U","B",10.102,59.15,78.566,"Class2",22
54.23,16,"E","U",4.517,37.852,66.986,"Class1",74
92.184,36,"R","S",60.643,45.342,44.929,"Class2",39
57.339,4,"E","R",55.201,34.409,67.778,"Class1",54
60.187,16,"C","U",34.167,38.38,64.642,"Class1",60
47.604,14,"C","U",-2.432,29.856,64.867,"Class1",77
53.24,18,"A","R",45.968,37.396,66.105,"Class1",65
65.311,11,"J","L",43.174,34.43,63.229,"Class1",80
46.746,20,"S","U",48.654,36.971,63.273,"Class1",93
88.452,35,"R","M",73.545,69.332,40.127,"Class2",30
77.448,40,"R","Q",121.838,73.314,50.115,"Class2",39
62.396,35,"U","S",34.889,NA,62.06,"Class2",41
91.92,33,"Y","Q",31.623,54.892,64.944,"Class2",7
62.267,23,"M","Q",54.516,71.89,77.599,"Class2",18
NA,38,"U","M",36.031,58.307,54.704,"Class2",53
NA,8,"C","U",58.992,32.394,64.415,"Class1",77
48.226,14,"A","Y",47.392,38.178,66.116,"Class1",51
70.849,21,"E","M",-6.076,56.607,62.796,"Class2",12
79.7,19,"Y","Q",-5.703,65.929,47.48,"Class2",40
50.476,13,"J","U",21.252,33.955,65.9,"Class1",57
49.972,9,"A","C",62.028,27.183,67.517,"Class1",57
46.048,18,"A","Y",36.375,37.118,67.31,"Class1",47
89.324,39,"Y","Q",85.146,59.784,67.061,"Class2",21
62.02,3,"S","L",22.673,35.853,63.254,"Class1",88
57.734,18,"A","Y",32.664,31.019,67.817,"Class1",50
70.771,12,"S","L",25.767,36.994,66.208,"Class1",72
89.23,19,"E","S",26.755,38.203,56.094,"Class2",23
87.3,23,"E","Q",87.314,89.139,63.927,"Class2",11
45.87,9,"S","R",31.072,34.583,63.134,"Class1",95
NA,38,"R","M",-19.545,NA,82.948,"Class2",62
73,28,"E","B",27.361,73.457,54.904,"Class2",41
75.574,20,"U","M",77.515,67.611,56.426,"Class2",38
87.207,37,"Y","Q",85.591,56.022,76.44,"Class2",7
55.991,19,"A","U",-3.053,39.955,65.226,"Class1",82
69.337,3,"E","R",41.827,28.844,67.921,"Class1",55
70.115,36,"M","Q",65.492,58.561,63.093,"Class2",43
67.097,9,"S","C",26.329,35.946,66.661,"Class1",72
62.066,20,"E","L",32.561,32.511,64.155,"Class1",58
60.704,18,"C","Y",52.977,35.076,67.26,"Class1",45
89.489,33,"R","S",75.517,NA,67.202,"Class2",25
49.226,10,"J","Y",23.215,30.173,63.971,"Class1",NA
84.75,28,"M","Q",64.53,49.923,55.093,"Class2",NA
47.799,6,"A","C",-2.612,36.584,NA,"Class1",96
49.609,10,"E","Y",17.104,34.47,67.627,"Class1",NA
57.061,7,"S","U",12.009,34.595,63.747,"Class1",72
64.179,8,"C","C",32.234,35.447,63.586,"Class1",64
68.671,31,"E","B",-0.301,50.535,78.746,"Class2",50
88.893,40,"U","S",59.849,72.656,49.802,"Class2",45
59.569,2,"C","R",7.516,34.948,66.354,"Class1",46
NA,33,"U","J",44.482,68.051,74.797,"Class2",24
57.513,NA,"C","C",66.709,29.917,64.668,"Class1",67
68.015,NA,"M","J",69.8,70.928,67.939,"Class2",45
93.131,23,"E","Q",49.943,49.358,51.51,"Class2",46
68.433,4,"J","C",46.55,29.617,66.992,"Class1",NA
45.551,12,"S","R",55.164,44.036,NA,"Class1",44
65.444,20,"C","Y",30.648,34.556,63.188,"Class1",65
62.986,18,"C","Y",49.233,34.276,64.903,"Class1",55
47.513,8,"S","L",24.988,35.356,66.655,"Class1",NA
88.997,26,"Y","S",3.412,57.287,44.031,"Class2",12
77.836,20,"M","S",85.248,54.083,40.92,"Class2",33
88.851,NA,"U","S",12.284,49.787,78.488,"Class2",9
63.361,25,"M","B",56.288,50.82,69.952,"Class2",11
61.52,NA,"A","U",17.902,34.329,65.111,"Class1",77
72.795,34,"R","B",38.065,68.499,72.646,"Class2",50
63.775,15,"E","R",10.088,34.42,63.733,"Class1",86
97.216,35,"Y","S",65.254,51.025,55.884,"Class2",59
64.215,34,"Y","B",NA,68.126,44.957,"Class2",15
NA,17,"C","U",15.541,29.033,64.627,"Class1",93
64.419,19,"A","U",47.326,36.792,65.919,"Class1",67
89.527,23,"U","S",46.063,73.447,78.367,"Class2",55
81.017,24,"M","B",33.773,73.672,49.408,"Class2",21
64.127,4,"C","Y",5.885,34.189,67.935,"Class1",62
65.864,21,"Y","B",25.925,69.752,45.146,"Class2",NA
65.645,14,"C","C",34.37,35.892,63.939,"Class1",96
74.644,27,"U","Q",59.065,57.152,48.206,"Class2",57
76.498,22,"E","J",34.115,38.697,41.224,"Class2",NA
57.194,19,"S","Y",17.672,32.516,64.518,"Class1",43
67.637,6,"E","R",28.82,37.587,63.407,"Class1",92
72.59,38,"R","J",NA,69.188,64.074,"Class2",61
64.015,NA,"M","Q",53.545,51.759,65.364,"Class2",47
74.769,39,"Y","J",78.224,64.155,71.974,"Class2",NA
62.62,10,"E","L",57.049,25.237,63.312,"Class1",61
88.679,26,"M","B",53.238,41.325,55.459,"Class2",49
62.469,19,"C","R",22.112,30.156,65.112,"Class1",72
64.013,27,"R","J",NA,76.132,72.231,"Class2",6
83.285,34,"U","S",20.583,68.905,80.567,"Class2",15
62.546,17,"C","U",17.082,36.738,65.288,"Class1",49
58.96,16,"J","Y",28.376,33.545,65.504,"Class1",54
89.279,38,"M","S",NA,68.473,68.05,"Class2",27
55.681,12,"S","R",45.131,36.97,65.472,"Class1",90
66.393,16,"S","L",-8.477,38.495,NA,"Class1",82
54.512,18,"C","U",59.984,37.533,64.847,"Class1",NA
66.831,27,"E","M",89.483,40.808,83.176,"Class2",36
68.895,16,"A","C",25.167,38.073,65.624,"Class1",62
86.401,38,"U","M",65.9,78.451,52.828,"Class2",41
66.187,11,"E","L",40.165,35.798,67.217,"Class1",76
68.93,37,"Y","B",56.113,NA,83.841,"Class2",59
86.409,36,"M","B",78.197,58.43,76.029,"Class2",47
NA,30,"U","B",46.524,46.303,45.828,"Class2",58
94.324,20,"E","M",88.657,54.861,52.839,"Class2",26
86.264,19,"U","B",43.403,40.732,64.866,"Class2",57
46.7,7,"S","R",34.573,35.615,67.345,"Class1",59
NA,34,"U","J",101.141,53.134,56.873,"Class2",18
89.386,19,"R","S",71.286,74.469,NA,"Class2",57
80.097,39,"M","Q",NA,59.218,77.808,"Class2",29
87.143,19,"R","B",21.913,51.381,77.51,"Class2",61
49.198,7,"J","U",18.814,31.604,63.462,"Class1",90
NA,13,"C","U",NA,36.109,66.214,"Class1",53
94.886,25,"M","M",49.792,64.387,73.337,"Class2",20
45.061,18,"J","C",46.41,36.898,66.829,"Class1",62
65.909,16,"E","C",-4.297,35.499,65.43,"Class1",61
62.132,26,"R","S",58.97,49.589,59.302,"Class2",11
80.059,35,"M","Q",52.532,39.776,45.678,"Class2",22
70.397,19,"Y","B",15.282,78.234,54.776,"Class2",44
59.184,2,"C","C",44.957,41.994,63.837,"Class1",70
79.622,36,"E","J",47.357,53.612,65.165,"Class2",21
64.736,7,"J","U",34.631,37.925,65.951,"Class1",65
74.59,20,"R","Q",NA,71.696,57.538,"Class2",NA
67.051,16,"S","L",64.016,34.763,64.814,"Class1",67
65.402,21,"M","M",53.881,65.294,44.466,"Class2",46
NA,39,"R","B",44.623,52.894,40.16,"Class2",17
75.236,31,"E","J",26.3,73.934,80.393,"Class2",15
50.798,15,"C","L",33.944,35.69,66.792,"Class1",52
58.253,12,"E","U",36.469,32.322,66.55,"Class1",97
NA,13,"A","C",27.686,33.734,65.464,"Class1",50
52.859,12,"C","U",44.699,35.709,63.99,"Class1",94
NA,28,"U","Q",28.74,64.176,61.1,"Class2",34
77.235,40,"Y","Q",16.738,87.939,42.01,"Class2",18
53.698,19,"S","L",32.492,37.967,64.278,"Class1",63
45.992,5,"C","U",37.864,36.179,64.777,"Class1",98
63.247,8,"S","Y",51.755,31.331,65.504,"Class1",86
82.682,33,"E","B",54.206,58.676,73.314,"Class2",50
87.817,37,"E","M",21.246,45.232,NA,"Class2",30
75.83,36,"E","B",-25.119,80.095,48.215,"Class2",34
50.165,6,"E","R",38.146,30.853,67.399,"Class1",46
85.459,22,"E","M",52.092,71.834,46.734,"Class2",19
65.262,6,"J","U",51.912,40.911,NA,"Class1",88
95.472,21,"Y","M",40.855,72.24,60.466,"Class2",14
66.038,6,"C","C",33.794,30.505,63.798,"Class1",52
90.155,19,"E","J",100.436,59.977,64.656,"Class2",57
70.486,28,"E","Q",27.025,65.72,81.341,"Class2",54
60.555,3,"E","L",-2.968,37.747,63.614,"Class1",70
74.915,23,"E","Q",33.822,91.363,42.022,"Class2",37
82.286,30,"R","Q",43.919,66.575,74.965,"Class2",51
66.811,5,"E","U",36.72,36.474,64.006,"Class1",97
55.421,8,"J","U",1.327,28.332,65.395,"Class1",52
88.373,21,"Y","J",37.854,82.564,63.192,"Class2",44
86.813,23,"R","J",67.078,56.085,64.827,"Class2",49
72.157,35,"U","J",-6.73,60.373,52.55,"Class2",36
82.606,36,"R","B",59.181,64.357,74.234,"Class2",42
65.975,23,"R","S",18.6,64.692,74.03,"Class2",NA
69.211,19,"E","R",29.801,32.589,67.481,"Class1",70
91.262,35,"Y","J",61.627,82.464,65.955,"Class2",52
64.007,21,"M","S",-11.403,59.73,42.09,"Class2",51
69.501,29,"U","Q",3.795,41.884,69.899,"Class2",20
97.243,19,"R","S",30.887,84.64,49.57,"Class2",38
49.362,20,"C","L",28.08,34.388,64.376,"Class1",56
75.063,34,"E","M",28.335,70.36,44.004,"Class2",24
56.628,16,"A","C",15.13,41.646,67.346,"Class1",79
69.492,6,"S","Y",10.301,34.116,67.656,"Class1",62
57.727,12,"J","Y",NA,44.085,65.167,"Class1",54
89.2,38,"R","S",47.06,58.089,65.045,"Class2",18
64.23,12,"C","U",60.683,41.398,64.981,"Class1",75
61.236,4,"C","Y",57.794,34.033,66.543,"Class1",55
94.849,35,"M","B",3.322,48.214,52.933,"Class2",56
81.246,NA,"M","Q",73.675,55.222,82.638,"Class2",48
55.791,9,"E","C",80.829,33.876,63.311,"Class1",47
68.847,6,"C","Y",50.877,32.935,65.72,"Class1",82
55.552,9,"C","R",34.078,40.793,NA,"Class1",44
62.486,23,"M","J",43.519,43.62,48.442,"Class2",39
67,16,"A","L",30.684,35.6,65.166,"Class1",45
85.11,NA,"E","B",37.463,71.631,81.887,"Class2",35
48.619,10,"J","C",1.437,38.886,NA,"Class1",77
81.063,28,"R","B",44.811,69.171,47.87,"Class2",7
52.943,8,"A","C",15.851,31.194,66.628,"Class1",55
62.62,4,"E","Y",40.916,40.813,67.677,"Class1",NA
NA,6,"S","C",49.951,34.929,65.796,"Class1",48
50.427,8,"C","Y",11.643,34.081,65.429,"Class1",80
62.3,11,"S","C",29.967,36.275,64.452,"Class1",80
63.868,23,"M","B",25.964,67.451,52.722,"Class2",30
66.337,10,"S","U",8.911,35.612,63.57,"Class1",68
NA,8,"A","L",18.079,29.754,66.665,"Class1",74
66.866,38,"Y","B",33.34,72.426,76.569,"Class2",56
56.789,11,"C","Y",28.624,35.637,63.906,"Class1",71
52.713,7,"S","Y",28.568,38.82,66.279,"Class1",97
46.693,8,"S","U",47.333,36.181,64.894,"Class1",83
64.182,15,"J","Y",38.97,NA,64.485,"Class1",83
70.848,13,"E","C",28.623,35.269,66.157,"Class1",72
58.408,7,"J","Y",52.768,32.227,66.882,"Class1",96
94.441,39,"R","Q",76.646,NA,47.551,"Class2",58
82.579,31,"U","M",13.082,76.424,NA,"Class2",49
62.017,32,"Y","Q",46.797,67.723,49.178,"Class2",16
69.225,4,"A","C",56.325,30.208,63.46,"Class1",51
63.282,3,"E","U",46.386,35.207,64.34,"Class1",84
79.991,27,"Y","S",67.473,55.204,59.988,"Class2",37
75.975,24,"Y","M",67.437,66.149,57.391,"Class2",NA
48.511,2,"J","U",35.683,38.981,63.208,"Class1",85
66.254,9,"S","R",31.753,38.34,67.311,"Class1",89
80.194,21,"U","M",88.058,35.435,72.234,"Class2",40
91.991,35,"U","S",47.461,83.552,50.081,"Class2",63
49.953,12,"S","Y",42.958,30.243,64.713,"Class1",81
48.514,3,"E","L",28.116,35.617,63.398,"Class1",76
57.899,8,"A","C",66.536,34.229,66.354,"Class1",52
68.487,6,"J","R",30.422,NA,NA,"Class1",97
49.542,12,"A","C",49.13,33.989,64.027,"Class1",54
89.253,20,"M","J",62.836,36.742,68.859,"Class2",59
86.486,34,"Y","B",39.637,57.084,NA,"Class2",38
90.075,34,"M","Q",10.568,68.706,76.757,"Class2",10
45.86,11,"A","C",7.583,36.837,64.382,"Class1",59
66.589,21,"Y","Q",32.405,40.306,64.14,"Class2",16
95.247,21,"Y","J",42.46,49.326,70.702,"Class2",62
53.695,12,"J","R",27.111,32.082,63.12,"Class1",56
91.812,30,"R","M",47.547,53.37,67.458,"Class2",37
70.316,12,"A","L",34.45,35.853,65.651,"Class1",71
64.816,13,"S","U",23.996,35.144,66.06,"Class1",80
78.348,35,"Y","B",7.724,66.712,83.02,"Class2",6
78.763,27,"E","J",49.275,69.138,76.491,"Class2",56
87.528,28,"R","B",55.582,78.86,50.528,"Class2",22
74.422,34,"M","Q",57.967,80.679,71.128,"Class2",38
68.295,36,"R","M",1.298,65.036,63.413,"Class2",17
NA,27,"Y","J",67.872,65.901,80.601,"Class2",46
71.264,30,"R","J",49.906,NA,NA,"Class2",53
51.43,17,"A","L",NA,36.013,64.396,"Class1",NA
50.52,12,"S","L",34.741,28.092,66.067,"Class1",54
57.867,8,"A","Y",30.216,25.837,65.853,"Class1",85
68.138,11,"J","L",32.463,37.983,63.056,"Class1",83
65.365,4,"C","C",52.986,34.38,65.735,"Class1",78
62.926,6,"J","L",39.995,24.076,67.944,"Class1",93
62.922,11,"E","L",38.556,28.183,65.102,"Class1",85
70.593,NA,"C","U",26.026,40.998,64.528,"Class1",90
62.989,18,"J","U",66.657,29.977,67.736,"Class1",65
57.16,6,"C","L",28.367,34.742,66.057,"Class1",76
92.721,25,"U","J",21.751,68.53,50.617,"Class2",21
70.851,17,"A","L",17.805,NA,66.868,"Class1",74
63.108,37,"U","B",62.649,49.046,47.382,"Class2",22
66.022,13,"J","Y",37.94,39.208,67.816,"Class1",NA
67.128,35,"E","Q",8.01,73.118,73.326,"Class2",36
57.997,13,"E","Y",8.002,29.861,66.373,"Class1",44
77.673,37,"E","J",46.767,39.909,74.278,"Class2",52
79.386,21,"Y","M",60.086,67.392,61.637,"Class2",18
85.192,38,"Y","Q",54.678,56.183,66.689,"Class2",19
NA,27,"E","S",78.194,43.386,69.587,"Class2",54
92.088,40,"M","M",72.963,62.936,NA,"Class2",15
69.515,6,"A","L",42.692,42.392,64.781,"Class1",86
65.384,7,"E","Y",59.381,37.694,66.452,"Class1",55
56.282,4,"A","Y",32.256,34.282,67.122,"Class1",43
56.744,17,"S","U",40.1,NA,NA,"Class1",79
62.539,3,"A","Y",53.748,30.019,63.128,"Class1",46
86.316,29,"Y","S",62.626,55.252,62.41,"Class2",34
67.522,35,"Y","B",19.903,67.262,72.912,"Class2",11
54.282,15,"C","R",7.751,36.879,67.521,"Class1",79
59.18,4,"A","U",44.13,34.39,63.662,"Class1",66
46.987,3,"J","R",46.346,33.544,65.614,"Class1",68
70.632,3,"C","Y",42.822,37.829,63.255,"Class1",61
89.769,23,"R","B",47.853,48.797,51.446,"Class2",21
65.052,14,"J","Y",53.03,32.381,65.651,"Class1",64
66.942,31,"M","J",53.982,59.423,60.168,"Class2",59
46.767,3,"C","U",36.738,32.678,67.097,"Class1",59
90.502,40,"U","S",101.446,65.2,60.327,"Class2",63
70.031,35,"U","B",40.045,96.792,63.536,"Class2",63
95.926,38,"U","Q",117.273,54.378,77.086,"Class2",56
63.643,24,"M","M",28.059,65.851,53.535,"Class2",8
NA,9,"C","R",25.969,33.093,67.599,"Class1",87
85.4,NA,"Y","J",48.425,74.047,79.296,"Class2",49
47.204,12,"S","L",39.759,33.837,66.669,"Class1",59
64.356,4,"A","L",15.333,36.849,65.528,"Class1",91
73.093,39,"R","Q",43.528,63.513,56.012,"Class2",41
48.067,20,"E","R",22.949,42.388,67.679,"Class1",70
82.664,33,"M","B",NA,55.663,75.903,"Class2",49
64.171,3,"A","C",9.398,27.162,65.636,"Class1",94
70.034,21,"U","Q",38.611,63.353,40.349,"Class2",33
69.5,32,"Y","B",75.006,61.589,42.813,"Class2",15
50.136,5,"A","Y",43.833,33.685,64.841,"Class1",94
75.425,33,"R","Q",20.234,38.342,76.988,"Class2",51
87.23,20,"E","S",6.336,79.741,56.099,"Class2",23
60.303,NA,"E","L",22.43,36.21,63.277,"Class1",56
63.056,4,"S","U",8.487,35.696,66.628,"Class1",67
84.692,24,"U","J",72.052,NA,64.086,"Class2",27
67.294,6,"S","C",86.312,37.046,63.414,"Class1",61
78.863,23,"M","S",29.739,55.098,80.51,"Class2",42
67.524,13,"J","U",84.89,34.93,63.72,"Class1",84
67.054,4,"C","Y",43.169,29.446,63.494,"Class1",55
54.748,14,"A","R",51.158,NA,63.64,"Class1",90
82.134,34,"M","Q",15.389,NA,66.688,"Class2",45
85.647,39,"M","B",78.253,53.886,77.779,"Class2",61
61.409,9,"C","L",-8.917,32.463,65.221,"Class1",50
81.932,37,"U","J",9.645,NA,72.547,"Class2",54
93.935,NA,"Y","Q",76.076,80.176,45.815,"Class2",56
NA,24,"U","Q",60.859,69.602,71.862,"Class2",47
54.035,10,"E","L",20.997,36.239,NA,"Class1",75
82.078,26,"M","B",37.763,62.139,66.124,"Class2",54
61.517,16,"J","R",35.495,34.262,66.674,"Class1",67
83.201,34,"E","J",22.861,41.702,61.005,"Class2",9
50.386,9,"C","C",4.842,38.391,67.444,"Class1",53
45.959,NA,"C","Y",12.996,36.348,64.152,"Class1",66
67.209,NA,"J","U",NA,31.257,64.918,"Class1",67
