"D1","Class","D3","D4","D5","D6","D7","D8","D9"
55,"Class2",43.478,"J",87.094,NA,39,14.602,"D"
NA,"Class1",86.77,"M",36.019,62.227,76,9.518,"S"
32,"Class2",53.258,"S",79.396,47.655,61,10.795,"C"
15,"Class4",11.609,"Z",42.185,NA,59,44.458,"Y"
14,"Class4",31.303,"S",41.192,84.219,67,41.07,"R"
15,"Class4",24.247,"Z",NA,95.248,26,35.143,"Y"
44,"Class1",92.579,"V",31.041,NA,95,36.357,"S"
62,"Class1",77.133,"M",52.513,55.231,91,18.58,"S"
49,"Class2",52.345,"J",84.521,43.687,40,8.655,"I"
37,"Class2",55.518,"W",81.635,NA,48,14.77,"P"
26,"Class3",18.984,"M",29.541,85.079,32,80.28,"V"
60,"Class2",51.697,"R",95.825,60.142,60,14.243,"C"
NA,"Class4",25.684,"S",NA,96.623,26,51.719,"C"
65,"Class3",11.144,"V",29.961,81.393,79,57.192,"B"
58,"Class1",89.624,"W",37.8,61.005,88,16.313,"C"
15,"Class4",37.968,"F",18.968,86.027,20,47.713,"E"
56,"Class1",90.528,"G",36.806,57.908,86,33.001,"Q"
57,"Class1",84.42,"S",53.49,61.817,67,36.905,"D"
7,"Class3",21.109,"V",28.758,77.985,41,63.115,"Q"
44,"Class3",5.365,"C",30.02,74.888,37,71.403,"Q"
59,"Class2",23.747,"W",87.848,62.779,45,18.937,"D"
33,"Class2",38.675,"R",88.315,53.57,46,17.682,"P"
55,"Class3",4.414,"A",29.533,76.948,36,80.9,"Q"
55,"Class1",83.38,"M",45.266,55.877,69,8.148,"S"
65,"Class3",18.108,"A",29.109,74.731,45,60.629,"P"
14,"Class4",37.839,"P",44.35,85.66,73,56.48,"Y"
69,"Class3",14.464,"A",29.501,73.162,41,51.951,"V"
42,"Class2",18.778,"J",88.526,58.532,59,9.617,"P"
15,"Class4",27.799,"P",15.788,95.211,66,17.514,"Y"
33,"Class2",59.308,"W",88.152,62.491,35,12.904,"I"
41,"Class2",13.183,"R",79.386,59.693,60,13.522,"C"
37,"Class3",17.451,"R",30.088,84.176,89,64.898,"V"
NA,"Class4",32.488,"S",73.049,83.728,37,45.926,"Y"
15,"Class4",37.981,"Y",48.618,90.569,32,42.827,"C"
14,"Class4",46.639,"S",-5.162,87.987,21,47.157,"C"
55,"Class2",6.161,"Y",92.67,40.902,53,13.966,"C"
67,"Class2",74.456,"W",91.012,63.833,57,15.571,"M"
14,"Class4",22.936,"F",6.342,92.08,41,41.192,"E"
62,"Class1",80.85,"V",34.371,48.004,63,36.607,"D"
15,"Class4",38.615,"F",79.045,92.101,62,50.273,"T"
15,"Class3",12.075,"M",28.884,79.218,82,54.47,"A"
14,"Class4",24.253,"P",53.823,90.805,64,33.162,"E"
52,"Class1",86.056,"V",28.986,55.209,83,32.322,"Q"
15,"Class4",14.93,"Z",69.589,96.13,60,53.981,"Y"
45,"Class3",15.207,"R",29.58,85.644,NA,NA,"P"
58,"Class1",79.447,"S",43.932,60.951,88,32.145,"C"
70,"Class3",11.964,"A",29.599,73.913,79,69.935,"V"
56,"Class1",86.037,"G",55.123,55.1,77,43.692,"S"
15,"Class4",15.52,"F",54.845,94.764,41,42.801,"E"
60,"Class2",31.601,"J",73.739,43.778,48,21.276,"P"
60,"Class3",3.259,"A",29.187,81.713,29,75.826,"P"
73,"Class3",8.251,"C",29.398,75.27,85,86.755,"Q"
54,"Class3",8.402,"V",29.288,72.639,33,80.362,"V"
NA,"Class4",48.678,"Y",30.699,87.25,49,36.265,"T"
35,"Class2",61.02,"S",82.653,51.051,34,16.858,"I"
53,"Class1",87.622,"V",34.611,55.811,83,12.166,"Q"
NA,"Class2",NA,"R",79.224,61.158,54,18.032,"C"
49,"Class1",78.353,"M",57.611,54.265,87,17.233,"C"
55,"Class1",80.61,"V",43.772,47.009,81,21.648,"N"
73,"Class3",6.069,"C",28.718,76.869,79,77.095,"Q"
28,"Class2",37.895,"R",82.359,40.776,42,10.768,"D"
52,"Class3",12,"V",30.313,78.078,30,75.422,"V"
15,"Class4",38.529,"Z",17.549,93.751,39,31.195,"R"
29,"Class2",46.856,"J",86.743,54.299,69,11.354,"P"
27,"Class3",6.334,"R",29.212,77.197,84,68.91,"P"
35,"Class3",17.945,"C",29.309,81.184,82,91.736,"V"
NA,"Class2",22.96,"Y",83.598,55.258,36,12.484,"P"
14,"Class4",16.783,"Y",24.06,88.449,41,64.402,"C"
46,"Class1",89.226,"V",50.579,52.755,83,22.902,"Q"
61,"Class1",86.842,"G",40.761,53.356,67,12.344,"C"
46,"Class2",54.308,"J",90.066,46.313,53,17.948,"M"
50,"Class2",26.642,"R",91.779,58.8,43,10.395,"P"
14,"Class4",39.706,"P",46.063,83.429,32,43.022,"E"
44,"Class1",92.491,"S",30.763,54.028,78,19.305,"C"
74,"Class3",15.574,"M",29.381,83.181,51,59.575,"Q"
45,"Class1",88.894,"W",45.133,49.607,81,20.975,"Q"
14,"Class4",16.061,"S",40.226,87.323,54,43.377,"E"
68,"Class2",10.794,"Y",87.718,61.42,34,16.584,"M"
NA,"Class4",47.241,"S",38.641,80.505,51,42.712,"Y"
46,"Class1",92.4,"W",34.039,47.694,67,29.725,"C"
70,"Class3",11.064,"M",28.977,77.911,45,57.703,"B"
45,"Class1",91.948,"M",33.474,60.176,62,27.516,"Q"
61,"Class1",86.638,"V",40.88,62.839,87,41.669,"D"
14,"Class4",26.916,"F",72.13,89.323,55,32.637,"E"
56,"Class1",91.111,"W",29.227,56.392,83,33.509,"N"
59,"Class1",83.648,"M",44.67,63.65,80,NA,"S"
14,"Class4",39.262,"Y",57.027,80.694,64,41.508,"R"
NA,"Class4",32.199,"S",49.299,91.217,49,43.026,"C"
45,"Class2",24.381,"S",80.299,50.484,55,8.626,"M"
61,"Class1",84.869,"G",47.095,58.402,82,33.708,"Q"
38,"Class2",24.763,"Y",83.419,NA,65,9.446,"D"
49,"Class1",84.006,"M",37.636,55.201,79,17.682,"D"
63,"Class2",NA,"Y",87.984,37.148,63,12.62,"P"
15,"Class4",15.17,"S",54.425,82.937,55,41.301,"R"
14,"Class4",25.728,"S",31.136,83.478,26,47.951,"Y"
53,"Class2",14.592,"W",81.534,40.967,70,13.822,"I"
40,"Class2",50.065,"Y",87.412,58.512,50,9.898,"P"
60,"Class1",79.773,"W",54.829,NA,69,33.017,"C"
15,"Class4",43.126,"Z",60.385,94.336,72,51.804,"R"
51,"Class1",91.893,"W",42.954,52.972,67,39.838,"N"
53,"Class2",45.576,"W",89.475,39.725,35,18.467,"I"
28,"Class3",16.764,"C",29.606,83.373,84,60.625,"V"
15,"Class3",NA,"R",29.846,85.068,66,78.233,"A"
71,"Class2",20.988,"J",88.803,NA,62,20.578,"D"
53,"Class1",77.178,"M",51.538,48.978,66,13.135,"S"
56,"Class1",79.454,"W",40.428,54.943,79,20.564,"Q"
25,"Class2",53.41,"R",87.814,62.02,64,10.328,"D"
49,"Class1",82.186,"W",NA,59.238,NA,23.214,"Q"
59,"Class3",19.784,"C",29.65,75.44,25,67.693,"V"
41,"Class3",8.243,"R",30.145,86.169,31,88.068,"A"
48,"Class1",80.242,"V",38.517,51.995,70,37.243,"S"
50,"Class1",77.076,"G",45.99,52.572,78,39.662,"N"
14,"Class4",36.439,"Y",31.752,NA,52,29.813,"E"
35,"Class3",18.811,"R",28.965,80.235,61,69.42,"A"
60,"Class2",36.888,"J",88.287,42.005,62,18.023,"M"
43,"Class2",7.742,"R",92.585,51.102,70,18.826,"D"
50,"Class2",NA,"W",73.471,53.021,52,7.961,"M"
40,"Class2",6.823,"R",87.31,37.218,50,15.378,"D"
71,"Class2",37.779,"S",NA,51.351,49,6.053,"C"
15,"Class4",22.759,"F",27.164,87.339,32,NA,"T"
56,"Class1",80.668,"S",45.799,49.778,88,17.109,"N"
58,"Class2",68.308,"Y",NA,NA,35,17.284,"I"
15,"Class4",11.523,"Z",43.481,91.768,31,53.39,"C"
43,"Class2",NA,"W",NA,55.631,43,14.416,"D"
45,"Class3",18.974,"M",29.49,86.742,37,66.383,"Q"
70,"Class3",2.538,"A",29.673,NA,33,81.606,"B"
61,"Class1",78.877,"S",48.76,61.738,93,19.967,"C"
15,"Class4",21.024,"Z",42.507,96.274,30,42.204,"R"
15,"Class4",25.517,"Z",70.914,NA,67,46.237,"Y"
46,"Class3",13.777,"C",29.818,78.689,66,62.015,"B"
NA,"Class4",13.566,"Y",NA,88.785,15,50.098,"C"
20,"Class3",4.228,"R",30.067,78.329,32,85.379,"Q"
51,"Class2",NA,"R",80.787,42.483,55,8.721,"P"
46,"Class1",91.166,"V",36.679,48.415,77,17.826,"N"
63,"Class2",68.958,"R",85.297,52.475,49,10.193,"P"
47,"Class1",87.15,"M",36.037,54.276,87,27.064,"S"
53,"Class1",77.9,"S",41.68,59.133,91,26.305,"D"
48,"Class1",91.852,"M",41.228,54.056,92,20.113,"N"
62,"Class2",64.908,"W",89.743,NA,64,13.581,"I"
15,"Class4",11.461,"Z",56.386,86.622,30,30.908,"E"
15,"Class4",12.785,"P",37.801,92.225,69,27.836,"C"
61,"Class3",14.209,"R",29.992,73.329,33,84.569,"P"
58,"Class2",50.698,"W",82.431,56.822,38,14.879,"D"
NA,"Class4",44.459,"Y",4.267,94.843,36,33.061,"R"
67,"Class3",21.555,"M",30.009,76.013,63,92.35,"V"
16,"Class3",5.707,"A",28.954,85.592,58,85.927,"Q"
65,"Class2",75.2,"S",86.295,42.102,38,5.61,"C"
35,"Class2",17.281,"R",84.299,38.019,62,14.597,"I"
NA,"Class3",17.039,"C",28.941,80.699,55,82.641,"V"
58,"Class1",89.975,"M",NA,54.027,86,20.406,"N"
36,"Class3",10.528,"C",29.23,77.056,83,74.507,"V"
15,"Class4",17.486,"P",32.028,88.405,72,25.389,"E"
58,"Class1",81.972,"S",41.922,62.557,75,5.728,"Q"
27,"Class3",9.485,"V",29.639,83.325,40,57.886,"P"
24,"Class3",4.315,"V",29.019,73.821,52,58.902,"A"
NA,"Class4",47.424,"S",80.725,87.981,25,31.424,"Y"
15,"Class4",36.609,"Z",11.553,85.145,40,24.244,"E"
30,"Class3",22.541,"A",29.422,80.499,84,66.086,"B"
12,"Class3",19.742,"A",28.682,74.995,49,43.491,"Q"
42,"Class2",65.262,"S",88.156,37.834,55,9.069,"P"
15,"Class4",33.994,"P",40.714,91.907,36,39.104,"T"
46,"Class2",19.175,"Y",84.511,44.263,67,8.514,"C"
25,"Class3",18.632,"R",29.3,84.232,50,116.242,"A"
15,"Class4",36.671,"S",59.928,93.715,37,35.371,"T"
50,"Class3",13.226,"R",29.592,81.63,28,101.49,"P"
NA,"Class2",51.171,"W",94.429,48.308,41,20.801,"D"
27,"Class2",18.639,"S",88.722,49.564,49,NA,"C"
15,"Class4",14.056,"Z",28.599,85.22,27,43.409,"R"
57,"Class1",86.927,"S",51.427,53.09,NA,34.531,"S"
15,"Class4",29.874,"F",78.918,86.458,49,44.724,"R"
29,"Class2",61.249,"W",95.378,52.158,60,6.399,"D"
52,"Class3",21.176,"A",29.531,72.522,81,63.062,"B"
22,"Class3",3.333,"M",29.342,78.55,31,71.453,"V"
21,"Class3",13.854,"R",29.907,NA,63,74.217,"V"
65,"Class3",15.961,"C",29.059,82.219,78,79.846,"V"
14,"Class4",37.245,"P",37.548,78.579,15,33.643,"E"
12,"Class3",10.68,"C",29.481,80.778,41,35.27,"P"
NA,"Class1",84.497,"V",48.272,48.069,70,31.252,"D"
59,"Class2",26.228,"J",95.668,42.933,68,11.052,"C"
7,"Class3",6.647,"V",29.525,77.706,78,49.918,"V"
59,"Class1",86.105,"W",38.988,50.328,85,38.651,"D"
62,"Class1",84.144,"S",41.267,NA,69,23.722,"D"
49,"Class1",87.599,"W",55.81,57.545,66,30.073,"Q"
56,"Class1",91.955,"M",NA,49.028,95,30.759,"Q"
47,"Class1",77.79,"V",24.19,55.025,70,46.857,"Q"
48,"Class2",41.012,"R",85.901,37.083,63,5.559,"P"
70,"Class2",64.543,"W",82.365,38.185,60,24.173,"M"
47,"Class1",86.162,"G",38.946,58.413,91,23.393,"Q"
15,"Class4",47.745,"F",31.361,92.328,23,42.976,"T"
25,"Class3",10.925,"C",29.24,78.426,57,83.004,"Q"
45,"Class3",6.612,"A",NA,81.339,NA,83.251,"Q"
44,"Class3",NA,"C",30.049,77.805,47,88.192,"A"
71,"Class3",13.302,"V",29.502,83.305,34,69.512,"P"
67,"Class2",64.501,"J",86.932,50.483,51,14.096,"I"
57,"Class3",15.29,"A",29.365,85.018,35,63.779,"V"
55,"Class1",85.698,"S",41.703,49.336,NA,33.102,"D"
14,"Class4",42.299,"S",NA,88.145,72,39.891,"R"
31,"Class3",13.954,"V",29.041,80.099,52,49.898,"P"
41,"Class2",68.346,"Y",86.773,48.861,37,9.594,"D"
59,"Class2",52.775,"J",83.844,NA,45,-1.662,"D"
70,"Class3",8.719,"C",29.19,84.872,57,59.55,"V"
14,"Class4",11.54,"P",47.714,79.087,14,46.23,"C"
44,"Class2",44.998,"S",87.187,37.51,64,9.412,"I"
53,"Class1",89.67,"V",28.427,56.603,70,12.895,"D"
31,"Class3",17.614,"A",29.777,84.766,84,71.952,"Q"
56,"Class3",20.361,"V",29.221,78.366,90,64.506,"A"
60,"Class2",44.112,"Y",83.281,57.442,44,15.648,"M"
48,"Class1",77.207,"S",38.611,50.152,NA,28.893,"S"
44,"Class2",60.04,"R",92.587,39.378,60,19.016,"I"
39,"Class2",71.948,"J",92.211,62.111,53,26.885,"C"
68,"Class3",11.627,"R",29.54,85.112,NA,NA,"A"
15,"Class4",NA,"S",NA,89.393,56,49.263,"R"
45,"Class2",14.34,"W",80.198,42.616,44,14.582,"C"
46,"Class2",33.416,"S",86.094,59.327,39,18.965,"D"
52,"Class1",87.243,"V",34.577,63.623,68,34.715,"D"
61,"Class2",70.488,"J",92.198,51.126,43,10.86,"P"
14,"Class4",22.332,"F",28.916,97.947,16,56.777,"C"
15,"Class4",NA,"F",44.717,83.008,15,38.371,"C"
60,"Class1",84.924,"W",27.577,59.316,83,38.491,"D"
58,"Class1",80.032,"M",36.44,52.703,64,30.438,"C"
35,"Class3",14.425,"R",29.589,85.991,61,62.512,"A"
31,"Class2",70.975,"Y",84.587,38.924,38,10.835,"D"
27,"Class3",12.572,"A",29.212,79.27,84,69.246,"P"
53,"Class1",86.278,"M",42.281,54.25,74,NA,"D"
34,"Class2",14.044,"J",84.237,36.76,46,6.444,"P"
NA,"Class4",38.271,"S",75.757,96.207,18,38.03,"C"
45,"Class3",19.065,"V",29.649,85.042,71,78.084,"A"
69,"Class3",7.731,"R",28.742,80.951,74,70.304,"A"
13,"Class3",8.215,"M",29.992,80.644,91,61.007,"A"
14,"Class4",48.195,"Y",17.46,91.893,41,29.019,"T"
45,"Class1",80.574,"W",NA,54.988,89,31.155,"D"
59,"Class1",91.721,"S",26.396,51.041,84,34.492,"S"
12,"Class3",5.224,"R",29.297,75.986,86,74.347,"P"
49,"Class2",10.344,"R",90.426,43.22,52,10.606,"D"
15,"Class4",23.4,"S",28.81,84.652,18,35.788,"Y"
58,"Class3",19.911,"V",29.794,79.357,49,88.026,"B"
NA,"Class4",41.462,"Z",74.751,91.686,67,48.286,"Y"
11,"Class3",17.388,"R",29.22,78.606,40,87.783,"P"
NA,"Class2",70.593,"W",91.221,39.63,59,15.953,"M"
58,"Class2",44.287,"Y",87.087,49.593,58,20.492,"I"
NA,"Class4",42.077,"P",44.295,81.212,69,59.202,"C"
30,"Class2",41.414,"W",83.557,52.372,68,12.914,"C"
62,"Class2",30.721,"W",84.157,48.271,72,11.161,"I"
39,"Class3",8.509,"M",29.62,72.268,48,72.473,"V"
57,"Class1",82.075,"M",34.192,53.232,85,24.155,"N"
15,"Class4",44.853,"Z",63.74,85.502,34,49.882,"T"
14,"Class4",38.186,"S",34.627,94.471,35,41.755,"E"
NA,"Class1",86.724,"G",33.281,55.697,67,29.565,"Q"
53,"Class1",79.276,"V",39.554,53.21,62,19.415,"Q"
58,"Class1",82.563,"S",28.254,62.292,87,18.079,"N"
54,"Class1",83.902,"M",NA,NA,79,27.517,"Q"
14,"Class4",NA,"Y",13.315,84.368,62,46.789,"Y"
14,"Class3",5.693,"M",29.995,74.953,85,64.974,"A"
62,"Class1",78.11,"M",42.64,50.183,89,NA,"S"
48,"Class1",92.491,"G",NA,55.309,80,19.823,"N"
60,"Class1",82.89,"S",54.777,NA,94,32.192,"Q"
46,"Class1",NA,"G",24.823,63.768,91,24.746,"S"
31,"Class2",37.148,"W",90.574,61.966,44,9.172,"I"
14,"Class4",13.778,"F",27.438,89.699,17,47.988,"T"
32,"Class2",47.894,"J",79.383,51.933,55,22.426,"M"
NA,"Class2",51.799,"Y",89.727,57.588,41,10.549,"D"
35,"Class3",17.312,"R",29.305,82.704,92,61.151,"V"
27,"Class3",19.034,"M",29.071,72.403,82,79.123,"B"
53,"Class1",88.944,"G",46.146,59.984,90,34.17,"Q"
26,"Class2",32.572,"R",93.115,43.992,58,19.221,"I"
47,"Class1",77.254,"V",40.334,55.157,77,24.023,"Q"
52,"Class1",85.231,"M",42.507,63.926,65,13.309,"Q"
64,"Class3",11.128,"M",29.606,78.325,73,81.751,"V"
55,"Class1",88.845,"M",37.53,50.888,76,54.473,"Q"
44,"Class3",2.78,"R",NA,NA,62,49.735,"B"
50,"Class1",89.978,"S",37.885,59.341,83,17.956,"D"
70,"Class3",8.668,"R",28.562,NA,35,57.47,"B"
25,"Class3",12.526,"M",29.352,80.321,38,69.32,"B"
15,"Class4",11.111,"P",36.21,81.383,72,41.047,"Y"
62,"Class2",41.832,"Y",77.353,53.523,67,12.928,"C"
29,"Class3",17.029,"A",29.652,73.249,72,86.046,"V"
15,"Class4",34.456,"Z",55.422,87.08,40,31.553,"T"
47,"Class1",86.846,"W",38.907,53.183,71,31.713,"D"
56,"Class1",87.73,"S",44.369,51.302,83,36.606,"D"
44,"Class1",90.894,"W",32.702,62.144,68,44.146,"S"
17,"Class3",19.312,"R",29.377,76.627,40,96.852,"V"
15,"Class4",12.992,"S",5.362,78.841,26,40.021,"E"
62,"Class1",81.691,"W",48.865,55.414,87,15.884,"N"
42,"Class2",13.906,"W",81.637,38.453,56,15.607,"C"
14,"Class4",19.032,"Y",51.359,91.682,36,40.844,"T"
NA,"Class4",29.041,"S",35.251,92.316,32,49.606,"E"
15,"Class4",37.968,"F",48.108,NA,54,33.966,"T"
14,"Class4",23.952,"P",8.302,97.06,35,36.896,"R"
14,"Class4",48.299,"F",44.51,78.667,69,43.605,"E"
14,"Class4",NA,"S",28.527,96.376,42,54.8,"Y"
47,"Class3",11.478,"A",29.565,73.098,60,56.314,"V"
14,"Class4",33.297,"S",NA,96.606,59,47.876,"Y"
14,"Class4",27.519,"S",48.375,NA,NA,56.509,"Y"
70,"Class2",66.03,"R",89.072,40.688,35,14.178,"I"
54,"Class3",NA,"R",29.334,86.938,64,80.522,"V"
14,"Class4",25.168,"Z",44.576,90.559,48,47.217,"E"
58,"Class1",87.821,"W",45.397,52.852,87,21.83,"D"
33,"Class3",5.22,"V",29.532,73.968,89,40.656,"A"
24,"Class3",5.062,"V",NA,85.364,60,82.447,"P"
63,"Class2",10.566,"S",NA,43.691,51,14.548,"M"
52,"Class1",90.702,"M",39.21,58.507,66,41.699,"N"
62,"Class1",87.005,"W",37.298,47.608,87,28.495,"D"
53,"Class2",46.488,"R",79.113,50.892,44,20.255,"I"
15,"Class4",NA,"F",46.731,79.679,60,69.726,"R"
57,"Class2",53.375,"R",88.466,NA,52,17.124,"M"
45,"Class3",15.324,"R",29.277,76.392,74,78.336,"B"
33,"Class2",45.025,"Y",91.45,38.473,54,21.139,"C"
57,"Class3",10.224,"M",29.653,83.622,54,68.339,"P"
15,"Class4",16.988,"P",38.715,95.221,56,25.015,"C"
40,"Class2",6.555,"S",83.342,59.934,58,17.171,"D"
15,"Class4",25.987,"P",39.442,78.048,18,33.413,"C"
57,"Class1",87.366,"V",29.71,62.932,95,20.097,"Q"
14,"Class4",17.554,"Z",41.522,81.873,61,35.034,"E"
14,"Class4",42.994,"P",54.556,95.773,19,24.026,"R"
54,"Class3",21.754,"A",29.409,82.13,72,74.277,"A"
NA,"Class1",83.23,"V",43.064,53.861,62,29.997,"Q"
59,"Class1",86.862,"S",36.883,55.405,63,33.739,"Q"
NA,"Class3",8.425,"A",29.289,83.079,41,81.112,"P"
14,"Class4",18.908,"F",43.74,92.534,56,41.803,"C"
14,"Class4",19.1,"Z",76.199,82.222,NA,54.477,"C"
62,"Class1",85.34,"V",29.871,51.15,NA,21.399,"Q"
48,"Class2",28.678,"S",84.553,39.878,70,NA,"M"
15,"Class4",13.674,"S",50.621,79.087,17,31.718,"C"
56,"Class2",59.211,"S",88.013,61.387,51,16.486,"M"
14,"Class4",19.847,"F",44,78.775,20,NA,"C"
14,"Class4",13.5,"P",29.881,81.703,58,49.934,"C"
14,"Class4",15.285,"S",54.649,79.733,15,36.132,"R"
70,"Class3",NA,"M",29.337,82.836,89,88.809,"P"
14,"Class4",19.051,"Z",41.821,97.701,73,16.66,"T"
70,"Class2",20.062,"S",77.093,59.812,38,13.005,"M"
28,"Class2",22.999,"W",85.289,41.242,58,NA,"I"
34,"Class2",36.991,"R",99.307,54.148,55,15.272,"C"
26,"Class3",9.863,"V",29.018,73.056,63,82.477,"A"
15,"Class4",NA,"F",71.052,90.357,47,58.095,"R"
65,"Class2",38.463,"W",88.581,49.601,72,6.845,"D"
15,"Class4",40.065,"Y",49.394,79.145,63,26.493,"E"
14,"Class4",13.104,"Y",53.508,89.147,64,28.964,"Y"
15,"Class4",30.822,"Y",56.986,83.459,20,36.893,"T"
12,"Class3",8.24,"V",29.747,76.541,31,60.96,"A"
30,"Class3",3.045,"M",29.561,73.081,70,87.105,"P"
15,"Class4",42.549,"F",33.806,97.596,32,28.086,"C"
72,"Class3",21.579,"M",29.57,82.289,62,55.87,"A"
49,"Class3",6.139,"R",29.51,82.948,72,68.433,"Q"
57,"Class1",82.416,"W",39.934,60.214,80,26.602,"D"
68,"Class2",23.807,"Y",79.62,54.712,61,12.804,"D"
61,"Class2",61.601,"W",83.973,53.687,40,14.912,"I"
71,"Class3",14.739,"V",29.463,75.449,74,80.846,"V"
15,"Class4",36.377,"S",59.572,81.594,NA,42.401,"T"
15,"Class4",25.421,"Y",68.217,86.078,62,17.4,"R"
NA,"Class2",65.141,"W",84.768,60.45,70,20.566,"D"
15,"Class4",26.656,"S",19.716,89.182,58,35.552,"C"
45,"Class1",80.021,"S",41.134,NA,75,46.947,"N"
46,"Class1",87.69,"S",46.55,59.486,84,36.291,"C"
14,"Class4",39.896,"P",33.299,86.99,NA,25.356,"R"
14,"Class4",12.414,"P",NA,80.49,28,30.855,"T"
NA,"Class4",42.859,"P",85.152,80.569,24,39.002,"Y"
15,"Class4",37.608,"Y",9.415,95.103,22,24.36,"C"
15,"Class4",35.929,"P",74.79,81.806,61,53.185,"R"
25,"Class2",31.43,"Y",89.039,58.255,65,13.531,"I"
27,"Class2",59.894,"R",95.538,51.413,38,15.284,"M"
62,"Class3",4.969,"M",NA,85.024,81,68.506,"P"
16,"Class3",22.841,"R",30.248,80.21,67,81.703,"B"
56,"Class1",78.215,"S",26.013,NA,77,26.924,"C"
62,"Class1",85.727,"W",41.508,62.108,71,30.621,"N"
46,"Class1",92.07,"V",15.058,57.192,70,NA,"C"
48,"Class1",79.47,"G",28.076,52.18,91,27.267,"C"
61,"Class1",82.408,"G",33.24,56.31,73,27.258,"N"
42,"Class3",22.074,"M",29.434,NA,35,72.978,"Q"
