"T1","T2","T3","T4","T5","T6","T7","Class","T9"
64.973,25,94,"N",70.494,"G",57.855,"Class2",52.942
52.006,65,NA,"F",66.88,"H",90.705,"Class1",86.243
27.307,53,11,"J",66.572,"V",93.684,"Class1",60.004
17.271,84,15,"X",64.213,"M",53.612,"Class3",56.652
20.511,67,NA,"F",63.278,"V",83.141,"Class1",86.555
13.361,84,12,"X",70.629,"J",7.827,"Class3",49.243
45.111,73,60,"N",59.569,"S",52.669,"Class2",53.27
36.388,NA,9,"E",65.881,"G",NA,"Class1",66.227
44.676,39,8,"F",62.12,"U",88.338,"Class1",60.657
34.488,82,95,"D",84.141,"S",57.726,"Class2",NA
14.961,85,12,"W",55.725,"M",68.027,"Class3",54.752
11.57,84,2,"W",46.342,"E",8.754,"Class3",50.798
3.728,85,2,"W",73.237,"H",63.304,"Class3",NA
26.134,58,63,"N",47.779,"S",NA,"Class2",54.154
2.41,24,7,"F",66.707,"U",88.066,"Class1",82.729
15.169,84,14,"R",NA,"M",57.81,"Class3",83.511
35.985,21,89,"O",58.468,"U",37.8,"Class2",55.156
21.858,84,5,"W",48.809,"J",14.777,"Class3",58.42
63.849,74,72,"T",46.38,"I",54.461,"Class2",51.033
11.645,84,3,"W",43.118,"M",59.39,"Class3",82.972
12.553,84,14,"W",40.595,"M",25.346,"Class3",41.931
11.522,84,3,"S",56.254,"A",NA,"Class3",45.543
12.505,85,1,"S",50.44,"E",46.965,"Class3",39.157
51.4,44,10,"T",NA,"V",70.61,"Class1",60.289
44.789,18,48,"N",79.747,"U",36.68,"Class2",54.904
40.632,46,52,"O",44.503,"I",49.851,"Class2",51.088
-20.241,62,10,"J",64.526,"G",82.266,"Class1",70.692
39.431,NA,41,"J",69.465,"S",45.795,"Class2",51.639
11.747,43,6,"E",68.94,"Y",81.869,"Class1",82.957
36.351,50,49,"T",67.552,"S",64.803,"Class2",52.01
39.665,31,9,"F",66.465,"H",95.798,"Class1",61.436
39.473,49,11,"X",67.771,"H",90.834,"Class1",NA
15.801,59,7,"T",60.423,"V",68.84,"Class1",62.052
29.72,57,7,"E",65.961,"Y",87.009,"Class1",90.3
50.254,62,76,"D",46.551,"S",50.595,"Class2",51.316
7.001,51,7,"T",72.827,"G",85.208,"Class1",60.399
42.105,26,7,"F",59.157,"G",81.67,"Class1",NA
43.452,60,NA,"N",NA,"C",62.932,"Class2",53.31
10.434,85,7,"R",53.287,"E",22.879,"Class3",53.018
52.211,15,61,"J",49.351,"I",63.244,"Class2",51.77
3.143,34,11,"F",65.864,"Y",73.509,"Class1",73.209
42.541,18,NA,"F",66.819,"H",69.953,"Class1",59.032
35.243,50,9,"J",NA,"U",71.638,"Class1",90.803
17.334,85,NA,"R",30.325,"E",52.29,"Class3",31.118
5.109,NA,14,"X",95.409,"J",71.139,"Class3",49.101
39.841,38,7,"E",58.695,"G",83.824,"Class1",82.45
8.296,85,11,"R",60.992,"E",60.594,"Class3",94.443
44.039,75,77,"O",99.773,"C",45.455,"Class2",53.17
42.422,29,80,"D",104.394,"U",66.989,"Class2",51.161
9.322,52,6,"F",62.659,"G",93.263,"Class1",65.181
16.642,39,9,"J",68.803,"H",74.986,"Class1",79.789
75.268,65,10,"X",64.498,"U",89.612,"Class1",77.744
10.74,85,4,"S",58.056,"A",27.543,"Class3",90.728
51.199,61,10,"J",64.376,"V",71.346,"Class1",62.504
22.574,20,11,"T",66.171,"H",93.259,"Class1",60.041
3.077,47,9,"T",61.739,"V",89.655,"Class1",47.758
9.923,60,8,"X",68.139,"H",75.072,"Class1",60.352
NA,85,NA,"X",74.703,"J",36.031,"Class3",90.849
41.91,79,96,"T",69.095,"S",55.917,"Class2",51.036
NA,84,9,"W",77.481,"M",30.373,"Class3",53.93
18.893,84,12,"W",41.297,"E",55.667,"Class3",56.149
64.213,36,65,"T",44.153,"C",46.014,"Class2",51.48
30.255,49,11,"X",63.271,"U",68.925,"Class1",88.066
6.759,40,11,"T",65.882,"U",78.233,"Class1",78.525
22.815,62,6,"T",69.356,"Y",88.094,"Class1",79.841
13.138,84,6,"X",50.969,"E",25.88,"Class3",43.615
14.741,85,NA,"S",43.145,"E",73.107,"Class3",90.167
3.312,85,11,"V",42.913,"E",7.533,"Class3",40.306
56.036,52,82,"D",56.379,"U",37.924,"Class2",51.161
1.886,85,1,"S",17.205,"M",33.26,"Class3",81.774
13.858,84,3,"S",38.925,"A",32.934,"Class3",40.398
35.356,36,8,"X",67.694,"Y",79.714,"Class1",80.488
16.858,84,8,"X",25.533,"H",7.096,"Class3",85.2
40.162,49,75,"N",56.343,"S",42.708,"Class2",52.478
27.475,42,NA,"J",83.494,"G",44.906,"Class2",54.004
10.929,85,11,"S",NA,"J",12.534,"Class3",86.449
57.449,16,91,"D",77.68,"I",65.716,"Class2",52.852
38.062,23,8,"X",67.24,"G",80.277,"Class1",97.605
59.366,23,11,"E",67.823,"Y",85.839,"Class1",51.315
54.339,80,63,"T",71.793,"S",41.962,"Class2",55.976
17.441,84,7,"S",48.361,"E",52.073,"Class3",81.814
45.175,35,61,"D",35.997,"I",64.112,"Class2",54.471
46.034,43,98,"D",58.719,"I",58.016,"Class2",54.297
9.62,85,1,"W",67.648,"J",28.94,"Class3",46.88
39.678,63,69,"O",82.513,"G",48.896,"Class2",55.199
45.779,50,73,"T",53.871,"C",57.24,"Class2",53.236
15.524,84,13,"V",43.979,"J",54.94,"Class3",47.293
43.422,28,6,"J",68.667,"V",87.92,"Class1",48.683
49.226,22,NA,"J",62.541,"U",93.439,"Class1",65.024
25.149,30,11,"X",71.142,"Y",80.016,"Class1",65.835
11.29,NA,13,"V",64.865,"M",33.996,"Class3",NA
11.888,84,12,"R",12.978,"H",9.511,"Class3",61.247
10.369,85,10,"V",56.123,"E",11.38,"Class3",69.471
45.73,67,6,"X",65.14,"H",71.111,"Class1",92.373
43.136,NA,8,"J",66.043,"U",66.589,"Class1",83.324
8.645,84,9,"S",54.302,"E",34.591,"Class3",48.545
14.782,85,13,"V",33.11,"E",76.145,"Class3",39.476
26.793,40,84,"T",38.035,"U",61.599,"Class2",51.201
8.588,85,10,"R",72.569,"E",13.042,"Class3",85.647
22.443,84,11,"W",38.158,"E",NA,"Class3",46.591
39.491,39,87,"J",66.198,"U",61.467,"Class2",52.625
12.161,84,7,"W",40.711,"E",66.903,"Class3",86.815
13.572,NA,NA,"W",71.259,"J",6.951,"Class3",78.366
38.754,31,11,"T",63.599,"G",72.282,"Class1",60.127
12.802,28,6,"T",57.852,"Y",66.438,"Class1",93.191
-0.736,50,9,"F",67.9,"G",70.104,"Class1",NA
32.158,49,10,"F",59.866,"H",89.024,"Class1",60.367
37.929,45,85,"O",16.436,"I",46.658,"Class2",55.67
16.16,84,2,"S",40.094,"M",37.015,"Class3",32.854
14.484,84,3,"X",68.851,"E",NA,"Class3",59.384
61.799,17,6,"J",NA,"Y",84.345,"Class1",52.292
29.96,38,NA,"F",65.862,"Y",93.404,"Class1",63.643
42.02,21,6,"E",65.571,"V",92.81,"Class1",79.507
9.096,85,6,"S",84.54,"A",4.593,"Class3",43.863
15.116,85,9,"R",63.293,"E",33.898,"Class3",75.869
-2.669,51,8,"X",66.446,"H",95.585,"Class1",80.615
7.501,46,10,"T",NA,"U",92.298,"Class1",72.242
42.418,81,80,"N",68.681,"C",63.218,"Class2",51.935
8.128,84,2,"X",79.468,"M",68.132,"Class3",79.43
49.808,64,8,"E",66.683,"H",68.304,"Class1",53.622
46.212,17,42,"J",72.632,"I",55.814,"Class2",51.618
29.441,46,11,"T",69.201,"U",86.895,"Class1",46.225
12.455,85,15,"W",63.806,"A",17.914,"Class3",80.733
16.977,33,9,"E",64.948,"V",71.067,"Class1",76.166
39.996,22,10,"T",NA,"U",79.012,"Class1",61.185
NA,85,4,"W",40.695,"H",50.932,"Class3",64.982
43.719,37,11,"J",62.466,"U",94.036,"Class1",51.798
73.429,28,70,"D",39.619,"I",39.387,"Class2",52.877
17.53,84,4,"W",59.815,"A",21.602,"Class3",60.629
66.072,28,94,"J",8.761,"C",56.188,"Class2",54.986
29.382,38,10,"J",70.53,"V",93.445,"Class1",94.191
-9.323,17,9,"F",68.066,"G",75.736,"Class1",85.159
51.634,57,63,"O",76.108,"I",62.43,"Class2",51.958
NA,67,85,"D",86.234,"C",NA,"Class2",54.987
33.33,28,NA,"X",67.785,"V",69.357,"Class1",80.78
14.967,84,11,"X",18.46,"M",61.213,"Class3",50.403
17.92,44,45,"O",38.922,"U",52.358,"Class2",52.837
44.695,31,9,"F",69.14,"G",89.244,"Class1",92.5
12.146,85,10,"R",40.817,"A",NA,"Class3",84.392
NA,72,49,"T",54.319,"G",36.977,"Class2",52.653
44.486,32,82,"N",61.246,"G",46.848,"Class2",54.575
72.787,71,55,"J",63.196,"U",51.631,"Class2",51.122
38.535,76,41,"D",79.886,"U",41.653,"Class2",51.884
15.351,85,5,"R",31.393,"M",37.626,"Class3",54.048
13.532,84,1,"S",40.861,"A",18.476,"Class3",NA
24.343,62,8,"T",70.581,"H",77.558,"Class1",60.585
57.301,37,9,"J",60.342,"G",92.668,"Class1",61.95
44.931,81,63,"T",53.552,"S",56.171,"Class2",53.71
39.617,51,11,"J",66.847,"Y",83.883,"Class1",48.685
5.14,42,10,"E",68.238,"U",65.709,"Class1",65.424
28.95,70,96,"T",86.295,"C",44.796,"Class2",53.917
39.545,72,55,"O",25.937,"I",44.691,"Class2",NA
47.697,31,10,"E",63.829,"H",88.999,"Class1",88.305
19.517,85,3,"S",59.414,"A",53.674,"Class3",52.401
37.572,51,6,"E",65.971,"H",67.096,"Class1",54.468
43.598,70,42,"N",64.61,"U",56.076,"Class2",55.166
33.214,35,NA,"D",62.449,"U",46.204,"Class2",53.83
NA,54,80,"J",64.451,"G",64.452,"Class2",55.018
42.333,49,57,"T",48.255,"I",38.026,"Class2",53.555
46.272,58,72,"O",52.236,"G",59.072,"Class2",54.355
30.98,28,53,"O",70.87,"I",64.75,"Class2",52.153
NA,72,91,"O",77.337,"G",49.413,"Class2",55.08
32.982,61,7,"E",71.544,"V",78.768,"Class1",87.76
49.868,40,7,"X",62.324,"Y",79.112,"Class1",67.947
35.184,32,8,"E",65.035,"V",72.872,"Class1",87.402
9.601,84,6,"S",51.965,"M",48.191,"Class3",60.202
11.68,84,8,"W",62.486,"J",52.931,"Class3",77.611
46.916,48,7,"X",70.736,"U",75.462,"Class1",57.529
30.014,51,70,"N",65.977,"I",53.497,"Class2",55.091
NA,85,NA,"S",36.943,"J",19.913,"Class3",54.174
-9.372,60,9,"F",64.614,"U",67.62,"Class1",76.374
29.648,25,7,"J",NA,"U",78.123,"Class1",84.571
35.355,58,91,"T",69.049,"G",50.149,"Class2",54.946
44.136,21,11,"F",63.901,"V",77.881,"Class1",53.643
13.045,85,10,"R",68.887,"H",NA,"Class3",50.493
53.623,82,73,"N",52.249,"G",46.707,"Class2",52.766
15.647,84,1,"X",53.89,"A",7.233,"Class3",58.31
NA,68,NA,"J",52.665,"U",39.229,"Class2",51.685
39.167,58,NA,"J",69.863,"V",67.775,"Class1",63.808
10.808,NA,2,"V",32.974,"M",43.197,"Class3",46.465
14.248,84,2,"S",51.74,"E",28.538,"Class3",66.279
9.339,85,8,"V",35.35,"E",32.615,"Class3",41.907
43.569,29,69,"T",75.207,"S",37.07,"Class2",51.697
13.364,85,14,"W",73.178,"A",25.685,"Class3",84.768
3.492,85,10,"X",61.296,"H",29.72,"Class3",45.05
55.14,52,65,"D",65.868,"C",42.704,"Class2",51.115
11.56,85,7,"S",51.99,"H",56.312,"Class3",NA
10.663,84,5,"V",56.329,"J",72.66,"Class3",54.047
7.612,NA,10,"S",32.91,"E",49.204,"Class3",84.491
14.085,85,13,"R",57.65,"H",29.291,"Class3",58.883
5.67,66,6,"X",66.381,"V",85.332,"Class1",79.84
46.66,36,6,"F",67.148,"Y",65.171,"Class1",80.654
24.123,84,7,"R",59.411,"J",66.049,"Class3",55.55
56.985,82,NA,"D",107.85,"S",NA,"Class2",53.728
42.368,61,8,"J",67.777,"Y",95.194,"Class1",56.624
15.971,84,1,"X",58.918,"H",19.123,"Class3",66.941
NA,85,13,"W",40.504,"J",75.465,"Class3",55.458
0.893,27,9,"J",69.142,"G",95.18,"Class1",80.837
26.916,85,10,"S",50.818,"E",8.918,"Class3",64.112
44.294,57,NA,"D",53.449,"U",54.907,"Class2",55.911
53.924,NA,NA,"E",69.001,"H",65.335,"Class1",93.778
52.851,30,85,"J",48.148,"G",60.373,"Class2",52.481
7.16,NA,9,"X",36.194,"E",25.486,"Class3",70.118
49.323,43,9,"F",66.576,"Y",90.808,"Class1",83.557
-0.888,52,7,"T",62.063,"Y",76.314,"Class1",62.196
33.14,32,64,"D",55.357,"C",58.057,"Class2",NA
25.593,22,10,"T",66.009,"H",91.837,"Class1",50.742
35.193,73,55,"O",41.34,"U",55.345,"Class2",55.083
20.703,65,8,"J",67.435,"G",87.912,"Class1",51.814
-2.748,18,11,"X",69.106,"V",91.997,"Class1",78.865
76.129,49,74,"D",64.198,"G",63.499,"Class2",55.98
33.155,51,75,"O",69.122,"C",NA,"Class2",NA
17.145,85,5,"W",63.543,"H",47.681,"Class3",45.177
20.57,NA,1,"R",34.079,"M",24.648,"Class3",48.051
30.528,67,10,"J",69.05,"G",79.143,"Class1",64.474
30.169,40,11,"F",62.232,"H",69.343,"Class1",63.877
4.245,85,10,"X",41.072,"J",48.144,"Class3",84.087
9.558,85,3,"W",86.014,"A",21.214,"Class3",50.001
63.71,20,9,"J",69.114,"U",69.661,"Class1",66.678
40.653,62,76,"D",37.517,"C",62.79,"Class2",54.855
12.823,85,2,"S",58.83,"H",5.191,"Class3",57.727
30.254,NA,97,"T",62.478,"C",53.267,"Class2",54.832
15.143,85,4,"X",34.465,"E",25.632,"Class3",90.751
36.736,28,NA,"J",50.652,"U",59.994,"Class2",54.526
39.106,58,11,"F",73.913,"U",75.942,"Class1",87.025
1.423,84,7,"V",50.289,"M",66.394,"Class3",90.239
51.309,21,56,"T",48.755,"U",51.696,"Class2",53.798
41.949,18,51,"T",80.337,"S",54.512,"Class2",52.668
39.344,77,76,"D",73.994,"G",64.392,"Class2",53.098
-2.231,50,10,"F",68.77,"U",80.535,"Class1",NA
73.704,28,81,"N",70.263,"C",59.104,"Class2",53.969
8.492,84,14,"X",24.367,"E",73.603,"Class3",60.781
18.151,84,7,"R",53.893,"M",49.509,"Class3",75.911
13.993,85,13,"R",58.639,"H",35.466,"Class3",59.4
5.142,17,6,"X",62.686,"H",69.482,"Class1",53.259
16.698,22,6,"F",70.865,"V",92.196,"Class1",63.773
16.141,NA,1,"W",76.604,"A",71.989,"Class3",73.003
12.389,85,6,"X",36.44,"A",17.158,"Class3",39.756
48.013,71,98,"D",59.28,"C",52.615,"Class2",52.956
46.027,22,9,"T",68.122,"G",73.362,"Class1",NA
31.14,66,6,"F",72.333,"H",87.798,"Class1",47.958
19.419,84,13,"V",17.474,"E",4.192,"Class3",35.32
64.096,80,41,"O",98.666,"S",57.529,"Class2",53.071
12.011,84,10,"S",6.61,"A",35.039,"Class3",35.317
12.94,84,8,"R",10.421,"M",17.763,"Class3",40.652
8.204,37,6,"J",65.766,"U",87.145,"Class1",47.345
18.812,85,10,"R",13.635,"J",21.709,"Class3",NA
18.962,85,3,"X",51.528,"M",26.043,"Class3",90.832
36.63,78,54,"N",43.874,"S",55.173,"Class2",54.44
31.695,56,99,"D",58.152,"C",41.247,"Class2",54.462
25.456,48,92,"D",55.58,"I",50.633,"Class2",54.04
15.081,84,6,"X",59.617,"M",NA,"Class3",94.203
52.324,40,69,"O",73.975,"C",55.495,"Class2",53.226
NA,84,11,"W",60.94,"J",47.162,"Class3",57.523
46.867,34,93,"N",51.631,"S",46.55,"Class2",52.804
40.331,40,42,"D",NA,"U",61.555,"Class2",54.309
36.041,NA,83,"D",80.741,"G",49.747,"Class2",51.542
48.528,74,82,"N",67.495,"C",56.442,"Class2",51.7
15.04,85,2,"R",38.65,"J",7.424,"Class3",86.236
27.489,16,7,"J",71.542,"Y",NA,"Class1",54.455
41.328,31,89,"D",79.014,"U",38.605,"Class2",52.346
46.479,81,87,"N",NA,"C",44.186,"Class2",54.505
11.477,84,5,"S",62.797,"H",22.154,"Class3",42.246
75.983,35,70,"N",81.186,"I",58.316,"Class2",55.949
16.104,84,12,"V",75.94,"M",NA,"Class3",NA
16.134,84,NA,"X",94.881,"A",34.823,"Class3",NA
24.549,23,11,"F",65.185,"V",79.592,"Class1",62.51
18.907,84,10,"V",37.163,"M",67.74,"Class3",NA
10.528,84,15,"X",57.909,"M",58.318,"Class3",60.704
12.668,84,2,"S",36.668,"H",76.342,"Class3",68.772
53.89,49,10,"J",67.752,"H",88.007,"Class1",97.087
10.392,84,9,"X",80.51,"E",19.917,"Class3",71.768
25.786,22,9,"F",64.921,"V",81.018,"Class1",48.794
53.132,42,74,"N",87.84,"C",47.93,"Class2",53.026
45.18,55,59,"J",39.023,"C",43.497,"Class2",52.947
NA,17,7,"X",67.484,"Y",76.177,"Class1",89.849
17.98,NA,4,"W",69.673,"H",12.541,"Class3",75.645
14.163,84,7,"R",60.272,"A",47.386,"Class3",60.976
67.403,40,92,"J",72.568,"C",38.148,"Class2",53.231
52.583,55,8,"E",71.195,"V",68.51,"Class1",56.027
45.813,57,11,"J",66.601,"V",70.395,"Class1",81.24
16.193,84,10,"R",76.877,"A",20.789,"Class3",69.783
37.386,15,46,"J",71.019,"C",59.884,"Class2",52.014
24.425,NA,11,"J",72.115,"H",71.961,"Class1",67.162
24.982,21,9,"J",65.744,"V",75.356,"Class1",49.298
14.685,84,3,"V",76.191,"J",8.101,"Class3",87.916
18.193,85,7,"R",60.97,"H",55.385,"Class3",44.01
26.506,65,40,"J",88.886,"I",60.365,"Class2",52.661
53.625,50,52,"J",74.346,"S",47.565,"Class2",51.389
10.023,84,14,"V",58.83,"M",26.535,"Class3",86.503
17.096,84,10,"X",56.506,"M",36.369,"Class3",48.287
54.943,NA,94,"D",40.411,"I",59.142,"Class2",55.101
35.495,72,66,"O",55.532,"C",37.307,"Class2",52.105
NA,61,46,"N",44.317,"G",NA,"Class2",52.51
46.495,15,85,"D",NA,"G",37.535,"Class2",53.049
45.003,53,97,"D",78.417,"C",63.334,"Class2",51.102
18.014,23,8,"X",65.038,"Y",73.033,"Class1",57.282
59.914,21,43,"T",65.02,"I",56.383,"Class2",55.073
44.665,51,NA,"J",55.755,"U",37.286,"Class2",53.129
33.549,57,60,"T",68.723,"S",56.919,"Class2",52.893
16.913,85,12,"S",54.105,"A",66.542,"Class3",57.036
36.567,48,54,"T",56.992,"S",63.38,"Class2",52.713
9.971,84,10,"V",74.613,"E",30.624,"Class3",40.44
NA,24,88,"T",57.125,"G",57.035,"Class2",52.699
25.767,21,NA,"J",67.424,"H",81.379,"Class1",64.601
67.768,28,11,"T",68.473,"U",NA,"Class1",90.305
38.496,17,52,"T",58.961,"G",64.957,"Class2",52.249
21.533,50,7,"T",NA,"V",94.501,"Class1",69.983
51.514,60,76,"O",90.608,"S",56.872,"Class2",55.513
50.917,65,96,"J",53.578,"I",44.524,"Class2",51.546
13.073,85,15,"R",53.207,"H",66,"Class3",40.057
13.885,85,10,"V",42.235,"A",76.768,"Class3",66.516
NA,85,9,"X",49.133,"J",69.172,"Class3",44.935
37.128,58,71,"J",93.718,"I",47.544,"Class2",52.879
31.677,NA,94,"J",43.643,"G",61.301,"Class2",54.789
23.075,24,46,"D",44.169,"C",46.447,"Class2",52.294
28.624,28,6,"X",73.4,"U",84.534,"Class1",77.41
29.976,60,6,"J",70.361,"H",78.959,"Class1",52.362
35.602,57,11,"J",67.174,"U",87.149,"Class1",59.241
32.824,62,60,"N",66.353,"C",61.564,"Class2",52.074
45.434,39,7,"X",68.277,"H",92.826,"Class1",95.568
42.102,49,51,"O",45.505,"I",65.654,"Class2",51.959
20.078,85,15,"S",50.483,"M",23.296,"Class3",61.164
11.067,85,7,"X",48.814,"M",32.199,"Class3",54.745
49.868,68,55,"D",74.304,"C",46.239,"Class2",55.731
32.373,22,6,"X",63.73,"H",NA,"Class1",92.556
11.571,48,6,"T",70.29,"U",78.571,"Class1",70.717
8.855,84,12,"S",39.467,"M",69.946,"Class3",74.083
7.724,84,11,"X",16.065,"J",12.999,"Class3",65.325
15.362,85,2,"V",76.238,"M",28.744,"Class3",NA
26.853,21,11,"J",65.304,"V",76.972,"Class1",63.727
11.065,84,9,"W",9.111,"J",13.14,"Class3",87.068
11.789,41,10,"T",73.442,"Y",80.683,"Class1",55.913
39.279,44,88,"O",77.264,"G",53.559,"Class2",NA
0.774,23,10,"J",59.613,"V",80.864,"Class1",97.788
11.409,85,14,"X",62.767,"E",58.302,"Class3",72.597
41,43,89,"T",88.283,"G",46.244,"Class2",NA
48.731,16,60,"J",58.222,"S",36.801,"Class2",53.535
NA,84,15,"X",56.456,"E",55.809,"Class3",49.679
3.224,84,1,"V",41.158,"M",64.306,"Class3",63.381
4.842,84,9,"S",75.225,"A",47.193,"Class3",NA
NA,45,9,"E",68.313,"Y",67.276,"Class1",56.113
9.007,85,15,"X",48.488,"M",40.873,"Class3",82.875
17.07,85,4,"V",54.554,"H",63.116,"Class3",46.701
31.567,36,9,"J",61.794,"V",83.426,"Class1",75.276
24.761,39,NA,"F",NA,"Y",67.123,"Class1",76.626
-0.714,39,9,"X",58.593,"H",71.261,"Class1",84.075
56.543,82,45,"N",66.499,"G",41.085,"Class2",53.215
50.076,32,8,"E",64.972,"V",79.118,"Class1",55.718
5.03,36,8,"X",64.239,"H",83.716,"Class1",67.981
11.228,85,4,"S",22.41,"J",32.593,"Class3",32.502
11.786,NA,5,"R",24.035,"M",20.578,"Class3",94.058
46.584,23,9,"J",66.935,"U",71.899,"Class1",49.186
53.884,68,60,"D",66.472,"S",63.165,"Class2",55.827
59.154,NA,84,"D",56.353,"U",43.299,"Class2",53.984
25.524,54,9,"X",65.084,"U",81.146,"Class1",91.584
56.176,65,6,"X",67.839,"G",76.894,"Class1",70.348
16.935,NA,13,"W",63.338,"H",9.401,"Class3",NA
32.625,44,77,"N",44.973,"U",36.839,"Class2",55.047
12.236,85,2,"W",44.833,"J",48.281,"Class3",88.654
42.459,42,84,"T",63.572,"U",65.775,"Class2",54.467
17.906,85,9,"W",59.816,"H",15.292,"Class3",66.689
9.413,84,1,"V",77.356,"A",63.071,"Class3",79.177
35.797,47,42,"N",38.645,"C",48.61,"Class2",52.6
19.961,84,14,"W",29.321,"E",45.135,"Class3",67.74
39.687,78,91,"T",72.221,"G",45.639,"Class2",51.586
16.47,84,3,"R",51.122,"E",37.259,"Class3",67.977
75.546,46,78,"J",92.241,"C",59.812,"Class2",55.747
47.214,38,7,"F",66.977,"H",67.778,"Class1",46.466
40.268,15,76,"J",32.485,"G",42.946,"Class2",51.997
14.494,84,7,"X",79.83,"H",20.352,"Class3",57.053
6.145,85,5,"W",46.295,"E",61.603,"Class3",56.998
29.763,32,NA,"X",63.59,"G",70.746,"Class1",82.223
NA,22,40,"D",54.906,"C",41.892,"Class2",51.045
44.712,47,NA,"F",68.226,"G",NA,"Class1",80.695
16.68,85,13,"W",25.769,"E",33.736,"Class3",62.626
68.629,68,93,"N",49.806,"C",42.189,"Class2",52.66
13.508,84,8,"V",23.291,"A",20.317,"Class3",68.94
8.959,84,12,"X",32.417,"E",74.817,"Class3",64.782
31.976,62,60,"D",33.917,"S",46.261,"Class2",54.013
11.734,85,1,"R",54.063,"M",70.822,"Class3",NA
35.06,54,40,"N",107.051,"G",50.461,"Class2",55.219
16.073,85,10,"V",70.268,"M",67.981,"Class3",NA
66.278,71,86,"N",38.45,"C",NA,"Class2",NA
NA,84,3,"X",48.191,"J",41.609,"Class3",62.439
12.032,85,14,"X",22.188,"A",40.54,"Class3",54.699
28.895,22,6,"F",69.497,"H",65.122,"Class1",70.802
53.268,35,76,"N",78.957,"C",36.276,"Class2",52.98
50.981,33,79,"N",42.6,"I",39.973,"Class2",54.15
6.357,85,8,"R",58.9,"H",63.596,"Class3",88.131
45.543,80,82,"J",69.65,"S",50.778,"Class2",55.542
14.369,65,10,"J",67.16,"G",89.962,"Class1",88.412
40.064,30,67,"T",115.119,"C",65.677,"Class2",51.996
NA,29,9,"J",62.194,"H",74.699,"Class1",72.394
23.347,85,12,"W",38.307,"E",71.17,"Class3",59.883
5.179,28,11,"F",68.812,"Y",91.604,"Class1",52.205
70.725,NA,NA,"J",73.195,"U",47.669,"Class2",55.952
