"Z1","Z2","Z3","Z4","Z5","Z6","Class","Z8","Z9"
90.443,76.792,77.324,"G",43.197,"I","Class2",76,6
44.562,29.186,81.787,"I",43.456,"E","Class1",26,96
55.989,89.032,85.502,"C",56.341,"W","Class2",NA,6
47.439,28.666,85.51,"I",40.643,"A","Class1",41,82
34.249,52.512,87.551,"T",63.751,"Z","Class3",12,26
54.971,10.492,32.061,"O",92.532,"X","Class4",68,88
82.056,NA,86.448,"G",27.826,"S","Class2",63,NA
79.436,69.037,83.734,"M",36.216,"T","Class2",73,11
45.26,29.34,NA,"O",56.886,"J","Class4",71,85
47.269,35.302,49.501,"H",65.189,"W","Class1",19,87
47.828,41.092,102.042,"L",NA,"A","Class1",NA,93
76.513,74.096,73.089,"C",37.56,"W","Class2",78,1
47.221,58.949,36.886,"D",46.563,"K","Class4",67,84
51.519,61.032,27.447,"D",47.201,"X","Class4",69,93
22.082,20.858,85.846,"C",68.848,"L","Class3",13,30
32.34,NA,85.968,"O",62.428,"U","Class3",12,43
39.957,16.102,78.654,"M",54.378,"Z","Class3",12,41
45.177,34.63,69.939,"I",61.136,"C","Class1",12,80
31.491,47.983,90.715,"C",65.726,"O","Class3",13,NA
54.859,55.724,42.395,"O",39.243,"J","Class4",64,84
53.147,12.609,68.225,"I",58.422,"K","Class4",70,90
54.468,12.997,56.61,"B",38.289,"T","Class4",69,92
49.815,58.226,44.594,"O",73.921,"T","Class4",65,91
37.701,22.586,82.374,"O",90.15,"U","Class3",12,27
45.373,NA,98.981,"C",32.146,"J","Class1",12,78
46.694,46.401,NA,"D",47.741,"F","Class4",72,83
45.565,11.521,46.296,"C",93.401,"X","Class4",70,86
NA,44.042,79.634,"M",77.609,"L","Class3",13,38
19.381,8.796,89.197,"C",48.802,"O","Class3",12,45
20.031,41.663,90.85,"C",54.243,"J","Class3",13,52
44.109,29.378,47.613,"B",71.318,"F","Class4",69,91
NA,10.585,82.689,"O",47.537,"J","Class3",13,48
52.979,58.801,51.185,"I",88.583,"T","Class4",66,87
47.591,52.579,29.519,"D",37.403,"T","Class4",65,91
20.138,88.499,81.851,"F",55.444,"C","Class2",56,11
36.798,48.762,80.764,"M",72.132,"Z","Class3",12,NA
74.026,71.23,75.52,"G",34.411,"W","Class2",61,3
46.253,46.977,49.947,"C",38.452,"C","Class1",NA,97
79.406,81.96,83.598,"O",29.683,"W","Class2",60,5
46.165,28.873,66.66,"H",80.695,"J","Class1",46,79
105.998,86.216,73.323,"C",44.481,"W","Class2",62,2
16.365,25.912,79.564,"M",93.943,"J","Class3",12,44
48.605,38.716,94.927,"L",29.257,"J","Class1",9,93
30.946,18.855,72.791,"M",57.107,"L","Class3",12,32
47.063,41.976,69.047,"H",89.688,"C","Class1",9,95
49.94,24.433,47.62,"D",NA,"T","Class4",73,91
51.737,51.422,31.923,"D",45.796,"K","Class4",69,86
19.298,30.749,71.659,"M",NA,"O","Class3",12,52
47.382,25.88,50.078,"C",49.547,"E","Class1",5,77
14.789,88.728,85.758,"F",52.928,"W","Class2",NA,12
47.332,35.167,92.438,"F",NA,"L","Class3",12,39
49.52,25.688,46.673,"C",35.757,"X","Class4",65,94
44.228,37.988,71.853,"F",NA,"O","Class3",12,29
66.224,81.979,NA,"F",37.909,"C","Class2",65,10
50.094,77.756,77.821,"M",32.096,"C","Class2",50,11
81.011,73.606,80.603,"F",29.132,"S","Class2",54,8
43.318,33.212,NA,"C",68.645,"W","Class1",7,91
47.349,41.898,95.979,"E",76.127,"A","Class1",28,77
70.322,75.369,80.396,"G",56.954,"T","Class2",NA,6
80.737,85.226,79.889,"G",28.73,"W","Class2",58,11
44.491,62.015,43.488,"I",60.317,"F","Class4",65,91
41.484,48.971,45.525,"B",78.155,"X","Class4",73,89
-22.959,89.275,85.967,"C",50.77,"T","Class2",80,11
48.441,64.059,35.704,"C",36.725,"F","Class4",67,91
66.903,89.522,78.022,"O",54.814,"C","Class2",63,9
32.784,54.036,88.475,"C",53.389,"O","Class3",12,44
49.126,30.542,51.627,"I",55.757,"J","Class1",38,90
37.474,42.623,77.956,"M",54.333,"U","Class3",13,44
46.579,31.245,104.719,"H",65.842,"J","Class1",19,94
46.899,35.744,32.969,"C",88.034,"T","Class4",72,83
18.077,85.728,79.601,"F",62.636,"C","Class2",69,4
22.894,13.035,83.09,"C",64.043,"O","Class3",12,51
50.584,4.017,30.582,"C",74.451,"J","Class4",70,84
48.953,55.753,76.932,"C",52.563,"J","Class3",12,45
46.689,55.941,82.381,"M",88.156,"U","Class3",13,48
16.177,52.873,91.13,"C",70.33,"Z","Class3",13,37
47.926,33.305,44.585,"H",39.704,"E","Class1",11,77
44.812,6.54,33.966,"O",51.58,"T","Class4",68,85
47.053,42.31,76.99,"H",43.054,"W","Class1",3,90
47.729,43.76,82.058,"L",82.352,"C","Class1",15,95
44.218,33.692,67.636,"H",71.099,"E","Class1",22,80
41.88,50.752,30.694,"D",67.227,"X","Class4",70,91
34.04,47.777,89.973,"M",89.858,"U","Class3",12,42
49.946,10.95,32.875,"O",60.713,"J","Class4",64,83
55.31,43.417,42.132,"O",73.08,"X","Class4",70,83
26.829,43.288,84.323,"T",52.687,"L","Class3",12,34
NA,9.534,88.606,"M",90.625,"L","Class3",13,33
25.221,85.171,81.463,"O",39.297,"S","Class2",78,7
27.214,32.06,75.856,"F",92.364,"Z","Class3",13,42
48.648,43.885,68.387,"C",26.165,"E","Class1",13,79
45.598,44.007,57.474,"H",NA,"W","Class1",15,95
48.644,49.034,20.255,"I",50.722,"K","Class4",73,87
48.08,7.204,44.336,"D",84.133,"F","Class4",66,86
68.34,82.317,81.138,"G",37.365,"T","Class2",58,12
49.508,39.243,90.274,"C",85.113,"J","Class1",40,97
27.8,24.458,86.776,"T",75.649,"U","Class3",13,27
45.494,NA,46.351,"C",77.982,"W","Class1",15,85
44.88,34.573,74.01,"H",46.749,"W","Class1",3,80
45.289,48.149,37.926,"O",67.702,"K","Class4",72,93
25.987,32.91,77.536,"T",73.394,"L","Class3",12,36
59.862,27.98,34.729,"C",35.879,"J","Class4",69,89
41.518,24.758,44.361,"O",63.058,"X","Class4",65,86
28.855,39.353,82.053,"C",67.737,"J","Class3",12,43
51.963,36.164,NA,"O",91.67,"Z","Class3",12,40
72.027,89.051,90.33,"O",53.431,"S","Class2",71,NA
73.991,77.008,75.397,"F",45.866,"I","Class2",52,5
46.934,42.978,41.614,"E",80.38,"W","Class1",41,92
69.321,78.433,71.237,"C",27.558,"S","Class2",65,NA
48.322,42.152,87.832,"C",75.269,"A","Class1",16,87
37.978,41.175,84.528,"T",57.992,"Z","Class3",12,46
48.646,24.164,39.122,"L",81.566,"A","Class1",2,82
44.835,35.627,68.911,"C",63.43,"J","Class1",18,77
NA,40.118,81.214,"F",NA,"L","Class3",12,33
41.867,48.717,79.852,"M",68.226,"U","Class3",12,39
76.845,71.644,64.827,"C",64.302,"W","Class2",52,8
45.986,48.732,35.531,"D",43.524,"T","Class4",73,91
49.13,82.868,76.188,"O",58.503,"T","Class2",78,10
49.814,39.621,41.284,"O",77.42,"F","Class4",69,91
76.105,81.986,82.747,"F",51.834,"I","Class2",79,6
48.38,31.544,61.134,"I",73.552,"F","Class4",68,83
40.236,30.919,42.217,"O",45.846,"K","Class4",68,86
49.655,76.346,80.388,"O",32.698,"I","Class2",53,8
35.886,82.586,85.305,"F",29.11,"W","Class2",69,2
65.551,71.149,86.782,"C",35.955,"I","Class2",61,12
46.15,43.751,84.213,"E",86.901,"E","Class1",2,84
54.298,60.272,43.627,"O",38.815,"T","Class4",69,87
45.955,42.717,68.3,"E",30.625,"A","Class1",32,84
50.648,24.124,31.505,"D",67.125,"J","Class4",64,NA
30.965,16.277,90.369,"T",88.07,"Z","Class3",13,40
48.127,24.573,91.868,"C",58.628,"L","Class3",12,39
46.47,84.147,84.184,"M",50.606,"S","Class2",77,1
47.232,36.956,43.539,"C",59.576,"W","Class1",23,82
44.906,38.555,89.49,"C",58.371,"C","Class1",38,94
49.173,47.44,83.561,"O",63.365,"J","Class3",13,39
45.487,33.121,61.954,"C",61.027,"C","Class1",18,96
52.025,28.669,43.039,"B",35.017,"K","Class4",73,85
34.314,85.201,77.916,"F",44.775,"I","Class2",71,8
57.958,30.795,87.657,"M",52.472,"Z","Class3",12,43
47.006,41.953,81.584,"I",74.406,"J","Class1",43,88
66.709,75.913,79.146,"G",NA,"I","Class2",62,3
45.154,23.852,81.52,"I",56.36,"J","Class1",39,89
43.708,36.222,99.345,"C",33.399,"E","Class1",44,92
19.806,81.031,80.009,"O",41.382,"C","Class2",57,12
NA,42.698,87.71,"E",27.85,"A","Class1",15,78
47.45,37.582,69.944,"C",77.09,"C","Class1",27,79
69.09,83.939,79.816,"O",48.878,"I","Class2",54,2
NA,69.228,84.569,"C",27.994,"C","Class2",54,6
47.386,NA,48.134,"L",62.376,"E","Class1",9,91
53.859,21.247,52.957,"O",45.384,"J","Class4",64,94
45.578,80.327,80.708,"G",49.156,"C","Class2",59,0
37.307,45.122,74.062,"T",90.306,"Z","Class3",12,35
35.715,NA,80.056,"T",51.743,"L","Class3",12,NA
34.556,28.02,89.841,"O",48.638,"U","Class3",13,49
53.739,8.925,62.283,"D",81.527,"T","Class4",71,91
53.906,70.308,80.88,"C",48.492,"S","Class2",69,10
95.789,NA,80.431,"O",22.177,"C","Class2",66,0
45.23,33.408,82.381,"L",21.16,"A","Class1",33,90
49.908,56.355,44.71,"B",76.884,"X","Class4",70,84
33.294,87.753,88.249,"F",50.805,"I","Class2",73,0
16.419,22.464,80.461,"C",72.812,"J","Class3",13,32
49.76,47.27,42.002,"I",70.972,"K","Class4",69,93
65.449,49.739,86.316,"M",80.157,"Z","Class3",13,29
55.075,26.002,NA,"F",50.028,"O","Class3",12,31
47.289,43.469,46.577,"H",22.796,"A","Class1",11,NA
45.755,35.696,49.487,"D",41.196,"X","Class4",65,94
21.96,45.152,89.103,"M",73.108,"J","Class3",13,47
45.01,26.901,39.701,"D",61.448,"K","Class4",67,84
49.103,41.036,86.713,"E",79.253,"C","Class1",3,92
44.834,42.923,52.075,"E",25.215,"C","Class1",36,84
45.295,37.802,68.704,"E",81.817,"E","Class1",36,79
39.526,7.352,40.774,"C",37.222,"J","Class4",67,93
44.793,73.149,79.689,"M",45.135,"C","Class2",77,8
NA,46.661,31.836,"B",59.663,"J","Class4",68,90
NA,28.6,81.614,"E",70.986,"A","Class1",41,87
30.357,26.328,86.575,"O",47.206,"Z","Class3",13,47
59.355,41.055,71.375,"T",60.453,"L","Class3",13,42
46.257,40.593,66.863,"L",16.625,"W","Class1",16,84
39.445,79.96,77.365,"M",35.581,"W","Class2",75,12
45.653,38.313,77.302,"L",16.919,"W","Class1",30,89
47.572,30.738,62.288,"H",39.485,"W","Class1",36,89
46.602,33.449,48.324,"E",26.486,"C","Class1",8,89
72.753,79.648,83.833,"G",22.308,"I","Class2",67,7
47.934,35.094,51.587,"E",18.849,"C","Class1",22,84
NA,59.647,39.05,"B",86.561,"T","Class4",70,92
46.334,23.88,43.209,"C",26.562,"J","Class1",43,79
NA,89.681,73.012,"O",33.758,"W","Class2",60,7
18.125,13.622,83.736,"O",81.071,"Z","Class3",12,35
44.793,27.209,22.766,"H",87.213,"W","Class1",4,81
63.945,9.038,78.603,"M",51.878,"O","Class3",12,30
31.959,36.535,84.468,"T",62.83,"Z","Class3",13,45
49.934,28.358,39.814,"I",70.65,"X","Class4",64,88
64.645,79.267,85.714,"C",47.976,"S","Class2",61,1
37.731,35.311,NA,"F",86.368,"U","Class3",13,30
48.097,47.238,71.813,"F",82.308,"Z","Class3",12,33
38.862,84.975,NA,"C",40.266,"S","Class2",51,5
31.709,49.7,81.418,"F",69.387,"L","Class3",12,50
44.523,40.663,69.737,"I",21.645,"A","Class1",38,82
44.472,34.737,79.662,"C",46.981,"A","Class1",26,NA
48.484,31.237,35.284,"E",19.407,"J","Class1",40,80
48.187,36.453,94.154,"I",79.756,"W","Class1",10,78
44.824,14.639,39.321,"B",92.302,"J","Class4",NA,83
56.177,51.882,28.932,"I",55.42,"K","Class4",68,84
NA,13.627,37.686,"C",74.494,"J","Class4",67,86
47.799,31.603,74.933,"E",47.991,"C","Class1",9,86
49.233,57.353,55.444,"D",72.031,"T","Class4",71,92
41.941,36.75,49.722,"D",78.352,"K","Class4",73,90
65.673,82.103,77.348,"G",48.388,"I","Class2",79,6
46.964,28.669,87.013,"E",18.206,"W","Class1",29,94
19.143,84.201,78.382,"C",48.559,"W","Class2",80,5
109.551,81.891,75.322,"C",55.184,"S","Class2",66,4
45.885,53.568,33.109,"I",60.363,"F","Class4",69,86
26.485,51.616,79.638,"O",72.145,"L","Class3",12,44
44.911,37.155,59.728,"C",87.197,"E","Class1",14,93
81.656,84.404,76.203,"G",30.255,"C","Class2",53,6
71.21,88.607,75.97,"O",41.328,"S","Class2",NA,10
18.322,14.791,79.671,"M",46.525,"U","Class3",12,29
NA,88.651,78.658,"F",22.888,"C","Class2",66,6
56.601,21.315,43.24,"B",66.284,"F","Class4",68,84
45.924,23.849,71.246,"L",30.921,"A","Class1",NA,84
93.951,89.112,76.561,"M",62.939,"C","Class2",55,11
51.089,24.11,37.021,"I",73.429,"T","Class4",67,84
57.911,15.151,72.712,"F",54.649,"Z","Class3",12,40
45.639,27.977,58.379,"I",71.733,"A","Class1",37,88
46.396,31.183,52.763,"I",83.024,"W","Class1",4,95
42.542,24.386,78.303,"M",64.603,"U","Class3",12,34
37.667,41.733,77.955,"C",75.432,"Z","Class3",13,34
44.055,31.992,120.374,"L",NA,"C","Class1",46,97
46.135,29.296,105.886,"C",20.384,"J","Class1",46,77
75.4,70.418,87.066,"G",24.021,"T","Class2",73,5
53.159,56.282,56.265,"B",NA,"F","Class4",68,83
48.224,23.607,85.604,"L",28.44,"W","Class1",25,86
39.385,44.858,81.827,"F",60.019,"L","Class3",12,47
NA,25.739,44.662,"E",79.822,"C","Class1",44,95
46.247,89.156,75.992,"C",32.185,"C","Class2",78,NA
54.663,NA,25.956,"B",50.098,"T","Class4",73,93
18.567,44.154,88.687,"T",47.078,"J","Class3",12,44
31.391,10.952,82.537,"O",61.633,"Z","Class3",13,30
58.005,21.178,48.361,"O",50.849,"K","Class4",69,90
22.627,7.29,71.915,"T",85.229,"U","Class3",13,50
28.071,51.778,76.836,"O",70.298,"O","Class3",13,28
36.998,21.039,83.309,"M",73.059,"L","Class3",13,31
46.411,65.254,48.36,"D",43.294,"F","Class4",71,88
48.123,53.008,42.202,"B",68.407,"K","Class4",68,89
31.203,17.56,74.485,"O",46.493,"J","Class3",13,42
81.735,85.654,76.217,"F",46.705,"C","Class2",71,8
NA,77.608,84.639,"G",48.837,"C","Class2",69,1
42.77,31.001,83.263,"O",61.439,"L","Class3",13,33
40.244,34.46,64.219,"C",NA,"J","Class1",2,95
50.804,40.096,60.936,"E",63.37,"C","Class1",31,92
38.475,39.512,84.371,"M",88.956,"L","Class3",12,34
40.159,46.172,84.537,"O",52.894,"O","Class3",12,34
67.249,73.437,83.183,"C",26.337,"C","Class2",50,1
43.242,26.495,74.776,"C",76.501,"L","Class3",12,41
30.862,83.961,80.252,"F",28.402,"C","Class2",NA,8
60.061,72.915,83.204,"M",42.704,"C","Class2",63,12
24.088,53.907,82.153,"F",60.979,"L","Class3",12,28
49.279,39.551,74.226,"H",74.58,"A","Class1",16,94
40.899,74.089,75.729,"F",22.703,"C","Class2",68,6
79.254,85.382,78.564,"F",36.631,"C","Class2",60,10
44.22,44.322,60.585,"H",69.678,"J","Class1",33,81
52.984,NA,57.916,"O",54.729,"K","Class4",64,85
49.142,27.946,79.263,"F",59.911,"J","Class3",13,46
109.026,71.042,76.17,"F",22.253,"W","Class2",61,8
35.912,29.45,82.541,"C",NA,"L","Class3",12,32
NA,48.987,NA,"D",35.771,"T","Class4",64,83
48.387,39.32,79.959,"T",59.329,"J","Class3",12,43
39.451,78.218,80.595,"F",49.47,"T","Class2",61,6
65.732,76.545,82.117,"C",47.701,"S","Class2",67,4
12.778,7.131,81.364,"F",93.203,"U","Class3",12,41
48.605,8.361,28.905,"O",64.219,"J","Class4",68,91
51.15,83.246,76.737,"G",65.855,"W","Class2",69,5
42.319,88.031,73.433,"G",49.592,"C","Class2",NA,6
43.202,82.199,82.595,"C",NA,"T","Class2",51,11
57.94,73.499,81.086,"G",28.211,"C","Class2",57,10
51.666,53.84,34.999,"I",48.475,"T","Class4",69,87
50.115,57.388,51.181,"D",61.526,"T","Class4",69,87
18.691,32.534,84.718,"C",67.233,"L","Class3",13,47
44.908,22.238,84.442,"T",NA,"O","Class3",12,39
79.709,NA,82.581,"G",38.164,"T","Class2",78,4
74.152,75.299,74.718,"F",27.948,"S","Class2",64,4
21.429,74.637,86.757,"C",22.394,"I","Class2",63,6
52.019,61.416,43.834,"C",78.807,"J","Class4",68,85
NA,54.309,73.645,"T",46.298,"O","Class3",13,30
50.492,NA,25.731,"O",67.242,"F","Class4",68,93
NA,85.219,78.64,"O",47.757,"W","Class2",58,12
31.763,NA,71.549,"M",63.815,"S","Class2",NA,7
49.806,76.299,81.338,"G",53.48,"W","Class2",77,9
32.556,81.61,80.893,"M",NA,"I","Class2",55,0
70.771,74.825,83.413,"F",37.154,"I","Class2",81,8
50.064,27.972,25.889,"B",60.681,"K","Class4",66,91
46.821,46.535,40.659,"I",58.63,"E","Class1",20,96
56.113,88.634,77.108,"G",31.208,"T","Class2",64,8
51.191,33.896,NA,"D",34.584,"X","Class4",67,89
48.873,NA,NA,"C",90.656,"K","Class4",73,89
100.84,83.802,81.466,"C",44.458,"C","Class2",81,5
31.27,25.516,NA,"C",60.774,"J","Class3",12,35
65.744,84.555,79.887,"C",58.995,"S","Class2",52,2
103.931,87.51,88.589,"F",67.435,"W","Class2",65,3
57.695,79.615,83.353,"O",55.534,"C","Class2",54,7
53.48,12.657,38.903,"O",41.746,"F","Class4",72,93
47.131,12.132,33.256,"B",69.69,"J","Class4",72,87
45.795,44.801,79.75,"C",64.229,"A","Class1",40,78
NA,81.305,77.486,"G",49.667,"S","Class2",66,10
58.139,88.395,73.919,"F",47.246,"T","Class2",75,10
27.961,47.496,86.177,"F",84.301,"U","Class3",13,34
44.179,39.638,26.705,"E",78.925,"J","Class1",7,78
44.685,38.547,NA,"C",53.183,"J","Class1",21,87
42.183,21.418,20.328,"O",41.451,"J","Class4",68,92
43.032,25.118,32,"O",41.692,"T","Class4",71,88
48.674,34.549,72.124,"I",40.788,"A","Class1",34,81
49.664,NA,39.905,"I",92.38,"X","Class4",65,87
78.521,73.898,78.697,"F",49.709,"W","Class2",57,1
47.626,45.576,48.793,"B",59.479,"J","Class4",64,NA
27.139,18.147,76.349,"O",70.609,"U","Class3",13,31
68.831,70.8,80.801,"G",42.949,"W","Class2",76,3
45.268,35.346,77.997,"I",32.572,"A","Class1",12,79
NA,12.438,83.216,"F",91.671,"O","Class3",13,50
41.887,76.792,79.849,"O",35.684,"W","Class2",76,1
51.99,19.479,38.284,"O",51.16,"X","Class4",71,91
45.696,39.345,64.641,"I",84.095,"W","Class1",26,78
81.433,79.678,77.789,"M",31.674,"S","Class2",71,8
23.333,27.592,86.334,"F",79.044,"L","Class3",13,40
50.777,35.341,75.416,"O",89.267,"J","Class3",13,47
45.793,41.13,67.017,"H",73.357,"W","Class1",28,97
41.87,25.373,85.098,"F",71.541,"O","Class3",13,26
36.587,28.182,84.549,"T",65.546,"O","Class3",12,36
40.804,35.951,42.08,"I",41.41,"K","Class4",73,94
64.07,84.593,79.076,"O",53.043,"C","Class2",74,8
53.765,39.006,43.981,"D",47.329,"J","Class4",68,91
NA,81.295,80.212,"O",41.368,"C","Class2",NA,5
51.222,64.906,38.383,"B",68.195,"X","Class4",64,83
44.621,14.965,42.724,"I",59.312,"F","Class4",70,90
22.171,34.966,69.302,"T",77.775,"Z","Class3",12,26
69.986,NA,75.869,"M",61.824,"S","Class2",56,6
89.03,82.306,72.168,"F",42.86,"T","Class2",59,8
50.593,32.227,76.013,"I",21.917,"A","Class1",3,82
66.165,19.928,77.148,"M",NA,"O","Class3",13,40
43.971,20.445,46.593,"O",56.076,"X","Class4",67,87
44.8,36.91,68.916,"I",24.224,"A","Class1",2,86
23.752,27.545,79.628,"T",90.72,"O","Class3",13,37
49.784,39.969,65.102,"E",50.351,"W","Class1",6,82
55.635,51.744,37.075,"I",39.258,"X","Class4",69,90
43.367,43.213,78.513,"O",55.305,"Z","Class3",NA,37
45.927,36.183,61.056,"I",20.025,"W","Class1",26,89
71.079,83.126,76.374,"F",38.352,"T","Class2",58,0
44.732,27.246,77.062,"F",48.651,"L","Class3",12,27
30.769,12.865,86.991,"T",50.278,"O","Class3",13,31
46.827,30.085,80.608,"E",81.675,"W","Class1",36,86
42.93,57.237,55.233,"C",75.468,"F","Class4",72,NA
43.548,42.106,89.111,"I",19.788,"E","Class1",25,85
47.049,26.955,85.07,"L",49.137,"J","Class1",3,83
46.867,32.118,62.942,"H",NA,"E","Class1",8,80
38.212,46.378,NA,"T",83.788,"Z","Class3",13,49
90.035,74.025,NA,"O",38.743,"I","Class2",53,5
51.269,26.698,50.328,"C",66.318,"X","Class4",NA,89
51.941,40.943,79.055,"M",69.807,"O","Class3",12,47
52.756,20.506,53.625,"D",61.928,"X","Class4",71,84
45.547,43.497,68.339,"E",81.451,"J","Class1",21,83
59.976,33.922,92.69,"O",91.154,"Z","Class3",13,39
40.899,16.241,NA,"C",48.463,"Z","Class3",13,30
41.924,37.934,76.414,"C",61.422,"C","Class1",39,95
38.008,76.816,75.005,"F",30.637,"W","Class2",72,3
62.004,55.482,77.535,"T",77.624,"J","Class3",12,52
46.733,36.869,86.974,"L",40.754,"E","Class1",26,78
40.744,53.826,74.818,"T",62.423,"U","Class3",12,49
86.897,78.411,84.143,"M",61.434,"T","Class2",59,3
