"S1","S2","Class","S4","S5","S6","S7","S8","S9"
"A",42.836,"Class1",56,43.178,14.928,42,72.456,"V"
"E",NA,"Class2",68,54.429,75.421,54,41.48,"K"
"K",51.093,"Class3",NA,54.663,42.202,73,10.671,"I"
"P",55.111,"Class3",16,56.873,39.736,66,14.783,"K"
"O",53.966,"Class2",69,62.702,78.136,43,63.313,"U"
"E",71.624,"Class1",65,50.376,-0.384,41,17.685,"V"
"A",49.105,"Class1",22,NA,0.618,44,78.596,"G"
"M",51.289,"Class2",68,49.423,80.392,62,NA,"U"
"C",101.278,"Class1",23,56.616,8.141,48,20.334,"G"
"L",53.966,"Class2",68,54.296,78.362,65,51.361,"J"
"D",43.203,"Class3",21,52.487,52.888,64,NA,"D"
"L",52.583,"Class2",66,45.454,73.436,37,44.299,"I"
"R",2.37,"Class1",17,56.347,0.525,50,18.986,"V"
"R",57.344,"Class1",NA,53.231,10.727,31,51.705,"G"
"D",53.455,"Class3",16,54.418,29.118,63,17.946,"G"
"O",56.158,"Class2",67,48.718,72.836,35,81.489,"K"
"C",42.654,"Class1",42,55.813,16.367,50,NA,"N"
"L",57.575,"Class2",68,63.304,67.802,70,89.851,"U"
"I",49.51,"Class2",68,55.151,74.124,66,91.251,"I"
"K",52.858,"Class3",24,NA,51.141,72,10.609,"D"
"E",NA,"Class1",57,52.553,7.561,53,57.753,"S"
"A",9.419,"Class1",NA,47.254,18.874,31,59.021,"V"
"Q",54.42,"Class3",25,49.809,29.952,69,10.571,"I"
"E",41.875,"Class1",30,58.722,5.172,47,49.925,"Z"
"E",66.856,"Class1",5,58.415,14.775,45,52.214,"V"
"I",54.722,"Class2",65,60.424,68.074,44,81.329,"G"
"P",54.826,"Class3",14,49.795,30.076,64,16.949,"D"
"E",50.799,"Class2",67,53.262,74.794,52,54.215,"J"
"E",50.827,"Class2",67,63.718,79.334,42,NA,"G"
"Q",45.922,"Class3",21,54.129,47.568,64,15.115,"G"
"O",NA,"Class2",66,43.838,70.065,68,90.833,"I"
"C",71.929,"Class1",71,54.085,-0.501,40,13.858,"S"
"I",57.656,"Class2",65,NA,71.43,45,78.914,"J"
"I",56.059,"Class2",66,53.264,75.457,42,65.67,"J"
"R",55.354,"Class1",62,52.653,14.334,42,24.306,"V"
"A",36.106,"Class1",11,53.659,5.342,43,74.417,"V"
"P",52.007,"Class3",NA,52.274,46.086,58,15.299,"K"
"D",60.053,"Class3",20,51.8,33.745,67,18.83,"I"
"H",47.386,"Class3",15,46.214,31.988,62,20.972,"D"
"Q",62.369,"Class3",13,54.973,42.043,NA,20.165,"G"
"P",57.941,"Class3",25,NA,NA,66,16.181,"G"
"A",51.413,"Class1",10,NA,-3.002,32,30.867,"Z"
"Q",48.646,"Class3",23,55.336,33.143,65,13.512,"K"
"P",49.377,"Class1",9,57.309,14.239,34,38.783,"N"
"M",55.425,"Class2",66,51.524,69.049,50,57.415,"U"
"O",54.536,"Class2",65,51.995,NA,41,66.749,"I"
"D",46.633,"Class3",21,NA,34.164,63,10.703,"D"
"Q",50.221,"Class3",19,53.04,30.262,68,15.272,"K"
"R",79.021,"Class1",28,44.657,10.935,52,56.307,"V"
"P",57.678,"Class3",18,NA,43.333,69,12.394,"G"
"E",52.592,"Class2",67,56.177,73.219,62,86.505,"G"
"L",55.057,"Class2",66,44.531,65.46,48,52.807,"U"
"I",56.623,"Class2",69,49.649,81.042,39,62.746,"K"
"D",54.065,"Class3",19,45.86,27.169,60,16.372,"I"
"O",52.297,"Class2",68,64.512,73.881,37,76.761,"K"
"M",52.166,"Class2",69,42.016,75.226,NA,82.899,"G"
"R",46.658,"Class1",6,NA,14.327,28,31.978,"N"
"C",74.664,"Class1",63,50.547,14.616,32,47.596,"V"
"R",NA,"Class1",28,45.06,15.384,52,74.242,"G"
"K",50.305,"Class3",16,49.941,37.811,68,15.204,"D"
"L",NA,"Class2",67,60.643,76.657,NA,77.574,"G"
"H",41.502,"Class3",18,45.193,39.825,66,18.221,"K"
"P",53.122,"Class1",35,43.969,16.052,36,NA,"G"
"R",24.95,"Class1",42,54.433,3.56,45,60.668,"N"
"L",53.242,"Class2",69,50.236,69.277,36,96.736,"J"
"P",74.979,"Class1",27,53.088,7.465,50,15.007,"V"
"M",53.609,"Class2",66,42.762,73.791,54,37.603,"G"
"P",21.626,"Class1",65,NA,7.806,53,30.522,"V"
"P",13.418,"Class1",20,49.949,12.416,28,30.723,"S"
"K",51.175,"Class3",16,56.04,20.906,66,12.773,"G"
"M",55.924,"Class2",69,58.676,71.824,64,58.179,"I"
"R",88.057,"Class1",35,58.073,10.641,51,36.645,"S"
"O",56.776,"Class2",66,42.911,72.98,37,45.052,"U"
"H",53.398,"Class3",13,48.396,34.874,67,10.049,"H"
"D",52.679,"Class3",23,49.665,43.403,65,19.573,"H"
"P",66.82,"Class3",18,NA,41.532,70,18.392,"I"
"I",53.324,"Class2",69,53.691,70.387,51,66.304,"U"
"K",NA,"Class3",22,43.962,42.891,NA,16.858,"K"
"O",55.402,"Class2",65,61.827,75.582,42,70.059,"I"
"P",NA,"Class1",6,48.297,-1.219,49,42.59,"Z"
"O",52.289,"Class2",67,62.857,73.382,70,71.888,"J"
"E",57.247,"Class2",67,44.645,74.071,65,65.12,"G"
"L",48.698,"Class2",67,53.687,72.834,57,90.342,"K"
"P",35.022,"Class1",60,52.852,4.832,29,32.603,"S"
"H",42.97,"Class3",21,53.149,30.727,60,16.859,"G"
"E",94.453,"Class1",44,54.757,8.943,51,48.13,"G"
"O",56.508,"Class2",66,56.496,74.127,54,58.597,"K"
"Q",36.478,"Class3",24,54.386,41.605,61,10.225,"I"
"A",51.432,"Class1",44,50.536,4.896,48,NA,"S"
"L",NA,"Class2",69,52.747,74.999,35,NA,"K"
"K",49.768,"Class3",11,53.844,27.234,67,18.852,"G"
"R",48.084,"Class1",16,51.348,8.899,31,70.951,"N"
"K",53.545,"Class3",13,55.82,60.125,64,20.793,"G"
"A",19.692,"Class1",50,48.191,13.967,45,9.904,"G"
"R",56.269,"Class1",74,49.566,NA,41,NA,"G"
"O",NA,"Class2",66,50.892,80.291,69,46.202,"J"
"Q",52.098,"Class3",19,46.053,33.175,66,10.516,"I"
"D",55.839,"Class3",23,45.67,37.884,67,13.579,"H"
"M",53.977,"Class2",65,64.342,NA,53,57.165,"J"
"K",50.945,"Class3",21,49.203,52.968,71,11.274,"G"
"L",55.531,"Class2",NA,52.093,67.221,68,73.971,"G"
"I",53.787,"Class2",68,45.819,75.445,NA,73.624,"K"
"P",84.993,"Class1",37,46.978,8.098,31,62.838,"N"
"H",41.522,"Class3",18,44.468,38.692,67,20.187,"H"
"E",57.045,"Class2",67,53.566,72.87,59,78.323,"G"
"Q",59.279,"Class3",25,50.673,50.83,61,20.6,"I"
"D",59.465,"Class3",20,56.691,43.912,70,18.893,"I"
"A",79.736,"Class1",41,57.491,13.213,42,32.164,"N"
"E",21.796,"Class1",18,47.364,12.698,NA,NA,"Z"
"L",NA,"Class2",69,47.648,70.943,59,80.315,"U"
"R",61.432,"Class1",62,49.653,-3.587,31,27.496,"N"
"M",56.644,"Class2",69,59.441,NA,40,80.57,"G"
"O",52.888,"Class2",68,52.176,66.658,64,87.947,"I"
"H",54.943,"Class3",15,53.716,40.558,70,12.757,"I"
"M",53.17,"Class2",65,44.858,78.289,48,51.852,"U"
"I",55.978,"Class2",66,46.312,74.502,58,42.261,"U"
"M",52.334,"Class2",69,52.993,75.45,69,87.271,"K"
"D",63.26,"Class3",12,54.025,34.699,71,12.249,"D"
"E",51.306,"Class1",10,47.297,13.091,46,70.362,"V"
"A",65.976,"Class1",46,51.801,8.801,32,48.37,"G"
"Q",59.226,"Class3",24,49.044,29.466,63,NA,"H"
"A",28.015,"Class1",44,52.892,8.177,36,38.023,"G"
"O",49.306,"Class2",69,63.327,71.149,63,51.836,"K"
"C",61.32,"Class1",22,47.027,3.985,39,64.058,"G"
"C",23.745,"Class1",75,44.871,-2.444,52,46.447,"V"
"K",44.379,"Class3",14,46.652,34.074,64,15.566,"G"
"P",3.973,"Class1",27,56.844,13.937,28,36.385,"N"
"K",57.133,"Class3",22,56.417,41.501,69,16.05,"H"
"L",52.369,"Class2",67,48.188,76.905,63,86.678,"K"
"P",25.882,"Class1",6,47.28,13.02,52,15.68,"V"
"C",91.268,"Class1",12,43.433,6.279,51,14.54,"Z"
"R",63.821,"Class1",57,44.073,15.726,53,NA,"G"
"E",54.34,"Class2",68,45.386,72.057,40,38.899,"G"
"E",67.616,"Class1",57,46.224,5.902,33,48.486,"N"
"H",56.47,"Class3",16,NA,26.571,71,20.922,"H"
"P",46.07,"Class1",43,44.934,16.302,45,42.111,"N"
"I",53.265,"Class2",65,47.882,72.257,62,43.392,"G"
"Q",61.822,"Class3",12,NA,32.148,71,NA,"D"
"A",42.239,"Class1",11,45.556,2.685,41,10.469,"G"
"R",39.599,"Class1",19,46.321,20.029,36,11.107,"Z"
"D",55.77,"Class3",25,47.098,36.606,70,17.364,"H"
"I",58.118,"Class2",65,43.902,78.539,69,61.861,"I"
"C",63.629,"Class1",59,44.595,18.646,46,78.178,"V"
"E",49.517,"Class2",66,51.201,72.44,44,88.312,"J"
"R",59.374,"Class1",69,52.929,15.046,NA,31.172,"Z"
"E",48.335,"Class1",53,56.374,5.718,46,23.266,"V"
"C",91.639,"Class1",51,47.559,17.628,32,38.254,"G"
"L",57.056,"Class2",68,51.578,74.123,57,93.037,"U"
"R",44.979,"Class1",71,58.206,16.559,49,53.675,"S"
"I",58.414,"Class2",66,59.791,78.977,45,56.497,"I"
"H",45.378,"Class3",16,53.895,37.506,59,15.374,"G"
"O",56.89,"Class2",69,NA,77.109,54,51.773,"I"
"M",53.468,"Class2",66,50.417,NA,46,82.338,"J"
"I",52.418,"Class2",68,63.155,76.271,38,56.794,"J"
"A",22.862,"Class1",55,58.067,17.009,51,51.96,"Z"
"R",119.723,"Class1",45,43.361,8.282,28,78.719,"G"
"O",49.947,"Class2",65,64.747,76.67,43,86.77,"U"
"P",18.107,"Class1",69,48.38,13.02,38,66.625,"S"
"M",53.93,"Class2",67,56.37,77.015,NA,NA,"J"
"E",24.269,"Class1",45,56.256,9.326,41,72.495,"S"
"I",59.565,"Class2",69,55.273,64.646,58,73.009,"U"
"M",52.229,"Class2",67,64.257,77.018,69,54.134,"J"
"L",51.788,"Class2",68,58.85,78.317,42,98.914,"J"
"Q",56.921,"Class3",18,50.007,43.718,72,10.542,"H"
"P",47.307,"Class3",16,50.175,44.61,66,12.193,"K"
"M",56.753,"Class2",66,61.566,75.082,36,93.642,"I"
"C",82.316,"Class1",17,49.236,-0.789,48,33.773,"Z"
"R",16.823,"Class1",48,46.519,15.919,44,19.442,"Z"
"A",46.4,"Class1",54,53.497,12.952,31,33.592,"G"
"E",52.768,"Class2",66,43.773,78.078,40,39.557,"U"
"C",7.948,"Class1",28,49.024,8.376,35,75.95,"V"
"D",63.246,"Class3",15,48.549,33.648,63,20.699,"I"
"D",NA,"Class3",17,47.418,32.317,67,15.296,"G"
"E",54.457,"Class2",67,48.053,71.398,42,61.246,"K"
"O",54.009,"Class2",69,NA,74.319,69,62.323,"G"
"O",53.704,"Class2",65,63.451,73.62,NA,78.739,"I"
"H",56.594,"Class3",14,56.885,28.113,NA,11.643,"G"
"L",53.972,"Class2",66,52.202,75.072,52,95.959,"G"
"C",87.931,"Class1",59,50.608,1.407,41,NA,"G"
"O",57.917,"Class2",69,58.893,72.855,44,58.774,"G"
"H",57.706,"Class3",17,54.987,NA,69,NA,"K"
"D",50.094,"Class3",17,48.279,46.652,71,18.886,"D"
"K",48.669,"Class3",14,49.444,26.453,NA,14.482,"I"
"P",47.5,"Class3",23,49.021,25.952,61,17.572,"H"
"Q",48.614,"Class3",19,51.117,NA,68,11.79,"D"
"L",58.357,"Class2",67,49.854,74.904,55,36.355,"I"
"M",53.613,"Class2",69,45.78,73.383,38,NA,"J"
"P",53.566,"Class3",21,49.585,36.366,NA,11.639,"I"
"E",55.904,"Class2",69,44.082,73.771,41,55.865,"K"
"R",63.607,"Class1",43,NA,23.293,40,35.99,"G"
"Q",41.238,"Class3",11,50.472,36.279,70,16.6,"G"
"M",51.359,"Class2",66,60.397,69.935,52,85.124,"U"
"M",53.099,"Class2",67,58.211,73.728,35,89.304,"U"
"O",51.232,"Class2",68,60.984,75.975,40,73.7,"J"
"A",66.511,"Class1",63,NA,7.478,49,53.08,"N"
"L",55.967,"Class2",69,NA,69.737,41,38.13,"U"
"I",55.626,"Class2",67,63.328,73.778,65,58.753,"G"
"I",55.009,"Class2",NA,54.464,71.701,NA,35.974,"U"
"O",52.926,"Class2",67,53.438,78.846,48,39.241,"I"
"P",41.789,"Class3",15,47.337,40.079,69,20.667,"I"
"A",68.542,"Class1",28,55.898,7.851,NA,16.558,"G"
"E",46.501,"Class2",65,52.056,74.925,69,59.666,"J"
"D",57.731,"Class3",22,46.229,41.383,60,16.162,"G"
"P",52.075,"Class3",NA,50.087,30.272,60,17.278,"H"
"H",46.644,"Class3",20,53.066,29.376,58,NA,"K"
"A",91.22,"Class1",32,43.315,11.728,28,12.756,"V"
"M",58.072,"Class2",66,44.847,74.388,40,45.191,"I"
"K",NA,"Class3",22,NA,44.291,65,16.168,"H"
"H",58.994,"Class3",12,53.733,38.794,61,16.09,"H"
"R",80.169,"Class1",68,54.522,13.869,43,53.163,"S"
"P",42.571,"Class3",13,49.733,27.031,71,17.776,"G"
"K",56.188,"Class3",17,48.441,34.694,67,15.2,"H"
"M",55.397,"Class2",68,55.491,80.942,68,61.866,"J"
"C",78.637,"Class1",8,47.462,9.188,47,68.224,"N"
"M",57.981,"Class2",66,60.574,79.32,33,90.925,"K"
"C",24.107,"Class1",48,57.618,15.178,37,16.457,"Z"
"I",46.031,"Class2",65,45.229,69.299,64,77.218,"J"
"I",57.048,"Class2",68,63.612,73.863,35,68.004,"U"
"H",46.887,"Class3",21,45.963,31.331,69,13.29,"H"
"Q",57.389,"Class3",18,56.527,39.828,68,12.951,"I"
"P",59.842,"Class1",13,44.374,11.37,41,60.883,"N"
"I",57.262,"Class2",66,62.875,74.52,NA,40.484,"J"
"D",49.969,"Class3",12,46.62,25.266,60,10.259,"I"
"D",48.578,"Class3",17,44.352,53.18,72,12.144,"D"
"L",50.089,"Class2",65,59.731,72.067,NA,71.393,"G"
"M",NA,"Class2",66,46.984,NA,34,51.025,"G"
"Q",49.117,"Class3",11,46.507,34.051,69,12.155,"I"
"M",52.654,"Class2",69,44.636,66.276,NA,56.861,"U"
"O",49.481,"Class2",68,52.876,65.158,56,72.322,"J"
"L",59.659,"Class2",66,61.128,73.235,66,53.344,"G"
"C",77.253,"Class1",NA,44.6,17.307,34,48.229,"G"
"P",74.893,"Class1",19,55.803,1.77,39,10.676,"Z"
"D",49.171,"Class3",18,43.993,NA,64,15.525,"K"
"D",52.652,"Class3",18,49.936,35.85,69,10.933,"K"
"L",57.887,"Class2",67,48.714,77.492,42,53.066,"U"
"L",53.699,"Class2",67,44.285,72.674,44,78.672,"U"
"E",56.652,"Class2",68,46.717,71.846,57,62.029,"I"
"I",54.595,"Class2",68,NA,75.591,69,95.512,"U"
"A",77.246,"Class1",23,49.488,12.116,35,8.463,"G"
"P",63.113,"Class1",59,49.157,19.768,32,60.961,"S"
"E",56.066,"Class1",41,47.278,10.838,47,62.408,"S"
"P",55.008,"Class3",23,44.585,26.502,72,10.69,"G"
"Q",55.088,"Class3",NA,49.083,40.638,67,11.691,"G"
"M",56.515,"Class2",66,51.765,80.202,53,48.62,"G"
"H",47.777,"Class3",14,48.036,34.702,64,20.912,"I"
"E",57.227,"Class2",67,60.753,77.119,38,83.731,"U"
"A",78.118,"Class1",76,54.731,15.704,45,47.911,"Z"
"P",-13.61,"Class1",63,49.316,15.715,43,18.915,"G"
"P",94.282,"Class1",36,55.445,10.404,50,22.297,"V"
"Q",43.708,"Class3",13,47.778,28.256,62,10.654,"K"
"P",74.166,"Class1",6,54.131,4.297,44,15.44,"S"
"M",53.894,"Class2",65,46.564,72.237,58,60.015,"U"
"P",NA,"Class1",NA,44.514,11.318,51,62.777,"G"
"A",57.479,"Class1",63,43.931,18.869,35,29.537,"S"
"R",39.618,"Class1",66,56.383,20.339,43,44.816,"Z"
"D",55.668,"Class3",14,48.352,37.547,63,11.628,"D"
"E",52.621,"Class2",67,58.397,80.668,NA,98.82,"G"
"A",77.924,"Class1",78,57.578,3.655,36,53.902,"N"
"E",57.066,"Class1",44,44.931,13.267,42,47.043,"Z"
"O",54.158,"Class2",68,43.786,80.964,37,51.612,"K"
"Q",53.887,"Class3",16,45.329,40.233,72,13.615,"G"
"L",53.939,"Class2",NA,63.22,72.229,54,38.486,"U"
"Q",53.301,"Class3",23,51.218,50.029,65,15.209,"D"
"P",50.63,"Class3",11,48.391,32.409,NA,15.715,"G"
"H",46.385,"Class3",11,NA,39.902,71,13.422,"G"
"D",60.349,"Class3",16,51.081,25.872,71,19.199,"G"
"L",54.16,"Class2",65,59.434,68.427,54,50.402,"K"
"P",62.977,"Class3",20,52.495,44.093,67,17.423,"G"
"E",34.493,"Class1",65,52.227,14.037,46,31.339,"Z"
"C",54.849,"Class1",40,55.3,NA,37,65.806,"N"
"Q",47.992,"Class3",15,55,35.742,69,10.144,"G"
"E",28.777,"Class1",34,50.342,10.642,32,45.231,"N"
"A",36.314,"Class1",69,57.391,-1.517,33,13.726,"Z"
"R",57.34,"Class1",76,57.849,9.476,28,9.341,"N"
"P",46.4,"Class3",14,56.894,33.177,72,11.934,"I"
"R",33.911,"Class1",68,47.021,22.447,48,19.392,"G"
"R",9.263,"Class1",NA,44.969,7.918,40,55.774,"V"
"O",57.418,"Class2",69,61.897,68.969,47,65.091,"K"
"K",60.174,"Class3",23,43.966,NA,67,10.9,"D"
"P",41.333,"Class3",24,53.876,42.581,68,15.645,"D"
"P",48.726,"Class3",14,NA,NA,67,16.739,"H"
"C",68.786,"Class1",35,46.008,-2.21,41,NA,"S"
"E",50.428,"Class2",66,55.903,71.317,39,50.863,"I"
"M",51.14,"Class2",65,57.902,67.839,64,69.512,"J"
"L",49.678,"Class2",68,NA,79.146,66,65.377,"I"
"M",54.614,"Class2",65,59.435,78.901,44,85.215,"J"
"R",59.409,"Class1",NA,49.816,15.372,29,NA,"N"
"R",NA,"Class1",32,57.266,13.893,NA,8.106,"G"
"R",41.614,"Class1",42,44.434,16.995,36,22.124,"Z"
"I",52.691,"Class2",69,55.543,78.646,70,58.52,"J"
"D",NA,"Class3",20,44.545,32.442,63,14.402,"I"
"M",54.959,"Class2",66,NA,65.945,44,59.686,"U"
"P",54.645,"Class3",22,45.888,40.575,73,13.25,"H"
"E",53.317,"Class2",66,62.781,71.049,69,65.438,"U"
"P",57.519,"Class3",NA,48.116,36.768,63,13.11,"I"
"R",71.514,"Class1",59,51.837,17.446,37,21.498,"S"
"H",59.079,"Class3",16,47.393,51.153,73,16.124,"D"
"E",50.644,"Class2",69,59.413,67.859,33,40.568,"K"
"P",43.109,"Class3",18,50.02,28.447,69,19.285,"K"
"Q",53.012,"Class3",17,48.652,34.218,68,10.457,"D"
"P",53.892,"Class3",21,52.415,41.27,63,18.971,"G"
"K",53.795,"Class3",16,43.074,38.99,64,19.456,"K"
"D",50.398,"Class3",21,51.628,35.422,61,18.833,"H"
"K",54.83,"Class3",14,49.654,47.764,72,17.909,"D"
"L",51.046,"Class2",66,56.84,76.308,41,40.723,"U"
"P",92.224,"Class1",61,43.238,10.749,49,41.023,"V"
"A",64.676,"Class1",29,52.299,17.794,34,15.548,"V"
"E",28.506,"Class1",NA,45.939,9.85,43,41.837,"V"
"E",56.737,"Class2",68,47.877,71.629,63,66.939,"K"
"Q",45.825,"Class3",19,52.504,33.179,73,11.383,"D"
"Q",53.158,"Class3",19,50.74,43.583,62,12.203,"I"
"A",35.124,"Class1",69,56.385,NA,32,14.335,"V"
