"L1","L2","L3","L4","L5","L6","L7","Class","L9"
40.948,83.639,33.26,58,"V","O",72.465,"Class1",NA
66.836,51.069,67.52,96,"S","A",81.217,"Class2",NA
56.419,87.938,12.467,60,"A","R",84.256,"Class4",29
67.576,58.625,53.532,72,"Z","A",49.21,"Class2",40
32.978,54.946,35.782,91,"D","B",85.688,"Class2",44
77.507,55.187,77.937,35,"C","M",35.363,"Class3",53
86.96,56.264,71.257,41,"N","T",84.346,"Class3",60
77.622,53.058,67.327,32,"G","R",66.553,"Class3",56
27.839,54.56,19.715,58,"S","M",46.196,"Class2",52
55.201,88.084,11.402,44,"X","M",79.711,"Class4",18
37.648,88.486,15.507,74,"B","O",90.054,"Class4",22
90.191,53.39,68.727,NA,"N","F",21.793,"Class3",70
85.54,52.045,84.535,37,"N","M",49.748,"Class3",51
73.962,88.511,12.621,54,"B","M",16.933,"Class4",30
76.015,56.31,67.419,32,"T","M",41.937,"Class3",NA
54.501,NA,59.569,81,"P","Y",96.802,"Class2",47
34.411,63.757,41.902,83,"S","A",60.917,"Class2",45
NA,87.362,13.38,60,"A","R",27.051,"Class4",17
72.875,86.035,32.342,81,"V","R",81.255,"Class1",80
65.829,86.735,29.136,77,"V","O",58.206,"Class1",75
69.599,88.838,13.19,53,"N","R",87.572,"Class4",29
23.883,49.529,85.356,88,"S","A",69.566,"Class2",60
85.663,56.867,81.875,36,"N","T",92.089,"Class3",73
35.572,NA,42.815,75,"Z","J",64.149,"Class2",44
21.832,54.645,69.759,56,"H","J",86.473,"Class2",43
69.629,52.278,59.615,80,"D","Y",38.387,"Class2",49
42.142,87.378,14.017,83,"N","E",56.504,"Class4",21
45.157,84.869,46.354,72,"J","R",40.543,"Class1",76
90.644,52.41,65.895,37,"T","M",58.334,"Class3",63
37.379,85.372,NA,20,"Z","R",60.424,"Class1",76
65.586,87.045,14.926,70,"N","K",52.453,"Class4",18
57.762,84.021,29.78,44,"Z","R",28.279,"Class1",77
42.372,86.309,20.383,49,"H","S",48.979,"Class1",79
87.386,51.909,75.241,NA,"G","T",49.667,"Class3",56
69.704,88.061,13.416,67,"T","O",37.94,"Class4",25
54.522,86.895,15.663,79,"F","R",108.404,"Class1",78
72.37,83.261,45.324,87,"J","Y",80.645,"Class1",74
37.105,88.073,14.621,43,"N","E",22.695,"Class4",16
62.339,55.558,73.316,36,"Q","F",53.675,"Class3",61
66.705,86.957,50.484,29,"J","R",54.067,"Class1",76
67.012,86.748,32.15,54,"F","R",44.47,"Class1",75
70.249,NA,84.911,40,"C","M",NA,"Class3",48
60.505,NA,15.421,44,"A","O",31.769,"Class4",22
66.753,54.132,78.472,39,"G","R",49.585,"Class3",61
44.71,87.697,13.292,36,"N","K",42.022,"Class4",29
44.459,85.327,-1.411,32,"H","O",54.521,"Class1",74
75.691,50.066,77.474,37,"Q","R",47.636,"Class3",64
44.229,87.326,14.915,45,"N","O",7.142,"Class4",18
30.493,52.495,2.18,80,"D","M",71.71,"Class2",60
53.16,88.981,14.7,61,"A","R",47.582,"Class4",28
45.481,85.132,34.624,96,"H","K",75.059,"Class1",74
68.764,87.887,12.797,83,"A","K",69.585,"Class4",30
59.213,88.566,11.63,47,"N","K",52.481,"Class4",19
61.46,55.688,34.732,82,"S","Y",24.576,"Class2",54
47.431,60.002,34.183,47,"D","Y",71.236,"Class2",47
52.327,88.332,13.407,60,"N","M",12.547,"Class4",16
57.068,53.604,74.643,57,"S","M",39.959,"Class2",50
44.335,52.844,67.468,51,"D","Y",47.987,"Class2",NA
42.609,84.261,31.932,24,"J","S",102.035,"Class1",75
87.806,NA,76.759,41,"Q","N",48.551,"Class3",50
57.886,85.966,27.833,86,"V","Y",84.645,"Class1",80
43.707,87.421,13.733,60,"X","O",41.647,"Class4",19
61.768,84.665,25.387,37,"H","R",80.683,"Class1",NA
62.194,46.743,16.801,71,"Z","J",74.923,"Class2",42
NA,50.891,85.176,37,"T","F",62.143,"Class3",61
73.565,56.067,72.039,38,"T","N",56.642,"Class3",73
26.007,50.032,55.168,97,"Z","Y",33.774,"Class2",49
54.392,86.294,61.712,38,"J","Y",85.349,"Class1",81
NA,58.494,70.936,39,"Q","T",63.662,"Class3",49
21.026,55.885,16.398,70,"H","B",66.923,"Class2",47
68.157,88.223,13.399,NA,"B","O",30.235,"Class4",24
49.963,88.055,14.446,44,"N","E",70.39,"Class4",30
71.613,NA,80.482,32,"Q","N",34.812,"Class3",65
82.586,58.024,68.925,NA,"C","F",66.792,"Class3",55
43.439,64.787,18.615,52,"S","B",20.603,"Class2",50
64.234,87.54,13.231,62,"N","R",37.559,"Class4",24
32.418,48.013,50.006,98,"P","M",31.772,"Class2",59
65.62,50.426,86.072,41,"Q","F",17.131,"Class3",56
86.279,57.398,NA,38,"T","N",56.189,"Class3",NA
62.687,83.091,47.16,90,"J","Y",70.078,"Class1",78
72.303,83.111,47.134,NA,"H","S",78.685,"Class1",76
77.905,53.116,81.327,40,"G","T",36.204,"Class3",68
85.485,52.125,74.594,41,"C","T",42.632,"Class3",61
41.984,87.963,13.219,74,"X","R",50.094,"Class4",16
81.459,56.348,81.68,37,"T","R",NA,"Class3",70
57.404,84.26,35.609,34,"H","O",58.761,"Class1",76
72.525,88.08,13.468,NA,"N","M",27.764,"Class4",15
NA,87.309,13.442,NA,"X","K",81.348,"Class4",20
52.059,88.171,13.277,80,"T","M",51.751,"Class4",10
51.642,83.609,2.706,44,"F","O",81.364,"Class1",74
26.722,58.169,34.577,65,"H","J",62.203,"Class2",46
42.309,87.161,NA,40,"A","K",32.639,"Class4",9
69.958,57.947,42.282,73,"D","A",47.457,"Class2",41
80.333,51.538,73.267,34,"C","M",59.514,"Class3",62
58.65,86.893,19.338,47,"F","S",76.466,"Class1",78
30.872,55.428,45.642,NA,"P","B",93.393,"Class2",47
NA,52.729,50.739,91,"P","B",58.094,"Class2",54
79.108,50.12,68.996,NA,"N","R",53.83,"Class3",47
36.966,83.029,60.468,83,"V","Y",63.728,"Class1",NA
43.514,85.168,9.829,16,"Z","S",NA,"Class1",74
49.697,84.824,48.529,20,"H","S",75.839,"Class1",74
77.739,88.66,13.827,83,"T","O",18.223,"Class4",27
86.742,55.112,74.599,41,"Q","R",41.234,"Class3",54
32.205,55.256,52.355,49,"H","M",34.322,"Class2",45
44.556,84.48,36.537,28,"H","O",32.368,"Class1",76
39.974,87.915,13.149,77,"N","O",36.225,"Class4",20
84.236,58.836,80.533,35,"T","N",46.764,"Class3",47
34.183,60.295,38.441,48,"S","M",60.892,"Class2",47
NA,83.116,35.246,66,"H","S",66.921,"Class1",79
53.422,88.215,13.674,71,"B","O",36.018,"Class4",28
52.427,88.96,NA,41,"T","E",31.574,"Class4",26
70.948,84.276,58.236,54,"J","R",92.818,"Class1",76
69.412,63.651,95.945,67,"S","M",-11.736,"Class2",48
38.526,88.69,12.057,82,"A","O",48.978,"Class4",16
23.765,51.664,32.999,75,"P","M",72.055,"Class2",46
67.595,57.809,72.266,NA,"C","M",34.139,"Class3",48
48.621,87.616,15.676,36,"B","K",25.904,"Class4",NA
62.761,46.482,46.18,97,"S","J",21.311,"Class2",42
28.148,65.484,33.459,69,"P","M",90.143,"Class2",55
55.053,86.541,36.634,12,"J","K",69.412,"Class1",79
90.423,58.532,71.671,32,"T","F",64.074,"Class3",55
34.994,83.384,23.658,13,"Z","S",49.577,"Class1",79
68.47,85.299,16.5,59,"V","S",35.136,"Class1",81
75.796,51.116,71.052,36,"C","N",67.498,"Class3",67
67.923,87.566,13.026,68,"X","E",39.183,"Class4",15
78.884,53.877,81.184,NA,"C","T",38.944,"Class3",62
90.338,53.549,75.357,NA,"G","M",78.935,"Class3",66
43.148,85.113,40.317,31,"H","R",82.824,"Class1",78
37.878,48.461,86.638,60,"H","J",70.516,"Class2",42
77.725,87.007,14.301,34,"T","K",31.737,"Class4",14
35.515,85.993,39.06,82,"F","K",63.638,"Class1",80
72.098,52.629,65.997,39,"T","R",46.839,"Class3",60
NA,58.832,64.666,51,"D","B",52.624,"Class2",41
56.847,86.945,26.998,25,"Z","K",76.642,"Class1",74
50.011,52.902,29.258,77,"Z","A",53.835,"Class2",41
39.097,88.727,NA,37,"B","M",57.337,"Class4",13
23.287,57.544,74.282,NA,"P","M",NA,"Class2",59
42.574,87.105,12.857,51,"A","O",25.308,"Class4",25
62.521,84.787,42.595,56,"H","O",59.651,"Class1",76
49.263,88.533,14.219,65,"A","R",74.143,"Class4",17
59.272,NA,49.872,58,"V","O",NA,"Class1",75
45.906,86.748,20.144,17,"F","R",59.184,"Class1",77
45.356,87.886,14.555,63,"N","O",15.169,"Class4",28
57.779,88.921,12.375,67,"X","M",29.952,"Class4",22
35.268,85.169,58.666,NA,"V","Y",31.901,"Class1",80
74.19,87.954,11.88,76,"A","K",55.277,"Class4",11
33.802,84.375,32.106,96,"H","Y",54.279,"Class1",75
56.881,88.533,13.6,70,"X","M",34.206,"Class4",25
64.197,88.275,14.318,57,"B","K",33.766,"Class4",9
62.486,85.605,30.5,57,"J","K",68.606,"Class1",80
42.959,88.918,15.159,69,"B","K",37.011,"Class4",22
73.573,87.486,14.646,37,"X","R",29.575,"Class4",12
88.291,50.023,NA,36,"C","R",23.492,"Class3",54
87.042,NA,72.507,32,"G","F",69.889,"Class3",65
73.181,87.524,13.989,75,"N","E",48.597,"Class4",18
NA,56.444,78.053,35,"Q","T",47.029,"Class3",NA
45.508,56.117,76.476,67,"Z","A",29.975,"Class2",42
58.274,88.568,NA,36,"X","R",-1.923,"Class4",27
34.997,86.92,23.912,45,"H","O",106.738,"Class1",78
63.24,83.217,49.403,79,"V","O",56.992,"Class1",75
47.214,87.567,14.532,53,"X","O",84.995,"Class4",26
44.197,88.539,NA,63,"N","K",52.175,"Class4",24
60.981,57.854,77.189,NA,"C","M",61.281,"Class3",73
60.695,50.176,75.835,34,"G","N",36.231,"Class3",73
42.834,86.148,31.08,73,"H","O",81.197,"Class1",79
60.511,NA,74.05,39,"C","R",51.587,"Class3",48
54.935,85.193,46.774,80,"H","R",62.938,"Class1",77
63.669,87.976,15.697,50,"T","M",27.303,"Class4",25
80.136,57.792,77.886,32,"Q","F",56.191,"Class3",74
63.304,88.594,13.725,NA,"B","K",15.973,"Class4",28
62.47,88.511,14.388,81,"T","M",30.007,"Class4",16
83.22,54.254,71.019,32,"G","R",51.868,"Class3",56
63.927,84.06,61.015,70,"Z","Y",63.426,"Class1",78
44.555,84.767,40.48,81,"Z","K",65.289,"Class1",77
47.494,50.938,59.307,98,"D","A",37.083,"Class2",52
NA,83.784,47.46,18,"F","Y",53.618,"Class1",80
57.48,88.837,14.369,34,"A","R",48.963,"Class4",26
80.31,50.734,76.385,37,"N","N",27.515,"Class3",71
86.509,50.441,65.918,38,"C","R",62.32,"Class3",56
62.05,56.766,72.861,32,"G","F",54.238,"Class3",64
68.69,NA,23.246,77,"H","O",67.643,"Class1",78
71.402,88.498,12.91,74,"X","O",26.231,"Class4",11
42.637,85.308,65.776,25,"J","K",88.088,"Class1",76
75.237,87.216,12.758,73,"B","M",21.254,"Class4",15
59.89,85.476,46.556,59,"V","Y",68.799,"Class1",81
60.524,53.706,80.408,32,"G","N",41.334,"Class3",51
62.708,57.578,72.054,38,"Q","N",28.777,"Class3",48
37.367,88.405,13.997,58,"X","R",1.798,"Class4",9
66.947,54.309,74.756,36,"T","M",66.367,"Class3",64
38.131,65.487,11.549,71,"P","A",57.7,"Class2",45
60.495,56.632,78.012,98,"Z","Y",31.954,"Class2",60
46.247,88.55,16.124,75,"N","E",37.993,"Class4",19
63.932,83.636,20.696,88,"Z","O",114.763,"Class1",78
76.863,88.787,12.661,78,"A","O",36.605,"Class4",10
41.412,NA,30.655,NA,"P","M",NA,"Class2",51
45.847,83.507,34.56,73,"Z","S",112.242,"Class1",78
65.598,58.724,72.61,41,"N","N",74.452,"Class3",NA
70.875,87.377,15.067,42,"X","K",80.89,"Class4",27
35.179,86.657,36.766,NA,"H","K",109.542,"Class1",77
NA,58.575,60.696,NA,"S","Y",50.777,"Class2",41
69.116,NA,43.628,38,"H","K",NA,"Class1",75
46.502,52.366,58.595,NA,"Z","Y",26.971,"Class2",60
69.196,61.549,30.008,88,"H","A",36.651,"Class2",47
89.205,52.145,66.85,40,"G","M",51.455,"Class3",59
NA,84.137,43.981,84,"Z","S",58.805,"Class1",79
51.39,88.278,14.746,83,"N","M",19.064,"Class4",19
64.828,88.283,13.776,76,"N","K",61.158,"Class4",13
67.203,88.473,13.931,74,"A","M",NA,"Class4",24
63.777,85.736,27.106,89,"J","Y",110.028,"Class1",74
67.453,57.648,84.332,NA,"N","M",42.742,"Class3",66
53.218,54.172,NA,76,"H","M",81.086,"Class2",47
55.83,64.828,34.115,85,"H","B",71.928,"Class2",40
66.107,87.818,12.254,47,"B","O",11.738,"Class4",27
78.128,51.897,69.481,32,"C","N",77.236,"Class3",59
59.422,51.101,20.795,79,"Z","Y",29.131,"Class2",58
55.962,87.621,14.092,38,"X","E",41.667,"Class4",22
34.654,86.12,20.329,25,"J","Y",53.646,"Class1",81
36.894,83.939,8.205,12,"J","K",30.579,"Class1",76
38.877,83.085,44.507,70,"H","S",69.28,"Class1",80
65.929,51.166,73.303,34,"Q","N",47.384,"Class3",59
50.547,84.531,19.154,70,"H","S",60.881,"Class1",79
68.458,64.253,65.194,94,"Z","B",NA,"Class2",53
56.924,51.266,75.882,NA,"Z","A",60.517,"Class2",44
40.453,87.687,13.864,65,"X","E",99.498,"Class4",NA
26.671,66.022,55.401,56,"H","B",60.424,"Class2",52
64.268,87.113,13.988,58,"A","E",58.432,"Class4",NA
66.213,53.938,83.119,36,"Q","T",46.704,"Class3",62
NA,56.274,73.014,40,"N","T",62.107,"Class3",69
61.962,54.001,39.3,50,"D","M",-2.414,"Class2",60
60.851,50.164,74.005,35,"Q","M",43.065,"Class3",49
49.946,88.402,NA,75,"T","M",38.032,"Class4",NA
71.233,88.625,14.768,75,"B","K",36.58,"Class4",14
25.92,67.851,62.912,98,"P","M",NA,"Class2",50
62.487,49.364,34.583,60,"D","Y",26.65,"Class2",60
44.281,85.206,31.849,44,"H","S",80.391,"Class1",74
48.355,61.819,47.379,59,"H","J",57.031,"Class2",44
63.35,58.655,73.604,33,"Q","R",62.855,"Class3",58
33.205,53.914,42.106,51,"D","M",50.644,"Class2",48
78.803,88.989,15.156,79,"X","O",61.443,"Class4",15
51.249,85.438,51.329,68,"H","O",99.587,"Class1",79
85.941,57.854,77.069,40,"G","R",72.167,"Class3",73
65.822,54.178,87.689,38,"G","F",36.877,"Class3",NA
47.323,49.223,57.796,58,"Z","A",72.818,"Class2",60
43.002,83.577,33.873,68,"H","K",36.678,"Class1",79
27.608,57.575,39.421,NA,"H","Y",38.282,"Class2",54
61.418,NA,54.466,73,"P","A",41.227,"Class2",NA
70.573,56.438,NA,38,"N","T",13.418,"Class3",71
62.292,83.458,32.821,34,"F","O",79.748,"Class1",79
65.733,62.96,48.267,91,"Z","Y",71.328,"Class2",54
NA,NA,68.802,37,"T","N",49.494,"Class3",71
24.558,61.556,34.051,57,"Z","M",93.579,"Class2",51
64.411,52.149,65.767,35,"Q","N",59.253,"Class3",71
44.94,67.612,65.144,68,"Z","A",30.141,"Class2",44
71.59,84.725,NA,33,"Z","O",67.891,"Class1",80
88.727,50.516,79.311,39,"C","T",54.366,"Class3",72
41.014,86.302,14.981,30,"F","R",35.47,"Class1",78
21.837,55.964,32.524,59,"D","J",85.428,"Class2",59
72.393,55.256,80.42,32,"G","N",73.455,"Class3",63
64.441,53.987,68.722,NA,"C","M",47.849,"Class3",74
50.597,64.315,44.724,52,"P","A",NA,"Class2",45
67.281,88.152,12.008,47,"T","E",42.24,"Class4",21
35.432,67.846,17.796,98,"P","A",38.358,"Class2",59
75.819,87.445,13.21,43,"X","K",61.234,"Class4",22
63.256,54.054,86.806,33,"G","F",62.395,"Class3",NA
61.062,57.7,71.223,36,"T","T",55.145,"Class3",48
35.799,84.158,27.306,62,"V","O",72.621,"Class1",77
38.489,87.393,14.242,45,"N","M",37.182,"Class4",26
61.583,56.853,73.411,38,"N","N",59.61,"Class3",63
78.269,50.887,74.489,40,"T","R",66.769,"Class3",74
65.743,NA,76.952,40,"Q","T",62.655,"Class3",56
52.066,87.905,14.221,66,"N","M",36.039,"Class4",28
33.522,83.992,20.533,72,"V","K",57.129,"Class1",75
86.468,55.657,69.849,39,"T","T",31.059,"Class3",58
61.869,84.18,47.123,52,"Z","O",63.988,"Class1",80
89.352,57.159,65.419,35,"T","M",48.17,"Class3",52
38.507,85.489,-14.826,91,"J","R",86.841,"Class1",81
31.283,50.822,48.269,58,"H","A",74.362,"Class2",60
42.988,87.409,15.939,36,"X","O",42.23,"Class4",9
67.288,86.046,43.625,20,"F","K",74.274,"Class1",79
56.905,87.565,14.116,77,"T","O",36.123,"Class4",26
33.911,65.038,21.771,86,"D","M",NA,"Class2",NA
44.688,60.439,45.144,52,"Z","A",54.619,"Class2",48
37.884,86.311,0.387,32,"Z","K",65.362,"Class1",78
NA,85.672,8.753,59,"V","S",93.011,"Class1",79
30.156,58.756,63.881,89,"S","B",74.512,"Class2",59
64.83,87.023,13.255,34,"N","E",27.743,"Class4",21
40.244,88.17,11.88,67,"A","O",23.234,"Class4",17
75.737,55.86,68.025,38,"C","F",74.349,"Class3",52
33.672,49.037,39.553,72,"Z","Y",75.725,"Class2",51
81.421,55.548,76.853,39,"C","N",54.305,"Class3",71
47.678,87.36,13.436,76,"A","M",25.945,"Class4",NA
86.102,57.591,76.064,41,"Q","N",50.685,"Class3",72
25.425,60.713,56.378,48,"P","M",22.831,"Class2",52
48.118,87.779,14.47,51,"A","E",34.944,"Class4",10
46.855,49.218,25.322,81,"H","B",56.594,"Class2",60
37.119,86.462,23.431,26,"V","R",74.004,"Class1",81
NA,49.842,37.603,55,"H","J",59.058,"Class2",NA
60.803,83.85,41.472,NA,"H","R",43.455,"Class1",NA
74.468,88.801,15.5,53,"A","O",47.956,"Class4",NA
66.83,87.566,13.386,81,"X","R",30.341,"Class4",NA
43.373,61.601,55.436,NA,"D","A",79.495,"Class2",57
29.66,58.898,40.303,52,"H","B",49.061,"Class2",46
62.012,65.219,62.981,80,"Z","A",34.763,"Class2",59
78.704,55.907,84.098,32,"N","N",64.92,"Class3",58
68.704,84.342,15.949,23,"H","O",52.558,"Class1",79
36.969,56.95,62.483,59,"H","M",49.055,"Class2",48
22.083,48.245,12.019,85,"H","Y",36.986,"Class2",46
89.073,54.83,74.444,39,"N","R",33.423,"Class3",48
47.155,85.7,NA,22,"H","K",101.719,"Class1",NA
40.735,88.263,13.311,61,"T","O",2.185,"Class4",22
NA,87.327,13.425,42,"X","E",52.209,"Class4",26
58.478,85.129,30.036,69,"J","Y",81.642,"Class1",77
80.065,52.305,81.72,34,"N","M",35.18,"Class3",NA
NA,59.439,57.348,69,"P","Y",45.422,"Class2",57
36.748,66.671,36.767,61,"H","J",27.977,"Class2",53
53.504,84.206,29.183,90,"F","Y",53.38,"Class1",77
34.072,NA,29.786,NA,"Z","M",43.278,"Class2",44
40.618,87.211,13.052,65,"B","R",21.714,"Class4",26
47.786,85.268,24.816,42,"J","O",73.349,"Class1",75
70.069,83.55,18.078,94,"Z","R",78.342,"Class1",75
80.473,52.7,60.872,32,"T","R",47.967,"Class3",58
71.873,87.863,13.099,55,"T","E",69.806,"Class4",25
51.9,86.567,24.103,34,"J","Y",55.26,"Class1",79
63.67,53.557,75.045,33,"C","F",43.104,"Class3",59
60.795,58.84,62.294,34,"C","R",69.995,"Class3",45
71.107,55.98,80.449,33,"N","R",50.433,"Class3",60
54.262,56.966,40.827,54,"P","Y",26.748,"Class2",58
64.216,65.935,66.429,48,"Z","B",70.646,"Class2",42
79.919,51.806,76.074,33,"G","T",47.433,"Class3",48
27.267,50.055,37.903,79,"S","A",67.088,"Class2",59
54.654,88.889,13.195,43,"A","M",32.863,"Class4",16
51.021,83.329,33.824,76,"F","O",40.26,"Class1",76
40.035,86.715,0.961,31,"F","R",97.041,"Class1",75
85.897,55.757,77.861,33,"T","F",58.995,"Class3",56
NA,85.924,44.862,42,"V","K",65.265,"Class1",NA
38.376,88.385,12.714,85,"A","R",71.437,"Class4",29
50.802,85.807,NA,43,"J","K",55.449,"Class1",77
61.826,54.355,74.186,34,"Q","M",64.396,"Class3",47
47.689,83.901,43.77,70,"F","R",46.055,"Class1",75
72.964,83.572,NA,47,"F","S",77.075,"Class1",80
68.874,NA,1.678,26,"J","S",27.128,"Class1",75
NA,88.51,14.051,67,"B","M",61.98,"Class4",30
36.166,67.606,56.61,70,"D","B",76.158,"Class2",40
60.33,86.754,51.197,34,"J","O",19.808,"Class1",78
33.621,85.467,45.217,NA,"V","O",NA,"Class1",74
83.989,53.062,66.362,35,"N","T",47.726,"Class3",68
43.62,83.366,35.027,71,"J","O",88.636,"Class1",75
70.906,NA,13.975,42,"A","O",54.264,"Class4",30
24.339,54.768,30.646,47,"S","M",22.331,"Class2",49
33.322,49.737,34.791,65,"H","M",27.404,"Class2",42
71.432,85.136,47.355,89,"J","O",60.136,"Class1",76
48.956,87.647,12.672,36,"B","O",74.425,"Class4",27
66.194,87.609,14.215,82,"A","K",NA,"Class4",17
75.957,56.958,62.608,41,"T","N",30.66,"Class3",50
63.826,58.054,76.07,41,"Q","M",60.949,"Class3",70
66.313,83.666,34.934,48,"F","Y",67.573,"Class1",79
40.914,85.199,44.036,NA,"F","Y",65.597,"Class1",80
NA,86.593,57.482,29,"H","K",51.762,"Class1",74
NA,61.351,10.138,80,"P","Y",35.793,"Class2",52
35.321,46.097,52.655,72,"H","Y",42.763,"Class2",60
87.018,50.869,75.375,41,"C","T",78.109,"Class3",59
76.968,NA,14.367,37,"B","O",40.925,"Class4",15
46.085,59.461,68.413,90,"Z","J",46.697,"Class2",40
30.565,47.065,67.847,96,"S","M",27.665,"Class2",53
44.647,88.863,13.348,67,"X","R",37.25,"Class4",27
64.318,87.222,NA,80,"T","E",14.479,"Class4",NA
28.23,NA,NA,79,"P","M",120.986,"Class2",59
NA,57.127,77.047,38,"Q","N",45.388,"Class3",46
70.622,57.933,NA,33,"N","R",42.34,"Class3",50
64.67,52.929,71.704,38,"G","M",80.883,"Class3",73
55.439,NA,73.381,87,"P","B",48.469,"Class2",50
55.198,59.026,25.546,64,"Z","A",87.376,"Class2",50
57.012,83.497,42.311,60,"F","Y",89.509,"Class1",81
58.363,88.174,11.919,66,"X","R",32.443,"Class4",28
80.391,51.027,67.124,34,"G","R",57.189,"Class3",73
66.745,52.052,85.032,35,"C","N",56.007,"Class3",68
89.571,55.56,63.566,33,"Q","M",NA,"Class3",69
67.063,88.456,NA,85,"B","E",22.184,"Class4",22
58.755,85.475,15.893,50,"V","S",81.075,"Class1",77
42.554,55.108,45.869,60,"S","J",76.917,"Class2",57
51.682,83.377,16.09,90,"J","Y",22.968,"Class1",80
71.902,84.144,32.655,77,"V","S",29.666,"Class1",75
49.098,88.04,15.732,64,"B","R",36.607,"Class4",15
61.061,88.848,12.398,83,"B","K",16.246,"Class4",30
58.51,47.127,26.974,47,"Z","Y",30.672,"Class2",46
73.47,56.195,77.864,35,"G","T",50.847,"Class3",68
75.543,88.01,14.104,82,"A","K",31.56,"Class4",10
NA,54.974,41.809,NA,"Z","J",86.781,"Class2",52
46.502,87.294,NA,64,"T","K",54.612,"Class4",21
76.99,56.746,73.95,NA,"T","F",53.617,"Class3",64
73.801,54.648,73.97,34,"N","M",70.329,"Class3",67
89.155,52.409,83.536,33,"Q","F",51.049,"Class3",61
67.733,57,70.635,NA,"Q","M",88.392,"Class3",70
59.169,88.538,11.641,69,"A","K",64.192,"Class4",11
40.801,46.232,12.861,53,"S","B",88.372,"Class2",55
87.094,53.815,75.304,33,"T","R",43.082,"Class3",61
38.059,83.591,26.876,51,"Z","S",60.89,"Class1",74
54.206,48.091,75.285,67,"Z","M",25.654,"Class2",48
47.988,86.245,39.116,32,"F","Y",66.476,"Class1",80
48.588,87.219,13.915,41,"N","O",27.548,"Class4",23
NA,52.284,68.741,39,"N","F",NA,"Class3",NA
53.932,46.787,74.688,77,"Z","Y",73.518,"Class2",45
61.583,87.779,14.045,NA,"B","K",21.346,"Class4",18
39.772,52.902,45.292,72,"Z","M",64.193,"Class2",57
53.444,87.759,14.785,71,"A","K",12.272,"Class4",10
85.3,58.118,74.097,39,"Q","M",56.246,"Class3",51
53.41,46.8,24.508,91,"P","M",16.203,"Class2",42
70.236,58.845,75.122,39,"T","R",48.64,"Class3",63
54.695,NA,43.71,17,"H","K",74.048,"Class1",74
64.343,59.089,33.684,62,"Z","B",39.856,"Class2",53
55.933,52.54,41.335,79,"P","B",29.301,"Class2",47
83.533,52.954,62.976,37,"G","R",76.225,"Class3",49
38.266,83.991,28.613,13,"F","R",44.194,"Class1",80
45.027,61.938,49.495,49,"S","Y",105.052,"Class2",52
37.57,88.249,14.237,36,"N","E",30.828,"Class4",24
59.192,52.399,55.004,55,"P","J",89.536,"Class2",51
