"U1","U2","U3","U4","U5","U6","Class","U8","U9"
79.9,70,38.884,31.459,"Q",55,"Class2",19.925,"B"
37.119,31,33.577,2.595,"F",54,"Class3",82.083,"D"
91.733,67,39.303,64.787,"N",82,"Class2",20.279,"E"
28.458,90,99.22,33.904,"V",56,"Class1",47.135,"D"
81.685,72,38.929,24.218,"Q",81,"Class2",11.262,"W"
29.812,88,98.756,32.325,"V",73,"Class1",79.02,"J"
50.829,100,98.391,33.99,"V",54,"Class1",98.716,"J"
NA,NA,98.956,32.34,"O",43,"Class1",87.92,"V"
83.109,63,38.01,68.701,"V",69,"Class2",21.359,"W"
85.712,57,37.719,61.334,"L",51,"Class2",17.038,"X"
84.736,54,38.639,43.246,"V",44,"Class2",17.082,"X"
32.48,17,32.201,2.202,"U",61,"Class3",96.726,"X"
83.885,62,38.892,22.952,"C",56,"Class2",21.183,"W"
42.121,88,98.83,33.381,"Q",53,"Class1",58.842,"J"
84.503,73,39.276,37.884,"Q",47,"Class2",22.228,"X"
50.884,NA,42.124,2.755,"U",57,"Class3",74.291,"H"
13.676,17,10.861,3.504,"U",63,"Class3",68.731,"D"
71.547,32,15.776,3.619,"C",NA,"Class3",92.703,"Y"
47.959,97,98.06,33.397,"V",52,"Class1",90.074,"S"
47.353,25,18.489,2.449,"L",62,"Class3",46.461,"X"
39.421,93,98.304,33.838,"O",47,"Class1",93.774,"D"
83.613,58,NA,21.224,"L",59,"Class2",14.471,"E"
52.398,NA,23.408,3.884,"F",55,"Class3",54.465,"X"
87.449,66,37.685,63.356,"V",85,"Class2",12.668,"E"
87.764,67,37.133,34.991,"Q",49,"Class2",13.882,"E"
34.512,100,98.234,NA,"Q",48,"Class1",90.154,"J"
48.598,14,28.353,2.783,"C",52,"Class3",49.65,"D"
64.397,27,28.358,2.012,"F",61,"Class3",80.481,"X"
83.997,69,37.629,39.535,"C",53,"Class2",19.474,"S"
41.031,89,98.328,33.098,"Y",68,"Class1",58.995,"D"
21.381,38,40.514,3.311,"F",63,"Class3",52.545,"Y"
36.96,23,37.648,3.862,"C",61,"Class3",78.366,"Y"
NA,88,99.329,32.122,"Q",69,"Class1",57.951,"S"
79.901,61,37.129,45.574,"C",58,"Class2",8.811,"B"
37.79,96,98.431,32.601,"O",73,"Class1",96.998,"V"
78.855,19,12.952,3.247,"L",53,"Class3",NA,"X"
60.393,30,-15.344,3.406,"C",53,"Class3",57.624,"D"
40.478,22,44.631,3.888,"U",55,"Class3",56.364,"Y"
50.214,37,7.37,3.371,"U",59,"Class3",95.429,"Y"
45.98,94,97.895,33.692,"X",60,"Class1",91.564,"D"
83.982,54,37.51,30.917,"N",31,"Class2",14.941,"E"
82.222,76,38.494,16.001,"C",53,"Class2",7.179,"W"
49.056,97,98.956,32.567,"V",41,"Class1",83.813,"J"
55.844,91,98.548,33.521,"V",NA,"Class1",49.636,"O"
90.118,64,39.078,35.241,"Q",61,"Class2",19.646,"E"
35.727,92,98.397,33.095,"Q",66,"Class1",83.316,"D"
40.392,30,11.743,3.043,"U",58,"Class3",77.452,"X"
35.15,98,98.598,32.347,"O",60,"Class1",97.988,"D"
36.699,26,55.054,NA,"C",61,"Class3",76.202,"Y"
89.337,NA,38.449,60.83,"V",33,"Class2",21.287,"W"
32.973,93,98.739,32.638,"Q",47,"Class1",79.368,"V"
87.653,71,38.687,58.039,"L",81,"Class2",20.709,"B"
47.152,8,23.365,NA,"L",53,"Class3",71.062,"Y"
83.884,69,37.86,39.304,"V",36,"Class2",13.595,"B"
47.637,36,28.869,2.067,"C",64,"Class3",99.971,"H"
56.557,87,98.52,32.085,"X",67,"Class1",82.986,"J"
79.165,57,37.831,66.52,"L",77,"Class2",21.68,"W"
82.841,58,38.374,56.45,"V",59,"Class2",9.346,"S"
41.001,93,98.954,32.364,"V",71,"Class1",62.69,"O"
70.376,NA,37.947,2.116,"F",64,"Class3",99.386,"T"
36.531,98,99.093,33.265,"Y",54,"Class1",83.51,"J"
92.46,68,37.744,40.492,"L",53,"Class2",21.906,"X"
85.218,74,37.659,37.852,"V",70,"Class2",15.694,"S"
NA,18,4.456,2.212,"F",58,"Class3",96.949,"T"
42.204,92,98.724,32.132,"Y",42,"Class1",97.51,"J"
86.868,68,37.856,67.554,"C",79,"Class2",16.649,"E"
NA,88,98.901,33.662,"Q",67,"Class1",92.102,"O"
92.502,71,36.872,51.866,"L",67,"Class2",8.055,"W"
87.551,69,38.242,46.296,"L",82,"Class2",13.866,"X"
NA,69,37.537,39.161,"Q",30,"Class2",NA,"E"
44.255,86,98.784,33.715,"Q",61,"Class1",72.631,"V"
91.14,63,38.266,50.856,"C",70,"Class2",17.289,"S"
53.939,91,NA,32.875,"V",59,"Class1",95.613,"D"
82.689,74,37.639,27.052,"L",77,"Class2",22.606,"B"
91.329,63,37.221,31.203,"Q",30,"Class2",22.534,"W"
51.245,97,97.982,32.686,"X",51,"Class1",47.002,"J"
27.233,12,NA,2.372,"L",58,"Class3",80.096,"Y"
49.023,29,NA,2.126,"C",65,"Class3",61.695,"H"
86.445,63,37.898,30.897,"V",51,"Class2",20.81,"E"
NA,52,37.709,12.591,"C",47,"Class2",13.658,"W"
48.06,100,98.204,33.975,"O",51,"Class1",62.891,"O"
93.747,68,39.346,20.012,"N",31,"Class2",18.424,"B"
39.224,97,98.916,33.252,"X",46,"Class1",77.359,"D"
27.546,25,25.369,3.705,"C",65,"Class3",50.461,"T"
82.183,62,37.319,33.753,"N",50,"Class2",16.418,"S"
57.962,36,25.266,3.656,"F",52,"Class3",56.18,"H"
55.142,89,98.401,32.939,"Y",67,"Class1",97.668,"J"
86.854,75,36.693,71.036,"L",NA,"Class2",8.861,"E"
37.792,18,29.137,2.085,"C",63,"Class3",84.941,"T"
83.714,73,38.673,34.477,"L",48,"Class2",12.415,"S"
NA,29,23.981,NA,"L",53,"Class3",68.25,"H"
49.072,9,37.434,3.542,"L",54,"Class3",47.763,"D"
33.288,98,98.33,33.016,"Y",52,"Class1",90.449,"S"
37.837,100,98.666,32.115,"V",55,"Class1",66.704,"S"
42.734,21,14.348,3.349,"U",66,"Class3",64.21,"X"
30.695,95,98.897,33.643,"Y",45,"Class1",71.814,"S"
42.338,93,98.523,32.017,"V",49,"Class1",75.792,"O"
44.021,96,97.774,33.431,"Y",44,"Class1",85.027,"S"
35.532,28,19.095,3.591,"Z",58,"Class3",81.404,"H"
53.381,21,44.726,NA,"F",55,"Class3",76.622,"Y"
84.677,73,37.52,21.149,"L",85,"Class2",11.601,"S"
47.163,94,98.465,32.169,"O",70,"Class1",60.144,"J"
43.389,97,98.35,33.124,"Q",67,"Class1",89.894,"V"
83.953,57,38.823,62.621,"Q",57,"Class2",14.361,"E"
39.448,NA,29.385,3.768,"Z",58,"Class3",89.256,"D"
19.573,8,22.343,3.222,"C",60,"Class3",79.842,"H"
30.85,95,98.058,33.807,"O",51,"Class1",52.347,"S"
25.872,94,98.28,32.294,"V",58,"Class1",85.641,"V"
60.19,38,15.399,2.344,"L",59,"Class3",60.864,"D"
40.06,96,98.816,33.362,"Q",73,"Class1",NA,"V"
36.99,12,31.096,2.406,"Z",56,"Class3",63.96,"H"
49.63,99,98.394,32.726,"X",43,"Class1",68.033,"V"
53.656,NA,53.518,3.945,"C",55,"Class3",NA,"X"
32.077,28,36.46,2.567,"Z",53,"Class3",84.124,"D"
63.353,36,20.008,3.549,"Z",63,"Class3",81.133,"T"
33.494,91,98.233,33.446,"V",73,"Class1",84.989,"D"
39.089,98,99.302,33.246,"X",52,"Class1",89.583,"V"
75.128,69,37.771,66.125,"N",75,"Class2",22.952,"E"
29.425,94,98.909,32.408,"Q",64,"Class1",63.686,"S"
42.924,NA,18.245,3.824,"L",56,"Class3",74.154,"D"
42.164,36,46.873,3.677,"Z",65,"Class3",78.697,"D"
44.519,17,31.698,2.261,"F",59,"Class3",87.002,"T"
61.184,23,50.067,3.14,"F",62,"Class3",83.755,"X"
NA,97,98.225,32.747,"O",52,"Class1",72.296,"S"
50.786,96,98.738,33.156,"X",58,"Class1",97.01,"D"
57.034,11,20.621,2.9,"L",65,"Class3",63.497,"Y"
94.831,NA,38.556,32.038,"Q",61,"Class2",14.268,"X"
85.048,53,39.287,17.36,"C",40,"Class2",18.885,"W"
36.689,93,98.674,32.637,"V",51,"Class1",49.378,"S"
42.03,100,98.466,33.65,"O",67,"Class1",69.264,"D"
85.93,74,37.995,57.098,"Q",88,"Class2",22.819,"X"
NA,52,37.461,23.955,"C",35,"Class2",16.146,"B"
88.236,73,37.412,61.786,"N",44,"Class2",20.623,"E"
85.898,68,37.595,64.514,"V",66,"Class2",14.503,"S"
55.263,24,43.002,3.109,"C",62,"Class3",46.338,"X"
71.49,26,37.157,3.597,"F",58,"Class3",56.161,"H"
87.458,69,38.503,20.104,"N",43,"Class2",12.618,"X"
51.717,87,98.156,33.575,"V",71,"Class1",65.462,"J"
84.332,75,38.242,71.629,"Q",35,"Class2",19.162,"B"
24.834,99,98.456,33.047,"Y",49,"Class1",87.248,"V"
51.391,12,NA,3.615,"Z",60,"Class3",69.586,"D"
NA,8,29.032,NA,"Z",59,"Class3",57.345,"T"
52.141,21,75.83,3.246,"L",65,"Class3",76.113,"X"
66.831,35,28.864,3.134,"C",56,"Class3",64.153,"H"
30.607,86,98.956,33.329,"Y",57,"Class1",NA,"S"
37.854,98,NA,32.016,"V",63,"Class1",NA,"D"
51.595,28,20.817,2.51,"C",57,"Class3",92.764,"T"
47.834,89,98.759,32.703,"Q",60,"Class1",52.927,"V"
54.293,6,28.657,2.78,"Z",65,"Class3",92.166,"Y"
43.484,87,98.588,33.63,"Q",57,"Class1",NA,"O"
41.422,7,12.655,2.337,"Z",64,"Class3",59.96,"Y"
83.003,67,NA,38.733,"N",83,"Class2",22.521,"E"
