"P1","P2","Class","P4","P5","P6","P7","P8","P9"
47.683,"M","Class1",16,66.402,51.232,87.744,"C",47
31.714,"P","Class1",19,78.519,52.892,84.971,"D",38
20.158,"N","Class1",20,65.175,79.015,86.231,"Y",60
18.615,"P","Class1",16,67.768,46.931,NA,"Y",58
57.261,"G","Class2",NA,38.572,4.378,38.243,"Z",74
62.388,"N","Class1",20,69.392,45.901,81.261,"L",60
45.98,"X","Class3",67,55.447,92.305,NA,"N",75
44.876,"V","Class3",69,73.407,92.266,58.662,"C",81
27.875,"N","Class1",17,66.366,77.063,86.27,"R",52
45.958,"B","Class3",69,39.67,92.573,22.697,"N",59
37.876,"V","Class3",68,21.166,92.144,14.093,"L",86
40.284,"B","Class3",67,25.294,92.688,61.676,"P",50
NA,"Q","Class2",45,68.102,61.271,65.597,"F",36
17.961,"Q","Class2",56,61.537,56.504,62.27,"W",37
NA,"A","Class3",69,31.721,92.435,56.348,"W",63
38.13,"X","Class3",68,NA,92.208,60.787,"N",74
26.427,"G","Class2",51,48.294,60.977,64.682,"J",56
55.734,"Q","Class2",48,46.795,107.56,55.86,"Z",57
37.745,"A","Class3",69,41.534,92.956,50.959,"W",51
44.078,"X","Class3",69,30.193,92.53,32.382,"L",86
19.281,"G","Class2",51,42.576,64.837,62.308,"J",60
22.918,"N","Class1",16,78.304,60.028,83.514,"D",88
66.753,"X","Class1",16,79.393,66.363,89.196,"R",21
39.079,"T","Class1",17,75.432,69.231,85.811,"Y",64
75.339,"R","Class2",62,53.145,2.472,28.759,"Z",60
38.388,"X","Class1",17,70.503,60.923,89.223,"C",33
45.026,"A","Class3",67,24.323,92.925,34.398,"C",88
45.663,"V","Class3",67,52.084,92.66,63.901,"C",67
41.075,"B","Class3",67,88.835,92.351,43.641,"L",88
56.206,"X","Class1",19,68.439,45.758,84.983,"L",52
39.474,"V","Class3",69,85.973,93.001,50.891,"C",65
NA,"T","Class1",20,75.338,81.187,86.688,"D",79
55.134,"R","Class2",52,42.569,10.011,65.634,"F",77
81.801,"Q","Class2",44,44.32,65.427,59.939,"L",NA
43.4,"A","Class3",68,69.355,92.451,65.354,"W",62
85.783,"R","Class2",51,53.273,54.19,106.493,"J",37
21.148,"R","Class2",60,65.655,109.363,61.455,"J",49
25.524,"T","Class1",18,78.767,65.152,86.158,"D",54
NA,"N","Class1",19,70.869,69.257,NA,"D",51
36.835,"V","Class3",67,40.696,92.646,49.254,"N",88
NA,"R","Class2",60,58.501,82.958,NA,"F",79
41.443,"X","Class3",69,43.827,92.115,45.034,"W",82
39.323,"Q","Class2",53,53.294,81.401,55.67,"Z",39
24.814,"G","Class2",42,NA,44.375,70.824,"W",80
24.628,"P","Class1",16,NA,61.838,NA,"C",50
65.858,"X","Class2",58,45.75,63.095,89.159,"F",41
38.074,"X","Class3",68,71.029,92.787,36.14,"P",88
46.905,"Y","Class3",68,35.605,92.486,43.606,"W",74
27.192,"N","Class1",18,74.686,59.618,87.86,"D",57
38.596,"V","Class3",68,46.798,NA,45.988,"W",85
NA,"M","Class1",16,69.119,51.493,83.076,"Y",48
59.776,"T","Class1",16,75.281,66.04,86.995,"L",31
36.55,"A","Class3",69,86.995,NA,43.267,"C",50
42.451,"P","Class1",20,70.771,48.936,88.119,"L",40
45.425,"X","Class3",68,66.025,92.695,50.208,"P",84
19.081,"Q","Class2",55,72.839,28.156,NA,"F",56
38.742,"V","Class3",69,52.34,92.634,4.392,"C",69
55.573,"X","Class2",59,38.363,43.258,NA,"W",64
36.947,"Y","Class3",67,35.928,92.644,75.161,"C",88
45.272,"X","Class3",67,79.857,92.204,53.05,"L",NA
45.852,"X","Class3",67,64.877,93.154,62.343,"C",88
79.362,"R","Class2",43,47.099,59.071,87.07,"Z",71
16.63,"M","Class1",20,73.261,84.622,NA,"D",33
61.257,"R","Class2",61,63.104,-3.76,76.498,"J",NA
42.303,"X","Class3",67,25.134,92.557,50.192,"P",80
47.288,"I","Class2",59,48.329,NA,43.818,"J",61
44.846,"V","Class3",68,39.056,93.347,69.419,"W",52
39.329,"X","Class3",67,NA,92.695,74.967,"L",56
42.944,"X","Class3",68,27.515,92.134,64.051,"N",67
47.348,"R","Class2",43,65.382,22.837,NA,"Z",62
44.608,"V","Class3",NA,85.705,92.948,55.548,"W",87
55.7,"R","Class2",NA,55.521,4.588,85.159,"F",NA
18.162,"X","Class2",59,65.434,75.261,69.029,"J",50
39.566,"Y","Class3",67,21.847,92.481,51.962,"L",57
85.471,"Q","Class2",53,60.28,78.942,89.506,"F",60
NA,"B","Class3",67,55.128,NA,71.233,"N",56
53.65,"N","Class1",16,72.829,53.055,89.338,"R",35
60.386,"T","Class1",16,79.606,74.874,85.522,"Y",29
25.695,"T","Class1",18,73.917,65.235,86.335,"C",27
37.958,"V","Class3",68,72.239,92.453,48.963,"C",49
64.874,"X","Class1",16,69.601,67.796,85.782,"R",44
85.205,"R","Class2",56,62.701,49.672,17.853,"J",69
44.767,"Y","Class3",68,53.388,NA,37.932,"N",49
45.736,"A","Class3",69,57.118,92.651,NA,"W",66
15.785,"X","Class2",57,36.798,72.544,93.562,"W",83
37.268,"X","Class3",68,64.671,91.694,30.695,"C",66
17.996,"X","Class1",19,72.228,70.257,86.684,"R",75
23.487,"N","Class1",17,73.873,82.725,87.593,"C",NA
84.685,"R","Class2",45,68.693,62.842,57.924,"F",44
39.174,"Y","Class3",69,50.336,92.337,64.379,"C",61
53.516,"T","Class1",17,67.001,47.076,86.826,"C",28
62.196,"M","Class1",20,72.011,61.637,88.835,"D",74
69.982,"G","Class2",56,59.096,111.891,65.459,"Z",71
18.827,"T","Class1",18,77.832,54.298,83.095,"C",36
30.861,"T","Class1",NA,65.006,57.424,86.636,"D",30
59.58,"G","Class2",57,41.999,42.422,28.555,"F",56
51.459,"I","Class2",54,38.792,58.74,45.594,"W",81
46.04,"R","Class2",62,59.989,18.999,56.905,"F",47
39.046,"B","Class3",68,24.922,92.583,60.504,"L",67
37.878,"V","Class3",68,48.373,92.305,45.45,"N",69
85.865,"G","Class2",58,53.431,91.604,82.233,"W",56
73.736,"R","Class2",46,60.963,101.841,80.425,"J",72
42.119,"X","Class3",67,44.91,93.26,44.091,"W",66
68.577,"Q","Class2",58,65.322,43.943,52.815,"F",78
37.845,"X","Class3",67,84.504,92.057,31.567,"W",77
19.318,"X","Class1",16,68.658,50.295,88.807,"R",78
36.137,"Y","Class3",68,81.798,92.453,48.939,"C",76
48.078,"Q","Class2",56,70.286,67.295,33.283,"Z",61
38.398,"V","Class3",67,38.121,91.798,21.189,"P",56
59.774,"Q","Class2",50,46.777,68.923,87.36,"W",65
26.137,"T","Class1",18,78.655,57.274,85.779,"D",19
48.66,"P","Class1",17,79.627,74.217,85.398,"D",87
47.033,"P","Class1",19,67.741,58.877,85.7,"R",65
NA,"X","Class3",69,64.237,92.795,14.916,"L",85
60.566,"Q","Class2",NA,37.758,21.455,85.786,"W",82
28.738,"I","Class2",54,48.401,-7.557,81.211,"W",64
52.144,"M","Class1",17,70.617,80.023,88.342,"R",49
46.839,"Y","Class3",67,20.894,92.504,84.838,"P",83
27.665,"X","Class1",19,71.556,52.918,84.059,"C",60
37.354,"B","Class3",67,70.224,92.769,35.553,"P",57
45.009,"I","Class2",44,69.753,79.122,69.562,"F",NA
45.398,"A","Class3",67,58.163,92.8,23.575,"N",67
NA,"Q","Class2",47,51.476,43.703,50.009,"L",43
80.676,"X","Class2",50,59.807,8.863,68.689,"Z",81
20.048,"G","Class2",59,67.01,45.384,71.716,"Z",74
20.751,"M","Class1",20,NA,59.04,85.552,"C",71
59.91,"T","Class1",NA,73.2,58.422,88.209,"Y",65
56.705,"I","Class2",62,51.698,85.738,54.722,"F",44
48.296,"G","Class2",56,54.56,51.538,73.945,"F",NA
14.302,"G","Class2",58,55.682,32.937,63.178,"L",75
37.862,"X","Class2",53,64.875,100.018,52.319,"J",63
49.964,"P","Class1",17,66.704,57.543,85.112,"C",80
37.86,"X","Class1",17,68.74,64.031,86.594,"Y",58
32.15,"G","Class2",60,54.468,50.305,83.997,"J",75
44.944,"X","Class3",69,43.815,92.665,NA,"C",88
37.306,"X","Class1",20,68.677,58.285,83.874,"Y",59
36.523,"B","Class3",67,80.225,92.739,83.125,"L",63
31.685,"X","Class1",18,73.503,44.992,84.9,"C",73
NA,"X","Class2",48,66.472,-15.419,59.265,"Z",80
51.216,"I","Class2",42,42.871,115.703,NA,"Z",67
39.535,"Y","Class3",69,85.758,92.6,64.531,"N",67
45.594,"V","Class3",69,63.799,93.012,51.051,"W",72
38.103,"Y","Class3",67,44.787,92.104,46.065,"L",83
43.909,"I","Class2",42,55.355,-6.7,48.851,"Z",70
NA,"X","Class1",19,67.49,62.515,88.151,"C",29
70.289,"I","Class2",41,35.055,24.518,47.574,"J",75
50.1,"I","Class2",NA,64.851,74.836,75.784,"Z",74
41.738,"I","Class2",45,69.446,20.112,76.919,"Z",84
55.803,"N","Class1",16,77.121,48.571,83.77,"Y",40
26.641,"T","Class1",17,67.537,44.16,87.986,"R",31
26.373,"P","Class1",NA,69.389,60.741,85.363,"D",NA
16.134,"X","Class1",19,65.514,61.859,89.259,"D",84
14.894,"I","Class2",57,53.297,46.982,130.086,"L",85
71.641,"G","Class2",60,68.276,110.044,48.4,"J",75
59.833,"M","Class1",20,79.275,91.468,86.513,"R",68
44.27,"X","Class3",67,74.314,92.394,53.759,"C",56
60.251,"R","Class2",54,35.278,NA,71.309,"F",45
61.409,"P","Class1",16,NA,NA,87.568,"D",26
26.405,"N","Class1",20,68.191,54.852,83.481,"D",65
64.902,"I","Class2",45,42.276,48.75,71.332,"F",83
40.528,"X","Class3",69,41.407,92.788,59.292,"C",72
42.913,"B","Class3",68,36.902,92.038,50.943,"P",84
20.042,"T","Class1",20,75.524,49.59,86.101,"Y",36
58.743,"I","Class2",41,69.296,84.887,58.874,"J",51
62.85,"P","Class1",18,77.221,68.708,82.086,"D",51
62.034,"N","Class1",20,78.281,52.743,81.734,"C",22
16.939,"P","Class1",19,79.715,53.365,82.671,"C",25
64.973,"P","Class1",17,74.35,79.137,NA,"L",74
29.095,"T","Class1",20,70.827,75.303,85.132,"L",NA
42.06,"Y","Class3",67,69.397,92.265,87.3,"W",72
30.188,"Q","Class2",44,42.837,10.944,66.981,"L",64
86.711,"I","Class2",46,46.799,54.294,100.448,"J",46
71.259,"I","Class2",46,67.293,38.704,49.984,"L",79
43.93,"B","Class3",68,NA,92.197,5.099,"N",50
57.642,"X","Class1",17,68.785,78.775,86.008,"Y",37
46.21,"X","Class2",42,45.515,73.972,52.822,"F",62
42.758,"M","Class1",17,69.464,56.409,88.456,"D",63
80.186,"R","Class2",61,33.873,33.337,34.551,"F",65
16.92,"G","Class2",53,59.355,43.769,15.366,"W",36
41.372,"B","Class3",68,73.649,92.526,43.991,"N",63
44.297,"Y","Class3",69,81.343,92.672,72.309,"P",81
42.551,"I","Class2",42,40.339,26.753,42.101,"Z",64
29.267,"X","Class1",19,NA,58.775,86.006,"Y",58
23.275,"N","Class1",17,72.839,52.158,84.097,"Y",35
62.993,"N","Class1",18,65.655,58.144,85.753,"D",88
36.726,"G","Class2",44,52.615,NA,72.698,"Z",76
NA,"X","Class1",18,77.967,62.909,87.908,"Y",37
64.368,"X","Class1",20,78.546,51.475,NA,"Y",59
44.625,"V","Class3",68,38.501,92.122,19.891,"C",57
50.259,"Q","Class2",56,54.425,74.706,50.137,"Z",73
NA,"R","Class2",47,69.103,62.492,41.68,"Z",76
66.236,"X","Class2",44,48.104,22.835,101.593,"J",42
NA,"N","Class1",19,79.787,66.94,86.863,"Y",77
72.079,"X","Class2",42,43.155,12.516,75.269,"Z",59
37.978,"X","Class3",67,55.129,91.684,52.428,"N",68
54.326,"M","Class1",18,73.736,63.815,85.195,"L",88
47.237,"N","Class1",19,70.335,45.58,83.871,"L",41
80.211,"I","Class2",44,67.558,74.512,56.856,"Z",45
71.801,"G","Class2",43,55.896,54.792,58.008,"L",76
46.832,"B","Class3",68,56.053,92.022,24.351,"L",61
39.768,"V","Class3",69,81.823,NA,69.4,"W",52
57.074,"M","Class1",20,69.631,64.417,85.197,"Y",18
30.414,"M","Class1",20,77.893,59.729,85.442,"L",32
43.588,"A","Class3",67,24.578,92.845,50.52,"W",66
66.896,"M","Class1",20,78.456,51.59,83.091,"C",72
19.17,"T","Class1",16,72.132,46.427,84.931,"Y",35
38.45,"B","Class3",69,74.745,92.791,24.872,"C",63
39.763,"X","Class3",67,45.414,92.547,70.49,"N",57
43.66,"M","Class1",19,67.93,61.442,84.716,"L",75
26.609,"I","Class2",62,35.517,53.639,37.33,"J",57
38.078,"X","Class3",67,21.745,92.095,51.528,"W",78
23.882,"X","Class1",18,65.563,51.573,NA,"L",62
42.972,"M","Class1",18,67.625,62.556,81.346,"R",77
37.707,"V","Class3",67,38.065,92.999,61.587,"W",NA
33.471,"X","Class2",53,36.366,68.927,56.13,"F",70
65.793,"G","Class2",49,44.058,21.839,71.169,"J",35
25.134,"X","Class1",16,77.709,63.348,81.657,"R",60
44.645,"X","Class3",NA,35.079,92.732,22.475,"N",72
20.166,"M","Class1",16,65.643,63.05,86.428,"D",73
16.444,"P","Class1",16,67.92,53.988,86.449,"D",36
42.122,"Y","Class3",68,36.463,92.13,43.881,"N",86
44.906,"X","Class2",44,61.647,64.874,95.452,"W",79
42.109,"R","Class2",NA,46.344,67.865,30.601,"L",58
44.522,"X","Class3",69,49.22,92.672,63.326,"W",80
41.377,"B","Class3",68,48.155,92.588,66.674,"P",74
27.957,"X","Class2",51,33.494,79.445,120.527,"F",44
52.451,"I","Class2",53,64.344,64.205,52.409,"L",50
51.494,"N","Class1",16,73.699,58.406,85.551,"D",NA
NA,"X","Class1",17,78.076,59.309,85.642,"R",83
44.977,"G","Class2",56,55.252,107.39,42.431,"J",65
85.478,"Q","Class2",60,64.744,19.789,85.111,"Z",37
27.194,"M","Class1",18,74.037,80.798,87.079,"D",65
53.101,"R","Class2",59,39.355,29.685,68.448,"Z",51
40.185,"X","Class2",58,53.034,50.225,100.11,"W",47
45.415,"X","Class3",68,58.801,92.46,48.667,"W",88
42.782,"N","Class1",19,75.38,64.759,85.828,"D",77
85.895,"R","Class2",54,69.333,40.327,69.709,"J",54
26.473,"G","Class2",42,57.727,77.181,59.576,"W",42
NA,"V","Class3",69,29.197,92.902,12.913,"W",70
45.242,"B","Class3",69,23.395,92.792,34.399,"W",65
65.151,"N","Class1",19,NA,31.211,88.396,"D",41
77.718,"I","Class2",47,45.735,37.695,NA,"W",83
41.236,"Y","Class3",67,79.187,93.074,44.057,"L",56
36.751,"X","Class3",68,81.476,92.16,69.066,"W",72
43.911,"B","Class3",68,40.252,92.866,63.494,"W",84
74.541,"G","Class2",51,50.865,104.603,53.734,"W",64
20.795,"I","Class2",42,NA,-18.622,74.392,"F",41
NA,"T","Class1",20,78.845,48.375,NA,"R",77
40.714,"X","Class3",69,75.57,92.773,40.153,"C",73
58.423,"Q","Class2",42,33.756,44.258,45.162,"F",62
41.82,"X","Class3",69,75.218,92.01,45.562,"N",70
67.7,"Q","Class2",50,57.491,56.694,63.938,"L",51
53.567,"M","Class1",18,70.896,57.899,NA,"C",35
47.9,"X","Class1",18,75.597,66.187,87.103,"R",74
36.895,"R","Class2",42,65.385,65.213,34.536,"W",59
83.261,"R","Class2",43,66.283,86.031,86.532,"L",82
NA,"I","Class2",44,33.059,96.329,19.85,"J",64
36.186,"X","Class2",43,71.529,16.514,63.047,"J",75
37.728,"Y","Class3",69,28.637,93.231,41.528,"C",56
42.658,"X","Class2",44,59.319,26.767,53.342,"L",37
63.249,"X","Class1",20,70.675,62.718,84.018,"C",39
65.471,"M","Class1",17,80.506,54.032,87.64,"R",44
45.021,"V","Class3",67,NA,92.28,61.118,"C",75
20.782,"T","Class1",20,65.943,100.579,84.282,"D",53
35.238,"M","Class1",18,65.081,59.727,85.32,"C",86
28.723,"M","Class1",16,68.614,61.408,83.754,"Y",48
63.406,"R","Class2",43,63.776,47.869,86.245,"F",NA
82.501,"Q","Class2",57,72.819,4.381,80.027,"L",44
23.727,"T","Class1",16,69.525,32.705,87.14,"D",23
38.747,"X","Class3",68,27.778,92.657,82.262,"L",83
17.303,"M","Class1",20,80.905,61.965,88.373,"L",40
43.156,"B","Class3",69,78.551,92.482,60.259,"P",78
25.47,"G","Class2",49,56.048,42.611,59.839,"L",76
17.653,"T","Class1",16,73.954,NA,82.278,"Y",22
46.333,"X","Class3",67,40.9,92.26,49.433,"C",60
66.061,"X","Class2",61,49.305,110.787,77.56,"Z",79
46.76,"B","Class3",69,88.699,91.492,41.666,"N",62
60.216,"I","Class2",61,69.585,46.298,64.465,"J",41
22.033,"M","Class1",17,80.757,63.211,85.134,"L",50
37.251,"R","Class2",46,43.239,92.983,69.178,"F",84
29.727,"N","Class1",18,68.539,75.232,83.847,"R",78
78.577,"R","Class2",57,69.348,97.062,47.779,"F",76
38.311,"Y","Class3",69,78.829,92.782,101.316,"W",NA
41.522,"B","Class3",67,51.503,92.48,47.978,"P",73
45.746,"X","Class2",60,54.162,NA,47.336,"W",65
41.183,"X","Class3",69,NA,92.6,45.943,"P",69
55.98,"I","Class2",52,65.38,39.525,72.846,"L",59
18.096,"N","Class1",20,67.92,39.186,83.236,"L",50
NA,"Q","Class2",48,68.06,37.764,81.578,"Z",69
35.857,"M","Class1",18,73.987,60.676,87.352,"C",81
41.374,"X","Class3",67,73.558,NA,62.194,"L",55
41.286,"X","Class3",68,85.161,92.621,56.776,"W",78
45.043,"Y","Class3",69,43.156,92.633,76.21,"C",81
77.834,"I","Class2",55,69.226,69.94,69.993,"J",82
16.58,"M","Class1",16,74.835,56.882,85.632,"R",35
45.656,"R","Class2",54,62.641,52.71,62.546,"L",36
45.086,"A","Class3",69,39.39,92.482,61.033,"W",57
46.721,"Y","Class3",69,32.763,92.039,48.302,"N",69
78.801,"Q","Class2",54,52.877,4.78,55.567,"F",46
43.269,"X","Class2",53,38.204,80.302,48.827,"J",75
42.937,"X","Class3",68,33.22,92.911,54.245,"C",74
41.72,"B","Class3",67,48.483,93.025,17.05,"C",80
39.525,"A","Class3",68,32.826,92.907,38.434,"N",NA
16.649,"P","Class1",20,79.677,31.732,83.555,"D",53
45.096,"Y","Class3",69,53.371,92.248,63.299,"P",71
NA,"X","Class3",68,48.892,92.004,81.102,"L",84
56.506,"I","Class2",56,72.537,-9.661,70.74,"Z",56
42.518,"Y","Class3",69,80.102,92.278,65.796,"P",65
34.722,"M","Class1",NA,78.153,48.975,85.056,"Y",75
46.294,"Y","Class3",67,87.37,92.7,28.23,"P",74
41.869,"A","Class3",68,51.14,92.974,59.669,"L",66
27.207,"N","Class1",19,78.318,46.689,84.565,"R",32
60.353,"N","Class1",20,76.684,84.074,87.683,"R",20
41.075,"Q","Class2",53,58.29,79.706,62.528,"J",53
18.266,"T","Class1",20,78.472,58.759,85.28,"R",79
46.837,"V","Class3",69,NA,92.259,75.491,"N",53
48.885,"X","Class1",17,71.008,NA,91.153,"Y",NA
40.841,"N","Class1",17,NA,52.879,86.282,"R",89
29.006,"R","Class2",43,67.374,87.241,66.971,"F",63
31.658,"X","Class1",17,72.067,62.633,84.705,"R",46
35.689,"M","Class1",17,73.79,51.389,NA,"R",22
23.798,"X","Class2",46,NA,77.604,68.86,"Z",58
30.177,"X","Class1",18,74.526,51.961,87.003,"C",74
60.966,"X","Class1",19,71.989,66.284,88.115,"C",22
54.211,"Q","Class2",41,39.552,NA,47.522,"W",82
63.351,"R","Class2",54,68.28,49.084,63.422,"L",54
64.183,"X","Class2",55,35.221,5.364,102.477,"W",51
40.492,"V","Class3",68,86.493,92.214,29.442,"P",76
24.162,"X","Class2",54,47.52,41.01,59.152,"W",66
62.109,"T","Class1",18,80.232,62.799,NA,"C",21
27.51,"G","Class2",57,69.776,59.379,83.377,"J",73
38.053,"X","Class3",69,25.048,92.468,36.545,"C",75
61.387,"G","Class2",45,34.814,NA,67.788,"L",49
19.306,"Q","Class2",57,NA,-4.181,46.081,"F",57
