"Class","N2","N3","N4","N5","N6","N7","N8","N9"
"Class3","Q",86.132,24.505,"X",88,20.438,69.5,81
"Class3","E",87.942,25.959,"S",89,34.454,75.054,93
"Class1","M",45.637,24.683,"I",64,84.735,79.438,59
"Class3","C",89.977,NA,"S",73,13.118,73.873,60
"Class3","A",82.214,27.947,"X",57,27.723,70.585,58
"Class3","E",87.48,11.069,"F",78,15.445,67.661,54
"Class2","B",44.584,94.997,"L",84,78.081,19.994,30
"Class2","B",57.651,95.882,"S",80,66.519,31.082,61
"Class3","Q",91.704,3.408,"X",92,33.226,79.723,49
"Class3","Q",89.923,28.271,"S",66,64.087,75.001,83
"Class3","W",85.001,6.397,"X",61,33.185,68.449,99
"Class1","C",47.971,11.428,"S",65,NA,71.548,60
"Class1","C",52.64,24.862,"L",75,82.786,74.117,NA
"Class4","B",35.471,21.089,"B",46,22.292,76.153,60
"Class4","B",55.981,9.426,"B",12,14.309,78.772,64
"Class2","L",39.563,96.776,"H",78,52.92,41.724,42
"Class3","Q",91.136,40.663,"Q",95,21.581,75.262,84
"Class1","C",49.108,20.275,"L",74,56.706,75.781,56
"Class1","C",52.832,21.496,"I",72,64.419,82.005,60
"Class1","U",53.213,11.286,"L",84,103.138,81.908,55
"Class3","A",79.828,36.406,"H",92,27.347,72.218,85
"Class1","C",50.832,25.986,"K",69,83.767,76.595,60
"Class4","M",76.175,43.627,"B",8,34.635,72.098,57
"Class4","W",79.231,38.924,"Y",NA,22.723,77.5,68
"Class2","X",47.968,94.628,"S",78,37.24,50.073,62
"Class2","C",56.504,93.12,"L",82,63.184,22.403,10
"Class4","B",12.726,38.303,"Y",25,27.199,75.799,61
"Class4","M",6.337,19.281,"Y",10,19.025,82.75,68
"Class3","W",92.325,8.108,"H",70,37.812,70.684,72
"Class4","M",6.85,24.489,"S",NA,24.95,67.695,75
"Class4","W",14.375,34.152,"Q",15,26.763,71.316,65
"Class2","P",50.422,93.588,"L",79,51.008,38.867,29
"Class4","B",25.287,11.144,"B",27,17.663,57.883,76
"Class4","M",60.212,13.856,"F",44,26.53,58.997,72
"Class3","A",80.417,NA,"F",76,18.656,69.118,NA
"Class3","E",90.483,24.702,"X",67,40.86,71.583,83
"Class2","L",40.637,95.685,"F",80,49.952,28.707,7
"Class2","P",NA,NA,"S",82,39.155,34.052,24
"Class4","Z",61.172,8.262,"Q",17,28.484,NA,62
"Class4","B",20.949,41.759,"Y",32,23.902,50.314,58
"Class4","F",36.408,18.65,"B",22,23.38,58.228,60
"Class3","W",82.692,7.633,"H",70,30.592,75.333,NA
"Class1","D",51.375,27.199,"L",82,62.288,79.973,60
"Class3","Q",92.428,5.86,"X",NA,42.285,65.204,95
"Class2","X",36.07,97.659,"Z",81,66.95,36.055,10
"Class4","B",11.866,38.876,"F",23,3.074,65.725,75
"Class2","B",44.836,NA,"L",NA,63.373,36.754,43
"Class1","Z",49.466,22.516,"S",84,102.804,65.561,58
"Class2","X",37.862,93.247,"F",81,45.498,-20.681,59
"Class2","L",52.527,95.949,"L",80,31.355,47.769,NA
"Class4","M",63.985,NA,"Y",39,14.545,74.253,56
"Class2","C",51.56,96.969,"S",84,50.043,57.301,22
"Class1","M",47.975,28.125,"L",83,93.248,62.939,56
"Class1","M",43.964,23.803,"K",80,103.805,NA,55
"Class1","Z",43.258,26.335,"L",79,82.809,87.177,61
"Class1","D",42.526,18.728,"K",77,86.018,83.003,58
"Class4","M",70.766,12.129,"F",47,27.169,62.91,65
"Class2","C",54.062,94.506,"S",83,18.35,47.718,45
"Class3","A",89.071,42.648,"F",76,17.731,70.134,NA
"Class2","P",NA,97.519,"F",81,63.977,12.17,38
"Class3","C",82.551,27.356,"Q",95,21.956,64.686,97
"Class3","A",91.538,44.465,"Q",70,NA,69.806,100
"Class2","X",48.512,93.66,"S",81,42.77,54.811,31
"Class3","W",84.968,29.597,"H",86,15.135,81.053,44
"Class4","M",65.621,8.139,"Q",8,12.791,72.878,67
"Class1","D",47.945,27.821,"W",75,80.727,82.676,57
"Class3","A",79.8,13.919,"Q",93,16.441,63.557,85
"Class4","F",63.619,38.67,"F",36,19.872,82.433,72
"Class4","M",54.274,37.721,"B",42,15.638,76.054,74
"Class4","W",8.12,10.039,"S",13,24.946,59.51,NA
"Class1","U",46.945,17.859,"L",79,91.04,71.551,61
"Class2","B",NA,93.622,"L",83,39.558,33.655,15
"Class4","W",50.781,22.363,"F",40,NA,57.917,59
"Class4","W",14.811,37.507,"S",10,19.359,67.139,56
"Class2","C",53.141,97.463,"F",82,63.716,45.957,9
"Class1","U",42.987,27.369,"L",62,76.854,68.311,59
"Class3","C",83.92,NA,"X",79,34.345,69.163,70
"Class2","X",47.111,97.743,"F",80,36.869,34.059,55
"Class2","L",39.087,94.901,"S",79,5.273,31.669,34
"Class2","P",46.745,93.299,"Z",79,64.433,47.558,55
"Class1","M",49.426,27.669,"K",75,72.016,78.129,59
"Class4","F",32.461,45.54,"Y",8,9.927,72.144,NA
"Class3","W",83.964,3.391,"Q",98,27.878,69.237,100
"Class4","M",11.1,6.759,"F",10,29.018,64.266,76
"Class2","B",50.23,94.476,"Z",80,56.319,53.369,NA
"Class1","C",48.646,26.171,"S",85,64.17,70.911,57
"Class4","M",57.656,13.747,"S",14,18.875,59.013,NA
"Class2","C",44.514,97.324,"H",79,63.626,39.154,50
"Class1","Z",47.711,19.154,"W",63,50.301,58.589,57
"Class1","Z",45.239,25.049,"I",80,75.694,77.598,55
"Class1","C",42.045,27.458,"L",74,62.118,79.131,61
"Class3","E",80.3,5.135,"F",66,31.158,77.633,100
"Class4","F",77.838,13.497,"B",24,23.858,58.033,68
"Class1","Z",46.158,18.627,"I",79,83.454,85.004,54
"Class3","Q",86.576,10.581,"H",96,25.13,67.622,73
"Class4","F",10.336,20.834,"Y",12,22.114,59.674,57
"Class2","P",36.996,94.692,"F",78,NA,31.405,16
"Class1","U",47.465,16.228,"S",80,56.861,85.621,54
"Class2","L",36.013,97.33,"Z",80,80.334,50.999,21
"Class1","D",51.049,20.573,"S",80,56.849,68.634,55
"Class4","Z",47.519,46.147,"Q",24,24.942,64.697,65
"Class2","P",50.459,95.247,"H",79,50.538,10.462,18
"Class4","F",34.206,38.437,"F",35,18.111,NA,67
"Class3","E",87.592,20.825,"Q",69,23.197,75.371,79
"Class3","C",NA,NA,"F",NA,31.702,75.406,93
"Class2","L",56.828,97.87,"L",83,84.648,27.153,NA
"Class2","C",37.027,97.32,"Z",84,45.367,39.919,26
"Class3","C",87.626,44.974,"S",70,24.322,70.081,81
"Class3","A",87.405,6.95,"X",98,32.127,77.675,63
"Class4","F",58.633,43.367,"Y",14,27.165,68.459,65
"Class2","B",36.61,97.826,"L",82,20.144,32.872,31
"Class2","X",46.207,97.822,"Z",79,51.157,9.81,60
"Class2","L",52.719,94.104,"F",NA,70.258,30.942,22
"Class2","C",36.263,96.053,"L",79,36.141,46.282,26
"Class2","C",38.662,94.999,"S",78,75.306,26.318,36
"Class1","D",42.192,12.772,"W",68,70.794,NA,56
"Class1","U",50.823,29.389,"K",60,69.138,79.061,56
"Class1","Z",45.499,29.704,"I",68,87.465,84.316,61
"Class4","W",67.824,16.437,"Q",18,12.371,48.102,73
"Class1","C",49.749,15.052,"I",84,55.472,64.834,61
"Class4","W",36.052,39.858,"F",23,35.334,70.1,69
"Class1","M",52.325,26.617,"S",76,50.117,82.378,54
"Class3","E",82.173,14.947,"S",95,40.803,78.568,83
"Class4","Z",61.222,35.029,"B",33,18.172,53.168,70
"Class4","B",17.379,3.685,"Q",35,NA,93.211,68
"Class3","C",87.155,NA,"F",96,29.246,76.713,78
"Class1","D",46.782,10.99,"S",73,95.399,85.022,61
"Class1","Z",49.983,20.526,"I",66,77.182,82.429,57
"Class1","M",46.481,14.889,"K",77,83.966,77.616,55
"Class3","W",89.114,30.763,"X",NA,23.967,74.26,91
"Class1","C",51.31,29.838,"L",61,90.589,73.67,61
"Class2","X",56.572,97.526,"L",81,45.228,25.396,5
"Class4","W",50.617,38.91,"Y",42,22.697,57.804,NA
"Class4","F",74.52,20.181,"B",15,21.197,77.004,68
"Class2","B",49.374,97.591,"F",79,59.115,56.571,10
"Class3","Q",85.533,10.232,"Q",86,39.708,77.901,67
"Class1","D",50.318,13.996,"W",NA,70.849,65.559,58
"Class1","D",42.129,17.147,"K",NA,88.128,72.819,61
"Class4","M",60.176,23.262,"Y",47,16.257,76.625,76
"Class1","U",47.216,20.666,"K",73,49.549,63.273,60
"Class4","Z",68.644,4.455,"F",7,14.399,77.018,63
"Class1","Z",43.537,18.773,"L",67,81.065,74.378,59
"Class4","W",43.825,17.517,"F",48,9.393,64.219,NA
"Class3","Q",87.298,31.435,"S",84,42.551,74.304,43
"Class4","W",29.183,36.487,"Y",7,13.907,65.715,69
"Class1","Z",NA,12.089,"W",NA,76.674,60.861,55
"Class2","B",39.513,96.382,"H",79,38.419,15.107,17
"Class1","C",44.425,17.745,"K",71,67.696,80.508,56
"Class1","M",49.344,10.342,"I",61,85.832,89.392,55
"Class3","A",87.849,44.503,"Q",69,10.922,68.696,91
"Class4","Z",10.103,31.341,"S",12,16.529,80.752,66
"Class2","C",46.626,95.706,"H",81,27.817,57.896,39
"Class3","W",86.755,5.998,"S",64,41.956,71.448,62
"Class1","Z",50.634,12.123,"S",84,NA,92.623,59
"Class4","B",57.969,31.381,"Y",25,NA,62.175,75
"Class4","Z",30.226,NA,"Q",34,21.508,NA,64
"Class1","M",46.136,12.851,"K",64,93.777,73.243,61
"Class3","C",NA,42.172,"H",74,25.76,72.038,58
"Class3","C",92.612,23.677,"H",60,42.769,68.69,61
"Class4","M",50.374,33.596,"B",24,24.34,NA,62
"Class2","L",49.95,95.506,"Z",79,54.253,28.466,19
"Class4","Z",38.584,38.253,"S",19,11.417,79.883,73
"Class2","C",34.813,93.573,"Z",80,32.03,10.723,6
"Class1","M",51.754,20.577,"K",74,85.308,80.228,54
"Class1","U",52.383,24.927,"L",67,71.162,73.178,61
"Class4","F",74.667,7.2,"F",44,18.815,60.597,68
"Class1","M",50.207,20.899,"L",76,63.724,77.479,60
"Class1","U",51.521,29.198,"S",68,53.395,91.002,NA
"Class4","Z",9.39,24.535,"S",25,15.206,46.063,72
"Class1","D",50.537,27.407,"W",66,73.621,70.942,54
"Class3","E",81.079,42.961,"S",78,15.931,72.61,45
"Class4","M",53.421,18.287,"B",13,26.294,57.27,74
"Class1","Z",53.523,14.711,"K",82,74.55,76.523,56
"Class4","B",19.56,25.936,"Q",48,44.245,51.896,56
"Class3","C",80.843,15.944,"H",99,32.18,65.551,44
"Class1","Z",49.158,10.427,"W",80,74.959,90.763,58
"Class4","B",56.785,5.698,"B",11,26.9,65.611,73
"Class1","Z",42.826,22.649,"S",68,85.975,89.844,60
"Class3","W",79.094,46.482,"Q",85,12.997,76.382,40
"Class1","C",44.157,27.561,"I",72,52.036,83.045,NA
"Class4","M",7.052,39.349,"Y",32,11.738,62.118,67
"Class2","L",49.669,96.903,"F",81,17.26,51.79,27
"Class3","W",79.548,42.053,"H",99,25.02,72.704,51
"Class4","M",40.369,18.953,"B",43,31.837,59.813,NA
"Class2","X",47.47,97.431,"S",78,87.679,43.659,53
"Class4","F",52.569,15.59,"B",23,NA,62.284,70
"Class4","F",40.937,36.896,"Y",43,16.036,75.937,65
"Class4","W",45.214,31.518,"B",34,16.493,62.364,65
"Class4","W",11.49,10.483,"Q",NA,25.127,60.991,56
"Class1","U",NA,11.873,"L",76,80.157,72.973,60
"Class3","C",87.808,34.465,"H",73,8.707,59.717,87
"Class2","L",44.029,96.542,"L",82,76.297,35.265,NA
"Class2","X",57.818,95.932,"Z",81,NA,46.927,6
"Class3","C",85.365,21.165,"X",64,35.925,73.17,91
"Class4","F",6.185,24.798,"Q",13,25.199,70.366,57
"Class2","L",54.653,93.232,"H",78,86.443,NA,33
"Class3","A",83.725,44.295,"F",58,36.994,63.85,70
"Class3","W",90.426,46.036,"F",82,23.377,66.562,74
"Class4","W",50.225,39.284,"Y",42,18.117,80.913,62
"Class2","L",57.734,97.513,"F",83,42.245,28.464,53
"Class3","C",82.766,36.82,"H",66,45.648,71.938,70
"Class1","C",NA,14.564,"S",66,43.67,70.063,58
"Class1","D",42.192,15.446,"I",64,74.722,80.429,57
"Class2","C",36.806,94.791,"Z",80,72.458,47.308,37
"Class4","Z",68.56,46.911,"Q",7,24.723,74.206,75
"Class2","P",49.809,95.714,"F",81,49.312,41.769,36
"Class4","M",45.271,43.234,"Y",16,22.573,68.174,73
"Class3","W",83.856,14.193,"Q",71,25.618,75.711,95
"Class4","W",74.153,38.31,"F",47,27.372,61.382,76
"Class4","B",48.73,42.213,"S",11,NA,64.272,67
"Class2","C",48.994,95.138,"Z",81,NA,29.927,NA
"Class2","L",53.177,95.106,"H",84,37.096,25.646,43
"Class2","C",56.564,96.617,"F",83,67.178,NA,5
"Class1","U",52.46,14.747,"I",69,76.686,84.039,57
"Class4","B",79.566,7.298,"S",39,NA,74.797,59
"Class4","B",48.377,9.851,"F",15,17.481,64.832,62
"Class1","D",51.129,22.656,"K",76,64.909,65.208,55
"Class1","D",52.214,15.123,"W",69,56.15,77.788,55
"Class1","U",49.747,26.639,"I",85,65.772,82.406,61
"Class3","C",90.095,NA,"F",87,35.553,71.971,59
"Class3","C",83.347,16.143,"Q",65,30.496,70.074,43
"Class1","D",42.519,24.989,"L",68,56.824,65.067,60
"Class2","C",40.208,94.182,"S",80,82.872,14.386,50
"Class3","Q",85.998,20.591,"H",82,36.142,75.182,71
"Class3","E",80.703,46.045,"S",NA,52.92,NA,67
"Class1","M",44.234,24.598,"L",65,47.785,71.56,55
"Class3","Q",NA,12.159,"H",72,41.867,NA,48
"Class2","X",36.571,93.904,"H",79,43.042,9.828,30
"Class4","F",72.825,12.412,"B",21,29.383,69.887,63
"Class1","U",42.708,17.547,"W",72,110.292,72.848,55
"Class3","A",79.036,29.778,"S",61,34.587,67.319,92
"Class1","D",44.498,NA,"S",69,59.143,81.809,54
"Class3","A",92.044,36.365,"X",59,19.273,77.831,80
"Class2","X",51.055,95.46,"Z",81,36.159,14.899,23
"Class4","M",44.963,45.885,"Q",14,17.698,NA,63
"Class4","F",19.566,25.63,"Q",9,24.753,74.741,65
"Class3","Q",85.745,46.193,"F",99,36.658,68.566,55
"Class1","U",47.274,29.917,"K",79,63.571,81.584,59
"Class3","W",90.866,33.615,"F",88,48.055,73.223,74
"Class3","A",82.641,40.299,"Q",85,32.521,78.412,96
"Class4","F",64.811,36.413,"B",26,27.007,61.687,76
"Class3","C",80.089,33.899,"X",84,16.006,65.534,100
"Class2","X",51.318,97.895,"Z",80,-8.357,16.172,44
"Class4","M",53.816,14.475,"Q",21,20.587,82.746,76
"Class3","W",90.013,42.104,"S",58,NA,71.369,82
"Class2","C",56.415,93.161,"F",78,31.648,30.613,53
"Class2","X",54.695,96.989,"H",83,33.204,NA,34
"Class3","A",81.581,24.148,"F",66,42.525,70.34,95
"Class1","U",51.703,10.692,"K",82,72.342,89.489,57
"Class2","X",54.556,93.693,"Z",79,114.303,37.042,62
"Class3","A",79.129,NA,"S",96,45.237,58.074,98
"Class4","B",49.541,43.582,"F",8,28.541,74.576,75
"Class4","B",29.79,25.08,"Y",25,20.206,58.914,65
"Class2","X",NA,93.162,"H",82,46.272,26.45,19
"Class4","B",59.821,33.269,"B",10,21.888,66.755,66
"Class1","U",53.608,20.076,"W",61,86.336,70.167,61
"Class2","B",51.145,97.638,"L",79,55.455,46.018,22
"Class4","M",NA,23.864,"S",43,22.311,74.195,72
"Class2","B",39.61,97.038,"F",84,51.97,31.886,42
"Class1","M",50.246,14.138,"I",62,93.168,60.081,57
"Class4","M",NA,NA,"S",40,19.19,69.387,60
"Class3","C",83.728,7.504,"Q",91,24.009,NA,75
"Class2","C",46.174,93.195,"F",82,61.229,27.818,60
"Class3","E",89.079,26.131,"Q",NA,26.679,62.554,55
"Class4","F",36.574,20.87,"S",11,26.772,79.214,59
"Class4","Z",52.67,12.359,"F",33,20.641,55.345,76
"Class2","L",57.736,94.044,"H",84,7.857,15.716,34
"Class2","X",54.503,96.475,"F",79,88.938,5.669,56
"Class2","C",NA,96.371,"S",78,95.537,33.115,22
"Class3","E",85.663,6.274,"X",97,6.547,76.128,45
"Class4","B",14.667,43.433,"F",13,NA,75.581,62
"Class3","A",86.055,NA,"X",68,42.664,62.167,71
"Class2","X",45.585,93.172,"S",84,34.039,34.228,38
"Class4","M",25.016,8.379,"Q",28,2.806,82.868,69
"Class1","M",47.851,10.687,"S",64,75.988,68.436,60
"Class1","Z",45.635,29.268,"K",77,64.849,81.406,59
"Class1","D",52.257,29.105,"K",NA,63.136,77.877,55
"Class1","D",50.293,20.222,"S",75,85.034,58.184,58
"Class3","Q",79.82,45.925,"Q",88,21.215,75.672,48
"Class1","D",47.583,16.567,"L",80,59.878,93.207,61
"Class4","Z",6.183,45.98,"B",17,12.87,72.104,68
"Class1","M",45.606,14.182,"K",85,66.458,72.634,61
"Class3","W",88.115,18.32,"S",63,42.606,69.656,93
"Class3","C",91.26,NA,"S",65,29.606,59.576,61
"Class3","C",92.858,42.638,"F",85,32.274,68.431,67
"Class2","P",37.815,95.582,"F",82,58.562,18.248,44
"Class1","C",47.553,11.201,"W",82,85.332,62.622,56
"Class1","D",51.343,24.062,"I",68,52.3,86.496,57
"Class1","U",53.63,29.932,"W",65,53.886,86.884,61
"Class4","F",12.871,2.174,"S",21,21.078,47.821,58
"Class1","D",47.187,29.379,"I",64,91.363,77.982,60
"Class2","X",47.404,97.951,"L",82,81.842,22.388,9
"Class4","Z",69.59,28.792,"F",33,17.993,56.748,56
"Class3","Q",84.942,40.039,"X",73,36.258,76.836,60
"Class1","Z",45.477,28.57,"W",84,82.589,79.378,58
"Class1","Z",44.951,16.175,"K",69,63.288,NA,61
"Class4","W",56.79,43.933,"F",38,21.954,71.764,57
"Class3","E",89.991,14.152,"H",66,16.913,67.656,47
"Class1","Z",52.386,12.013,"K",63,88.544,85.225,57
"Class3","Q",91.803,3.507,"H",80,35.806,70.945,96
"Class4","B",18.626,38.707,"Q",10,10.842,72.362,75
"Class2","B",41.941,95.624,"S",NA,43.578,3.971,14
"Class4","M",53.812,13.167,"F",13,15.259,69.429,70
"Class2","P",46.93,95.316,"Z",79,36.701,33.869,28
"Class1","U",47.636,23.06,"I",85,NA,81.579,57
"Class2","X",48.074,93.336,"H",80,60.986,0.052,24
"Class1","D",50.064,18.407,"W",70,99.801,85.429,54
"Class4","M",16.202,47.713,"F",18,9.515,60.874,74
"Class1","C",51.389,17.545,"W",70,86.469,73.534,61
"Class2","C",54.865,94.849,"H",80,59.165,44.888,59
"Class2","X",43.527,94.871,"H",NA,88.274,47.195,7
"Class2","B",NA,97.627,"F",83,44.214,38.874,47
"Class1","M",48.478,10.794,"I",76,73.916,58.211,55
"Class2","B",46.897,97.023,"F",81,68.044,11.911,28
"Class3","E",92.28,18.127,"F",84,25.899,71.528,41
"Class3","C",86.124,5.648,"S",74,6.379,66.508,72
"Class1","D",47.233,21.589,"I",72,87.341,73.191,59
"Class4","W",42.775,NA,"B",20,NA,82.262,68
"Class2","B",49.35,94.298,"Z",83,61.365,24.787,32
"Class3","E",86.44,22.398,"Q",92,20.34,74.126,72
"Class2","X",39.992,95.968,"S",83,76.987,27.698,6
"Class3","A",88.574,43.713,"Q",87,41.892,NA,51
"Class1","C",52.932,12.591,"S",64,70.809,96.127,59
"Class2","C",39.795,94.454,"S",78,22.33,NA,NA
"Class4","F",43.275,44.827,"B",NA,29.044,72.962,58
"Class3","Q",82.081,27.968,"S",65,39.064,67.731,52
"Class3","Q",92.707,24.222,"S",71,38.453,72.025,45
"Class3","E",84.021,11.195,"F",58,NA,67.073,45
"Class3","W",86.617,25.19,"F",81,9.938,71.351,67
"Class1","Z",51.637,13.653,"K",76,63.398,77.97,57
"Class1","U",48.514,23.457,"I",82,58.036,81.326,55
"Class1","M",49.495,25.914,"K",64,69.636,77.036,57
"Class2","L",37.043,96.202,"S",78,15.851,12.358,40
"Class2","X",40.202,97.223,"F",81,20.371,33.609,7
"Class1","U",46.798,19.203,"S",78,47.366,74.504,59
"Class1","Z",48.356,10.912,"W",73,61.026,74.666,54
"Class2","L",35.065,94.044,"S",84,78.796,-0.665,NA
"Class1","D",45.005,28.612,"K",65,59.579,78.462,57
"Class2","L",51.575,97.378,"H",84,45.961,24.38,9
"Class4","W",41.043,NA,"B",16,NA,78.357,62
"Class4","B",77.812,38.748,"F",21,20.318,78.718,60
"Class4","B",54.838,44.607,"F",20,27.182,62.074,58
"Class2","B",58.196,94.838,"L",82,38.273,20.489,32
"Class3","A",92.855,44.672,"Q",80,16.237,64.954,79
"Class2","X",49.613,94.227,"F",81,47.515,32.229,12
"Class3","Q",81.001,37.105,"H",83,15.795,58.393,42
"Class4","F",80.98,47.827,"B",24,25.008,89.541,60
"Class3","Q",NA,43.67,"S",93,NA,72.511,71
"Class4","Z",24.286,9.906,"S",9,NA,49.939,66
"Class3","Q",86.611,21.859,"H",NA,26.045,63.397,51
"Class2","L",39.508,93.651,"H",81,39.662,32.782,32
"Class2","B",38.889,93.878,"H",NA,97.55,27.912,20
"Class3","A",81.048,11.761,"Q",90,41.191,69.578,73
"Class3","E",86.396,13.141,"F",NA,25.896,69.603,70
"Class3","E",81.649,27.398,"S",79,8.307,71.08,70
"Class1","M",43.04,NA,"S",73,67.142,NA,59
"Class2","X",42.815,96.781,"H",82,103.244,17.858,22
"Class4","W",46.684,38.018,"Q",46,16.785,69.572,58
"Class1","D",49.209,10.62,"S",62,89.066,72.863,60
"Class3","C",85.21,40.753,"Q",61,27.242,81.371,62
"Class4","M",19.871,36.899,"B",28,19.105,70.571,59
"Class3","C",85.033,40.315,"F",84,43.376,70.89,59
"Class2","X",NA,94.662,"F",83,52.326,35.905,37
"Class1","M",50.23,27.086,"W",63,92.93,64.631,60
"Class1","D",46.417,16.921,"S",64,49.093,79.506,55
"Class2","L",52.242,94.629,"L",84,27.609,32.401,32
"Class3","Q",90.08,NA,"X",70,35.435,70.032,56
"Class1","U",49.719,11.348,"L",65,59.908,73.42,57
"Class2","C",42.136,96.668,"F",78,52.856,25.684,53
"Class1","M",48.003,NA,"K",62,70.119,52.436,57
"Class1","C",NA,13.326,"L",85,55.957,67.518,59
