"Q1","Q2","Q3","Q4","Q5","Q6","Class","Q8","Q9"
60.583,37.086,27,28,"N","J","Class5",48.487,54.365
78.632,51.277,81,47,"T","U","Class1",40.349,67.052
NA,30.787,67,29,"D","Z","Class5",45.017,75.294
74.5,85.438,76,44,"M","D","Class1",41.533,40.306
43.689,26.433,39,37,"G","J","Class3",NA,NA
95.552,62.903,83,49,"Y","L","Class1",41.197,65.423
91.011,29.34,79,42,"T","L","Class1",38.505,39.112
44.453,77.914,78,71,"T","R","Class3",75.67,13.449
87.436,38.782,54,17,"R","I","Class3",83.573,30.532
51.605,37.489,73,17,"O","E","Class4",54.369,82.245
51.169,54.125,69,19,"O","E","Class4",55.115,90.833
94.818,39.527,80,40,"Q","Y","Class1",35.392,41.951
89.819,46.423,58,8,"G","I","Class3",54.585,35.11
72.435,71.057,24,6,"I","I","Class2",29.644,44.051
51.91,49.682,72,26,"W","X","Class4",86.334,81.512
80.36,72.62,36,8,"O","R","Class2",42.631,66.177
51.832,53.274,31,40,"O","X","Class4",NA,74.978
82.895,41.109,78,39,"F","D","Class1",63.046,57.512
60.868,47.259,23,NA,"N","H","Class5",44.612,79.446
46.316,-6.97,55,NA,"T","K","Class3",59.098,27.97
72.32,65.691,40,6,"O","R","Class2",21.349,46.141
51.894,57.851,78,27,"S","X","Class4",49.743,74.735
NA,44.678,82,49,"T","D","Class1",40.026,50.864
51.182,56.442,3,59,"S","X","Class4",86.753,82.74
51.565,50.688,66,66,"O","E","Class4",58.993,91.662
51.061,49.713,23,55,"H","T","Class4",26.155,74.522
51.27,48.681,5,15,"H","T","Class4",77.344,88.298
79.777,10.853,76,39,"Q","D","Class1",29.606,58.8
42.598,30.762,43,NA,"G","X","Class3",60.874,48.642
84.054,NA,45,8,"O","A","Class2",57.675,68.901
82.171,55.26,46,6,"D","O","Class2",55.561,46.45
71.421,28.696,61,70,"R","J","Class3",76.652,46.802
60.167,38.985,75,NA,"R","Z","Class5",48.357,65.377
84.078,76.033,80,9,"F","P","Class2",NA,45.286
72.632,53.824,83,52,"F","U","Class1",42.105,49.306
60.122,39.569,34,28,"M","A","Class5",47.723,70.529
96.905,50.372,84,52,"F","F","Class1",64.979,52.387
NA,74.93,7,3,"F","I","Class2",69.776,60.489
51.873,NA,11,59,"H","T","Class4",21.107,73.697
58.601,38.533,54,10,"B","X","Class3",49.012,54.221
86.622,58.909,30,10,"O","A","Class2",52.732,59.573
51.683,53.052,58,73,"V","E","Class4",35.458,NA
88.709,56.213,80,11,"F","P","Class2",76.246,55.146
41.524,60.855,57,51,"G","I","Class3",50.378,16.179
60.587,41.216,39,44,"D","Z","Class5",48.769,NA
60.481,39.43,33,34,"N","H","Class5",44.329,67.435
83.54,64.429,57,NA,"R","I","Class3",54.084,28.39
87.645,52.594,NA,7,"R","O","Class2",73.072,NA
51.586,55.876,15,47,"V","X","Class4",54.167,74.941
51.918,NA,57,68,"O","T","Class4",87.353,80.387
51.872,50.045,73,75,"O","X","Class4",32.008,87.961
51.347,NA,78,22,"S","X","Class4",40.714,77.417
60.448,46.888,32,25,"D","J","Class5",47.842,64.204
60.529,41.291,71,39,"D","A","Class5",48.651,85.662
85.038,67.887,75,53,"Y","F","Class1",22.171,36.59
70.663,54.884,40,2,"D","A","Class2",13.976,53.636
71.836,57.712,76,8,"O","O","Class2",NA,38.287
80.363,52.048,91,63,"V","K","Class3",71.674,22.153
79.17,72.071,75,44,"Q","L","Class1",58.566,52.849
60.083,49.55,30,25,"M","H","Class5",48.667,78.998
60.564,NA,80,40,"M","C","Class5",43.35,74.491
60.327,59.071,38,42,"S","Z","Class5",44.759,88.634
81.349,46.89,84,43,"Q","D","Class1",NA,61.837
72.636,58.152,80,52,"F","U","Class1",62.14,58.589
87.172,27.455,89,8,"B","R","Class3",55.791,14.577
60.907,59.424,68,45,"M","J","Class5",47.141,NA
72.042,34.452,54,54,"B","K","Class3",58.915,29.31
85.252,37.254,83,51,"Y","F","Class1",35.352,31.064
89.318,79.072,52,82,"V","J","Class3",71.047,35.357
51.814,47.402,55,64,"W","E","Class4",18.502,74.939
84.259,56.014,81,4,"D","P","Class2",68.563,50.21
60.292,33.356,81,32,"S","J","Class5",43.73,100.879
51.577,50.946,NA,72,"H","F","Class4",51.019,78.701
54.395,44.387,61,69,"V","X","Class3",64.228,23.543
51.622,57.935,57,54,"V","X","Class4",67.248,84.897
89.787,69.859,81,39,"M","Y","Class1",23.144,73.696
51.762,49.562,4,9,"H","L","Class4",59.109,83.458
60.585,31.806,72,NA,"M","C","Class5",43.509,59.711
60.834,38.043,20,33,"M","Z","Class5",45.355,70.723
60.561,42.076,48,40,"D","Z","Class5",44.164,71.855
NA,65.118,42,8,"D","R","Class2",75.543,55.921
45.259,61.232,79,7,"B","X","Class3",69.453,50.688
60.718,30.064,67,45,"R","J","Class5",44.187,86.338
60.613,44.612,22,38,"M","H","Class5",45.66,71.397
NA,65.119,79,39,"F","Y","Class1",51.667,72.764
78.131,53.715,NA,8,"F","O","Class2",45.845,43.686
69,72.085,5,6,"F","P","Class2",31.069,42.95
72.465,77.484,63,3,"I","R","Class2",51.427,NA
60.358,44.659,30,45,"S","J","Class5",47.152,68.988
87.252,53.868,46,4,"O","P","Class2",NA,55.734
60.659,35.063,60,38,"N","J","Class5",43.533,56.842
51.412,47.94,9,42,"V","F","Class4",34.824,88.979
51.144,49.382,6,19,"W","F","Class4",20.291,83.556
56.37,29.057,61,66,"B","X","Class3",56.852,46.249
51.437,47.402,49,10,"H","T","Class4",24.135,73.522
60.842,33.666,59,40,"S","J","Class5",48.644,59.566
86.796,63.833,72,6,"O","A","Class2",33.686,67.031
63.849,49.697,59,51,"V","K","Class3",60.661,45.453
74.953,55.771,80,44,"F","D","Class1",27.307,77.628
NA,76.429,72,53,"R","I","Class3",79.749,32.328
85.447,64.547,72,83,"G","K","Class3",71.155,14.963
58.24,103.043,34,23,"V","J","Class3",56.963,18.257
51.481,54.661,49,61,"W","F","Class4",25.639,83.076
51.944,47.102,64,74,"H","F","Class4",77.204,86.82
51.755,48.213,52,32,"O","T","Class4",49.322,79.403
72.743,83.529,97,4,"F","O","Class2",63.652,45.581
51.04,49.634,51,40,"V","F","Class4",27.063,73.167
70.1,64.289,18,4,"R","I","Class2",22.498,66.684
91.457,25.132,75,39,"Y","D","Class1",50.197,40.851
51.008,55.364,71,10,"H","T","Class4",46.658,78.925
87.333,66.809,54,9,"F","O","Class2",72.976,51.43
77.179,11.698,35,15,"G","R","Class3",75.147,42.749
74.394,69.894,70,8,"R","I","Class2",37.342,44.991
68.373,55.972,80,45,"T","U","Class1",44.205,57.293
60.578,18.28,59,50,"S","Z","Class5",47.908,60.14
51.867,50.902,57,61,"V","F","Class4",83.995,86.449
60.793,40.458,42,31,"S","C","Class5",45.366,71.284
83.716,38.691,82,42,"F","U","Class1",31.046,38.858
85.626,55.5,NA,9,"O","P","Class2",36.735,46.59
83.527,61.353,96,10,"O","O","Class2",60.923,77.577
NA,73.553,78,NA,"Q","F","Class1",49.788,62.538
39.983,50.021,41,46,"T","X","Class3",69.447,14.561
51.647,53.7,44,39,"V","E","Class4",82.132,92.786
81.807,75.964,11,7,"O","R","Class2",65.185,59.567
67.638,58.179,35,7,"F","P","Class2",28.553,64.065
NA,79.622,33,8,"O","A","Class2",11.319,57.478
75.817,64.618,55,2,"D","P","Class2",10.405,51.332
92.524,48.609,75,42,"M","Y","Class1",56.366,53.575
51.12,46.801,43,51,"H","L","Class4",62.111,87.193
60.808,53.338,28,25,"R","C","Class5",45.82,73.339
78.099,55.294,77,40,"Q","L","Class1",64.512,28.984
73.919,61.798,82,8,"F","I","Class2",69.732,51.964
51.079,48,69,65,"S","F","Class4",NA,92.415
84.722,57.655,77,10,"I","I","Class2",62.501,62.313
51.112,47.12,13,17,"S","L","Class4",74.688,79.117
51.051,43.855,68,60,"S","F","Class4",92.458,84.187
51.749,40.006,15,46,"O","X","Class4",72.145,102.437
60.384,14.743,46,33,"M","C","Class5",45.178,64.966
51.787,51.335,27,56,"V","X","Class4",33.319,83.092
49.691,22.005,86,50,"R","J","Class3",64.712,30.619
63.011,43.782,66,19,"B","I","Class3",58.693,59.001
51.142,43.414,45,57,"O","E","Class4",50.414,74.54
53.944,122.216,48,31,"T","K","Class3",59.688,37.678
85.973,72.72,26,11,"D","O","Class2",38.233,55.42
84.33,56.9,31,6,"I","A","Class2",41.578,46.042
67.826,31.943,63,58,"R","X","Class3",63.979,NA
60.833,30.377,81,26,"R","H","Class5",46.992,83.262
62.577,35.649,88,8,"B","J","Class3",54.713,3.219
70.023,61.506,64,7,"F","P","Class2",25.979,50.766
74.051,68.373,46,9,"F","O","Class2",68.632,39.388
79.12,50.612,49,29,"V","I","Class3",NA,17.075
60.028,37.85,63,32,"M","H","Class5",46.772,87.032
48.908,42.876,74,22,"R","I","Class3",81.208,50.708
94.63,44.65,84,43,"Y","U","Class1",45.737,40.535
51.702,48.761,7,21,"V","T","Class4",NA,80.475
77.052,80.711,78,11,"I","R","Class2",12.292,64.373
42.035,51.76,40,81,"V","J","Class3",52.662,37.554
60.384,30.234,19,28,"R","J","Class5",44.958,82.079
83.996,37.414,68,14,"G","X","Class3",80.007,34.771
81.258,30.723,75,40,"Y","L","Class1",20.742,88.452
60.141,52.351,45,49,"S","H","Class5",45.831,64.779
51.796,42.56,12,38,"S","L","Class4",57.025,83.952
60.662,39.148,82,35,"N","C","Class5",44.747,78.751
72.819,33.544,76,44,"F","L","Class1",26.466,37.675
51.5,47.841,38,10,"H","F","Class4",66.588,78.528
60.987,52.328,25,38,"N","H","Class5",48.992,60.291
60.228,44.059,43,26,"M","Z","Class5",46.248,71.708
79.473,37.689,83,39,"Y","U","Class1",24.653,42.082
65.333,46.872,52,15,"V","K","Class3",71.165,34.435
51.394,NA,53,44,"V","T","Class4",56.281,89.807
51.476,44.356,61,60,"S","F","Class4",44.769,79.151
60.911,42.641,51,25,"D","Z","Class5",48.55,71.729
NA,76.556,82,47,"Q","L","Class1",37.446,46.24
75.224,117.453,57,6,"V","R","Class3",63.276,39.783
45.234,14.638,53,5,"B","J","Class3",68.417,40.031
51.096,53.365,16,12,"H","E","Class4",68.463,88.047
60.581,42.072,NA,43,"M","C","Class5",NA,64.863
82.129,45.23,60,38,"V","R","Class3",72.243,36.713
60.038,44.964,63,50,"D","Z","Class5",46.702,77.186
NA,26.427,75,44,"M","U","Class1",26.96,58.237
81.406,76.855,25,8,"O","P","Class2",16.725,55.312
60.362,29.289,80,46,"D","Z","Class5",45.22,61.202
72.227,80.458,84,39,"T","Y","Class1",19.057,57.903
NA,NA,43,56,"S","T","Class4",17.585,81.387
60.194,29.525,25,44,"D","Z","Class5",46.648,54.877
46.822,53.436,66,NA,"V","I","Class3",86.822,40.02
85.753,68.753,43,7,"R","I","Class2",53.765,49.248
84.575,35.414,82,41,"M","L","Class1",61.665,61.481
60.195,42.098,46,29,"M","H","Class5",44.251,80.922
65.324,59.849,92,67,"V","K","Class3",50.411,65.31
83.735,57.249,72,73,"B","I","Class3",52.043,17.221
86.801,63.125,13,6,"D","A","Class2",76.901,64.898
80.99,31.234,78,47,"F","D","Class1",23.306,46.144
80.829,68.195,69,4,"O","A","Class2",72.781,54.475
51.665,53.74,9,46,"W","E","Class4",67.891,90.623
NA,60.125,16,37,"W","T","Class4",35.733,73.291
60.314,30.387,80,39,"S","Z","Class5",43.864,76.591
51.773,49.422,51,14,"S","F","Class4",42.868,84.833
60.567,32.372,74,32,"S","C","Class5",44.269,94.048
51.349,NA,28,26,"H","T","Class4",43.223,79.184
77.26,76.993,80,53,"F","F","Class1",45.915,NA
79.675,42.369,46,5,"R","A","Class2",74.449,42.598
73.653,53.558,73,37,"R","X","Class3",NA,35.823
NA,-2.527,79,48,"Q","F","Class1",51.111,41.231
51.921,46.003,43,54,"O","L","Class4",32.122,86.965
73.457,58.128,78,49,"M","F","Class1",NA,44.096
53.188,45.554,92,32,"T","J","Class3",53.193,26.835
60.051,NA,19,43,"D","C","Class5",46.232,57.148
51.008,43.577,62,56,"W","F","Class4",92.175,88.457
60.813,31.424,24,NA,"D","A","Class5",43.649,89.709
81.592,108.106,75,44,"M","L","Class1",44.551,53.797
69.7,NA,81,31,"V","K","Class3",53.982,9.711
60.069,29.602,18,37,"S","J","Class5",43.743,61.316
60.18,42.904,26,26,"S","Z","Class5",48.746,71.693
60.819,48.666,80,40,"D","Z","Class5",45.2,97.095
73.25,58.162,62,5,"I","R","Class2",74.307,61.174
95.368,48.329,82,54,"Q","Y","Class1",65.071,64.674
88.975,64.997,33,2,"O","R","Class2",67.835,49.25
62.375,42.42,51,21,"G","X","Class3",79.737,75.429
54.969,78.383,76,15,"B","X","Class3",53.054,NA
55.288,50.959,82,12,"B","K","Class3",51.148,18.642
95.575,29.6,81,51,"Y","U","Class1",40.323,29.91
51.825,45.56,38,26,"S","T","Class4",72.461,82.705
51.153,54.112,50,67,"O","T","Class4",37.371,70.366
51.304,61.516,20,62,"S","T","Class4",23.807,74.787
76.873,NA,84,54,"F","U","Class1",37.847,49.674
63.546,65.777,76,8,"G","X","Class3",69.856,33.707
60.447,42.578,68,39,"N","J","Class5",47.209,63.1
73.139,77.795,83,40,"M","F","Class1",46.685,57.542
67.071,56.925,80,NA,"F","F","Class1",34.135,74.176
83.427,76.086,75,40,"Y","Y","Class1",26.984,61.172
51.644,44.087,52,69,"S","L","Class4",27.583,81.504
77.198,58.705,81,39,"F","U","Class1",46.35,65.295
76.534,57.605,28,11,"D","A","Class2",44.229,57.155
60.538,50.881,50,41,"S","Z","Class5",48.155,74.613
71.466,68.921,79,50,"M","Y","Class1",31.026,62.594
82.545,33.992,69,13,"V","X","Class3",50.735,22.21
69.064,18.017,NA,50,"M","D","Class1",45.86,NA
60.761,43.28,NA,30,"D","A","Class5",45.771,67.33
68.853,55.059,88,6,"F","P","Class2",62.029,36.951
86.877,1.872,69,27,"T","R","Class3",72.325,38.124
51.346,39.332,33,73,"V","T","Class4",16.031,81.407
72.604,68.706,79,46,"T","Y","Class1",55.563,71.546
60.587,36.268,45,25,"D","J","Class5",47.369,80.174
72.399,63.62,37,7,"O","P","Class2",67.715,56.604
60.084,56.053,54,32,"D","H","Class5",46.447,53.919
NA,87.344,46,40,"V","K","Class3",64.722,51.674
77.246,61.743,47,4,"D","I","Class2",58.899,59.214
60.091,34.361,44,30,"T","X","Class3",62.133,49.588
67.595,65.55,79,7,"D","A","Class2",59.448,50.999
62.431,44.943,55,NA,"T","K","Class3",74.153,24.998
86.17,26.508,83,43,"Q","F","Class1",43.136,77.039
NA,63.399,80,45,"M","Y","Class1",43.759,50.798
91.015,49.093,78,54,"Y","U","Class1",40.349,48.759
51.227,47.195,55,9,"O","E","Class4",53.076,81.225
60.108,51.961,35,26,"S","J","Class5",47.357,67.225
75.935,63.557,74,73,"B","X","Class3",54.606,21.287
72.03,74.296,55,67,"G","I","Class3",77.338,34.283
60.737,51.725,55,42,"N","H","Class5",44.04,80.026
51.329,NA,48,44,"O","L","Class4",55.692,69.412
51.879,50.586,31,19,"O","E","Class4",16.678,81.421
85.977,70.053,13,7,"D","R","Class2",49.855,50.246
52.748,-2.784,70,14,"T","I","Class3",69.427,17.797
81.372,60.692,66,48,"R","X","Class3",54.153,12.394
82.703,67.45,78,11,"F","P","Class2",59.274,57.44
94.496,68.849,79,47,"F","F","Class1",26.377,36.629
51.28,48.278,66,66,"V","F","Class4",29.158,87.645
60.357,45.683,36,36,"N","C","Class5",43.433,72.215
60.168,32.198,48,33,"S","J","Class5",48.742,90.86
51.904,50.739,50,74,"O","L","Class4",72.911,88.333
51.402,43.102,32,64,"V","X","Class4",58.817,84.094
51.818,46.197,77,10,"H","X","Class4",35.525,NA
51.011,45.535,2,NA,"O","E","Class4",48.816,85.352
51.02,47.308,46,55,"O","F","Class4",16.126,87.963
52.887,37.594,90,72,"T","J","Class3",84.059,37.814
60.521,33.626,64,25,"N","J","Class5",48.568,96.568
51.056,40.406,79,42,"S","X","Class4",21.787,79.083
76.738,12.288,78,54,"T","U","Class1",48.176,61.465
84.08,80.894,88,8,"O","I","Class2",26.825,58.201
51.766,55.768,50,40,"W","X","Class4",NA,82.009
73.04,54.412,33,27,"B","X","Class3",58.883,39.337
51.51,NA,60,NA,"W","E","Class4",82.837,76.842
88.507,38.554,82,43,"T","L","Class1",28.424,59.615
95.121,31.475,77,48,"Q","D","Class1",28.59,NA
51.749,48.593,49,67,"W","X","Class4",63.596,79.906
82.502,34.498,77,44,"Y","Y","Class1",20.172,73.8
86.859,59.654,35,44,"T","J","Class3",80.895,23.472
51.922,46.537,59,45,"V","F","Class4",40.881,77.133
51.227,59.832,46,31,"W","L","Class4",70.025,89.705
56.474,39.444,66,32,"T","R","Class3",57.648,46.05
60.762,32.077,41,NA,"D","J","Class5",45.17,79.317
68.199,62.507,11,7,"R","R","Class2",30.994,53.759
60.025,50.649,58,26,"S","A","Class5",47.903,74.862
51.64,51.166,12,62,"W","T","Class4",65.08,82.307
43.812,22.288,75,NA,"V","X","Class3",79.673,31.97
51.217,55.89,68,60,"H","X","Class4",79.027,92.427
91.175,67.546,77,47,"T","L","Class1",NA,58.116
87.006,71.187,92,5,"D","P","Class2",55.251,63.762
60.73,48.789,80,29,"R","C","Class5",48.583,50.035
60.177,41.409,20,41,"R","A","Class5",46.669,64.787
51.707,45.618,63,14,"W","T","Class4",17.871,84.609
60.554,56.214,NA,44,"D","A","Class5",47.065,80.655
63.194,42.65,64,51,"V","R","Class3",85.526,34.201
NA,20.599,86,NA,"R","K","Class3",50.225,54.875
60.515,45.244,46,49,"R","J","Class5",48.572,71.097
67.864,54.765,38,5,"R","A","Class2",70.3,53.99
88.748,64.302,18,8,"D","A","Class2",36.49,48.011
60.882,40.887,56,29,"S","Z","Class5",48.098,88.215
60.553,38.691,69,29,"R","C","Class5",45.259,104.697
75.338,27.158,42,36,"B","K","Class3",50.867,22.983
68.493,17.164,80,47,"F","F","Class1",59.86,49.557
83.903,35.837,79,53,"F","U","Class1",43.917,52.897
60.08,35.459,82,NA,"R","C","Class5",48.057,65.448
NA,50.753,55,30,"W","E","Class4",91.426,75.436
93.376,49.013,75,43,"F","L","Class1",57.329,43.016
60.373,39.924,34,28,"M","H","Class5",47.62,NA
89.101,5.075,38,NA,"R","I","Class3",73.661,68.668
47.969,56.159,35,74,"R","K","Class3",67.715,33.685
60.398,33.98,59,36,"M","H","Class5",47.098,100.244
95.413,69.573,84,46,"T","L","Class1",NA,26.762
73.456,52.143,83,48,"Q","Y","Class1",62.732,49.939
51.494,52.134,69,37,"O","E","Class4",82.485,76.125
71.982,59.774,9,8,"I","O","Class2",25.07,55.714
60.448,40.064,24,28,"N","C","Class5",45.709,68.137
84.333,21.381,82,46,"Q","F","Class1",57.73,57.316
64.945,97.359,50,78,"V","K","Class3",60.775,34.63
48.509,83.661,30,19,"B","R","Class3",84.01,56.411
88.748,82.731,71,74,"G","K","Class3",73.77,15.491
60.547,14.625,68,42,"D","C","Class5",46.124,61.338
60.266,62.578,47,46,"R","J","Class5",45.26,67.241
NA,68.303,92,5,"F","R","Class2",49.889,NA
92.639,41.822,NA,41,"Q","L","Class1",60.911,73.758
57.396,53.768,66,74,"T","I","Class3",55.983,24.037
60.941,60.286,39,25,"N","H","Class5",45.036,89.034
68.526,89.405,76,48,"F","L","Class1",60.024,27.287
60.893,64.073,32,26,"N","A","Class5",44.97,65.636
67.561,55.153,23,8,"I","R","Class2",46.342,53.563
60.023,39.833,24,40,"R","J","Class5",48.757,64.421
96.987,99.81,75,39,"Q","D","Class1",46.298,58.83
76.466,50.556,82,50,"Q","U","Class1",55.119,78.624
