"Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Class"
78.895,"K",48,93,54.835,75.476,"Y",47.779,"Class1"
82.064,"G",41,28,90.614,82.355,"E",68.638,"Class1"
79.359,"X",2,95,61.329,53.613,"J",78.117,"Class3"
35.615,"S",9,25,39.828,83.87,"J",81.289,"Class4"
58.403,"V",63,70,31.416,69.279,"F",13.274,"Class2"
65.955,"O",62,66,14.318,69.186,"M",43.605,"Class2"
80.552,"V",27,76,28.376,42.878,"Z",63.706,"Class2"
78.277,"V",44,49,NA,74.288,"E",74.134,"Class1"
NA,"E",15,39,61.235,82.463,"K",32.783,"Class4"
78.649,"V",NA,56,66.522,73.244,"E",48.451,"Class1"
80.444,"H",10,43,53.572,53.502,"Q",80.357,"Class3"
75.839,"G",40,81,60.903,76.759,"O",48.897,"Class1"
79.803,"M",13,16,56.816,46.898,"J",74.636,"Class3"
70.826,"G",38,99,83.17,85.156,"O",41.81,"Class1"
43.217,"D",7,33,51.435,82.717,"B",73.511,"Class4"
36.111,"E",22,78,64.214,85.783,"V",38.2,"Class4"
82.23,"G",46,57,75.656,73.926,"E",46.254,"Class1"
38.593,"K",21,67,58.031,47.685,"J",77.963,"Class4"
77.64,"G",25,44,58.766,84.062,"V",58.923,"Class1"
50.863,"F",58,NA,60.271,67.033,"V",5.59,"Class2"
74.076,"K",45,97,69.725,79.274,"W",72.121,"Class1"
26.889,"E",74,79,NA,63.631,"Z",64.293,"Class2"
82.992,"H",21,77,59.312,61.909,"J",73.537,"Class3"
79.973,"Y",22,38,46.093,55.148,"B",76.292,"Class3"
37.346,"E",8,47,77.325,73.337,"J",83.921,"Class4"
79.59,"H",29,49,65.343,57.44,"W",79.281,"Class3"
82.525,"V",30,45,73.662,80.314,"V",68.611,"Class1"
24.408,"E",26,60,89.226,55.95,"V",40.855,"Class2"
81.511,"M",3,88,47.332,42.494,"J",73.096,"Class3"
44.693,"E",16,77,19.489,67.175,"V",47.593,"Class2"
44.605,"S",8,23,44.167,54.865,"H",NA,"Class4"
41.561,"D",5,67,53.592,69.776,"J",29.916,"Class4"
80.19,"M",11,78,58.407,64.962,"H",74.523,"Class3"
82.035,"M",21,51,34.646,56.733,"H",75.134,"Class3"
81.519,"B",15,96,55.364,NA,"Q",70.028,"Class3"
71.584,"X",28,82,65.666,66.714,"O",71.096,"Class1"
65.599,"S",50,69,57.168,63.122,"Z",67.906,"Class2"
83.227,"K",22,29,NA,80.497,"W",63.708,"Class1"
80.75,"B",20,73,71.014,65.381,"Q",76.978,"Class3"
80.591,"B",3,37,54.333,49.96,"B",69.854,"Class3"
NA,"B",29,43,54.089,44.308,"J",76.356,"Class3"
82.973,"H",6,94,57.345,38.652,"W",76.169,"Class3"
81.367,"H",27,91,64.977,70.49,"W",77.413,"Class3"
42.959,"F",90,73,67.382,55.194,"F",4.08,"Class2"
82.85,"M",7,NA,57.599,42.666,"Q",70.027,"Class3"
45.156,"K",7,21,35.78,66.264,"H",16.538,"Class4"
72.498,"K",23,79,67.25,65.919,"E",41.019,"Class1"
81.252,"M",23,41,69.013,61.276,"J",74.84,"Class3"
82.914,"B",29,93,57.112,NA,"B",70.11,"Class3"
72.129,"K",31,93,85.243,69.828,"V",71.874,"Class1"
39.272,"V",24,64,51.321,NA,"Z",87.054,"Class2"
75.348,"O",64,68,44.708,67.439,"V",NA,"Class2"
35.844,"Y",5,19,62.907,76.121,"B",43.332,"Class4"
41.659,"Y",22,73,62.069,50.847,"V",78.03,"Class4"
41.454,"E",13,68,66.206,71.458,"B",8.438,"Class4"
65.029,"F",41,69,39.302,64.405,"Z",27.752,"Class2"
69.561,"X",38,93,63.813,80.098,"E",72.63,"Class1"
72.452,"K",35,70,66.208,NA,"Y",69.202,"Class1"
82.864,"H",15,97,42.688,38.053,"Q",NA,"Class3"
82.934,"X",23,91,44.326,36.156,"J",70.582,"Class3"
47.911,"K",11,42,65.68,58.98,"J",30.761,"Class4"
79.834,"H",16,14,41.688,49.355,"B",80.48,"Class3"
47.321,"K",4,33,64.854,54.306,"H",5.194,"Class4"
31.277,"S",32,79,71.643,69.407,"S",58.633,"Class2"
67.087,"O",52,NA,34.837,57.141,"V",38.02,"Class2"
75.524,"S",28,75,68.558,58.624,"Z",28.894,"Class2"
76.484,"K",28,69,72.463,77.396,"E",67.426,"Class1"
79.363,"X",26,18,58.449,38.046,"B",71.289,"Class3"
79.436,"V",30,95,50.937,83.084,"V",67.241,"Class1"
48.905,"V",22,63,52.664,67.842,"M",39.001,"Class2"
65.774,"E",87,60,76.588,56.005,"M",41.247,"Class2"
46.398,"D",5,85,50.692,78.363,"K",19.364,"Class4"
75.341,"G",37,52,80.218,78.158,"V",55.584,"Class1"
34.886,"S",20,87,61.92,95.979,"V",54.181,"Class4"
32.894,"S",90,61,52.226,57.462,"S",21.771,"Class2"
75.115,"G",40,83,75.996,69.367,"W",74.88,"Class1"
38.032,"S",6,61,59.512,89.744,"V",3.846,"Class4"
39.132,"D",22,79,NA,94.56,"K",NA,"Class4"
51.514,"O",25,81,84.833,69.439,"Z",49.841,"Class2"
40.809,"Y",18,48,47.156,72.607,"V",NA,"Class4"
77.782,"S",82,80,NA,75.953,"F",74.725,"Class2"
73.719,"K",20,77,69.864,68.966,"O",69.957,"Class1"
70.321,"F",41,70,97.011,53.592,"M",62.885,"Class2"
82.673,"V",30,52,65.965,64.473,"W",58.854,"Class1"
82.365,"B",28,34,52.954,63.42,"B",76.576,"Class3"
54.719,"V",9,59,30.025,62.725,"Z",63.525,"Class2"
72.237,"G",38,28,80.573,NA,"V",63.363,"Class1"
45.511,"Y",11,33,66.505,NA,"V",69.551,"Class4"
82.786,"M",16,40,55.649,47.367,"H",78.529,"Class3"
82.002,"M",23,28,66.654,42.926,"J",70.273,"Class3"
45.102,"E",12,71,53.423,74.163,"V",25.973,"Class4"
76.873,"K",27,34,79.61,57.218,"W",56.433,"Class1"
79.559,"H",2,64,53.331,29.225,"W",72.766,"Class3"
78.476,"S",26,37,50.852,76.16,"E",64.221,"Class1"
35.866,"S",24,36,42.234,81.731,"V",66.493,"Class4"
38.255,"K",NA,28,60.205,71.898,"J",69.098,"Class4"
72.632,"S",18,74,62.057,71.576,"E",48.688,"Class1"
NA,"X",30,45,59.28,75.234,"E",65.96,"Class1"
69.241,"G",30,41,84.255,75.16,"W",75.921,"Class1"
79.23,"O",90,67,53.611,74.039,"F",57.359,"Class2"
80.174,"Y",17,83,NA,34.645,"B",70.205,"Class3"
72.002,"V",46,74,73.534,50.189,"F",49.83,"Class2"
35.493,"D",NA,85,NA,85.348,"J",27.951,"Class4"
37.944,"K",8,NA,65.594,84.758,"B",60.011,"Class4"
82.833,"Y",15,14,64.978,49.445,"B",70.127,"Class3"
59.146,"O",47,60,70.186,64.64,"S",76.914,"Class2"
74.179,"X",30,49,87.595,69.273,"E",61.276,"Class1"
59.194,"O",34,81,59.118,71.421,"S",8.231,"Class2"
74.847,"K",26,NA,68.016,84.857,"O",59.85,"Class1"
NA,"S",36,73,NA,67.509,"Z",47.678,"Class2"
80.021,"O",68,72,84.508,46.794,"M",23.401,"Class2"
79.687,"M",27,76,67.973,49.657,"Q",76.058,"Class3"
30.932,"S",78,80,36.944,75.048,"Z",15.247,"Class2"
35.94,"S",14,59,51.333,53.53,"B",38.84,"Class4"
79.485,"M",30,24,66.541,56.203,"W",70.858,"Class3"
36.813,"F",37,61,70.422,68.407,"M",88.337,"Class2"
82.587,"V",39,95,81.774,67.797,"W",45.959,"Class1"
71.081,"S",42,84,83.2,85.253,"W",76.01,"Class1"
82.548,"M",26,19,59.164,39.582,"Q",79.546,"Class3"
44.017,"K",7,57,57.707,49.883,"V",52.115,"Class4"
81.553,"K",34,77,102.162,82.714,"O",53.043,"Class1"
42.634,"Y",18,84,58.718,68.086,"V",60.997,"Class4"
52.887,"S",48,72,91.362,73.144,"M",51.424,"Class2"
24.201,"F",60,77,66.451,58.268,"V",37.404,"Class2"
83.29,"K",21,51,75.198,69.803,"W",69.317,"Class1"
35.703,"D",22,62,62.606,73.707,"K",23.999,"Class4"
83.42,"S",16,NA,71.25,72.216,"O",63.789,"Class1"
NA,"M",7,51,54.943,45.446,"H",80.947,"Class3"
60.226,"F",11,74,74.476,63.866,"S",20.693,"Class2"
21.983,"E",89,59,61.302,69.367,"Z",65.464,"Class2"
42.003,"S",20,82,63.714,86.593,"B",58.872,"Class4"
26.084,"F",13,81,74.173,61.635,"F",39.179,"Class2"
NA,"D",24,37,51.411,43.973,"K",NA,"Class4"
71.177,"X",39,55,82.695,83.917,"E",66.561,"Class1"
82.953,"V",36,78,NA,86.169,"E",44.763,"Class1"
36.658,"E",6,76,68.606,35.634,"B",32.71,"Class4"
40.317,"O",82,66,59.662,69.574,"S",11.407,"Class2"
37.218,"E",8,79,17.317,54.681,"M",19.447,"Class2"
41.777,"E",12,18,56.278,67.678,"K",35.507,"Class4"
41.183,"E",19,71,59.846,93.691,"B",72.712,"Class4"
79.342,"Y",28,24,43.224,63.483,"H",72.274,"Class3"
69.313,"V",28,82,NA,80.218,"W",50.79,"Class1"
82.211,"X",24,92,NA,53.941,"W",79.493,"Class3"
54.079,"E",64,78,70.348,41.808,"V",60.776,"Class2"
39.54,"K",4,NA,52.425,47.236,"J",33.408,"Class4"
71.363,"X",17,77,75.166,84.388,"Y",65.785,"Class1"
42.108,"Y",5,30,70.581,101.344,"V",28.398,"Class4"
79.912,"K",35,49,77.942,73.458,"V",76.355,"Class1"
79.693,"X",24,17,54.88,35.145,"W",NA,"Class3"
46.019,"S",NA,NA,58.692,67.316,"H",46.88,"Class4"
46.698,"V",100,63,107.805,61.616,"Z",22.63,"Class2"
72.644,"F",87,71,57.045,52.74,"Z",48.845,"Class2"
NA,"X",NA,49,54.817,42.412,"W",75.219,"Class3"
79.98,"X",23,38,41.624,NA,"J",71.227,"Class3"
76.07,"X",31,32,70.098,60.494,"W",NA,"Class1"
46.449,"E",36,NA,NA,68.482,"F",31.188,"Class2"
42.109,"E",24,46,56.931,54.83,"J",12.705,"Class4"
81.537,"H",22,70,50.01,46.596,"Q",78.329,"Class3"
35.638,"D",15,49,47.251,50.513,"V",32.943,"Class4"
80.846,"X",35,42,81.77,85.779,"E",56.884,"Class1"
79.223,"S",44,76,62.922,67.406,"O",60.495,"Class1"
72.973,"S",43,54,73.004,60.975,"E",45.055,"Class1"
80.136,"S",26,65,92.366,80.861,"V",53.051,"Class1"
80.165,"M",29,47,66.462,55.743,"H",74.371,"Class3"
78.667,"S",31,49,90.128,61.02,"V",63.58,"Class1"
81.148,"H",23,39,63.855,57.684,"Q",75.86,"Class3"
46.679,"E",13,22,28.257,59.129,"H",4.403,"Class4"
80.446,"X",12,13,57.419,59.924,"H",71.636,"Class3"
44.06,"D",7,18,53.148,63.185,"J",50.693,"Class4"
37.882,"S",15,51,80.964,70.326,"K",38.865,"Class4"
72.629,"X",20,78,82.945,67.889,"V",56.271,"Class1"
22.648,"S",39,70,45.78,48.973,"S",31.726,"Class2"
68.111,"O",75,75,50.587,60.365,"V",71.66,"Class2"
39.82,"K",22,59,56.503,97.374,"H",1.221,"Class4"
45.618,"O",55,62,83.642,53.957,"V",77.839,"Class2"
73.327,"O",7,60,74.759,68.192,"M",24.767,"Class2"
40.448,"Y",11,57,64.895,59.244,"H",60.276,"Class4"
79.634,"S",44,95,60.408,73.206,"V",49.552,"Class1"
61.858,"E",45,78,76.19,52.385,"M",2.914,"Class2"
62.416,"F",94,80,56.072,66.426,"M",25.104,"Class2"
36.405,"E",13,67,62.029,72.431,"B",30.794,"Class4"
NA,"E",NA,57,68.917,72.259,"K",35.299,"Class4"
78.118,"S",45,NA,81.704,63.854,"V",44.964,"Class1"
82.699,"M",26,92,59.437,58.827,"J",79.741,"Class3"
82.011,"H",29,96,51.625,57.802,"W",78.579,"Class3"
NA,"F",52,70,69.734,62.766,"Z",20.461,"Class2"
44.309,"K",5,43,39.214,80.014,"J",25.794,"Class4"
75.587,"X",43,63,53.162,79.879,"O",65.454,"Class1"
NA,"Y",15,28,61.764,59.932,"H",72.231,"Class3"
82.008,"M",13,73,52.726,73.237,"J",71.946,"Class3"
75.957,"S",22,57,57.925,79.527,"O",63.345,"Class1"
36.88,"K",24,72,65.797,96.63,"K",52.789,"Class4"
74.097,"S",22,NA,82.867,57.207,"V",50.018,"Class2"
80.363,"B",5,NA,65.961,52.685,"W",70.41,"Class3"
35.44,"E",5,44,46.885,66.805,"J",53.315,"Class4"
79.042,"X",44,70,77.111,75.155,"O",54.244,"Class1"
45.642,"F",98,79,72.397,65.494,"Z",14.45,"Class2"
30.317,"F",77,63,104.881,55.441,"Z",43.994,"Class2"
82.281,"Y",24,51,48.365,51.66,"H",76.063,"Class3"
81.253,"V",16,95,51.537,78.076,"Y",44.627,"Class1"
44.342,"V",79,81,49.569,68.115,"Z",88.34,"Class2"
80.964,"X",7,76,56.127,42.613,"J",80.784,"Class3"
27.128,"F",NA,62,53.994,70.339,"F",26.524,"Class2"
82.566,"H",25,NA,73.598,34.426,"W",69.837,"Class3"
82.342,"B",7,24,61.609,33.847,"H",73.877,"Class3"
34.523,"S",18,80,54.194,87.087,"J",58.024,"Class4"
36.519,"S",68,71,35.328,62.888,"M",88.581,"Class2"
72.953,"X",22,97,80.43,69.706,"W",61.208,"Class1"
82.701,"X",18,67,74.826,62.708,"O",49.377,"Class1"
47.598,"K",7,83,61.215,102.82,"K",57.241,"Class4"
NA,"S",35,59,48.401,66.597,"Y",69.718,"Class1"
75.906,"S",25,95,69.719,101.488,"O",41.31,"Class1"
28.778,"E",83,64,45.662,60.84,"M",6.031,"Class2"
47.063,"E",22,54,56.557,72.958,"V",36.197,"Class4"
40.261,"E",98,NA,64.982,63.36,"Z",72.847,"Class2"
37.496,"Y",22,55,64.213,53.701,"V",51.946,"Class4"
80.927,"X",10,40,51.88,66.977,"B",71.134,"Class3"
75.271,"V",30,80,70.747,88.496,"W",53.27,"Class1"
42.463,"E",NA,52,58.024,86.131,"V",47.396,"Class4"
82.643,"K",20,90,NA,80.955,"V",69.864,"Class1"
82.941,"X",8,37,60.266,63.461,"W",NA,"Class3"
79.765,"M",10,82,62.583,61.895,"W",76.181,"Class3"
40.561,"S",10,43,60.514,NA,"V",8.147,"Class4"
82.233,"S",30,34,62.137,69.109,"Y",NA,"Class1"
77.88,"X",37,38,70.964,69.361,"Y",67.96,"Class1"
43.732,"O",24,72,49.585,46.604,"S",49.151,"Class2"
81.992,"B",25,25,59.671,61.548,"Q",74.444,"Class3"
47.727,"S",21,75,45.502,77.494,"H",58.175,"Class4"
36.928,"S",15,19,49.426,40.843,"H",13.063,"Class4"
70.168,"S",33,28,71.158,82.223,"Y",49.307,"Class1"
46.959,"S",23,35,63.413,84.568,"K",24.079,"Class4"
80.132,"M",19,42,NA,NA,"Q",71.727,"Class3"
74.83,"E",25,67,32.156,65.654,"S",NA,"Class2"
40.506,"S",100,81,49.048,73.176,"S",36.275,"Class2"
82.508,"B",10,26,65.691,33.496,"B",79.098,"Class3"
26.977,"O",90,81,71.869,54.982,"Z",47.927,"Class2"
42.829,"E",7,69,52.719,78.976,"H",37.51,"Class4"
41.219,"K",21,30,59.465,80.621,"V",52.588,"Class4"
37.698,"O",81,61,81.054,57.134,"Z",15.033,"Class2"
46.384,"Y",22,18,91.864,75.397,"H",43.78,"Class4"
NA,"Y",11,86,NA,59.472,"V",19.559,"Class4"
76.378,"K",NA,50,63.83,52.379,"Y",61.986,"Class1"
37.197,"D",18,66,49.959,44.83,"K",21.067,"Class4"
81.825,"X",7,26,47.75,56.389,"B",76.294,"Class3"
38.309,"S",24,70,67.366,77.548,"J",24.63,"Class4"
77.59,"V",21,53,94.227,69.634,"O",49.198,"Class1"
82.451,"H",20,59,66.222,51.023,"Q",71.262,"Class3"
39.647,"S",18,25,70.543,71.27,"H",65.34,"Class4"
41.868,"E",19,21,60.981,46.296,"B",16.009,"Class4"
79.186,"B",30,NA,55.381,44.092,"Q",73.03,"Class3"
79.44,"S",20,NA,NA,68.554,"Y",41.887,"Class1"
NA,"E",60,69,63.103,65.25,"M",68.55,"Class2"
79.801,"X",4,18,51.811,48.103,"J",72.863,"Class3"
66.947,"E",41,59,45.014,67.114,"Z",28.166,"Class2"
32.506,"F",93,77,105.268,58.884,"Z",68.778,"Class2"
42.209,"S",5,44,54.206,69.383,"H",23.381,"Class4"
74.211,"G",36,30,81.683,86.793,"E",54.008,"Class1"
75.557,"V",16,79,NA,61.511,"V",65.369,"Class1"
80.552,"X",19,87,33.452,69.736,"W",70.041,"Class3"
36.769,"F",56,64,33.587,61.486,"M",38.558,"Class2"
24.037,"V",51,NA,49.4,60.222,"F",17.819,"Class2"
82.789,"S",46,70,46.443,77.563,"Y",71.38,"Class1"
78.63,"V",46,57,70.79,72.242,"W",53.234,"Class1"
78.842,"X",42,32,84.058,71.857,"E",75.596,"Class1"
81.17,"M",22,19,70.145,54.329,"Q",73.86,"Class3"
79.072,"B",19,67,63.69,55.844,"Q",77.443,"Class3"
25.55,"V",78,NA,58.577,49.761,"S",85.358,"Class2"
80.239,"B",25,NA,63.863,57.126,"W",79.768,"Class3"
76.737,"G",28,36,49.609,73.726,"O",69.784,"Class1"
80.959,"X",26,63,51.808,25.946,"W",72.354,"Class3"
76.584,"E",11,61,56.857,51.983,"M",56.877,"Class2"
80.689,"X",4,75,69.573,54.273,"Q",78.71,"Class3"
73.878,"K",44,55,52.055,78.183,"Y",70.477,"Class1"
79.129,"O",NA,70,85.75,NA,"Z",30.187,"Class2"
79.082,"Y",4,76,55.988,50.185,"W",76.433,"Class3"
82.619,"M",5,96,49.263,NA,"W",74.465,"Class3"
80.872,"M",2,24,54.569,43.657,"B",77.949,"Class3"
55.131,"O",90,81,83.897,45.845,"V",77.254,"Class2"
38.345,"E",13,64,71.34,74.61,"J",83.924,"Class4"
39.429,"K",15,71,48.942,61.319,"B",20.342,"Class4"
46.702,"S",22,68,60.563,62.117,"J",11.625,"Class4"
73.822,"V",27,48,64.565,79.117,"E",76.504,"Class1"
NA,"Y",8,61,65.001,85.033,"H",72.996,"Class3"
78.929,"G",48,42,106.91,79.13,"V",60.691,"Class1"
36.671,"S",40,79,46.638,64.675,"M",43.485,"Class2"
38.611,"F",10,66,24.803,68.576,"F",45.843,"Class2"
21.816,"V",81,69,25.514,63.708,"Z",2.27,"Class2"
69.864,"V",41,75,27.945,48.168,"F",62.423,"Class2"
38.3,"S",NA,74,49.98,57.342,"J",46.527,"Class4"
82.149,"H",15,35,60.336,34.68,"W",75.007,"Class3"
79.861,"M",13,62,55.722,42.006,"W",71.875,"Class3"
64.946,"V",57,70,32.115,62.118,"F",73.125,"Class2"
37.287,"E",18,35,48.798,57.626,"V",5.823,"Class4"
64.937,"S",43,71,67.545,71.379,"S",4.547,"Class2"
60.491,"F",59,74,42.498,81.484,"S",35.778,"Class2"
79.383,"B",14,73,78.203,43.17,"H",69.983,"Class3"
NA,"V",77,80,71.382,55.846,"V",80.425,"Class2"
62.928,"V",23,73,NA,55.239,"F",65,"Class2"
72.68,"K",35,85,74.778,73.452,"Y",57.691,"Class1"
82.635,"Y",18,85,61.93,55.3,"Q",74.853,"Class3"
38.568,"K",15,56,58.558,65.013,"B",82.403,"Class4"
80.528,"H",15,61,58.843,62.688,"Q",80.965,"Class3"
32.477,"O",19,79,63.377,74.996,"V",NA,"Class2"
28.538,"E",48,70,40.546,NA,"M",12.448,"Class2"
74.936,"V",28,70,66.363,94.362,"Y",43.376,"Class1"
70.056,"S",47,72,46.129,35.724,"Z",50.337,"Class2"
41.901,"E",21,70,42.805,46.357,"B",3.305,"Class4"
81.711,"X",NA,27,NA,43.764,"J",78.796,"Class3"
82.902,"Y",7,84,61.964,57.825,"H",73.55,"Class3"
69.723,"S",34,40,69.363,65.819,"V",54.095,"Class1"
72.235,"S",NA,44,54.044,72.039,"Y",57.353,"Class1"
72.897,"X",47,61,79.817,78.944,"W",42.414,"Class1"
79.763,"X",35,44,NA,88.478,"V",63.365,"Class1"
82.659,"B",20,92,49.741,67.263,"W",70.77,"Class3"
45.908,"Y",22,49,52.661,81.551,"V",13.111,"Class4"
43.776,"Y",15,63,56.175,73.337,"H",51.624,"Class4"
71.515,"G",48,75,NA,68.431,"W",64.266,"Class1"
35.076,"K",17,79,56.628,52.307,"J",45.454,"Class4"
44.713,"D",6,19,62.394,61.593,"B",44.817,"Class4"
82.874,"V",22,53,48.687,82.254,"W",63.289,"Class1"
72.587,"V",21,40,88.518,NA,"W",73.446,"Class1"
36.052,"V",87,76,27.108,73.986,"F",45.437,"Class2"
78.446,"O",44,72,6.601,51.358,"S",80.093,"Class2"
72.986,"X",20,96,43.896,75.617,"W",48.54,"Class1"
83.618,"V",33,47,73.071,63.907,"Y",51.459,"Class1"
81.241,"M",30,60,62.622,50.05,"Q",71.379,"Class3"
80.408,"M",21,19,61.386,37.056,"W",72.917,"Class3"
79.296,"H",9,77,60.676,37.346,"J",74.056,"Class3"
81.885,"H",2,41,53.786,NA,"W",NA,"Class3"
82.849,"M",29,72,44.391,40.385,"Q",80.767,"Class3"
82.179,"B",14,87,53.907,37.165,"Q",72.762,"Class3"
77.514,"V",41,30,56.125,73.311,"O",46.927,"Class1"
77.545,"V",44,38,81.567,70.45,"E",75.587,"Class1"
21.54,"E",26,76,85.099,60.815,"M",78.881,"Class2"
79.526,"X",22,90,NA,49.474,"H",70.418,"Class3"
45.747,"K",15,70,57.026,96.999,"V",44.165,"Class4"
81.921,"X",10,53,66.683,49.786,"Q",79.728,"Class3"
30.77,"O",25,81,68.463,61.487,"V",62.515,"Class2"
80.342,"V",48,34,74.883,71.538,"W",41.237,"Class1"
54.836,"V",48,77,61.094,61.718,"F",14.726,"Class2"
76.862,"V",48,86,64.775,79.432,"V",67.651,"Class1"
82.334,"M",7,20,62.424,42.517,"J",71.751,"Class3"
77.109,"S",39,40,53.736,72.745,"E",58.083,"Class1"
50.028,"O",86,72,63.12,50.637,"S",50.583,"Class2"
46.174,"S",6,26,58.169,53.175,"K",NA,"Class4"
46.874,"S",8,75,45.492,76.131,"B",NA,"Class4"
71.694,"G",26,46,76.253,66.791,"W",49.04,"Class1"
25.328,"E",9,81,54.639,47.72,"M",13.675,"Class2"
79.951,"M",31,23,57.617,54.543,"W",79.106,"Class3"
46.91,"S",12,74,NA,52.2,"J",42.662,"Class4"
43.674,"O",85,77,44.464,51.494,"F",61.881,"Class2"
70.49,"X",41,56,63.306,71.075,"E",68.698,"Class1"
42.098,"S",NA,62,69.169,NA,"J",77.341,"Class4"
35.887,"K",18,65,54.481,77.234,"K",56.719,"Class4"
73.956,"E",33,NA,64.171,58.296,"F",78.511,"Class2"
79.074,"Y",6,96,70.421,88.044,"H",69.88,"Class3"
40.605,"D",11,81,62.953,NA,"K",27.859,"Class4"
38.312,"Y",9,54,54.343,85.458,"H",8.012,"Class4"
36.903,"E",8,76,80.11,56.006,"K",31.147,"Class4"
38.324,"K",5,87,64.872,78.56,"J",35.236,"Class4"
36.452,"E",5,NA,50.26,43.177,"B",3.636,"Class4"
39.227,"O",91,60,72.48,64.593,"Z",43.044,"Class2"
70.74,"G",16,39,55.461,87.566,"O",42.967,"Class1"
79.748,"H",7,43,63.109,50.253,"J",79.356,"Class3"
75.73,"S",NA,NA,72.208,70.798,"Y",69.645,"Class1"
29.337,"E",34,NA,NA,56.738,"M",56.852,"Class2"
NA,"O",47,65,8.84,59.228,"Z",17.909,"Class2"
77.269,"V",40,42,66.538,69.196,"V",74.309,"Class1"
80.609,"X",28,41,91.358,74.634,"W",51.413,"Class1"
83.601,"K",27,46,63.032,64.701,"Y",64.842,"Class1"
37.959,"K",15,72,54.118,87.013,"V",64.435,"Class4"
80.768,"H",4,41,59.816,51.819,"W",72.132,"Class3"
41.219,"D",11,49,63.151,66.249,"B",45.486,"Class4"
69.964,"X",46,44,49.894,71.379,"E",41.687,"Class1"
81.69,"S",17,68,76.516,79.744,"E",68.546,"Class1"
72.385,"S",16,91,57.094,79.789,"W",58.347,"Class1"
71.152,"X",26,68,68.485,89.439,"V",45.266,"Class1"
34.796,"K",7,59,67.244,52.712,"H",51.199,"Class4"
76.633,"V",44,64,75.175,39.652,"M",88.807,"Class2"
81.06,"M",22,87,61.858,64.965,"Q",69.157,"Class3"
47.969,"E",24,87,41.868,57.89,"J",42.473,"Class4"
74.173,"E",89,65,76.428,58.075,"Z",55.196,"Class2"
34.611,"D",19,28,68.627,46.94,"B",20.493,"Class4"
69.893,"E",92,65,97.59,67.252,"M",76.063,"Class2"
83.717,"V",48,91,82.887,79.899,"O",62.893,"Class1"
70.77,"E",64,69,86.095,74.792,"V",3.758,"Class2"
43.197,"S",9,19,77.787,95.923,"H",53.91,"Class4"
26.318,"E",26,71,75.181,53.123,"Z",42.749,"Class2"
75.04,"S",45,73,98.975,58.051,"Z",30.233,"Class2"
