"H1","H2","H3","H4","H5","H6","Class","H8","H9"
68,48.187,"A",58.79,28.932,"Q","Class3",63,76.464
0,18.869,"N",52.751,51.004,"Z","Class1",55,51.029
4,21.269,"W",44.058,38.324,"W","Class1",59,31.05
72,43.116,"O",30.071,29.361,"L","Class3",55,61.199
46,68.929,"Z",NA,33.254,"S","Class2",50,35.532
43,24.155,"W",23.757,48.898,"S","Class1",68,81.166
41,79.467,"E",89.667,33.113,"F","Class2",33,32.83
30,NA,"T",93.581,33.431,"F","Class2",35,41.631
61,24.408,"C",58.695,23.406,"N","Class1",26,50.222
NA,25.999,"T",28.082,20.181,"Q","Class3",65,72.001
0,16.184,"N",49.22,47.192,"T","Class1",35,56.613
75,3.224,"A",12.651,24.872,"Q","Class3",76,69.824
73,9.137,"A",12.771,30.873,"L","Class3",50,68.581
52,19.728,"N",63.938,49.61,"W","Class1",39,55.282
42,18.514,"N",62.454,28.809,"T","Class1",94,48.694
69,51.352,"N",53.939,24.943,"C","Class3",55,68.354
NA,22.716,"W",56.427,35.782,"Z","Class1",17,69.767
38,18.05,"C",67.116,41.832,"Z","Class1",87,75.655
33,17.81,"W",59.446,44.003,"T","Class1",88,33.631
75,18.791,"A",44.238,24.33,"Q","Class3",80,67.189
49,88.29,"E",83.096,33.945,"H","Class2",47,33.682
74,15.964,"G",58.314,30.171,"H","Class3",78,69.65
74,16.72,"O",42.105,22.953,"H","Class3",73,69.663
74,55.43,"A",42.781,27.811,"C","Class3",61,74.174
16,23.224,"C",45.27,5.069,"Z","Class1",91,71.741
50,NA,"N",84.569,NA,"H","Class2",49,40.154
56,16.817,"E",60.038,37.777,"Z","Class1",94,62.07
73,7.673,"A",54.98,21.198,"L","Class3",63,69.872
73,9.82,"A",21.594,26.426,"L","Class3",69,70.849
35,18.052,"A",34.101,46.385,"W","Class1",77,48.249
45,NA,"N",93.885,34.241,"U","Class2",43,37.644
37,87.514,"Y",95.86,35.358,"S","Class2",41,43.41
42,69.258,"Y",88.49,33.62,"U","Class2",47,34.472
74,27.898,"N",51.572,26.817,"C","Class3",65,66.51
69,31.763,"N",59.515,26.83,"T","Class3",78,70.679
45,87.042,"T",89.058,33.09,"S","Class2",37,44.159
23,24.984,"W",57.565,40.402,"Z","Class1",49,73.272
21,23.253,"C",21.1,49.094,"Z","Class1",17,44.433
73,50.57,"N",36.252,24.921,"T","Class3",60,76.293
32,24.591,"E",40.908,43.756,"W","Class1",79,68.539
68,12.853,"T",6.395,23.901,"Q","Class3",78,65.392
67,29.608,"O",45.598,24.576,"H","Class3",67,76.757
21,15.667,"N",75.505,34.466,"W","Class1",54,77.777
33,15.678,"C",73.008,40.711,"W","Class1",34,67.468
33,76.742,"Z",86.346,33.906,"F","Class2",35,36.387
30,76.151,"E",86.39,34.415,"F","Class2",43,40.836
69,49.916,"T",NA,19.616,"Q","Class3",76,68.616
71,31.334,"N",7.119,33.059,"Q","Class3",52,64.844
74,49.826,"O",NA,24.951,"Q","Class3",68,67.209
73,19.851,"T",41.555,25.585,"C","Class3",79,66.432
69,58.515,"O",54.857,31.102,"L","Class3",67,60.412
19,14.381,"N",41.386,45.707,"T","Class1",43,70.917
47,71.616,"E",81.75,34.868,"S","Class2",NA,41.245
43,73.485,"T",83.743,32.869,"F","Class2",40,37.145
35,85.895,"N",91.959,34.233,"H","Class2",39,29.684
76,29.386,"T",23.935,26.755,"L","Class3",71,66.474
50,68.845,"N",96.498,NA,"H","Class2",45,37.417
75,11.729,"T",48.086,25.805,"H","Class3",57,68.967
33,24.826,"N",37.581,40.664,"S","Class1",36,78.746
40,15.207,"N",45.296,39.979,"Z","Class1",88,57.974
52,87.358,"Y",83.24,32.781,"U","Class2",NA,32.836
43,16.559,"E",39.494,29.388,"T","Class1",90,13.61
61,23.8,"E",64.147,46.151,"T","Class1",89,NA
47,75.968,"T",82.098,33.496,"F","Class2",47,35.211
38,76.245,"Y",94.506,33.43,"H","Class2",46,35.635
75,54.055,"T",NA,27.263,"L","Class3",61,78.269
51,21.91,"C",55.004,35.244,"Z","Class1",23,71.446
50,67.423,"Z",86.472,33.731,"U","Class2",41,31.52
50,68.915,"T",85.761,33.547,"H","Class2",39,36.207
53,84.49,"T",87.847,32.012,"F","Class2",43,34.782
36,71.835,"N",85.936,34.578,"U","Class2",46,44.664
69,28.019,"T",28.926,26.261,"H","Class3",78,72.316
69,NA,"A",NA,28.474,"H","Class3",49,67.571
76,43.253,"O",20.783,23.375,"C","Class3",69,67.152
NA,16.294,"N",64.182,47.117,"W","Class1",84,32.042
70,22.633,"A",48.778,22.645,"H","Class3",66,73.146
33,85.839,"Y",94.927,33.471,"C","Class2",41,31.042
46,83.815,"T",85.695,32.31,"S","Class2",32,34.265
76,53.333,"G",56.286,19.159,"C","Class3",53,67.252
33,75.42,"N",84.1,31.758,"H","Class2",50,35.007
70,15.795,"A",34.34,26.907,"T","Class3",60,69.243
39,15.424,"C",75.02,23.166,"T","Class1",37,88.297
76,53.803,"N",30.451,23.136,"C","Class3",77,62.522
34,NA,"N",50.908,42.686,"Z","Class1",26,58.929
77,52.599,"T",48.433,26.884,"C","Class3",67,73.622
20,16.821,"A",21.277,30.514,"Z","Class1",22,55.146
NA,17.619,"A",36.823,32.627,"W","Class1",18,54.12
18,23.12,"N",39.959,43.87,"S","Class1",82,55.783
45,21.159,"N",21.093,38.84,"W","Class1",37,64.248
40,88.932,"N",83.014,34.9,"S","Class2",45,41.423
54,15.247,"E",34.712,16.54,"Z","Class1",23,61.937
51,79.533,"Z",85.807,35.149,"F","Class2",37,45.49
38,NA,"E",96.239,32.153,"U","Class2",44,41.502
34,81.102,"Y",97.733,33.068,"F","Class2",40,42.849
33,87.505,"N",92.445,NA,"F","Class2",37,37.029
70,12.691,"O",12.93,29.162,"T","Class3",65,61.263
55,21.536,"E",30.644,21.172,"W","Class1",22,67.961
51,16.251,"C",76.564,57.425,"W","Class1",94,30.278
10,15.803,"N",24.497,54.38,"W","Class1",63,62.786
77,6.35,"A",NA,27.405,"C","Class3",75,67.194
77,45.15,"A",36.816,24.946,"H","Class3",NA,73.352
69,25.441,"T",24.005,26.822,"T","Class3",63,68.755
NA,42.276,"T",53.91,29.536,"C","Class3",57,67.799
0,19.055,"C",74.154,32.061,"T","Class1",72,54.16
NA,72.281,"E",94.223,33.193,"F","Class2",NA,44.859
76,52.053,"O",9.006,32.342,"H","Class3",73,71.299
48,76.231,"Y",94.387,33.005,"C","Class2",33,NA
41,88.028,"Z",84.071,33.833,"F","Class2",37,37.641
49,16.213,"W",30.211,33.56,"S","Class1",88,50.958
71,49.812,"A",12.837,24.219,"L","Class3",57,76.518
68,45.648,"O",35.208,23.096,"H","Class3",70,70.539
NA,87.142,"Y",83.141,32.42,"F","Class2",34,35.746
50,83.399,"Z",89.787,34.155,"S","Class2",38,29.003
46,67.241,"Z",97.018,33.801,"C","Class2",35,NA
21,23.332,"W",67.285,55.662,"W","Class1",86,40.042
57,15.928,"A",48.359,39.749,"T","Class1",58,61.214
36,81.369,"N",83.422,32.822,"C","Class2",33,41.541
72,40.411,"N",38.7,30.811,"Q","Class3",80,79.026
40,69.608,"E",94.357,33.576,"F","Class2",37,39.838
6,NA,"W",31.684,32.08,"Z","Class1",93,56.924
74,57.905,"N",53.82,20.114,"T","Class3",69,67.317
76,NA,"O",6.385,33.618,"L","Class3",67,67.405
75,42.332,"T",18.696,35.446,"L","Class3",66,73.54
25,18.557,"A",47.169,37.604,"W","Class1",79,62.006
76,22.558,"O",42.311,27.492,"H","Class3",63,70.454
74,36.635,"O",49.73,32.048,"L","Class3",53,73.689
0,NA,"C",48.329,36.136,"W","Class1",92,49.67
53,67.933,"T",86.632,34.109,"F","Class2",36,37.64
31,82.483,"Y",90,35.323,"U","Class2",NA,44.176
16,16.213,"E",57.017,NA,"N","Class1",NA,44.421
45,85.852,"Z",81.642,32.387,"F","Class2",32,NA
NA,14.322,"W",75.007,37.961,"Z","Class1",36,65.965
45,70.54,"N",87.801,34.104,"U","Class2",39,37.824
71,57.58,"T",26.487,29.596,"Q","Class3",69,67.218
43,83.247,"T",90.094,34.59,"U","Class2",49,33.879
43,73.85,"Z",94.097,31.826,"H","Class2",45,42.85
41,70.204,"N",89.82,34.131,"F","Class2",40,35.711
72,NA,"O",17.964,26.783,"C","Class3",75,63.148
73,40.728,"A",19.897,24.971,"H","Class3",80,68.125
71,15.277,"O",49.207,26.108,"T","Class3",77,64.631
39,74.838,"Z",89.628,33.985,"H","Class2",37,32.667
45,79.624,"Z",81.769,32.325,"F","Class2",43,37.202
71,58.642,"N",24.999,19.746,"Q","Class3",70,69.918
48,74.71,"Z",88.585,34.95,"C","Class2",34,33.977
NA,18.501,"N",NA,32.438,"Z","Class1",84,47.37
70,40.754,"N",NA,33.979,"C","Class3",69,67.462
42,80.99,"E",97.668,33.973,"U","Class2",41,37.897
32,19.536,"A",71.734,44.75,"T","Class1",67,60.495
75,28.65,"A",20.868,32.629,"C","Class3",57,72.127
75,55.267,"A",38.647,25.052,"T","Class3",56,74.319
76,1.562,"A",55.424,26.876,"L","Class3",68,70.038
77,54.989,"G",36.721,22.671,"C","Class3",61,70.557
37,71.931,"N",89.149,33.13,"F","Class2",40,38.734
30,16.213,"A",72.95,32.88,"T","Class1",75,58.24
46,21.151,"N",24.839,30.733,"N","Class1",50,74.64
47,19.519,"N",39.867,35.029,"Z","Class1",80,45.708
72,13.896,"O",35.685,22.601,"L","Class3",65,66.088
12,14.961,"N",72.651,32.705,"N","Class1",18,44.521
38,84.022,"Y",91.947,33.65,"U","Class2",42,30.576
76,56.774,"O",59.413,27.181,"C","Class3",49,62.654
18,21.581,"E",39.941,26.805,"S","Class1",NA,70.709
75,4.945,"T",NA,23.557,"Q","Class3",71,71.635
44,80.299,"N",84.694,34.408,"F","Class2",45,47.849
67,29.887,"O",13.456,NA,"H","Class3",69,79.121
NA,72.405,"T",NA,34.408,"C","Class2",39,NA
47,21.979,"W",41.82,41.724,"N","Class1",25,56.827
42,82.889,"N",89.425,33.173,"U","Class2",46,33.425
35,69.693,"Y",95.456,36.066,"F","Class2",48,35.379
51,67.289,"T",86.457,34.042,"S","Class2",45,44.576
39,70.113,"E",89.704,34.976,"C","Class2",41,40.34
31,85.547,"Z",88.516,33.173,"F","Class2",45,40.778
75,3.555,"N",52.274,22.907,"H","Class3",53,71.824
53,82.216,"Y",86.499,33.257,"F","Class2",38,33.188
1,25.031,"W",47.697,65.31,"S","Class1",55,81.312
19,14.733,"E",58.693,52.823,"T","Class1",54,58.415
67,30.49,"O",37.868,28.298,"L","Class3",69,NA
29,22.546,"W",64.561,54.444,"N","Class1",75,50.649
69,15.996,"O",31.229,28.171,"L","Class3",62,57.548
68,25.306,"O",26.335,23.039,"C","Class3",50,56.476
40,82.421,"Y",93.825,34.486,"H","Class2",48,36.97
67,13.165,"T",46.056,33.663,"C","Class3",67,69.517
37,NA,"W",47.973,45.15,"N","Class1",48,69.038
30,75.884,"T",84.265,32.973,"U","Class2",36,41.909
58,14.748,"W",51.508,26.815,"T","Class1",94,44.975
68,25.027,"G",45.552,30.13,"H","Class3",77,68.969
37,77.225,"Y",82.761,32.885,"U","Class2",40,31.566
30,25.156,"A",29.003,46.521,"N","Class1",37,61.486
34,NA,"E",91.253,35.259,"C","Class2",40,38.45
3,17.958,"E",43.632,22.162,"Z","Class1",40,102.223
67,53.355,"N",55.62,27.949,"T","Class3",66,70.034
68,23.015,"T",20.047,NA,"T","Class3",73,74.122
70,47.534,"N",29.757,34.531,"Q","Class3",72,67.091
69,49.697,"G",32.531,28.411,"H","Class3",68,75.875
77,36.217,"A",6.9,29.211,"L","Class3",59,68.175
NA,44.822,"G",43.022,27.958,"T","Class3",50,64.135
53,70.79,"E",95.504,33.113,"C","Class2",35,41.425
38,79.015,"N",83.88,33.544,"H","Class2",51,33.993
31,71.364,"N",NA,32.31,"U","Class2",48,33.607
68,24.219,"T",37.94,NA,"Q","Class3",NA,72.446
72,57.005,"A",48.197,30.528,"T","Class3",60,67.184
30,84.619,"T",82.714,33.886,"S","Class2",36,38.26
67,2.908,"O",22.405,30.196,"Q","Class3",55,62.414
37,74.795,"T",85.802,34.341,"U","Class2",40,32.24
50,81.214,"Z",92.879,31.952,"H","Class2",41,41.455
33,23.26,"N",75.747,41.658,"W","Class1",31,40.819
32,75.523,"E",85.264,33.797,"F","Class2",49,35.746
74,18.523,"G",54.543,28.496,"T","Class3",63,72.871
35,17.267,"C",NA,55.527,"N","Class1",23,54.348
NA,77.458,"Y",85.396,34.611,"C","Class2",35,38.02
73,52.961,"O",10.582,26.716,"C","Class3",52,73.307
74,49.068,"G",40.166,30.836,"C","Class3",69,71.71
36,15.524,"N",58.944,39.61,"W","Class1",19,46.361
75,2.695,"N",27.369,23.514,"H","Class3",56,72.438
36,70.921,"Z",81.723,33.346,"H","Class2",48,36.016
41,77.02,"E",82.693,34.302,"S","Class2",50,45.167
34,87.58,"T",84.604,34.086,"H","Class2",43,36.468
74,7.573,"N",16.412,22.801,"T","Class3",51,73.366
2,14.408,"A",31.723,42.932,"W","Class1",42,73.457
40,81.77,"E",92.193,33.861,"S","Class2",42,36.112
0,25.758,"C",40.947,48.141,"Z","Class1",87,86.818
41,20.944,"A",36.682,46.526,"N","Class1",43,74.324
68,44.737,"N",58.245,27.652,"H","Class3",73,66.364
56,14.847,"W",70.932,35.504,"N","Class1",29,NA
35,15.356,"W",64.567,39.629,"T","Class1",25,54.491
50,76.264,"Z",87.508,32.82,"C","Class2",47,41.244
69,27.761,"N",32.23,33.85,"Q","Class3",80,67.658
67,16.017,"O",39.541,26.255,"C","Class3",70,65.674
30,77.361,"T",95.485,30.736,"F","Class2",50,47.99
68,46.251,"A",28.736,26.724,"C","Class3",76,75.934
75,24.693,"T",27.862,30.96,"L","Class3",78,68.784
33,68.181,"Y",82.09,34.158,"F","Class2",42,35.303
32,71.668,"Z",93.588,34.124,"S","Class2",49,44.975
71,42.239,"G",52.95,28.575,"C","Class3",78,74.317
43,17.005,"C",32.942,33.044,"T","Class1",63,59.486
44,17.56,"A",58.266,36.646,"S","Class1",92,50.495
76,NA,"G",9.249,25.806,"Q","Class3",62,67.447
51,20.654,"E",53.683,47.601,"S","Class1",30,51.092
75,41.453,"T",8.832,23.651,"Q","Class3",68,73.644
2,24.33,"N",49.04,31.691,"Z","Class1",27,49.292
74,23.961,"A",55.721,23.325,"H","Class3",57,67.872
33,66.993,"T",90.658,34.814,"C","Class2",32,42.643
75,22.349,"N",33.198,25.441,"H","Class3",59,74.716
47,88.133,"N",81.452,33.642,"F","Class2",32,44.646
53,72.888,"T",NA,35.486,"H","Class2",49,32.198
41,69.595,"N",83.259,33.106,"S","Class2",33,42.282
50,85.92,"Z",93.142,34.372,"S","Class2",37,32.226
76,32.552,"A",40.214,26.132,"T","Class3",64,70.957
20,23.875,"N",41.675,26.998,"W","Class1",66,70.093
67,39.21,"G",56.776,26.396,"L","Class3",65,76.564
47,24.439,"N",24.085,25.834,"Z","Class1",33,47.852
71,40.108,"A",23.112,23.53,"L","Class3",76,68.072
1,18.57,"N",62.002,44.786,"N","Class1",32,61.375
73,35.728,"O",32.358,23.199,"T","Class3",68,73.834
61,14.444,"N",48.082,NA,"Z","Class1",20,74.333
20,19.759,"A",68.972,20.245,"W","Class1",40,63.394
36,71.672,"Y",93.329,34.058,"F","Class2",32,41.401
37,83.433,"N",86.05,33.178,"U","Class2",50,39.842
71,48.46,"T",18.95,17.989,"H","Class3",64,70.276
47,83.049,"E",83.035,33.087,"C","Class2",37,26.308
17,24.057,"N",49.777,48.397,"S","Class1",86,40.27
51,78.615,"Y",94.449,32.53,"U","Class2",50,NA
75,21.048,"A",40.634,28.688,"C","Class3",73,67.25
67,48.224,"O",55.303,22.655,"Q","Class3",NA,65.87
18,17.264,"W",47.219,41.472,"S","Class1",56,28.093
75,48.339,"N",50.954,27.514,"T","Class3",74,69.729
22,19.82,"E",63.883,46.058,"N","Class1",58,44.993
52,18.906,"A",29.23,45.226,"W","Class1",60,87.1
61,NA,"E",32.392,41.334,"S","Class1",58,57.184
68,3.004,"A",33.014,28.58,"Q","Class3",76,73.798
21,19.225,"W",42.928,22.532,"N","Class1",55,37.301
36,23.199,"C",69.002,38.57,"N","Class1",54,55.734
72,48.003,"O",5.145,26.706,"T","Class3",67,71.82
74,22.336,"G",44.378,18.787,"H","Class3",60,71.547
77,NA,"N",10.807,21.711,"H","Class3",54,66.901
4,15.669,"A",66.324,36.134,"T","Class1",53,NA
47,66.6,"Y",93.338,34.151,"S","Class2",38,41.892
71,7.371,"G",32.221,36.923,"C","Class3",69,65.506
58,NA,"A",36.724,36.804,"W","Class1",85,35.245
NA,73.668,"Y",90.222,32.839,"U","Class2",51,42.766
30,83.586,"Y",92.324,32.465,"S","Class2",50,40.626
42,70.23,"T",81.736,33.643,"H","Class2",50,37.683
27,17.768,"N",43.451,38.847,"S","Class1",25,66.316
16,16.423,"C",NA,42.773,"W","Class1",61,50.977
46,88.188,"Z",92.221,33.409,"C","Class2",49,39.939
7,23.65,"E",73.513,32.83,"S","Class1",23,49.234
58,24.086,"W",61.409,46.619,"Z","Class1",90,NA
36,84.869,"E",93.356,33.72,"U","Class2",49,46.437
48,18.273,"E",42.912,14.571,"S","Class1",81,68.671
74,6.193,"G",39.615,NA,"T","Class3",73,64.658
32,86.822,"Z",NA,33.025,"C","Class2",47,42.612
74,42.648,"T",36.053,23.394,"H","Class3",74,67.233
45,NA,"C",61.56,28.493,"W","Class1",78,NA
72,17.885,"T",NA,22.241,"T","Class3",61,75.719
8,NA,"C",65.591,53.671,"Z","Class1",67,NA
71,11.351,"O",20.195,NA,"C","Class3",78,68.933
NA,20.311,"E",39.13,51.778,"T","Class1",65,68.691
67,48.212,"T",13.74,29.402,"Q","Class3",70,67.395
74,29.659,"T",43.889,25.677,"H","Class3",70,70.994
71,16.536,"O",30.552,20.997,"L","Class3",74,77.32
43,18.86,"C",63.637,22.845,"Z","Class1",90,33.289
44,82.174,"T",96.742,33.436,"U","Class2",35,40.354
48,24.268,"W",23.509,28.636,"W","Class1",52,64.766
75,29.715,"T",20.003,26.618,"T","Class3",57,74.454
27,21.196,"N",25.688,NA,"Z","Class1",27,42.76
77,37.169,"O",18.917,25.515,"T","Class3",78,68.15
35,86.335,"Z",91.476,34.262,"S","Class2",39,41.002
70,53.667,"G",41.052,19.751,"L","Class3",76,61.205
45,86.784,"Y",88.409,32.374,"C","Class2",39,36.145
42,73.505,"T",85.752,32.562,"C","Class2",46,43.539
3,17.432,"E",37.278,47.792,"S","Class1",85,51.907
38,74.819,"E",82.835,33.321,"H","Class2",33,39.011
3,22.797,"E",76.466,19.594,"S","Class1",37,50.307
38,83.803,"N",91.833,33.705,"C","Class2",51,37.584
48,14.153,"A",53.125,42.911,"S","Class1",31,53.186
37,79.865,"E",93.087,32.354,"F","Class2",40,37.678
38,21.947,"E",71.289,42.884,"T","Class1",29,43.943
67,34.23,"T",36.797,30.872,"L","Class3",72,66.628
46,81.03,"N",88.155,34.36,"H","Class2",33,37.595
77,NA,"T",54.221,26.987,"T","Class3",77,71.624
47,24.392,"N",72.549,34.511,"S","Class1",35,58.67
70,17.733,"A",55.279,28.694,"C","Class3",65,65.705
59,21.588,"A",48.628,NA,"N","Class1",82,47.043
51,86.923,"E",81.997,33.958,"U","Class2",37,33.599
4,17.064,"W",64.698,41.708,"W","Class1",40,64.789
27,23.931,"N",29.91,40.381,"Z","Class1",25,44.898
72,54.96,"N",41.687,29.39,"T","Class3",63,65.689
43,18.867,"N",39.53,32.037,"N","Class1",66,51.784
73,9.335,"A",24.6,25.651,"T","Class3",66,66.67
68,7.702,"T",34.723,29.08,"H","Class3",80,66.066
36,86.673,"Z",84.129,30.741,"C","Class2",42,41.651
72,7.191,"T",NA,27.426,"C","Class3",68,69.085
40,78.668,"T",NA,34.083,"F","Class2",NA,34.151
53,79.529,"T",88.601,35.087,"U","Class2",32,42.809
76,42.749,"T",57.562,22.88,"C","Class3",67,61.755
69,45.805,"A",16.908,26.018,"L","Class3",NA,67.304
53,69.393,"N",90.589,33.386,"C","Class2",37,38.186
74,42.272,"O",51.851,31.2,"T","Class3",65,71.107
68,38.076,"N",6.323,25.979,"T","Class3",55,70.387
57,22.189,"C",41.049,NA,"N","Class1",47,45.552
71,19.561,"N",13.557,30.103,"L","Class3",67,69.945
18,19.696,"C",24.855,31.379,"Z","Class1",45,45.895
46,71.161,"Y",94.81,34.144,"C","Class2",32,33.648
18,23.974,"C",66.72,49.751,"S","Class1",82,21.685
58,14.099,"E",76.497,42.324,"W","Class1",19,18.302
69,48.537,"O",23.079,23.237,"L","Class3",74,78.719
11,25.21,"C",30.231,30.611,"N","Class1",NA,44.549
6,15.752,"E",23.502,40.714,"W","Class1",70,47.202
37,73.81,"E",97.751,32.359,"S","Class2",47,39.371
33,16.211,"E",44.681,16.113,"N","Class1",29,29.867
40,71.94,"T",90.767,33.213,"C","Class2",46,NA
30,87.009,"N",91.008,33.072,"C","Class2",51,46.82
50,85.202,"Z",NA,34.531,"F","Class2",39,35.01
60,14.311,"C",44.46,27.342,"S","Class1",32,54.261
31,71.993,"T",88.821,32.7,"S","Class2",32,35.275
NA,19.606,"C",65.582,21.945,"S","Class1",70,80.473
68,56.404,"O",6.509,23.342,"Q","Class3",69,72.143
10,25.898,"N",73.477,36.354,"W","Class1",25,71.028
23,14.782,"N",69.14,47.077,"S","Class1",29,79.789
37,79.492,"Y",92.886,32.046,"U","Class2",35,37.189
43,74.419,"E",87.718,32.53,"C","Class2",38,36.821
16,17.166,"W",76.593,43.455,"T","Class1",20,67.989
41,75.545,"T",88.044,32.05,"S","Class2",36,38.804
52,23.723,"A",25.994,41.625,"T","Class1",61,47.171
67,24.456,"N",25.928,32.264,"L","Class3",65,73.415
36,66.209,"T",95.213,34.739,"U","Class2",46,37.742
NA,72.33,"Y",92.191,33.772,"C","Class2",34,38.68
47,86.496,"N",84.205,30.736,"H","Class2",48,34.945
70,17.319,"A",50.244,NA,"H","Class3",NA,NA
NA,88.625,"T",94.407,31.808,"S","Class2",46,36.95
