"T1","T2","T3","T4","T5","T6","T7","Class","T9"
81.81,68,38.344,"U",42.078,"B",56,"Class1",40.996
82.449,72,26.499,"H",60.42,"B",NA,"Class1",37.391
81.094,18,NA,"S",51.483,"Y",58,"Class1",41.613
68.033,85,81.885,"A",NA,"T",37,"Class4",28.971
87.397,83,8.223,"Q",48.317,"G",75,"Class1",44.218
73.532,46,99.183,"F",23.075,"V",36,"Class2",37.099
47.904,44,85.337,"Q",23.815,"Q",26,"Class2",33.882
56.733,74,72.289,"Z",24.349,"K",62,"Class2",22.134
75.214,45,12.71,"V",36.79,"D",43,"Class3",NA
88.279,77,43.753,"N",52.945,"B",66,"Class1",42.002
55.955,42,20.348,"B",67.582,"F",27,"Class3",43.891
54.632,44,NA,"T",7.594,"P",77,"Class5",24.364
51.447,70,41.745,"T",10.198,"Z",73,"Class5",21.293
77.97,NA,5.941,"W",78.564,"B",35,"Class3",NA
75.514,44,15.143,"H",37.796,"I",35,"Class3",50.62
84.432,21,26.552,"U",63.562,"G",69,"Class1",34.603
99.002,29,45.419,"H",55.819,"J",66,"Class1",36.119
80.876,34,39.809,"T",11.864,"E",NA,"Class5",2.642
73.114,42,11.535,"E",73.187,"K",36,"Class3",NA
77.316,NA,7.823,"W",47.283,"K",39,"Class3",48.506
75.488,NA,60.675,"N",53.187,"S",35,"Class4",34.65
79.81,54,68.137,"B",29.141,"K",20,"Class2",33.183
55.884,44,43.218,"E",15.458,"T",35,"Class4",34.526
77.538,63,78.549,"A",36.998,"A",34,"Class4",29.682
87.238,72,36.635,"S",54.664,"B",78,"Class1",45.417
83.563,42,24.565,"V",28.877,"F",28,"Class3",42.391
74.085,27,38.443,"Q",61.077,"B",72,"Class1",34.938
89.974,50,70.05,"A",62.488,"S",38,"Class4",33.97
74.447,41,21.75,"E",91.824,"I",36,"Class3",40.709
74.164,62,59.196,"N",20.915,"F",37,"Class4",27.395
83.557,81,94.165,"N",69.36,"A",37,"Class4",27.829
56.966,60,51.198,"T",7.343,"W",74,"Class5",NA
69.472,49,29.16,"V",79.789,"D",26,"Class3",38.314
30.418,51,82.378,"X",25,"Q",53,"Class2",20.8
54.452,NA,61.483,"A",35.992,"T",35,"Class4",32.097
52.108,60,NA,"B",26.737,"D",79,"Class2",82.449
94.875,71,62.8,"C",16.938,"F",35,"Class4",34.832
76.351,NA,4.975,"B",78.445,"I",45,"Class3",44.42
86.813,31,30.268,"H",47.829,"J",71,"Class1",35.005
59.157,40,51.205,"K",14.982,"Z",72,"Class5",9.749
56.937,64,20.805,"D",19.875,"Z",74,"Class5",26.349
70.818,51,27.272,"B",71.581,"K",NA,"Class3",45.462
68.231,73,81.415,"B",27.592,"V",37,"Class2",66.125
72.073,42,20.525,"B",84.566,"D",38,"Class3",46.852
90.347,47,77.345,"N",46.306,"F",35,"Class4",NA
70.946,71,17.459,"T",9.561,"P",76,"Class5",12.946
48.975,25,35.809,"O",10.677,"W",70,"Class5",18.854
80.299,44,20.218,"V",35.092,"K",42,"Class3",51.53
80.402,53,53.055,"E",25.189,"M",36,"Class4",30.407
78.466,43,52.226,"Q",49.782,"J",67,"Class1",46.078
69.194,83,81.338,"E",43.647,"M",34,"Class4",29.643
48.373,NA,31.512,"C",27.09,"A",34,"Class4",27.099
52.224,44,74.18,"I",82.091,"T",37,"Class4",28.374
51.634,50,55.824,"T",16.945,"Y",NA,"Class5",14.845
56.272,63,66.365,"A",NA,"A",35,"Class4",27.708
81.652,48,19.117,"E",85.862,"K",27,"Class3",36.258
45.441,19,30.495,"O",NA,"P",72,"Class5",24.862
76.612,51,8.376,"H",59.34,"K",NA,"Class3",50.968
95.939,48,1.158,"B",75.655,"D",46,"Class3",39.08
87.244,34,35.143,"U",63.965,"G",68,"Class1",34.102
78.702,50,14.312,"E",63.789,"K",28,"Class3",46.652
NA,44,57.372,"E",18.02,"F",34,"Class4",NA
81.211,49,25.736,"W",46.585,"B",29,"Class3",36.457
62.282,55,28.392,"U",61.348,"Y",55,"Class1",40.398
90.145,NA,95.422,"B",24.122,"Y",47,"Class2",80.6
66.642,NA,19.724,"S",39.849,"Y",68,"Class1",34.511
77.078,57,31.356,"D",16.459,"P",71,"Class5",23.376
47.677,44,61.359,"K",10.241,"Z",73,"Class5",18.695
55.192,72,76.485,"X",26.743,"Q",83,"Class2",70.156
62.624,43,24.382,"V",34.583,"I",29,"Class3",37.706
81.776,NA,62.982,"N",53.753,"F",34,"Class4",34.03
55.206,58,57.355,"T",15.89,"W",71,"Class5",18.616
81.316,35,11.136,"U",65.408,"V",71,"Class1",34.88
72.585,49,55.109,"O",19.51,"W",75,"Class5",26.439
79.716,63,33.375,"O",10.727,"Z",71,"Class5",6.618
67.53,30,85.092,"D",18.856,"W",72,"Class5",11.53
52.101,84,79.934,"A",41.349,"A",38,"Class4",31.439
37.059,66,94.476,"X",24.009,"D",51,"Class2",66.196
85.324,62,33.155,"S",66.869,"B",67,"Class1",38.799
50.343,59,89.209,"B",NA,"Y",66,"Class2",56.158
59.994,41,36.915,"D",7.609,"P",76,"Class5",2.321
NA,41,84.967,"Q",24.567,"D",64,"Class2",58.832
94.225,75,NA,"E",79.029,"M",35,"Class4",29.632
55.027,26,18.946,"T",15.727,"E",77,"Class5",7.847
82.441,49,16.62,"W",50.694,"I",38,"Class3",42.734
74.009,62,87.54,"B",29.677,"K",81,"Class2",57.582
61.487,26,57.106,"T",6.577,"Y",73,"Class5",15.649
NA,55,70.063,"I",34.259,"F",37,"Class4",32.393
81.92,47,14.859,"B",55.284,"D",31,"Class3",49.552
56.029,69,47.865,"M",16.471,"E",70,"Class5",15.848
47.304,51,88.936,"F",26.673,"V",75,"Class2",81.479
85.34,54,36.735,"Q",58.298,"Y",56,"Class1",45.461
69.038,73,110.974,"X",28.6,"Q",55,"Class2",53.2
71.224,44,27.409,"W",70.11,"D",39,"Class3",47.707
79.29,49,17.025,"Q",55.445,"V",77,"Class1",38.888
91.847,64,80.352,"X",27.537,"Q",59,"Class2",60.407
NA,50,13.373,"H",77.978,"I",38,"Class3",38.548
73.783,51,26.304,"H",45.539,"F",27,"Class3",42.984
61.803,52,78.784,"Z",26.7,"Y",75,"Class2",6.291
63.25,50,4.892,"V",24.396,"D",47,"Class3",39.441
66.498,76,60.026,"I",79.149,"T",34,"Class4",27.837
79.612,30,10.603,"Q",51.407,"Y",77,"Class1",43.628
74.2,61,22.353,"O",19.318,"E",73,"Class5",17.503
68.392,32,14.012,"O",12.669,"Y",75,"Class5",2.781
71.53,27,38.188,"S",41.718,"J",61,"Class1",36.966
82.24,74,85.358,"Q",24.067,"Q",77,"Class2",2.936
71.033,14,39.925,"U",62.38,"Y",58,"Class1",43.37
66.769,49,50.89,"T",8.47,"E",71,"Class5",8.109
85.16,87,74.186,"A",74.282,"A",36,"Class4",34.65
86.996,41,47.142,"T",15.788,"E",73,"Class5",4.818
64.691,53,45.894,"K",7.296,"W",71,"Class5",4.467
71.038,48,-8.829,"W",27.712,"B",41,"Class3",43.735
62.574,68,58.694,"I",38.509,"F",38,"Class4",34.347
57.765,NA,51.252,"N",38.632,"A",37,"Class4",31.814
96.915,45,29.133,"U",67.943,"B",54,"Class1",47.661
56.996,48,37.447,"K",17.968,"E",NA,"Class5",25.418
95.444,40,52.994,"C",53.166,"T",34,"Class4",31.844
70.225,17,43.058,"Q",NA,"B",58,"Class1",NA
66.729,NA,84.184,"Q",29.931,"K",54,"Class2",81.263
60.42,60,38.844,"C",85.693,"F",38,"Class4",34.023
51.997,40,NA,"T",6.053,"W",70,"Class5",NA
100.101,70,74.339,"X",23.812,"Y",22,"Class2",48.228
70.493,NA,49.434,"H",47.086,"G",72,"Class1",45.514
45.724,70,NA,"T",14.504,"Z",71,"Class5",7.978
53.085,49,38.899,"D",17.115,"E",76,"Class5",2.483
64.063,42,60.357,"I",20.644,"S",34,"Class4",27.226
67.006,39,56.209,"D",7.259,"Y",NA,"Class5",20.207
51.967,84,NA,"E",84.957,"S",38,"Class4",33.387
52.083,71,8.155,"T",18.504,"W",72,"Class5",5.121
69.24,43,73.128,"D",9.285,"Z",74,"Class5",2.971
97.835,11,47.76,"S",43.768,"B",NA,"Class1",46.994
50.244,72,92.901,"F",25.81,"Q",47,"Class2",62.921
58.614,67,81.788,"E",29.493,"A",35,"Class4",31.006
64.16,55,NA,"A",42.146,"S",38,"Class4",33.122
NA,47,82.377,"A",61.679,"S",37,"Class4",28.347
70.572,67,76.928,"A",57.129,"A",35,"Class4",34.92
40.894,47,14.699,"M",7.689,"W",77,"Class5",8.338
NA,45,12.375,"H",84.295,"I",33,"Class3",45.684
80.015,NA,NA,"B",22.035,"F",36,"Class3",36.901
78.413,42,89.035,"Z",NA,"Y",26,"Class2",26.136
58.746,46,90.176,"Z",24.378,"Q",21,"Class2",8.042
73.661,63,76.643,"Q",27.443,"Y",76,"Class2",82.676
66.126,41,12.935,"W",65.591,"D",31,"Class3",47.355
90.035,24,30.59,"H",68.555,"V",68,"Class1",37.56
41.022,43,25.644,"D",15.661,"Y",74,"Class5",16.255
65.966,59,19.158,"O",19.946,"P",71,"Class5",10.098
55.141,35,53.621,"K",9.371,"W",72,"Class5",26.667
74.767,49,25.703,"H",73.006,"B",38,"Class3",46.25
74.673,44,27.884,"W",25.61,"B",39,"Class3",47.466
70.176,56,27.595,"O",9.058,"Z",75,"Class5",6.822
62.038,43,89.791,"X",29.918,"D",30,"Class2",56.722
87.945,69,39.061,"E",16.897,"S",38,"Class4",28.345
75.122,50,22.508,"E",89.987,"F",41,"Class3",44.497
76.034,46,NA,"W",46.035,"K",26,"Class3",48.174
74.525,50,19.903,"W",NA,"B",42,"Class3",39.953
78.871,67,47.453,"U",49.862,"Y",55,"Class1",36.404
72.361,51,28.346,"M",8.307,"Z",73,"Class5",16.778
90.798,44,NA,"E",47.194,"K",28,"Class3",43.304
68.929,68,67.923,"A",45.838,"T",35,"Class4",30.987
44.986,72,92.277,"F",23.035,"D",48,"Class2",71.689
85.895,NA,35.829,"S",45.385,"B",56,"Class1",46.116
72.247,78,26.968,"H",58.039,"Y",72,"Class1",44.889
72.705,38,55.249,"M",16.542,"W",NA,"Class5",15.435
81.388,66,73.806,"I",17.452,"A",36,"Class4",31.587
63.133,74,84.143,"C",27.428,"S",37,"Class4",31.533
67.445,52,85.974,"Q",NA,"Y",72,"Class2",85.544
69.724,68,83.499,"A",79.205,"T",35,"Class4",27.399
81.805,8,18.817,"U",49.086,"B",64,"Class1",34.223
80.723,51,NA,"B",40.742,"F",39,"Class3",47.676
64.803,52,33.444,"O",15.587,"W",71,"Class5",14.504
73.212,48,15.43,"E",75.487,"D",36,"Class3",36.201
80.03,41,14.815,"W",44.269,"I",36,"Class3",45.4
76.486,39,71.908,"X",29.467,"D",29,"Class2",49.63
79.024,69,24.351,"Q",67.827,"V",73,"Class1",46.633
74.933,60,22.674,"N",NA,"G",56,"Class1",45.907
79.695,65,56.635,"E",74.701,"A",37,"Class4",30.851
67.592,65,51.608,"M",14.517,"P",71,"Class5",1.226
64.724,18,NA,"T",14.028,"W",75,"Class5",21.453
NA,22,53.427,"T",9.68,"Y",NA,"Class5",12.597
64.245,47,14.252,"H",44.673,"I",44,"Class3",NA
65.45,57,42.06,"O",NA,"Y",76,"Class5",23.33
54.405,NA,76.056,"Q",29.338,"Y",80,"Class2",6.635
82.254,47,17.571,"E",86.386,"B",43,"Class3",49.868
65.483,36,57.11,"K",16.435,"Y",75,"Class5",14.159
68.003,54,78.998,"A",78.778,"A",36,"Class4",27.342
44.968,34,38.295,"O",10.689,"W",71,"Class5",3.76
75.165,67,30.592,"U",46.566,"Y",73,"Class1",42.771
78.562,83,87.666,"I",NA,"S",37,"Class4",33.73
82.892,41,10.715,"E",89.91,"B",47,"Class3",46.762
83.761,42,24.582,"W",68.789,"I",45,"Class3",44.205
61.733,39,83.273,"Q",27.629,"K",25,"Class2",54.374
45.884,48,93.353,"F",28.061,"V",47,"Class2",45.004
90.159,58,76.379,"Z",25.337,"Y",74,"Class2",6.511
76.749,50,7.266,"W",89.684,"F",38,"Class3",44.346
69.964,43,59.527,"O",NA,"W",72,"Class5",22.76
94.546,55,39.292,"H",43.392,"G",59,"Class1",35.932
79.242,41,NA,"B",29.816,"B",27,"Class3",40.992
61.306,83,73.64,"A",18.625,"F",37,"Class4",34.587
76.203,74,NA,"U",51.009,"V",65,"Class1",38.556
84.784,85,47.736,"A",16.654,"F",34,"Class4",29.818
74.739,NA,28.458,"Q",62.364,"G",58,"Class1",38.22
76.055,66,80.504,"E",65.171,"S",38,"Class4",34.501
81.593,41,18.77,"E",42.732,"F",29,"Class3",43.429
81.973,56,96.281,"Q",28.915,"V",33,"Class2",15.482
59.999,NA,72.874,"I",46.304,"S",35,"Class4",27.342
83.262,72,31.848,"H",63.385,"B",75,"Class1",45.871
79.157,78,69.157,"I",77.126,"S",38,"Class4",34.983
36.36,NA,61.195,"T",15.26,"P",71,"Class5",18.139
86.706,49,28.471,"V",73.701,"D",37,"Class3",37.801
73.25,46,13.831,"W",77.217,"D",35,"Class3",50.311
100.134,40,30.445,"C",75.537,"T",38,"Class4",33.274
95.436,41,37.471,"V",33.111,"B",43,"Class3",49.09
109.936,38,44.056,"Q",53.784,"B",63,"Class1",38.719
98.619,73,NA,"N",45.464,"S",NA,"Class4",34.58
NA,70,55.283,"K",6.06,"W",75,"Class5",6.938
64.495,NA,23.791,"W",39.911,"B",42,"Class3",NA
68.214,64,47.041,"T",13.046,"P",72,"Class5",19.02
47.294,50,92.146,"N",67.756,"T",35,"Class4",NA
93.604,26,NA,"N",NA,"V",71,"Class1",44.981
77.314,47,18.034,"E",57.232,"D",31,"Class3",39.06
45.99,80,32.845,"I",50.378,"T",38,"Class4",31.217
91.383,43,19.869,"N",52.722,"Y",66,"Class1",47.748
65.981,43,3.561,"B",86.955,"K",26,"Class3",42.334
31.216,71,109.712,"Z",24.854,"K",59,"Class2",52.764
69.998,76,31.386,"H",61.083,"Y",73,"Class1",36.551
133.829,51,71.117,"F",26.987,"D",58,"Class2",55.506
72.801,42,4.331,"B",57.497,"D",NA,"Class3",38.436
69.248,52,28.496,"Q",46.122,"J",78,"Class1",41.082
56.896,60,28.572,"M",7.2,"Z",76,"Class5",7.586
76.159,42,45.278,"Q",50.065,"J",64,"Class1",35.496
80.657,45,106.147,"Z",27.961,"V",46,"Class2",41.222
72.315,51,87.134,"B",28.734,"Q",26,"Class2",61.43
62.025,50,66.095,"X",26.844,"V",37,"Class2",7.58
56.251,55,NA,"M",12.069,"P",71,"Class5",NA
90.634,66,81.792,"B",24.109,"V",78,"Class2",42.619
90.43,43,23.467,"W",32.297,"B",42,"Class3",45.652
56.359,NA,95.594,"C",18.915,"F",37,"Class4",31.181
74.532,63,83.601,"F",29.193,"D",19,"Class2",10.061
81.511,23,31.105,"Q",51.006,"V",61,"Class1",44.735
63.359,61,93.774,"N",NA,"M",36,"Class4",34.876
62.19,NA,18.878,"H",64.03,"Y",77,"Class1",34.087
80.799,46,98.347,"F",28.175,"V",NA,"Class2",37.812
70.106,13,20.054,"N",44.349,"G",75,"Class1",34.48
73.609,54,80.928,"B",23.622,"V",36,"Class2",57.051
68.808,70,85.405,"I",44.894,"S",37,"Class4",31.74
NA,73,42.186,"O",6.057,"E",77,"Class5",2.289
91.426,69,99.698,"I",50.41,"M",36,"Class4",27.893
52.929,61,96.037,"B",26.458,"Q",24,"Class2",76.061
57.301,73,45.761,"N",NA,"A",34,"Class4",27.9
82.482,41,80.95,"B",NA,"D",71,"Class2",33.726
86.974,53,68.197,"N",70.536,"S",35,"Class4",30.092
78.042,44,90.565,"B",29.043,"D",NA,"Class2",51.97
NA,73,74.852,"B",27.376,"K",57,"Class2",57.569
70.102,46,18.17,"E",90.459,"K",39,"Class3",36.833
84.351,75,66.943,"A",45.677,"F",37,"Class4",28.442
67.019,50,18.733,"B",44.263,"D",38,"Class3",45.459
73.431,51,12.122,"V",60.499,"D",34,"Class3",39.89
78.012,47,NA,"X",29.418,"K",25,"Class2",75.84
87.982,46,9.894,"V",70.969,"F",34,"Class3",39.034
82.177,69,90.793,"I",63.872,"A",38,"Class4",28.531
85.344,81,37.983,"N",42.59,"V",78,"Class1",37.105
75.224,51,18.583,"B",76.553,"I",47,"Class3",38.955
74.858,81,28.153,"N",49.45,"Y",78,"Class1",41.195
72.33,57,93.751,"Q",NA,"K",24,"Class2",41.542
41.483,52,45.226,"M",7.965,"E",71,"Class5",1.585
64.955,52,74.385,"Q",28.355,"V",64,"Class2",NA
67.801,39,25.353,"D",9.264,"E",70,"Class5",13.472
67.897,48,15.337,"V",80.529,"I",42,"Class3",36.1
79.204,72,75.324,"Q",27.576,"Y",44,"Class2",52.908
86.08,36,45.055,"S",64.671,"V",75,"Class1",43.321
73.167,51,7.964,"V",92.325,"B",38,"Class3",44.329
81.639,44,55.219,"N",35.71,"M",34,"Class4",29.339
97.391,56,30.507,"H",41.596,"J",55,"Class1",41.711
79.181,42,26.67,"Q",55.914,"G",73,"Class1",38.222
56.54,68,95.312,"F",29.636,"Q",39,"Class2",77.821
76.203,84,72.141,"N",66.163,"M",35,"Class4",33.691
96.918,64,74.963,"B",23.326,"K",50,"Class2",84.391
73.577,47,18.22,"V",62.077,"K",28,"Class3",40.748
96.857,84,81.62,"C",12.14,"A",38,"Class4",33.146
99.711,43,32.047,"H",66.609,"Y",68,"Class1",36.414
64.829,43,22.879,"B",81.67,"F",34,"Class3",50.305
81.907,50,18.321,"H",57.437,"I",38,"Class3",42.319
59.05,60,77.797,"C",60.922,"A",34,"Class4",28.025
78.001,47,7.476,"W",69.086,"I",45,"Class3",45.456
87.807,47,20.826,"W",43.266,"I",30,"Class3",49.67
62.556,66,28.083,"D",13.896,"W",74,"Class5",11.633
82.577,59,49.489,"T",13.021,"E",74,"Class5",19.853
66.569,43,28.662,"B",63.993,"K",39,"Class3",48.538
71.91,44,76.765,"C",41.878,"T",35,"Class4",28.656
41.718,55,78.531,"B",25.582,"D",34,"Class2",NA
77.118,78,37.823,"H",41.782,"V",65,"Class1",39.536
NA,36,46.145,"O",9.928,"E",70,"Class5",21.613
57.7,NA,62.323,"X",24.904,"D",32,"Class2",84.736
73.571,53,31.022,"T",15.235,"W",77,"Class5",25.438
NA,59,82.24,"A",38.091,"M",36,"Class4",31.928
58.772,65,37.723,"D",10.845,"P",75,"Class5",23.671
NA,45,NA,"H",71.888,"D",33,"Class3",37.395
74.345,66,20.699,"Q",48.918,"B",62,"Class1",41.336
86.283,51,27.068,"N",NA,"Y",76,"Class1",37.377
84.89,41,0.644,"E",55.56,"I",47,"Class3",42.385
110.752,56,56.258,"C",28.789,"M",35,"Class4",30.942
NA,25,47.331,"O",15.493,"Z",77,"Class5",22.036
69.345,24,30.119,"M",14.345,"Y",71,"Class5",10.938
72.577,51,NA,"B",86.321,"D",40,"Class3",47.579
78.625,70,45.554,"C",60.916,"A",36,"Class4",32.836
47.666,54,69.257,"E",24.645,"F",35,"Class4",NA
67.872,42,65.859,"D",19.551,"Y",71,"Class5",24.583
63.695,51,55.571,"E",59.935,"M",37,"Class4",33.419
62.237,17,53.94,"K",16.633,"E",73,"Class5",5.553
65.113,42,81.224,"E",47.449,"F",38,"Class4",31.454
83.657,40,48.717,"S",49.439,"V",56,"Class1",38.004
68.091,52,24.97,"S",55.939,"J",65,"Class1",34.74
71.051,27,80.859,"M",10.458,"W",72,"Class5",20.455
61.918,58,86.831,"X",NA,"Q",75,"Class2",27.732
81.426,NA,47.129,"U",43.032,"G",69,"Class1",36.344
60.436,54,80.394,"N",28.358,"M",NA,"Class4",31.658
41.364,23,50.021,"K",12.065,"E",75,"Class5",NA
81.544,46,7.62,"H",43.05,"I",26,"Class3",46.084
58.063,46,75.549,"E",76.599,"A",37,"Class4",28.251
37.849,56,65.352,"X",29.623,"K",47,"Class2",81.446
77.254,43,101.159,"B",26.778,"Q",71,"Class2",21.571
92.343,65,23.45,"U",52.678,"J",70,"Class1",45.489
86.666,NA,16.573,"U",54.223,"Y",66,"Class1",34.905
84.547,45,21.984,"E",68.264,"I",26,"Class3",41.605
89.942,58,69.619,"E",19.647,"F",38,"Class4",NA
57.531,48,7.177,"W",68.043,"F",45,"Class3",45.715
74.673,45,14.899,"H",37.911,"B",47,"Class3",44.704
76.047,65,29.849,"N",43.349,"J",54,"Class1",34.44
54.891,34,38.26,"T",16.487,"E",73,"Class5",8.551
79.677,49,4.327,"W",91.878,"K",39,"Class3",36.974
61.554,55,40.245,"N",52.409,"Y",NA,"Class1",42.13
56.249,89,57.643,"E",32.634,"M",34,"Class4",34.246
67.05,43,15,"H",94.989,"I",31,"Class3",41.362
46.956,49,67.822,"O",9.036,"W",72,"Class5",8.647
63.811,46,89.825,"X",29.179,"Y",35,"Class2",59.217
83.176,76,87.124,"I",45.018,"T",37,"Class4",31.387
94.579,41,85.196,"Z",29.001,"V",51,"Class2",73.759
66.18,41,79.913,"N",12.564,"M",37,"Class4",34.194
71.474,55,98.776,"Z",NA,"Y",42,"Class2",12.739
40.894,31,48.853,"M",NA,"Z",71,"Class5",16.594
98.341,37,31.845,"Q",49.705,"Y",70,"Class1",41.454
101.162,34,28.978,"Q",68.168,"B",64,"Class1",47.414
64.065,48,13.651,"K",8.645,"Y",NA,"Class5",19.505
83.864,26,31.455,"U",45.497,"V",54,"Class1",45.994
68.208,60,41.23,"Q",52.897,"G",73,"Class1",43.227
79.996,48,16.076,"E",43.669,"F",37,"Class3",41.575
74.981,50,29.955,"W",45.62,"K",30,"Class3",36.774
97.214,55,36.528,"C",57.7,"M",38,"Class4",30.073
60.496,48,83.312,"Z",25.588,"Q",63,"Class2",81.81
75.339,53,79.147,"I",18.593,"M",37,"Class4",31.684
82.105,24,39.001,"S",43.109,"B",75,"Class1",47.316
47.302,57,87.073,"F",28.087,"Q",41,"Class2",78.522
72.46,45,52.351,"E",79.547,"M",34,"Class4",31.666
84.864,47,70.021,"X",29.283,"K",49,"Class2",69.614
88.615,30,14.21,"S",NA,"Y",59,"Class1",37.547
72.727,63,77.864,"B",26.622,"K",24,"Class2",77.011
NA,65,82.529,"Z",23.177,"V",24,"Class2",46.902
80.138,NA,69.415,"B",26.838,"Y",NA,"Class2",51.615
46.988,NA,40.355,"O",12.858,"Y",70,"Class5",26.274
84.95,52,25.878,"Q",53.154,"V",65,"Class1",34.454
76.806,45,NA,"B",46.372,"D",36,"Class3",49.949
73.364,45,17.315,"V",88.814,"I",27,"Class3",49.759
66.099,46,NA,"M",9.156,"Y",73,"Class5",20.801
85.002,26,35.696,"N",41.525,"B",74,"Class1",45.278
72.395,45,15.924,"H",84.104,"B",46,"Class3",44.743
87.301,29,29.469,"Q",52.993,"V",78,"Class1",46.069
82.742,19,19.666,"N",66.457,"J",71,"Class1",46.66
58.69,50,51.906,"O",18.379,"W",74,"Class5",22.684
68.889,10,45.766,"N",55.679,"Y",69,"Class1",37.429
96.93,33,26.795,"U",57.137,"B",77,"Class1",37.801
66.975,22,19.887,"D",15.027,"Y",74,"Class5",24.989
47.805,49,68.486,"D",6.917,"E",70,"Class5",4.934
65.82,49,94.666,"B",28.458,"Y",20,"Class2",81.448
62.12,NA,74.162,"C",22.13,"S",35,"Class4",31.119
72.66,48,18.355,"H",67.893,"I",32,"Class3",48.354
72.739,67,63.747,"T",8.421,"E",76,"Class5",20.272
71.07,NA,39.073,"D",11.167,"E",73,"Class5",11.809
68.173,31,36.314,"H",53.508,"J",65,"Class1",35.907
74.923,70,27.779,"S",46.246,"J",64,"Class1",40.918
74.394,10,13.182,"N",64.071,"Y",78,"Class1",36.917
67.058,46,68.327,"Q",24.701,"K",43,"Class2",72.796
55.851,60,60.044,"T",7.542,"W",73,"Class5",1.888
36.857,20,41.382,"M",16.73,"Y",74,"Class5",9.576
52.018,75,69.196,"Q",29.351,"V",20,"Class2",70.669
83.129,57,82.469,"B",28.999,"D",21,"Class2",29.818
77.137,49,NA,"W",47.357,"I",34,"Class3",42.54
78.6,46,-3.57,"W",27.16,"K",45,"Class3",42.263
77.629,44,79.329,"B",29.252,"K",77,"Class2",40.8
76.102,64,75.394,"Z",28.786,"V",74,"Class2",6.565
85.347,53,20.477,"Q",60.499,"V",74,"Class1",38.032
68.535,42,44.846,"H",68.071,"J",56,"Class1",41.61
76.844,33,66.243,"T",11.915,"P",75,"Class5",21.815
65.058,42,52.192,"M",7.575,"P",75,"Class5",27.769
83.005,49,12.348,"E",NA,"F",35,"Class3",51.681
77.619,19,46.748,"T",18.926,"P",76,"Class5",16.625
78.685,70,102.733,"Q",27.412,"V",48,"Class2",71.953
71.697,35,51.964,"K",16.616,"Y",74,"Class5",7.244
52.06,66,69.755,"X",23.61,"Y",82,"Class2",79.819
62.431,57,62.562,"T",11.412,"W",73,"Class5",6.754
68.446,43,94.471,"Q",28.634,"K",18,"Class2",81.061
58.426,43,77.495,"Q",28.396,"V",67,"Class2",NA
53.415,45,33.482,"I",78.04,"A",38,"Class4",28.94
69.464,78,56.076,"A",68.352,"T",38,"Class4",NA
64.167,30,21.527,"K",17.761,"W",71,"Class5",12.052
76.57,49,78.936,"Z",29.083,"Q",77,"Class2",54.954
107.83,62,21.816,"H",52.117,"G",54,"Class1",46.551
76.934,67,80.484,"B",29.289,"Q",40,"Class2",25.139
