"E1","E2","E3","E4","E5","Class","E7","E8","E9"
45.036,"N","M",44.588,40.815,"Class2",24,71.706,67
65.201,"N","R",58.648,26.366,"Class2",39,81.852,64
75.856,"S","O",61.617,57.996,"Class1",28,73.472,64
42.407,"O","N",44.119,66.958,"Class2",18,70.647,19
53.166,"N","N",47.214,40.019,"Class2",30,57.159,23
79.504,"I","L",61.036,58.118,"Class1",40,72.697,65
62.693,"O","J",48.053,74.296,"Class2",25,58.641,31
62.413,"C","R",36.559,47.278,"Class2",34,74.96,61
79.075,"P","Z",61.614,57.809,"Class1",17,72.282,68
79.397,"P","O",61.781,82.302,"Class1",31,78.155,64
85.171,"P","O",61.858,48.309,"Class1",51,74.509,69
49.88,"O","E",37.271,44.976,"Class2",29,59.977,21
56.986,"E","J",36.826,66.161,"Class2",18,68.071,57
77.06,"C","P",61.769,81.348,"Class1",14,76.676,69
40.403,"M","R",29.125,51.773,"Class2",14,66.347,62
75.445,"I","L",61.658,77.422,"Class1",NA,76.79,65
75.552,"I","L",61.093,68.319,"Class1",41,73.372,62
85.446,"P","Y",61.808,63.537,"Class1",31,80.088,64
84.001,"C","Y",61.764,64.103,"Class1",31,77.671,68
54.214,"M","R",36.166,62.724,"Class2",30,67.347,45
79.743,"C","L",61.9,53.437,"Class1",37,80.239,62
66.744,"C","E",25.277,NA,"Class2",20,84.051,39
81.537,"P","L",61.503,57.53,"Class1",12,76.796,62
70.516,"N","N",44.527,34.885,"Class2",40,68.97,37
78.142,"U","P",62.117,76.652,"Class1",50,77.428,68
NA,"S","Z",61.177,84.231,"Class1",20,76.312,62
71.73,"C","R",46.668,73.532,"Class2",25,67.399,NA
NA,"E","N",37.901,81.013,"Class2",36,68.123,35
85.554,"S","O",61.724,54.564,"Class1",20,78.391,65
46.506,"M","R",46.126,37.358,"Class2",17,65.346,70
77.561,"P","Y",62.025,50.546,"Class1",30,74.059,68
46.898,"E","R",26.559,39.537,"Class2",13,83.284,71
74.041,"M","R",33.153,85.213,"Class2",13,84.04,44
68.781,"N","J",40.4,37.447,"Class2",17,72.109,30
78.14,"C","P",61.332,58.251,"Class1",47,71.916,62
79.089,"U","P",NA,66.889,"Class1",53,72.665,69
51.745,"C","R",32.611,39.674,"Class2",41,61.408,70
69.064,"N","J",19.857,43.581,"Class2",29,64.059,59
77.026,"I","P",61.096,72.036,"Class1",39,72.779,68
83.512,"S","P",61.607,71.367,"Class1",33,78.139,71
43.178,"O","R",35.765,74.108,"Class2",28,68.503,53
79.804,"P","P",61.699,83.533,"Class1",25,80.055,63
39.194,"M","M",40.663,46.871,"Class2",NA,65.991,39
52.105,"C","M",44.189,64.159,"Class2",22,57.754,28
41.645,"C","E",36.918,44.159,"Class2",25,76.574,26
78.484,"U","P",61.419,67.491,"Class1",NA,73.523,68
61.851,"E","M",33.866,48.593,"Class2",16,62.658,58
40.272,"N","M",22.086,60.848,"Class2",33,72.892,38
83.755,"U","Z",61.338,65.11,"Class1",21,77.616,62
NA,"P","L",61.015,61.906,"Class1",25,77.796,62
75.086,"U","L",61.711,67.222,"Class1",34,77.926,68
77.351,"I","Z",61.432,72.183,"Class1",30,73.952,62
81.183,"P","O",61.429,NA,"Class1",18,71.813,64
40.268,"M","N",34.372,44.495,"Class2",36,67.601,38
80.758,"P","Z",62.062,70.501,"Class1",19,72.991,66
81.247,"S","L",61.289,NA,"Class1",52,74.974,64
85.476,"P","P",61.556,78.688,"Class1",34,74.966,70
54.909,"M","R",33.606,48.955,"Class2",16,76.068,32
77.062,"P","Y",61.616,68.614,"Class1",NA,73.268,62
46.888,"N","R",25.476,43.029,"Class2",32,57.054,55
75.095,"U","P",62.262,69.789,"Class1",23,NA,70
62.05,"N","E",23.559,44.983,"Class2",37,61.313,62
75.672,"U","Z",61.465,49.079,"Class1",16,76.821,68
64.95,"O","M",47.217,44.467,"Class2",19,60.69,66
54.829,"E","R",12.676,28.721,"Class2",35,60.966,25
83.367,"C","L",61.789,68.358,"Class1",12,80.861,68
45.326,"E","M",29.684,79.398,"Class2",19,85.328,45
42.064,"E","E",40.747,60.222,"Class2",28,64.869,NA
54.225,"O","J",29.819,42.401,"Class2",15,81.077,67
40.289,"M","J",33.558,31.341,"Class2",22,76.578,57
85.908,"I","Y",61.857,58.046,"Class1",33,74.003,62
76.443,"C","Z",61.207,63.718,"Class1",48,80.481,67
62.909,"M","J",50.633,NA,"Class2",27,68.206,NA
85.45,"S","Y",NA,56.581,"Class1",48,80.958,66
66.533,"C","M",34.205,44.83,"Class2",NA,78.923,37
50.501,"C","E",38.763,54.198,"Class2",18,71.402,24
NA,"N","J",36.389,19.722,"Class2",32,69.473,62
67.692,"E","M",32.662,59.874,"Class2",38,NA,43
84.744,"C","O",60.989,58.487,"Class1",42,71.695,63
51.478,"C","N",35.751,71.381,"Class2",32,66.633,41
51.48,"M","E",24.802,65.354,"Class2",16,NA,66
67.903,"N","M",31.831,51.687,"Class2",37,72.169,63
57.513,"O","E",40.984,17.849,"Class2",NA,64.982,36
77.355,"I","L",61.016,69.795,"Class1",23,73.429,69
75.082,"E","M",27.862,41.809,"Class2",28,74.674,65
48.499,"M","M",38.356,31.742,"Class2",17,72.32,44
83.995,"U","L",62.237,74.364,"Class1",22,72.805,67
75.871,"S","L",NA,74.285,"Class1",23,73.543,NA
61.272,"C","M",36.034,20.517,"Class2",14,55.932,61
77.334,"I","Y",61.764,64.835,"Class1",12,79.015,71
80.217,"S","L",62.17,59.3,"Class1",45,81.738,70
83.884,"I","P",62.38,52.937,"Class1",49,79.715,68
82.22,"S","L",61.669,53.041,"Class1",43,73.504,68
77.114,"I","Z",61.71,NA,"Class1",38,NA,62
74.596,"M","R",36.68,51.827,"Class2",15,74.453,67
58.052,"M","J",35.788,23.176,"Class2",41,83.108,39
82.822,"C","Y",62.292,74.175,"Class1",44,71.692,65
81.172,"U","P",61.184,75.954,"Class1",29,78.701,69
80.334,"P","Y",61.925,74.187,"Class1",34,73.796,65
NA,"C","J",29.793,31.159,"Class2",40,NA,30
80.588,"C","P",62.027,75.904,"Class1",49,71.783,69
84.059,"I","Z",61.743,NA,"Class1",38,80.634,70
40.504,"N","E",36.434,34.237,"Class2",14,55.407,52
83.932,"U","Y",61.22,66.316,"Class1",18,78.916,70
52.595,"C","J",34.803,36.831,"Class2",26,70.065,60
76.672,"U","P",61.523,69.07,"Class1",16,73.943,69
75.406,"P","O",61.662,54.273,"Class1",45,NA,68
NA,"N","J",43.06,38.846,"Class2",13,64.826,56
54.086,"N","M",36.215,21.407,"Class2",27,85.733,26
40.602,"O","M",36.31,49.821,"Class2",23,73.236,63
63.16,"M","M",NA,43.21,"Class2",31,68.868,51
75.938,"O","E",35.276,37.183,"Class2",35,61.797,66
81.875,"S","P",NA,72.343,"Class1",22,79.736,64
65.261,"C","R",55.107,57.661,"Class2",15,72.957,26
78.89,"S","Y",60.566,NA,"Class1",35,73.425,70
64.479,"O","E",31.501,64.854,"Class2",27,75.136,NA
84.609,"P","Z",61.243,73.846,"Class1",NA,71.327,69
75.728,"M","J",29.018,28.905,"Class2",28,57.99,20
75.49,"C","R",NA,40.645,"Class2",36,58.552,52
50.883,"C","E",45.248,39.86,"Class2",36,67.389,70
76.264,"I","Y",61.476,78.85,"Class1",33,81.468,63
61.143,"N","N",36.774,48.278,"Class2",22,81.928,60
78.651,"S","O",60.658,71.524,"Class1",13,78.241,62
54.26,"E","R",36.559,40.529,"Class2",38,NA,73
80.93,"S","Z",61.375,64.954,"Class1",47,NA,71
48.524,"M","R",40.644,37.197,"Class2",NA,82.878,31
48.243,"O","M",36.989,49.721,"Class2",20,76.557,17
55.466,"O","M",45.646,50.461,"Class2",34,61.415,42
39.699,"M","M",39.16,67.541,"Class2",24,62.577,67
79.636,"S","L",61.414,56.937,"Class1",29,77.866,69
76.247,"I","Y",60.98,81.127,"Class1",16,74.234,66
84.225,"U","L",61.724,NA,"Class1",21,79.896,70
64.44,"N","E",47.861,74.901,"Class2",32,80.319,NA
80.156,"P","L",61.851,54.566,"Class1",40,71.646,68
85.825,"U","Z",61.404,50.631,"Class1",41,75.693,69
58.451,"E","M",28.18,38.919,"Class2",31,64.203,45
84.759,"C","Y",61.679,64.56,"Class1",21,71.818,67
79.354,"P","Y",62.06,67.34,"Class1",22,72.496,69
75.635,"I","Y",61.056,56.557,"Class1",28,76.849,63
68.676,"O","J",31.695,28.855,"Class2",38,56.792,67
54.705,"E","J",32.135,62.432,"Class2",37,NA,52
62.913,"M","E",46.786,50.955,"Class2",38,72.593,18
82.359,"C","P",61.394,50.232,"Class1",45,78.578,NA
55.649,"E","R",31.405,48.515,"Class2",31,72.826,38
75.354,"P","Y",61.736,82.869,"Class1",23,73.806,64
54.18,"C","J",39.304,49.211,"Class2",33,79.593,32
78.177,"S","Y",61.401,63.98,"Class1",17,77.727,62
44.068,"N","N",40.811,45.808,"Class2",41,68,26
80.847,"U","P",61.89,85.657,"Class1",43,77.701,62
66.367,"O","N",33.736,46.797,"Class2",22,85.571,44
69.273,"O","J",31.971,78.796,"Class2",23,60.516,65
74.571,"O","J",25.295,80.147,"Class2",17,62.45,51
60.596,"N","N",37.911,37.287,"Class2",25,85.66,58
43.114,"M","J",35.232,44.255,"Class2",NA,85.508,65
71.16,"N","E",43.637,70.865,"Class2",23,83.104,69
76.91,"I","O",61.617,65.519,"Class1",28,73.031,68
61.903,"O","M",32.133,40.479,"Class2",19,57.861,17
76.704,"C","O",61.32,59.175,"Class1",46,71.668,66
40.728,"M","E",35.937,36.981,"Class2",33,84.743,34
NA,"P","O",61.934,56.818,"Class1",46,76.235,66
85.716,"P","Y",61.085,64.807,"Class1",25,72.468,62
40.936,"N","E",36.678,70.531,"Class2",13,62.655,34
82.589,"C","O",61.392,54.934,"Class1",17,80.372,71
60.917,"C","J",41.221,79.314,"Class2",30,76.6,38
78.595,"C","L",61.056,80.699,"Class1",NA,79.75,67
85.056,"C","Z",60.978,76.661,"Class1",14,73.092,70
80.606,"U","L",61.478,69.978,"Class1",42,73.006,65
51.956,"M","J",39.742,35.249,"Class2",18,61.179,33
39.331,"N","E",37.897,35.9,"Class2",19,77.059,32
68.885,"N","M",NA,54.772,"Class2",31,72.674,49
77.685,"C","Y",61.493,64.403,"Class1",36,80.215,62
77.583,"P","Z",61.674,63.152,"Class1",32,78.508,62
84.451,"I","L",60.785,71.714,"Class1",23,76.145,62
85.601,"U","O",61.399,54.631,"Class1",50,80.995,62
NA,"I","Y",61.084,65.197,"Class1",32,81.558,69
40.081,"C","M",33.584,23.513,"Class2",18,80.823,24
77.927,"C","L",61.298,74.233,"Class1",38,75.366,71
66.192,"E","R",35.423,71.703,"Class2",27,70.286,41
75.036,"U","O",61.461,64.535,"Class1",41,75.062,65
80.86,"I","L",61.471,78.138,"Class1",23,80.079,63
76.235,"I","L",61.009,64.194,"Class1",30,79.251,71
80.175,"C","P",61.519,70.224,"Class1",53,74.446,62
85.422,"I","L",61.528,50.345,"Class1",41,72.672,NA
82.942,"P","P",61.789,69.268,"Class1",44,73.97,64
85.694,"I","Y",61.961,66.174,"Class1",19,81.928,67
72.128,"N","E",27.783,50.682,"Class2",17,67.062,65
81.864,"U","L",62.116,75.329,"Class1",15,74.322,64
78.958,"I","Z",61.141,73.654,"Class1",23,73.259,71
77.073,"S","O",61.505,55.861,"Class1",15,78.737,65
80.259,"U","Y",61.576,55.02,"Class1",14,80.276,66
43.921,"N","M",45.034,44.769,"Class2",25,65.119,27
85.253,"I","Z",NA,92.701,"Class1",41,73.185,63
78.849,"I","Z",61.34,69.47,"Class1",42,72.834,66
84.157,"C","L",61.172,72.111,"Class1",18,75.26,69
56.505,"O","E",54.926,48.475,"Class2",38,58.867,53
81.859,"S","L",NA,75.956,"Class1",19,78.071,64
83.047,"U","Z",61.72,67.381,"Class1",25,NA,65
68.997,"O","M",19.756,58.707,"Class2",41,60.715,19
63.744,"O","E",37.029,42.979,"Class2",24,85.46,56
83.536,"P","P",61.679,NA,"Class1",24,79.158,62
55.009,"O","J",NA,47.642,"Class2",28,81.461,NA
49.377,"M","E",33.328,48.182,"Class2",19,83.599,46
71.073,"N","E",35.677,41.091,"Class2",14,NA,17
61.522,"O","N",31.841,43.195,"Class2",33,63.534,39
79.08,"S","Y",61.85,70.026,"Class1",44,73.214,64
39.675,"E","J",44.018,55.016,"Class2",25,68.999,50
85.477,"U","P",61.554,62.421,"Class1",50,72.044,64
76.684,"I","Z",61.842,73.994,"Class1",23,76.783,71
85.056,"U","O",61.796,63.399,"Class1",26,77.729,66
77.542,"S","Z",61.389,NA,"Class1",18,74.735,68
83.512,"P","P",61.523,69.087,"Class1",49,76.545,63
70.115,"M","R",37.215,40.331,"Class2",28,69.717,40
78.356,"C","Y",62.345,48.285,"Class1",18,79.266,66
72.215,"O","E",30.562,64.218,"Class2",38,65.128,25
53.299,"E","N",34.165,26.247,"Class2",32,57.976,66
77.193,"U","L",61.746,48.711,"Class1",28,72.578,71
42.73,"E","M",29.322,62.145,"Class2",28,NA,70
79.174,"P","P",62,79.6,"Class1",13,79.428,68
59.798,"E","M",19.109,NA,"Class2",37,81.542,18
80.861,"U","L",61.48,NA,"Class1",53,NA,69
42.596,"O","N",41.746,70.273,"Class2",38,76.411,63
75.386,"U","P",61.367,81.042,"Class1",38,78.77,63
62.095,"C","J",NA,49.73,"Class2",21,78.268,59
NA,"O","E",24.706,29.414,"Class2",37,56.872,66
78.388,"S","O",61.112,69.868,"Class1",30,74.205,70
83.544,"U","L",61.294,59.776,"Class1",17,74.423,69
81.025,"S","Z",61.78,57.681,"Class1",19,73.384,70
80.674,"I","L",61.427,56.328,"Class1",15,75.472,67
50.685,"C","E",20.249,-9.1,"Class2",18,55.664,60
59.894,"O","E",40.965,44.834,"Class2",13,78.295,30
83.577,"C","L",61.453,68.931,"Class1",13,72.579,65
53.128,"M","N",32.658,19.508,"Class2",18,59.929,48
58.272,"O","J",31.934,70.297,"Class2",13,80.004,35
77.602,"C","P",61.821,57.847,"Class1",30,79.103,70
39.077,"E","J",NA,53.161,"Class2",26,NA,36
40.443,"M","N",50.408,63.179,"Class2",21,63.719,23
79.397,"U","P",61.829,78.093,"Class1",30,75.131,NA
39.662,"M","N",36.502,27.404,"Class2",16,62.972,38
NA,"N","M",40.512,NA,"Class2",30,NA,44
77.666,"C","Y",61.277,63.921,"Class1",26,NA,64
51.937,"E","M",35.342,40.366,"Class2",21,63.161,49
79.583,"I","L",61.486,44.388,"Class1",22,72.02,65
80.576,"I","O",61.694,76.589,"Class1",48,78.735,64
77.55,"C","L",NA,42.106,"Class1",52,74.343,65
79.965,"I","O",61.513,51.681,"Class1",42,75.743,65
81.441,"U","Y",60.933,59.007,"Class1",46,76.597,63
74.29,"C","E",28.799,48.58,"Class2",26,64.568,32
55.3,"M","N",33.979,39.568,"Class2",34,85.837,48
40.977,"M","N",45.196,43.38,"Class2",35,82.261,22
82.1,"U","P",61.27,67.402,"Class1",NA,80.261,62
58.279,"M","J",32.328,38.87,"Class2",29,82.657,32
46.07,"E","N",36.928,57.538,"Class2",22,74.384,17
84.263,"U","P",61.648,51.832,"Class1",13,78.974,67
54.147,"O","J",33.216,58.798,"Class2",37,62.432,53
79.943,"P","L",61.228,62.603,"Class1",21,79.607,69
68.854,"O","N",26.917,42.87,"Class2",29,64.924,33
85.563,"I","Y",61.696,66.607,"Class1",46,72.335,68
83.465,"U","L",61.138,56.797,"Class1",23,73.27,62
79.109,"U","P",61.098,61.641,"Class1",19,78.516,65
77.521,"P","P",61.973,64.579,"Class1",33,74.437,66
77.894,"C","L",61.318,NA,"Class1",50,71.355,71
80.737,"S","P",60.929,43.389,"Class1",49,73.426,65
71.34,"M","E",NA,60.754,"Class2",13,70.032,34
56.33,"C","N",31.68,68.572,"Class2",16,57.96,NA
43.6,"M","N",NA,47.658,"Class2",16,69.448,24
75.983,"C","N",36.127,NA,"Class2",37,65.467,36
84.077,"C","L",61.239,58.603,"Class1",18,80.916,62
82.09,"C","O",61.318,68.125,"Class1",35,75.521,64
66.553,"O","N",NA,21.037,"Class2",38,68.881,60
75.239,"U","O",61.949,80.648,"Class1",NA,80.577,70
78.023,"I","Z",60.745,65.739,"Class1",27,72.333,68
71.905,"E","M",35.275,44.077,"Class2",35,66.648,42
84.467,"C","Y",61.851,54.755,"Class1",48,75.757,62
80.657,"U","O",61.46,69.676,"Class1",49,77.082,68
54.971,"E","N",42.911,64.441,"Class2",14,78.738,26
82.58,"S","L",61.308,55.333,"Class1",NA,71.175,65
82.749,"C","O",61.736,69.261,"Class1",22,72.124,63
54.156,"O","R",48.567,53.191,"Class2",39,58.395,39
81.581,"P","O",61.307,65.138,"Class1",29,77.18,NA
58.885,"O","N",29.823,44.143,"Class2",19,64.286,48
51.131,"O","E",43.867,28.902,"Class2",34,60.184,45
44.179,"O","N",46.803,47.989,"Class2",37,57.13,32
76.159,"P","O",61.936,66.46,"Class1",13,76.007,66
83.158,"C","Y",61.793,69.941,"Class1",53,NA,65
43.027,"O","R",35.146,NA,"Class2",36,64.448,53
82.003,"I","Z",61.209,53.517,"Class1",46,80.846,70
64.929,"M","M",27.201,70.751,"Class2",18,61.448,38
82.96,"U","Y",61.874,73.637,"Class1",52,74.867,63
46.06,"M","R",32.539,34.005,"Class2",19,73.836,47
67.134,"C","N",40.138,41.386,"Class2",41,73.938,73
75.66,"S","Y",61.636,58.876,"Class1",38,80.125,62
55.52,"N","J",31.694,15.971,"Class2",16,59.6,34
NA,"N","J",36.26,33.132,"Class2",24,71.286,23
84.283,"S","Y",61.529,72.307,"Class1",26,76.872,62
75.091,"E","E",42.54,22.841,"Class2",30,83.728,67
79.218,"C","L",61.677,54.207,"Class1",31,77.319,67
51.455,"N","J",34.765,53.091,"Class2",13,78.738,19
83.016,"P","P",61.44,69.646,"Class1",17,75.208,70
75.475,"S","Z",61.144,51.427,"Class1",32,76.832,67
66.021,"N","R",33.636,NA,"Class2",19,80.503,38
66.876,"M","E",46.077,87.795,"Class2",19,74.5,NA
83.223,"I","L",61.444,80.456,"Class1",32,NA,71
76.504,"U","Y",61.252,64.04,"Class1",42,73.386,65
NA,"I","P",61.653,64.167,"Class1",45,80.892,71
84.448,"C","O",61.603,61.429,"Class1",32,75.825,66
83.477,"I","P",61.552,67.809,"Class1",12,75.383,68
42.889,"E","N",45.155,48.166,"Class2",27,76.853,NA
NA,"O","R",37.194,20.978,"Class2",15,73.814,59
79.135,"P","O",61.405,50.221,"Class1",44,74.908,66
67.215,"C","N",32.931,56.975,"Class2",29,58.819,56
NA,"U","P",61.81,64.005,"Class1",31,79.175,70
52.783,"E","E",43.546,76.61,"Class2",18,55.772,18
50.679,"M","J",39.342,33.442,"Class2",30,82.016,42
76.949,"U","L",61.422,47.849,"Class1",13,77.47,69
69.579,"M","R",52.526,48.98,"Class2",27,68.744,45
75.001,"I","Y",60.968,NA,"Class1",33,78.58,62
71.956,"E","N",28.735,9.304,"Class2",20,72.085,45
50.255,"M","R",28.253,54.631,"Class2",20,71.272,35
68.855,"E","R",23.701,60.286,"Class2",14,59.271,35
61.509,"M","J",49.819,63.026,"Class2",34,67.329,42
77.083,"U","P",61.919,75.049,"Class1",15,NA,69
81.172,"S","P",61.093,64.984,"Class1",18,77.037,71
85.676,"I","P",61.513,50.136,"Class1",31,75.623,63
82.2,"P","P",62.199,68.35,"Class1",25,77.57,70
82.246,"C","Y",61.489,65.196,"Class1",28,77.256,66
48.843,"C","M",28.978,51.43,"Class2",28,81.629,27
43.572,"E","N",NA,22.098,"Class2",28,84.397,25
40.034,"C","N",35.157,59.334,"Class2",25,70.969,18
63.381,"M","N",38.775,40.429,"Class2",40,67.785,48
62.822,"E","M",39.49,69.284,"Class2",27,67.583,29
65.091,"C","N",49.527,70.805,"Class2",35,78.833,26
75.169,"P","L",61.961,54.561,"Class1",45,80.521,69
79.073,"C","Y",61.735,72.263,"Class1",49,72.992,65
85.376,"S","L",61.803,72.352,"Class1",35,72.329,69
72.608,"M","J",45.044,75.92,"Class2",37,77.452,70
NA,"U","O",NA,70.503,"Class1",43,77.736,66
79.671,"S","P",60.977,71.858,"Class1",12,76.064,66
48.573,"E","J",29.815,62.364,"Class2",32,80.799,NA
82.936,"S","P",61.113,47.3,"Class1",42,71.793,65
58.545,"O","M",40.759,85.935,"Class2",35,77.018,62
82.702,"I","O",61.856,65.031,"Class1",16,81.882,70
85.702,"I","O",61.361,61.032,"Class1",13,77.403,65
77.73,"P","L",61.201,85.139,"Class1",28,73.584,65
81.176,"U","O",61.974,58.193,"Class1",14,76.822,71
NA,"P","Y",61.523,75.114,"Class1",33,75.523,67
83.806,"I","Z",61.756,53.022,"Class1",26,74.014,70
41.421,"E","M",NA,52.195,"Class2",41,82.467,49
85.949,"S","Z",61.324,62.299,"Class1",13,81.509,67
82.721,"P","O",60.713,71.837,"Class1",52,79.817,69
61.319,"M","R",NA,37.772,"Class2",26,66.632,53
83.007,"U","P",61.824,69.841,"Class1",52,80.548,68
75.529,"N","R",34.481,67.8,"Class2",32,66.276,63
NA,"O","J",40.259,76.748,"Class2",23,84.227,46
57.604,"M","J",39.454,71.982,"Class2",23,75.61,69
65.137,"O","E",49.983,50.342,"Class2",22,64.793,63
74.687,"N","J",28.972,54.891,"Class2",NA,84.836,26
45.555,"O","R",32.307,79.056,"Class2",18,72.384,53
77.793,"P","P",61.649,65.863,"Class1",38,76.031,63
85.472,"P","Y",61.284,63.986,"Class1",51,72.341,64
46.627,"M","M",45.99,NA,"Class2",26,60.541,20
83.274,"P","O",61.167,68.481,"Class1",15,76.342,71
76.063,"U","O",61.663,67.133,"Class1",35,71.863,62
80.588,"S","O",61.156,85.063,"Class1",32,76.015,71
80.108,"S","Z",NA,77.392,"Class1",40,76.03,62
77.944,"S","L",60.923,79.316,"Class1",43,72.661,68
83.326,"S","Y",61.105,63.572,"Class1",39,NA,71
66.263,"M","M",31.603,71.252,"Class2",24,71.544,51
68.453,"N","E",39.16,35.393,"Class2",28,79.652,34
53.636,"M","N",47.699,45.081,"Class2",29,71.35,28
65.36,"O","N",42.696,52.739,"Class2",16,56.223,23
81.112,"P","L",61.461,60.958,"Class1",43,73.675,63
84.847,"I","Y",61.982,58.228,"Class1",13,79.368,66
47.154,"M","J",42.749,53.747,"Class2",33,77.395,NA
40.054,"C","N",22.941,36.046,"Class2",25,59.951,57
49.114,"N","J",36.956,42.442,"Class2",19,84.369,20
56.6,"C","J",30.7,-5.412,"Class2",25,59.715,46
75.172,"C","L",61.934,61.505,"Class1",21,74.248,65
75.035,"U","P",61.08,52.521,"Class1",27,NA,63
50.721,"N","J",NA,47.344,"Class2",19,64.296,72
50.546,"O","M",47.299,66.887,"Class2",22,63.881,26
57.476,"C","J",38.658,77.381,"Class2",41,70.297,44
56.684,"N","R",43.138,78.301,"Class2",16,56.502,58
82.344,"S","Z",61.484,NA,"Class1",31,72.903,62
78.596,"U","P",62.328,64.13,"Class1",31,78.773,65
74.421,"M","N",NA,70.677,"Class2",16,60.05,38
42.544,"M","E",35.762,70.739,"Class2",13,75.286,27
70.13,"O","E",34.677,42.804,"Class2",24,80.572,54
NA,"N","M",NA,NA,"Class2",17,83.606,63
85.334,"U","Z",62.079,72.273,"Class1",47,72.668,66
84.158,"I","O",61.163,NA,"Class1",29,76.155,70
83.122,"I","Z",60.914,58.482,"Class1",53,NA,64
49.61,"O","N",30.047,12.402,"Class2",33,71.158,38
84.041,"C","O",62.109,68.07,"Class1",47,78.741,66
68.785,"M","E",40.273,47.246,"Class2",37,69.385,NA
NA,"U","Y",61.732,59.237,"Class1",26,79.022,69
84.46,"I","P",61.769,69.026,"Class1",39,76.319,62
84.276,"U","L",61.273,NA,"Class1",47,74.542,63
79.442,"P","L",61.61,NA,"Class1",41,NA,63
61.057,"E","N",33.225,45.383,"Class2",30,56.987,41
84.248,"C","L",61.675,65.297,"Class1",43,80.567,62
67.481,"N","J",30.103,51.85,"Class2",20,69.22,28
75.705,"P","P",NA,62.354,"Class1",41,72.146,71
85.638,"P","P",62.067,71.888,"Class1",20,72.464,69
58.131,"M","E",35.877,52.167,"Class2",19,64.466,67
50.133,"O","M",46.855,57.259,"Class2",37,59.391,60
42.431,"C","J",30.322,50.459,"Class2",19,58.738,35
43.277,"O","J",22.521,66.326,"Class2",26,74.793,NA
84.568,"I","Y",61.026,59.91,"Class1",23,71.141,68
77.216,"C","Y",61.869,54.625,"Class1",16,75.443,71
48.026,"O","M",38.248,60.724,"Class2",34,68.431,NA
69.259,"M","N",38.571,47.639,"Class2",39,68.49,48
82.415,"P","L",61.469,51.356,"Class1",53,NA,63
50.006,"C","R",48.909,22.971,"Class2",22,58.178,63
80.942,"I","O",61.442,NA,"Class1",42,75.05,67
45.141,"C","E",39.53,39.289,"Class2",25,NA,28
59.887,"C","J",50.204,13.034,"Class2",25,79.89,18
65.581,"M","J",41.244,NA,"Class2",34,76.358,38
80.316,"P","P",NA,50.319,"Class1",40,72.062,69
80.4,"U","Z",60.471,74.09,"Class1",24,76.99,71
59.119,"C","J",40.482,50.954,"Class2",41,NA,37
53.473,"E","J",38.046,19.796,"Class2",30,57.051,45
83.724,"P","L",61.756,72.832,"Class1",48,72.948,65
46.791,"C","M",35.496,36.579,"Class2",NA,82.561,41
NA,"C","E",30.105,7.241,"Class2",41,61.56,60
59.794,"M","N",41.282,25.533,"Class2",21,64.802,30
69.266,"C","E",33.317,40.984,"Class2",28,64.119,59
54.852,"C","M",50.628,60.138,"Class2",41,59.772,NA
59.665,"N","J",19.874,70.163,"Class2",20,60.085,46
81.535,"P","Z",NA,67.066,"Class1",29,71.578,70
53.655,"M","E",38.951,74.613,"Class2",28,65.89,17
NA,"N","M",33.65,41.935,"Class2",27,60.878,36
