"S1","S2","S3","S4","S5","Class","S7","S8","S9"
"D",87,34.646,66,42.078,"Class1",19.024,"L",82.584
"R",84,29.766,65,34.435,"Class1",16.666,"Y",81.194
"Q",5,17.613,NA,48.636,"Class4",50.805,"W",66.848
"S",58,84.416,69,57.374,"Class2",89.2,"W",84.498
"W",89,38.969,51,NA,"Class5",27.747,"J",76.369
"R",83,54.662,33,53.753,"Class1",3.808,"I",81.007
"L",5,67.435,25,32.541,"Class3",61.906,"A",46.181
"I",5,11.036,83,39.911,"Class4",59.102,"B",92.204
"Q",2,6.384,95,87.391,"Class4",40.927,"W",49.139
"E",83,49.505,67,83.749,"Class5",38.415,"P",60.265
"S",59,84.475,72,57.468,"Class2",51.536,"H",78.488
"Q",4,52.783,25,64.267,"Class3",52.167,"P",51.608
"F",88,64.513,61,85.867,"Class5",23.483,"P",50.592
"O",6,-6.85,95,85.155,"Class4",60.315,"I",77.185
"O",5,58.446,27,39.021,"Class3",50.917,"L",41.288
"F",86,56.651,73,84.661,"Class5",23.714,"U",86.232
"S",88,80.019,61,55.768,"Class2",78.734,"W",72.42
"L",5,55.014,25,74.58,"Class3",59.414,"Y",45.689
"U",69,86.492,53,48.491,"Class2",71.636,"G",58.963
"D",82,29.811,66,44.956,"Class1",4.04,"L",69.234
"R",61,85.587,52,52.025,"Class2",70.463,"H",75.999
"V",NA,44.926,36,NA,"Class1",4.722,"I",NA
"E",84,-6.81,66,82.404,"Class5",19.262,"U",65.236
"Y",57,84.113,65,52.49,"Class2",57.669,"W",NA
"X",4,41.331,26,62.645,"Class3",58.693,"A",50.076
"V",3,26.562,79,56.597,"Class4",74.271,"U",85.178
"J",5,15.404,78,71.802,"Class4",41.178,"P",51.078
"U",94,84.807,67,54.464,"Class2",44.648,"H",NA
"Q",5,51.827,28,82.423,"Class3",52.094,"P",49.21
"I",83,79.085,NA,82.764,"Class5",39.704,"J",87.328
"O",3,15.532,93,80.671,"Class4",40.926,"B",71.45
"V",NA,29.49,90,40.745,"Class4",62.153,"P",73.994
"V",87,61.374,70,44.213,"Class1",22.775,"S",79.275
"R",80,80.231,71,52.818,"Class2",64.034,"G",63.471
"F",91,89.201,73,84.58,"Class5",35.971,"U",81.132
"I",86,NA,51,84.783,"Class5",72.266,"J",25.005
"D",89,84.005,65,39.039,"Class1",5.976,"I",40.675
"K",4,43.824,25,70.305,"Class3",60.972,"A",41.196
"U",80,83.368,69,54.592,"Class2",53.769,"W",77.409
"K",4,30.062,29,60.759,"Class3",53.835,"P",46.811
"V",89,64.73,NA,56.736,"Class1",10.27,"I",NA
"T",92,40.744,NA,82.565,"Class5",26.784,"E",86.151
"K",4,NA,27,22.704,"Class3",56.581,"P",47.382
"O",4,49.739,26,23.178,"Class3",51.036,"A",44.276
"S",90,86.953,62,51.795,"Class2",48.726,"W",NA
"W",87,61.103,60,84.23,"Class5",61.14,"P",5.159
"K",5,20.835,25,30.734,"Class3",55.453,"G",44.516
"U",89,85.811,58,57.254,"Class2",NA,"H",76.657
"O",5,72.67,29,34.275,"Class3",50.618,"A",46.347
"J",64,86.771,66,51.108,"Class2",67.379,"W",76.877
"L",5,32.297,27,55.74,"Class3",67.772,"Y",43.63
"O",5,22.211,95,79.7,"Class4",77.312,"U",86.654
"Q",7,19.281,81,52.076,"Class4",47.417,"P",88.602
"Q",4,15.195,90,51.498,"Class4",56.725,"W",68.048
"K",92,28.668,13,55.633,"Class1",3.162,"S",93.311
"I",91,99.775,NA,42.762,"Class1",4.121,"L",61.921
"U",NA,82.057,48,56.956,"Class2",73.887,"W",59.743
"Q",5,63.862,28,32.278,"Class3",56.168,"A",51.888
"E",89,20.009,65,84.896,"Class5",44.704,"U",14.566
"F",89,28.253,62,83.627,"Class5",36.552,"E",51.69
"I",87,6.467,51,83.845,"Class5",28.763,"P",62.629
"U",69,87.413,57,50.514,"Class2",42.748,"W",68.643
"O",5,101.729,30,80.481,"Class3",63.633,"G",41.978
"X",4,73.276,30,66.516,"Class3",51.542,"G",41.046
"I",83,61.539,56,NA,"Class1",NA,"S",64.537
"Y",78,85.589,71,52.519,"Class2",70.308,"G",76.751
"V",91,58.478,26,42.377,"Class1",9.956,"Y",49.831
"F",86,51.349,73,84.989,"Class5",23.955,"Q",55.981
"K",4,66,30,41.645,"Class3",54.904,"A",49.058
"Q",4,25.588,92,67.853,"Class4",82.055,"P",93.169
"V",6,6.845,87,46.631,"Class4",43.081,"B",54.896
"R",NA,81.264,35,42.764,"Class1",7.862,"S",87.598
"S",84,82.745,50,NA,"Class2",63.537,"M",56.892
"Q",4,70.38,29,26.602,"Class3",64.374,"G",47.899
"V",90,54.085,36,36.402,"Class1",10.876,"L",51.035
"T",86,61.445,58,82.155,"Class5",43.763,"E",58.855
"L",4,94.169,29,34.073,"Class3",66.063,"Y",44.548
"J",6,22.535,82,84.008,"Class4",41.248,"W",88.327
"J",3,10.584,90,41.908,"Class4",58.003,"P",73.384
"U",94,84.035,63,49.151,"Class2",49.835,"W",75.254
"R",86,28.369,34,36.81,"Class1",10.795,"S",94.312
"S",56,86.737,58,49.117,"Class2",74.81,"Y",80.28
"X",4,57.37,26,52.258,"Class3",57.149,"P",46.11
"W",85,81.142,68,85.158,"Class5",38.603,"J",19.283
"Q",7,28.254,78,74.46,"Class4",27.664,"U",74.513
"Q",6,16.889,82,51.76,"Class4",69.107,"P",64.054
"T",88,56.796,59,85.466,"Class5",28.351,"P",22.838
"R",93,85.694,71,NA,"Class2",88.079,"H",82.791
"K",82,53.785,25,37.794,"Class1",7.684,"I",69.484
"I",3,23.434,89,41.941,"Class4",59.117,"W",61.484
"E",87,39.671,50,82.525,"Class5",35.273,"E",51.45
"V",NA,9.367,89,79.05,"Class4",41.148,"I",56.877
"V",90,NA,48,49.112,"Class1",18.521,"C",58.414
"V",NA,6.927,85,50.384,"Class4",56.543,"U",79.813
"I",87,67.901,67,40.681,"Class1",18.399,"I",38.77
"O",5,38.877,29,75.615,"Class3",60.64,"G",46.348
"X",5,49.275,30,76.032,"Class3",65.327,"L",42.13
"K",4,68.72,27,66.582,"Class3",48.274,"P",50.676
"Y",82,86.147,55,53.958,"Class2",70.999,"M",81.316
"I",5,12.537,93,46.795,"Class4",40.646,"P",62.444
"K",5,44.292,29,76.842,"Class3",52.334,"L",45.864
"O",4,2.803,88,52.426,"Class4",47.603,"I",66.41
"F",88,62.636,60,84.872,"Class5",31.017,"Q",23.351
"F",85,51.018,55,82.009,"Class5",30.654,"P",58.733
"I",83,73.044,68,84.493,"Class5",48.808,"J",22.424
"W",92,43.758,63,84.22,"Class5",57.712,"J",17.891
"X",5,60.468,27,19.64,"Class3",52.418,"L",50.276
"E",83,36.762,73,83.289,"Class5",52.462,"P",10.927
"J",84,86.643,68,55.932,"Class2",85.289,"W",83.591
"V",7,29.556,89,55.825,"Class4",64.055,"W",88.537
"J",91,85.166,48,50.978,"Class2",59.837,"Y",72.305
"L",5,50.345,29,27.273,"Class3",54.432,"L",41.65
"S",62,85.829,50,54.788,"Class2",82.231,"W",66.971
"E",89,89.386,51,82.08,"Class5",49.559,"E",85.521
"J",74,84.934,NA,58.164,"Class2",76.429,"M",70.273
"O",4,26.601,27,70.633,"Class3",59.989,"Y",42.235
"R",88,NA,47,58.504,"Class2",107.454,"G",61.297
"V",5,18.802,85,42.684,"Class4",50.19,"W",59.732
"W",86,38.023,64,83.21,"Class5",49.617,"U",20.953
"U",72,84.937,60,52.784,"Class2",81.282,"G",57.169
"D",90,69.501,15,52.138,"Class1",4.515,"L",90.618
"R",94,82.777,60,NA,"Class2",110.516,"Y",71.085
"K",5,54.346,29,50.974,"Class3",56.528,"Y",49.661
"I",84,-0.544,39,NA,"Class1",1.616,"I",46.164
"L",4,67.17,28,63.493,"Class3",60.763,"Y",50.079
"E",87,52.703,65,84.159,"Class5",37.737,"U",NA
"E",88,36.917,74,85.364,"Class5",26.542,"P",50.68
"V",3,7.654,91,61.053,"Class4",30.599,"W",71.712
"J",83,85.126,65,51.147,"Class2",94.631,"G",64.33
"Q",2,27.353,87,75.725,"Class4",38.706,"P",95.909
"O",5,57.431,29,48.445,"Class3",54.618,"A",49.817
"X",4,86.098,26,78.921,"Class3",55.353,"A",NA
"V",3,18.853,83,87.894,"Class4",49.272,"W",74.152
"E",88,42.524,69,84.71,"Class5",46.847,"E",24.77
"X",4,67.177,30,NA,"Class3",63.357,"G",51.044
"J",72,84.533,71,57.565,"Class2",70.466,"W",68.078
"E",91,64.466,NA,83.967,"Class5",44.193,"U",10.118
"Q",5,68.867,29,30.152,"Class3",57.365,"A",45.175
"V",NA,22.108,29,41.59,"Class1",14.14,"Y",44.228
"R",90,32.208,29,37.934,"Class1",19.358,"Y",NA
"Y",58,85.841,71,51.655,"Class2",73.778,"W",73.623
"X",5,69.392,28,56.46,"Class3",52.562,"L",41.441
"Y",77,82.435,62,56.726,"Class2",35.793,"M",60.613
"K",83,71.991,49,54.807,"Class1",18.301,"L",39.031
"X",5,NA,25,60.543,"Class3",50.777,"A",51.399
"Y",85,86.961,NA,49.524,"Class2",89.298,"G",56.226
"O",2,4.389,87,68.805,"Class4",35.085,"U",69.774
"R",82,61.151,55,55.173,"Class1",7.446,"I",72.341
"Q",5,18.465,94,33.361,"Class4",53.894,"P",95.804
"I",84,70.151,12,53.108,"Class1",5.758,"S",62.947
"O",4,38.877,25,40.503,"Class3",56.472,"L",NA
"R",58,NA,52,57.929,"Class2",96.045,"W",63.908
"R",64,83.995,NA,48.462,"Class2",50.357,"W",61.724
"R",79,82.399,49,56.907,"Class2",93.129,"W",78.889
"V",90,58.058,11,47.089,"Class1",21.086,"L",44.551
"T",85,50.734,52,82.325,"Class5",33.826,"P",9.126
"Q",7,24.046,91,43.573,"Class4",NA,"U",56.81
"S",95,85.538,63,NA,"Class2",54.94,"M",78.754
"L",5,62.275,25,69.181,"Class3",54.472,"Y",41.411
"Q",4,48.062,25,52.095,"Class3",56.646,"A",49.738
"D",86,61.737,43,53.986,"Class1",12.97,"I",48.511
"D",83,72.978,29,NA,"Class1",28.686,"S",40.2
"Y",94,83.575,63,52.402,"Class2",60.525,"M",63.913
"X",5,39.9,NA,65.777,"Class3",63.418,"L",43.998
"I",4,10.476,91,NA,"Class4",44.734,"B",94.232
"K",5,60.039,28,52.255,"Class3",58.788,"A",48.584
"I",92,52.301,14,53.689,"Class1",NA,"L",72.829
"R",83,54.398,51,53.729,"Class1",14.215,"L",47.412
"F",87,64.902,56,84.677,"Class5",NA,"E",34.23
"Q",5,63.541,29,78.086,"Class3",57.526,"Y",46.303
"Q",2,1.986,93,75.367,"Class4",48.061,"W",84.03
"U",80,83.806,62,49.084,"Class2",NA,"G",63.883
"R",75,NA,72,49.162,"Class2",79.635,"M",64.483
"R",92,83.265,71,52.889,"Class2",46.499,"G",61.091
"J",86,85.705,NA,56.691,"Class2",54.24,"G",77.209
"Q",4,64.004,30,40.673,"Class3",46.639,"G",50.445
"L",5,83.844,29,26.486,"Class3",54.689,"A",50.118
"D",90,45.12,70,40.793,"Class1",11.974,"Y",61.469
"K",88,40.903,29,45.918,"Class1",24.427,"S",91.932
"K",82,36.891,30,36.964,"Class1",20.907,"L",83.215
"V",2,25.137,84,47.535,"Class4",50.044,"W",75.292
"S",67,81.228,66,53.108,"Class2",53.401,"H",74.549
"S",61,82.334,69,52.572,"Class2",74.105,"Y",81.777
"T",84,51.522,71,NA,"Class5",52.427,"U",44.625
"V",NA,43.786,33,55.547,"Class1",15.358,"C",82.826
"V",NA,46.173,51,49.097,"Class1",25.153,"I",38.62
"L",4,NA,28,75.176,"Class3",59.263,"Y",43.116
"I",91,37.123,72,82.152,"Class5",45.496,"P",34.704
"J",58,83.41,NA,55.045,"Class2",42.237,"G",84.522
"R",85,70.67,65,47.965,"Class1",NA,"S",58.552
"D",82,43.103,13,35.64,"Class1",4.078,"C",85.15
"D",92,53.799,46,39.178,"Class1",19.45,"I",85.896
"E",89,55.291,49,84.78,"Class5",56.382,"P",NA
"S",89,85.47,49,57.301,"Class2",NA,"G",72.692
"W",90,66.035,68,84.163,"Class5",43.977,"P",72.023
"L",4,60.156,27,82.46,"Class3",48.561,"Y",46.054
"X",4,71.288,26,55.7,"Class3",63.562,"P",45.893
"I",87,NA,37,42.455,"Class1",16.775,"C",76.931
"I",90,3.376,64,83.495,"Class5",NA,"Q",67.797
"L",5,71.92,29,46.888,"Class3",54.656,"A",41.476
"L",4,31.048,28,68.157,"Class3",51.699,"G",NA
"I",84,50.013,57,33.881,"Class1",18.109,"C",67.097
"Q",4,11.343,84,51.438,"Class4",54.559,"W",68.955
"R",86,30.165,10,44.8,"Class1",17.121,"Y",79.192
"I",86,75.403,50,85.878,"Class5",47.65,"P",84.744
"O",2,19.695,94,NA,"Class4",58.373,"W",63.142
"Y",61,85.668,NA,51.566,"Class2",60.843,"M",81.839
"L",4,84.609,26,55.755,"Class3",56.574,"G",45.425
"I",82,34.953,70,40.127,"Class1",-4.449,"I",45.118
"V",3,16.565,81,56.458,"Class4",41.764,"P",70.909
"V",6,10.452,89,40.951,"Class4",41.681,"B",54.174
"L",NA,81.023,25,52.74,"Class3",49.479,"A",49.814
"O",4,69.772,NA,82.949,"Class3",NA,"A",42.907
"V",3,24.877,95,76.919,"Class4",59.629,"B",71.309
"K",91,81.176,12,47.949,"Class1",12.179,"Y",92.325
"R",63,86.293,52,58.206,"Class2",85.492,"M",59.046
"R",60,86.51,NA,57.42,"Class2",72.532,"G",63.931
"S",66,85.256,68,49.115,"Class2",72.397,"H",79.716
"D",84,78.332,53,NA,"Class1",14.043,"I",59.542
"Q",5,51.823,28,62.645,"Class3",57.723,"L",41.223
"R",81,85.465,NA,55.991,"Class2",41.86,"H",70.202
"F",85,51.523,56,85.666,"Class5",33.654,"J",55.045
"R",62,NA,49,53.207,"Class2",78.294,"Y",75.824
"J",95,86.296,46,55.652,"Class2",85.412,"Y",NA
"O",3,25.478,87,68.967,"Class4",41.665,"B",84.307
"Q",4,59.39,26,77.992,"Class3",56.001,"L",45.145
"I",6,-1.302,84,41.911,"Class4",52.469,"U",74.635
"X",5,55.102,27,27.145,"Class3",54.084,"A",45.93
"R",58,83.785,60,50.668,"Class2",67.207,"W",NA
"R",85,85.124,59,51.106,"Class2",57.188,"H",57.416
"O",4,59.285,26,67.124,"Class3",60.91,"A",46.718
"X",5,51.347,29,68.237,"Class3",48.864,"P",47.546
"V",3,10.543,91,43.775,"Class4",69.579,"P",49.905
"U",88,84.599,71,55.049,"Class2",84.795,"W",60.589
"Y",59,85.446,56,50.543,"Class2",62.628,"Y",81.482
"I",3,18.061,89,73.895,"Class4",42.187,"B",77.523
"W",87,83.918,74,82.102,"Class5",30.548,"Q",30.601
"K",5,51.259,30,27.416,"Class3",59.17,"Y",49.571
"T",90,76.084,65,85.829,"Class5",35.951,"P",78.572
"L",4,32.467,30,60.96,"Class3",64.391,"A",49.1
"V",91,21.971,23,46.973,"Class1",12.45,"I",89.8
"T",86,68.088,65,85.439,"Class5",36.448,"E",30.384
"F",85,60.901,68,83.342,"Class5",39.007,"U",54.059
"W",87,64.618,75,84.375,"Class5",32.125,"U",50.959
"J",7,27.528,NA,84.731,"Class4",43.662,"B",87.285
"Q",5,38.157,26,23.658,"Class3",54.173,"P",45.011
"U",54,84.771,56,58.466,"Class2",83.672,"G",75.687
"O",5,11.714,81,52.013,"Class4",60.099,"P",78.045
"O",4,62.422,28,35.94,"Class3",43.266,"A",42.312
"I",89,56.433,40,48.896,"Class1",18.003,"L",44.862
"J",73,81.084,71,55.305,"Class2",95.679,"G",71.835
"I",2,9.465,95,NA,"Class4",59.984,"I",61.089
"V",2,14.629,77,45.869,"Class4",54.102,"W",66.289
"E",86,30.333,55,85.227,"Class5",31.713,"J",88.981
"J",6,29.181,95,50.058,"Class4",44.835,"U",63.175
"V",89,38.511,20,48.773,"Class1",17.701,"Y",77.676
"D",85,34.635,15,52.697,"Class1",12,"S",72.358
"I",91,-27.412,59,85.697,"Class5",35.089,"J",41.312
"T",NA,76.793,64,85.849,"Class5",30.919,"E",67.84
"D",91,72.18,25,39.22,"Class1",13.58,"I",69.21
"O",4,39.995,28,38.233,"Class3",54.718,"L",51.628
"L",4,50.326,27,29.745,"Class3",66.095,"A",48.013
"W",86,53.73,58,84.712,"Class5",29.879,"U",37.984
"V",6,23.485,81,83.935,"Class4",73.114,"B",81.719
"Y",91,81.278,52,50.744,"Class2",92.919,"W",69.846
"F",89,35.32,67,83.628,"Class5",9.654,"Q",58.794
"W",85,63.071,56,82.716,"Class5",56.985,"P",52.949
"X",4,66.189,25,29.329,"Class3",56.487,"G",43.733
"F",85,62.04,71,84.602,"Class5",41.343,"E",79.695
"I",84,31.739,56,85.513,"Class5",17.364,"U",26.975
"K",4,69.619,30,33.293,"Class3",56.364,"P",50.742
"L",5,91.471,29,60.225,"Class3",58.936,"L",49.049
"W",84,68.286,57,82.847,"Class5",44.871,"P",NA
"T",85,68.275,52,85.58,"Class5",34.224,"P",81.36
"K",82,64.109,12,50.446,"Class1",19.027,"C",NA
"L",4,83.006,25,69.974,"Class3",45.297,"A",49.192
"K",83,35.294,62,NA,"Class1",16.723,"L",55.604
"T",85,77.169,63,85.131,"Class5",13.584,"J",19.712
"F",87,52.257,58,NA,"Class5",54.584,"J",88.001
"F",84,NA,54,85.805,"Class5",42.028,"U",33.276
"I",87,84.978,71,84.932,"Class5",35.18,"J",52.993
"K",5,51.001,25,69.321,"Class3",55.225,"P",51.793
"O",2,18.936,80,52.145,"Class4",28.701,"P",89.318
"K",5,90.586,25,69.532,"Class3",68.826,"G",51.802
"O",4,46.738,28,68.589,"Class3",67.689,"L",45.663
"U",88,84.298,72,55.221,"Class2",84.267,"Y",84.047
"I",84,85.599,52,85.589,"Class5",22.114,"J",32.447
"V",7,12.8,86,83.799,"Class4",55.204,"I",53.192
"J",96,84.65,NA,55.996,"Class2",96.072,"W",68.646
"R",88,31.911,27,46.079,"Class1",13.69,"L",48.701
"V",2,-0.875,93,68.903,"Class4",61.18,"W",61.177
"K",88,47.655,10,50.594,"Class1",15.741,"S",55.857
"E",85,29.266,57,84.359,"Class5",18.303,"J",47.768
"R",84,81.351,58,51.235,"Class2",78.348,"G",66.911
"Y",77,88.339,62,51.754,"Class2",51.417,"W",63.153
"O",NA,27.875,80,86.362,"Class4",43.291,"I",90.331
"O",5,59.32,27,61.333,"Class3",66.058,"P",43.195
"O",NA,23.209,95,78.075,"Class4",NA,"P",49.657
"K",88,45.428,36,48.796,"Class1",NA,"Y",92.914
"I",88,64.218,70,83.816,"Class5",24.339,"Q",63.725
"X",4,49.519,25,81.107,"Class3",49.782,"A",45.974
"V",3,26.329,90,78.994,"Class4",42.803,"U",65.824
"L",4,77.485,27,48.25,"Class3",63,"Y",45.147
"X",5,71.105,29,77.662,"Class3",62.252,"L",44.417
"Q",5,48.156,29,82.39,"Class3",NA,"G",46.91
"J",2,19.516,88,60.209,"Class4",77.039,"P",84.748
"W",84,NA,58,83.192,"Class5",23.821,"J",13.027
"J",2,6.815,84,42.4,"Class4",45.923,"U",56.171
"Y",87,85.23,69,NA,"Class2",NA,"G",74.786
"R",89,62.566,42,43.942,"Class1",13.045,"I",71.821
"U",93,85.827,63,NA,"Class2",42.315,"M",69.151
"Y",82,84.721,70,58.792,"Class2",55.32,"W",83.288
"K",5,65.881,30,44.54,"Class3",64.146,"P",41.395
"Y",67,85.493,50,48.37,"Class2",91.22,"W",77.353
"I",86,77.924,70,44.384,"Class1",6.103,"S",64.561
"I",90,29.801,55,NA,"Class5",43.992,"U",NA
"T",NA,95.554,60,83.176,"Class5",NA,"E",28.328
"V",86,59.85,68,50.381,"Class1",7.353,"C",88.486
"V",5,22.139,NA,41.051,"Class4",41.554,"W",93.546
"V",90,NA,25,50.729,"Class1",3.389,"C",63.022
"D",85,56.565,12,37.733,"Class1",16.568,"Y",85.085
"O",3,22.614,NA,30.423,"Class4",57.073,"P",51.751
"O",5,65.018,26,34.57,"Class3",47.495,"Y",47.598
"T",84,111,65,82.737,"Class5",22.51,"P",21.629
"I",87,63.938,43,34.765,"Class1",17.034,"L",56.716
"Y",57,84.36,53,56.459,"Class2",71.12,"M",56.319
"F",90,45.625,49,84.63,"Class5",33.505,"P",65.383
"S",NA,86.147,50,58.071,"Class2",71.109,"G",77.012
"I",89,112.006,56,83.051,"Class5",49.643,"P",NA
"E",88,35.856,49,83.808,"Class5",56.793,"P",51.051
"E",NA,61.015,60,82.794,"Class5",40.522,"P",62.354
"O",5,NA,NA,21.4,"Class3",62.409,"A",50.133
"J",88,82.805,50,48.604,"Class2",120.423,"H",84.507
"E",83,38.343,54,83.034,"Class5",NA,"P",39.476
"Y",79,87.892,59,54.776,"Class2",43.021,"W",61.107
"X",5,39.464,27,62.532,"Class3",58.756,"Y",50.069
"U",72,83.239,61,NA,"Class2",59.213,"Y",78.182
"Q",5,27.398,87,59.229,"Class4",53.339,"W",60.469
"K",5,85.357,26,NA,"Class3",61.733,"G",45.813
"Q",6,19.754,95,54.916,"Class4",62.752,"P",80.762
"Y",62,84.12,52,58.563,"Class2",19.642,"M",65.294
"U",64,81.982,48,50.231,"Class2",73.987,"G",78.692
"E",88,79.432,65,82.767,"Class5",47.152,"P",38.708
"O",6,19.343,95,85.398,"Class4",29.426,"U",53.621
"I",3,19.998,90,79.212,"Class4",41.97,"U",78.128
"Q",2,20.35,80,52.242,"Class4",65.489,"I",59.983
"I",89,45.318,27,38.09,"Class1",12.016,"S",78.647
"E",86,NA,51,85.71,"Class5",NA,"P",82.123
"W",84,67.435,72,83.991,"Class5",46.572,"E",52.462
"V",5,19.777,77,38.13,"Class4",50.83,"I",63.315
"X",4,37.854,28,48.013,"Class3",64.597,"P",48.532
"D",85,20.125,64,NA,"Class1",10.536,"I",93.064
"O",4,71.292,30,76.312,"Class3",50.737,"P",41.778
"X",5,101.542,30,48.142,"Class3",49.845,"P",49.734
"V",3,20.734,87,67.632,"Class4",39.404,"B",68.485
"V",91,45.364,64,34.281,"Class1",19.082,"I",58.222
"Q",3,9.36,81,NA,"Class4",58.684,"W",69.008
"U",65,83.085,72,49.268,"Class2",73.037,"W",84.031
"S",70,83.909,49,57.579,"Class2",75.956,"W",55.417
"O",7,22.763,80,39.114,"Class4",47.683,"W",69.701
"L",5,73.973,27,22.028,"Class3",57.731,"L",NA
"F",85,72.446,61,83.53,"Class5",61.652,"P",6.022
"J",6,34.298,84,67.438,"Class4",62.016,"W",57.314
"W",84,21.717,72,85.626,"Class5",32.5,"U",82.815
"Y",62,83.508,60,48.863,"Class2",60.511,"M",73.14
"I",89,60.113,19,56.929,"Class1",10.766,"S",NA
"I",89,NA,16,55.176,"Class1",10.277,"S",42.277
"V",5,25.131,79,56.377,"Class4",61.991,"P",94.678
"V",4,27.293,78,68.496,"Class4",78.695,"U",65.031
"Q",3,34.128,83,76.595,"Class4",39.252,"U",58.207
"I",83,74.893,54,82.485,"Class5",32.735,"E",8.85
"Y",78,82.903,66,52.058,"Class2",56.387,"W",82.516
"D",90,53.345,42,32.253,"Class1",19.245,"S",91.253
"U",69,83.508,49,48.901,"Class2",71.957,"M",65.844
"X",5,46.139,27,28.966,"Class3",58.733,"L",51.867
"J",93,85.308,63,50.574,"Class2",58.998,"G",82.045
"X",5,58.017,NA,27.473,"Class3",48.119,"P",46.157
"J",5,8.324,85,78.582,"Class4",44.261,"P",61.224
"R",82,31.865,57,48.117,"Class1",23.081,"Y",68.014
"R",88,79.767,60,48,"Class1",1.232,"C",64.887
"J",3,27.997,87,73.024,"Class4",26.856,"U",84.762
"Y",62,81.665,54,54.72,"Class2",68.877,"H",73.667
"V",5,26.801,NA,58.968,"Class4",35.349,"I",87.831
"R",74,84.828,70,55.874,"Class2",71.049,"G",71.465
"O",4,20.065,93,42.23,"Class4",54.398,"U",52.472
"I",NA,25.748,83,82.301,"Class4",75.416,"W",81.485
"X",4,37.261,27,28.721,"Class3",59.031,"P",47.148
"E",87,23.356,59,85.664,"Class5",46.888,"E",69.665
"I",88,65.567,42,42.568,"Class1",6.016,"L",90.524
"Q",5,13.888,93,61.318,"Class4",48.331,"W",78.74
"J",2,25.485,81,34.276,"Class4",30.219,"U",67.236
"F",91,19.246,68,84.192,"Class5",17.405,"Q",NA
"S",96,83.464,51,50.359,"Class2",54.152,"W",74.013
"R",87,82.581,67,50.628,"Class1",14.852,"Y",82.252
"K",87,36.072,25,38.194,"Class1",14.784,"I",53.404
"R",84,24.649,43,54.546,"Class1",3.261,"L",50.491
"R",59,86.766,57,52.184,"Class2",65.374,"H",82.034
"I",2,6.539,79,53.7,"Class4",35.537,"P",78.31
"E",92,79.888,50,85.492,"Class5",22.867,"U",25.237
"W",88,66.842,57,82.85,"Class5",28.582,"P",82.474
"D",83,NA,29,42.994,"Class1",18.147,"S",86.464
"V",3,30.225,84,32.549,"Class4",39.05,"P",93.476
"D",83,65.353,63,43.085,"Class1",16.839,"L",71.43
"J",2,19.986,NA,38.551,"Class4",31.293,"I",51.543
"I",4,1.858,88,72.679,"Class4",64.004,"P",NA
"K",88,48.475,24,NA,"Class1",3.374,"L",NA
"O",4,92.769,27,43.354,"Class3",56.051,"G",48.936
"W",84,7.27,60,84.588,"Class5",35.707,"E",68.415
"V",87,NA,45,33.519,"Class1",8.416,"Y",65.338
"E",87,57.336,54,82.263,"Class5",26.355,"E",NA
